id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
483	回怒比例2-区间3	421009	20	2	3000	1009	190-210
484	回怒比例2-区间4	421009	20	2	2250	1009	210-230
485	回怒比例2-区间5	421009	20	2	1500	1009	230-250
486	回怒比例3-区间1	421009	20	3	3750	1009	250-280
487	回怒比例3-区间2	421009	20	3	3125	1009	280-310
488	回怒比例3-区间3	421009	20	3	2500	1009	310-340
489	回怒比例3-区间4	421009	20	3	1875	1009	340-370
490	回怒比例3-区间5	421009	20	3	1250	1009	370-400
491	回怒比例4-区间1	421009	20	4	2250	1009	400-440
492	回怒比例4-区间2	421009	20	4	1875	1009	440-480
493	回怒比例4-区间3	421009	20	4	1500	1009	480-520
494	回怒比例4-区间4	421009	20	4	1125	1009	520-560
495	回怒比例4-区间5	421009	20	4	750	1009	560-600
496	回怒比例5-区间1	421009	20	5	1500	1009	600-680
497	回怒比例5-区间2	421009	20	5	1250	1009	680-760
498	回怒比例5-区间3	421009	20	5	1000	1009	760-840
499	回怒比例5-区间4	421009	20	5	750	1009	840-920
500	回怒比例5-区间5	421009	20	5	500	1009	920-1000
501	移动速度加成1-区间1	421011	21	1	3000	1011	50-55
502	移动速度加成1-区间2	421011	21	1	2500	1011	55-60
503	移动速度加成1-区间3	421011	21	1	2000	1011	60-65
504	移动速度加成1-区间4	421011	21	1	1500	1011	65-70
505	移动速度加成1-区间5	421011	21	1	1000	1011	70-75
506	移动速度加成2-区间1	421011	21	2	4500	1011	75-85
507	移动速度加成2-区间2	421011	21	2	3750	1011	85-95
508	移动速度加成2-区间3	421011	21	2	3000	1011	95-105
509	移动速度加成2-区间4	421011	21	2	2250	1011	105-115
510	移动速度加成2-区间5	421011	21	2	1500	1011	115-125
511	移动速度加成3-区间1	421011	21	3	3750	1011	125-140
512	移动速度加成3-区间2	421011	21	3	3125	1011	140-155
513	移动速度加成3-区间3	421011	21	3	2500	1011	155-170
514	移动速度加成3-区间4	421011	21	3	1875	1011	170-185
515	移动速度加成3-区间5	421011	21	3	1250	1011	185-200
516	移动速度加成4-区间1	421011	21	4	2250	1011	200-220
517	移动速度加成4-区间2	421011	21	4	1875	1011	220-240
518	移动速度加成4-区间3	421011	21	4	1500	1011	240-260
519	移动速度加成4-区间4	421011	21	4	1125	1011	260-280
520	移动速度加成4-区间5	421011	21	4	750	1011	280-300
521	移动速度加成5-区间1	421011	21	5	1500	1011	300-340
522	移动速度加成5-区间2	421011	21	5	1250	1011	340-380
523	移动速度加成5-区间3	421011	21	5	1000	1011	380-420
524	移动速度加成5-区间4	421011	21	5	750	1011	420-460
525	移动速度加成5-区间5	421011	21	5	500	1011	460-500
