效果ID	描述（策划看）	表名(1skill,2skillAction,3skillEffect,4skillHurt)	字段名	数据ID	改变方式（1加减，2替换）	参数类型	参数1(字符串)	参数2(字符串数组)	参数3(布尔值)	参数4(数值)	参数5(数值数组)	帧事件触发（skillAction表中动作连招字段）
1024024	折纸-必杀-伤害-4级	4	hurtScale	4033	1	4				0.2		
1024025	折纸-必杀-伤害-4级	4	hurtScale	4034	1	4				0.2		
1024026	折纸-必杀-伤害-4级	4	hurtScale	4035	1	4				0.2		
1024027	折纸-必杀-伤害-4级	4	hurtScale	4036	1	4				0.2		
1024028	折纸-必杀-伤害-4级	4	hurtScale	4037	1	4				0.2		
1024029	折纸-必杀-暴击伤害-1级	4	hurtValue509	4031	1	4				800		
1024030	折纸-必杀-暴击伤害-1级	4	hurtValue509	4032	1	4				800		
1024031	折纸-必杀-暴击伤害-1级	4	hurtValue509	4033	1	4				800		
1024032	折纸-必杀-暴击伤害-1级	4	hurtValue509	4034	1	4				800		
1024033	折纸-必杀-暴击伤害-1级	4	hurtValue509	4035	1	4				800		
1024034	折纸-必杀-暴击伤害-1级	4	hurtValue509	4036	1	4				800		
1024035	折纸-必杀-暴击伤害-1级	4	hurtValue509	4037	1	4				800		
1024036	折纸-必杀-暴击伤害-2级	4	hurtValue509	4031	1	4				1600		
1024037	折纸-必杀-暴击伤害-2级	4	hurtValue509	4032	1	4				1600		
1024038	折纸-必杀-暴击伤害-2级	4	hurtValue509	4033	1	4				1600		
1024039	折纸-必杀-暴击伤害-2级	4	hurtValue509	4034	1	4				1600		
1024040	折纸-必杀-暴击伤害-2级	4	hurtValue509	4035	1	4				1600		
1024041	折纸-必杀-暴击伤害-2级	4	hurtValue509	4036	1	4				1600		
1024042	折纸-必杀-暴击伤害-2级	4	hurtValue509	4037	1	4				1600		
1024043	折纸-必杀-暴击伤害-3级	4	hurtValue509	4031	1	4				2400		
1024044	折纸-必杀-暴击伤害-3级	4	hurtValue509	4032	1	4				2400		
1024045	折纸-必杀-暴击伤害-3级	4	hurtValue509	4033	1	4				2400		
1024046	折纸-必杀-暴击伤害-3级	4	hurtValue509	4034	1	4				2400		
1024047	折纸-必杀-暴击伤害-3级	4	hurtValue509	4035	1	4				2400		
1024048	折纸-必杀-暴击伤害-3级	4	hurtValue509	4036	1	4				2400		
1024049	折纸-必杀-暴击伤害-3级	4	hurtValue509	4037	1	4				2400		
1024050	折纸-必杀-暴击伤害-4级	4	hurtValue509	4031	1	4				3200		
1024051	折纸-必杀-暴击伤害-4级	4	hurtValue509	4032	1	4				3200		
1024052	折纸-必杀-暴击伤害-4级	4	hurtValue509	4033	1	4				3200		
1024053	折纸-必杀-暴击伤害-4级	4	hurtValue509	4034	1	4				3200		
1024054	折纸-必杀-暴击伤害-4级	4	hurtValue509	4035	1	4				3200		
1024055	折纸-必杀-暴击伤害-4级	4	hurtValue509	4036	1	4				3200		
1024056	折纸-必杀-暴击伤害-4级	4	hurtValue509	4037	1	4				3200		
1024057	折纸-必杀-减消耗-1级	1	costEnergy	100220	1	4				-1		
1024058	折纸-必杀-减消耗-2级	1	costEnergy	100220	1	4				-2		
1024059	折纸-必杀-减消耗-3级	1	costEnergy	100220	1	4				-3		
1024060	折纸-必杀-暴击率-1级	4	hurtValue507	4031	1	4				300		
1024061	折纸-必杀-暴击率-1级	4	hurtValue507	4032	1	4				300		
1024062	折纸-必杀-暴击率-1级	4	hurtValue507	4033	1	4				300		
1024063	折纸-必杀-暴击率-1级	4	hurtValue507	4034	1	4				300		
1024064	折纸-必杀-暴击率-1级	4	hurtValue507	4035	1	4				300		
1024065	折纸-必杀-暴击率-1级	4	hurtValue507	4036	1	4				300		
1024066	折纸-必杀-暴击率-1级	4	hurtValue507	4037	1	4				300		
1024067	折纸-必杀-暴击率-2级	4	hurtValue507	4031	1	4				600		
1024068	折纸-必杀-暴击率-2级	4	hurtValue507	4032	1	4				600		
1024069	折纸-必杀-暴击率-2级	4	hurtValue507	4033	1	4				600		
1024070	折纸-必杀-暴击率-2级	4	hurtValue507	4034	1	4				600		
1024071	折纸-必杀-暴击率-2级	4	hurtValue507	4035	1	4				600		
1024072	折纸-必杀-暴击率-2级	4	hurtValue507	4036	1	4				600		
1024073	折纸-必杀-暴击率-2级	4	hurtValue507	4037	1	4				600		
1024074	折纸-必杀-暴击率-3级	4	hurtValue507	4031	1	4				900		
1024075	折纸-必杀-暴击率-3级	4	hurtValue507	4032	1	4				900		
1024076	折纸-必杀-暴击率-3级	4	hurtValue507	4033	1	4				900		
1024077	折纸-必杀-暴击率-3级	4	hurtValue507	4034	1	4				900		
1024078	折纸-必杀-暴击率-3级	4	hurtValue507	4035	1	4				900		
1024079	折纸-必杀-暴击率-3级	4	hurtValue507	4036	1	4				900		
1024080	折纸-必杀-暴击率-3级	4	hurtValue507	4037	1	4				900		
1024081	折纸-必杀-穿透率-1级	4	hurtValue503	4031	1	4				0.5		
1024082	折纸-必杀-穿透率-1级	4	hurtValue503	4032	1	4				0.5		
1024083	折纸-必杀-穿透率-1级	4	hurtValue503	4033	1	4				0.5		
1024084	折纸-必杀-穿透率-1级	4	hurtValue503	4034	1	4				0.5		
1024085	折纸-必杀-穿透率-1级	4	hurtValue503	4035	1	4				0.5		
1024086	折纸-必杀-穿透率-1级	4	hurtValue503	4036	1	4				0.5		
1024087	折纸-必杀-穿透率-1级	4	hurtValue503	4037	1	4				0.5		
1024088	折纸-必杀-穿透率-2级	4	hurtValue503	4031	1	4				0.6		
1024089	折纸-必杀-穿透率-2级	4	hurtValue503	4032	1	4				0.6		
1024090	折纸-必杀-穿透率-2级	4	hurtValue503	4033	1	4				0.6		
1024091	折纸-必杀-穿透率-2级	4	hurtValue503	4034	1	4				0.6		
1024092	折纸-必杀-穿透率-2级	4	hurtValue503	4035	1	4				0.6		
1024093	折纸-必杀-穿透率-2级	4	hurtValue503	4036	1	4				0.6		
1024094	折纸-必杀-穿透率-2级	4	hurtValue503	4037	1	4				0.6		
1024095	折纸-必杀-穿透率-3级	4	hurtValue503	4031	1	4				0.7		
1024096	折纸-必杀-穿透率-3级	4	hurtValue503	4032	1	4				0.7		
1024097	折纸-必杀-穿透率-3级	4	hurtValue503	4033	1	4				0.7		
1024098	折纸-必杀-穿透率-3级	4	hurtValue503	4034	1	4				0.7		
1024099	折纸-必杀-穿透率-3级	4	hurtValue503	4035	1	4				0.7		
1024100	折纸-必杀-穿透率-3级	4	hurtValue503	4036	1	4				0.7		
1024101	折纸-必杀-穿透率-3级	4	hurtValue503	4037	1	4				0.7		
1024102	折纸-必杀-穿透率-4级	4	hurtValue503	4031	1	4				1		
1024103	折纸-必杀-穿透率-4级	4	hurtValue503	4032	1	4				1		
1024104	折纸-必杀-穿透率-4级	4	hurtValue503	4033	1	4				1		
1024105	折纸-必杀-穿透率-4级	4	hurtValue503	4034	1	4				1		
1024106	折纸-必杀-穿透率-4级	4	hurtValue503	4035	1	4				1		
1024107	折纸-必杀-穿透率-4级	4	hurtValue503	4036	1	4				1		
1024108	折纸-必杀-穿透率-4级	4	hurtValue503	4037	1	4				1		
1024109	折纸-必杀-精英伤-1级	4	hurtValue655	4031	1	4				400		
1024110	折纸-必杀-精英伤-1级	4	hurtValue655	4032	1	4				400		
1024111	折纸-必杀-精英伤-1级	4	hurtValue655	4033	1	4				400		
1024112	折纸-必杀-精英伤-1级	4	hurtValue655	4034	1	4				400		
1024113	折纸-必杀-精英伤-1级	4	hurtValue655	4035	1	4				400		
1024114	折纸-必杀-精英伤-1级	4	hurtValue655	4036	1	4				400		
1024115	折纸-必杀-精英伤-1级	4	hurtValue655	4037	1	4				400		
1024116	折纸-必杀-精英伤-2级	4	hurtValue655	4031	1	4				800		
1024117	折纸-必杀-精英伤-2级	4	hurtValue655	4032	1	4				800		
1024118	折纸-必杀-精英伤-2级	4	hurtValue655	4033	1	4				800		
1024119	折纸-必杀-精英伤-2级	4	hurtValue655	4034	1	4				800		
1024120	折纸-必杀-精英伤-2级	4	hurtValue655	4035	1	4				800		
1024121	折纸-必杀-精英伤-2级	4	hurtValue655	4036	1	4				800		
1024122	折纸-必杀-精英伤-2级	4	hurtValue655	4037	1	4				800		
1024123	折纸-必杀-精英伤-3级	4	hurtValue655	4031	1	4				1200		
1024124	折纸-必杀-精英伤-3级	4	hurtValue655	4032	1	4				1200		
1024125	折纸-必杀-精英伤-3级	4	hurtValue655	4033	1	4				1200		
1024126	折纸-必杀-精英伤-3级	4	hurtValue655	4034	1	4				1200		
1024127	折纸-必杀-精英伤-3级	4	hurtValue655	4035	1	4				1200		
1024128	折纸-必杀-精英伤-3级	4	hurtValue655	4036	1	4				1200		
1024129	折纸-必杀-精英伤-3级	4	hurtValue655	4037	1	4				1200		
1024801	折纸-必杀-技能效果-1级	1	first	100220	2	4				2021		
1024802	折纸-必杀-技能效果-2级	1	first	100220	2	4				2022		
1024803	折纸-必杀-技能效果-3级	1	first	100220	2	4				2023		
1025001	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4001	1	4				1000		
1025002	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4002	1	4				1000		
1025003	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4003	1	4				1000		
1025004	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4004	1	4				1000		
1025005	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4005	1	4				1000		
1025006	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4011	1	4				1000		
1025007	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4012	1	4				1000		
1025008	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4013	1	4				1000		
1025009	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4014	1	4				1000		
1025010	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4015	1	4				1000		
1025011	折纸-被动3-物理伤害攻击+暴击	4	hurtValue507	4016	1	4				1000		
1025012	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4001	1	4				3000		
1025013	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4002	1	4				3000		
1025014	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4003	1	4				3000		
1025015	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4004	1	4				3000		
1025016	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4005	1	4				3000		
1025017	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4011	1	4				3000		
1025018	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4012	1	4				3000		
1025019	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4013	1	4				3000		
1025020	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4014	1	4				3000		
1025021	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4015	1	4				3000		
1025022	折纸-被动3-物理伤害攻击+爆伤	4	hurtValue509	4016	1	4				3000		
1025023	折纸-被动9-弹药技能减消耗	1	costEnergy	100220	1	4				3		
1025024	折纸-被动9-弹药技能减消耗	1	costEnergy	100280	1	4				3		
1025025	折纸-被动12-普攻回能	1	costEnergy	100210	2	4				0		
1025026	折纸-被动12-普攻回能	4	anger	4001	1	4				1		
1025027	折纸-被动12-普攻回能	4	anger	4002	1	4				1		
1025028	折纸-被动12-普攻回能	4	anger	4003	1	4				1		
1025029	折纸-被动12-普攻回能	4	anger	4004	1	4				1		
1025030	折纸-被动12-普攻回能	4	anger	4005	1	4				1		
1031001	四糸乃-普攻攻速1段1级	2	actionSpeed	3010	1	4				300		
1031002	四糸乃-普攻攻速2段1级	2	actionSpeed	3011	1	4				300		
1031003	四糸乃-普攻攻速3段1级	2	actionSpeed	3012	1	4				300		
1031004	四糸乃-普攻攻速4段1级	2	actionSpeed	3013	1	4				300		
1031005	四糸乃-普攻攻速5段1级	2	actionSpeed	3014	1	4				300		
1031006	四糸乃-普攻攻速1段2级	2	actionSpeed	3010	1	4				500		
1031007	四糸乃-普攻攻速2段2级	2	actionSpeed	3011	1	4				500		
1031008	四糸乃-普攻攻速3段2级	2	actionSpeed	3012	1	4				500		
1031009	四糸乃-普攻攻速4段2级	2	actionSpeed	3013	1	4				500		
1031010	四糸乃-普攻攻速5段2级	2	actionSpeed	3014	1	4				500		
1031011	四糸乃-普攻攻速1段3级	2	actionSpeed	3010	1	4				700		
1031012	四糸乃-普攻攻速2段3级	2	actionSpeed	3011	1	4				700		
1031013	四糸乃-普攻攻速3段3级	2	actionSpeed	3012	1	4				700		
1031014	四糸乃-普攻攻速4段3级	2	actionSpeed	3013	1	4				700		
1031015	四糸乃-普攻攻速5段3级	2	actionSpeed	3014	1	4				700		
1031016	四糸乃-普攻攻速1段4级	2	actionSpeed	3010	1	4				1000		
1031017	四糸乃-普攻攻速2段4级	2	actionSpeed	3011	1	4				1000		
1031018	四糸乃-普攻攻速3段4级	2	actionSpeed	3012	1	4				1000		
1031019	四糸乃-普攻攻速4段4级	2	actionSpeed	3013	1	4				1000		
1031020	四糸乃-普攻攻速5段4级	2	actionSpeed	3014	1	4				1000		
1031021	四糸乃-普攻-魔法阵召唤1段1级	3	triggerEffectsOdds	30101	1	4				1000		
1031022	四糸乃-普攻-魔法阵召唤2段1级	3	triggerEffectsOdds	30111	1	4				1000		
1031023	四糸乃-普攻-魔法阵召唤3段1级	3	triggerEffectsOdds	30121	1	4				1000		
1031024	四糸乃-普攻-魔法阵召唤4段1级	3	triggerEffectsOdds	30131	1	4				1000		
1031025	四糸乃-普攻-魔法阵召唤5段1级	3	triggerEffectsOdds	30140	1	4				1000		
1031026	四糸乃-普攻-魔法阵召唤1段2级	3	triggerEffectsOdds	30101	1	4				1500		
1031027	四糸乃-普攻-魔法阵召唤2段2级	3	triggerEffectsOdds	30111	1	4				1500		
1031028	四糸乃-普攻-魔法阵召唤3段2级	3	triggerEffectsOdds	30121	1	4				1500		
1031029	四糸乃-普攻-魔法阵召唤4段2级	3	triggerEffectsOdds	30131	1	4				1500		
1031030	四糸乃-普攻-魔法阵召唤5段2级	3	triggerEffectsOdds	30140	1	4				1500		
1031031	四糸乃-普攻-魔法阵召唤1段3级	3	triggerEffectsOdds	30101	1	4				2000		
1031032	四糸乃-普攻-魔法阵召唤2段3级	3	triggerEffectsOdds	30111	1	4				2000		
1031033	四糸乃-普攻-魔法阵召唤3段3级	3	triggerEffectsOdds	30121	1	4				2000		
1031034	四糸乃-普攻-魔法阵召唤4段3级	3	triggerEffectsOdds	30131	1	4				2000		
1031035	四糸乃-普攻-魔法阵召唤5段3级	3	triggerEffectsOdds	30140	1	4				2000		
1031036	四糸乃-普攻-魔法阵召唤1段4级	3	triggerEffectsOdds	30101	1	4				2500		
1031037	四糸乃-普攻-魔法阵召唤2段4级	3	triggerEffectsOdds	30111	1	4				2500		
1031038	四糸乃-普攻-魔法阵召唤3段4级	3	triggerEffectsOdds	30121	1	4				2500		
1031039	四糸乃-普攻-魔法阵召唤4段4级	3	triggerEffectsOdds	30131	1	4				2500		
1031040	四糸乃-普攻-魔法阵召唤5段4级	3	triggerEffectsOdds	30140	1	4				2500		
1031041	四糸乃-普攻-魔法阵冰锥-伤害1级	4	hurtScale	5001	2	4				0.8		
1031042	四糸乃-普攻-魔法阵冰锥-伤害2级	4	hurtScale	5002	2	4				1		
1031043	四糸乃-普攻-魔法阵冰锥-伤害3级	4	hurtScale	5003	2	4				1.2		
1031044	四糸乃-普攻-魔法阵冰锥-伤害4级	4	hurtScale	5004	2	4				1.5		
1031045	四糸乃-普攻-穿透数量1段1级	3	recycle	30100	1	4				2		
1031046	四糸乃-普攻-穿透数量2段1级	3	recycle	30110	1	4				2		
1031047	四糸乃-普攻-穿透数量3段1级	3	recycle	30120	1	4				2		
1031048	四糸乃-普攻-穿透数量4段1级	3	recycle	30130	1	4				2		
1031049	四糸乃-普攻-穿透数量5段1级	3	recycle	30140	1	4				2		
1031050	四糸乃-普攻-穿透数量1段2级	3	recycle	30100	1	4				3		
1031051	四糸乃-普攻-穿透数量2段2级	3	recycle	30110	1	4				3		
1031052	四糸乃-普攻-穿透数量3段2级	3	recycle	30120	1	4				3		
1031053	四糸乃-普攻-穿透数量4段2级	3	recycle	30130	1	4				3		
1031054	四糸乃-普攻-穿透数量5段2级	3	recycle	30140	1	4				3		
1031055	四糸乃-普攻-穿透数量1段3级	3	recycle	30100	1	4				4		
1031056	四糸乃-普攻-穿透数量2段3级	3	recycle	30110	1	4				4		
1031057	四糸乃-普攻-穿透数量3段3级	3	recycle	30120	1	4				4		
1031058	四糸乃-普攻-穿透数量4段3级	3	recycle	30130	1	4				4		
1031059	四糸乃-普攻-穿透数量5段3级	3	recycle	30140	1	4				4		
1031060	四糸乃-普攻攻击距离1	3	totalTime	30100	1	4				60		
1031061	四糸乃-普攻攻击距离1	3	totalTime	30110	1	4				60		
1031062	四糸乃-普攻攻击距离1	3	totalTime	30120	1	4				60		
1031063	四糸乃-普攻攻击距离1	3	totalTime	30130	1	4				60		
1031064	四糸乃-普攻攻击距离1	3	totalTime	30140	1	4				60		
1031065	四糸乃-普攻攻击距离2	3	totalTime	30100	1	4				150		
1031066	四糸乃-普攻攻击距离2	3	totalTime	30110	1	4				150		
1031067	四糸乃-普攻攻击距离2	3	totalTime	30120	1	4				150		
1031068	四糸乃-普攻攻击距离2	3	totalTime	30130	1	4				150		
1031069	四糸乃-普攻攻击距离2	3	totalTime	30140	1	4				150		
1031070	四糸乃-普攻攻击距离3	3	totalTime	30100	1	4				240		
1031071	四糸乃-普攻攻击距离3	3	totalTime	30110	1	4				240		
1031072	四糸乃-普攻攻击距离3	3	totalTime	30120	1	4				240		
1031073	四糸乃-普攻攻击距离3	3	totalTime	30130	1	4				240		
1031074	四糸乃-普攻攻击距离3	3	totalTime	30140	1	4				240		
1031075	四糸乃-普攻-普怪伤1级	4	hurtValue654	5001	1	4				500		
1031076	四糸乃-普攻-普怪伤1级	4	hurtValue654	5002	1	4				500		
1031077	四糸乃-普攻-普怪伤1级	4	hurtValue654	5003	1	4				500		
1031078	四糸乃-普攻-普怪伤1级	4	hurtValue654	5004	1	4				500		
1031079	四糸乃-普攻-普怪伤1级	4	hurtValue654	5001	1	4				500		
1031080	四糸乃-普攻-普怪伤2级	4	hurtValue654	5002	1	4				800		
1031081	四糸乃-普攻-普怪伤2级	4	hurtValue654	5003	1	4				800		
1031082	四糸乃-普攻-普怪伤2级	4	hurtValue654	5004	1	4				800		
1031083	四糸乃-普攻-普怪伤2级	4	hurtValue654	5001	1	4				800		
1031084	四糸乃-普攻-普怪伤2级	4	hurtValue654	5002	1	4				800		
1031085	四糸乃-普攻-普怪伤3级	4	hurtValue654	5003	1	4				1200		
1031086	四糸乃-普攻-普怪伤3级	4	hurtValue654	5004	1	4				1200		
1031087	四糸乃-普攻-普怪伤3级	4	hurtValue654	5001	1	4				1200		
1031088	四糸乃-普攻-普怪伤3级	4	hurtValue654	5002	1	4				1200		
1031089	四糸乃-普攻-普怪伤3级	4	hurtValue654	5003	1	4				1200		
1031090	四糸乃-普攻-普怪伤4级	4	hurtValue654	5004	1	4				1500		
1031091	四糸乃-普攻-普怪伤4级	4	hurtValue654	5001	1	4				1500		
1031092	四糸乃-普攻-普怪伤4级	4	hurtValue654	5002	1	4				1500		
1031093	四糸乃-普攻-普怪伤4级	4	hurtValue654	5003	1	4				1500		
1031094	四糸乃-普攻-普怪伤4级	4	hurtValue654	5004	1	4				1500		
1031801	四糸乃-普攻表现-4段-1级	2	frameEvents	3012	2	6						next1_down_3013
1031802	四糸乃-普攻表现-大冰锥-2级	3	scale	30100	2	4				2.4		
1031803	四糸乃-普攻表现-大冰锥-2级	3	scale	30110	2	4				2.4		
1031804	四糸乃-普攻表现-大冰锥-2级	3	scale	30120	2	4				2.4		
1031805	四糸乃-普攻表现--伤害-2级	4	hurtScale	5001	1	4				0.14		
1031806	四糸乃-普攻表现--伤害-2级	4	hurtScale	5002	1	4				0.18		
1031807	四糸乃-普攻表现--伤害-2级	4	hurtScale	5003	1	4				0.2		
1031808	四糸乃-普攻表现--伤害-2级	4	hurtScale	5004	1	4				0.4		
1031809	四糸乃-普攻表现-4段3大冰锥-3级	2	includeEffect	3013	2	5					30130-30131-30032	
1032001	四糸乃-技能1-技能伤1级	4	hurtScale	5010	1	4				0.06		
1032002	四糸乃-技能1-技能伤1级	4	hurtScale	5011	1	4				0.06		
1032003	四糸乃-技能1-技能伤1级	4	hurtScale	5020	1	4				0.06		
1032004	四糸乃-技能1-技能伤1级	4	hurtScale	5021	1	4				0.06		
1032005	四糸乃-技能1-技能伤1级	4	hurtScale	5030	1	4				0.06		
1032006	四糸乃-技能1-技能伤1级	4	hurtScale	5031	1	4				0.06		
1032007	四糸乃-技能1-技能伤1级	4	hurtScale	5040	1	4				0.06		
1032008	四糸乃-技能1-技能伤1级	4	hurtScale	5041	1	4				0.06		
1032009	四糸乃-技能1-技能伤1级	4	hurtScale	5042	1	4				0.06		
1032010	四糸乃-技能1-技能伤2级	4	hurtScale	5010	1	4				0.09		
1032011	四糸乃-技能1-技能伤2级	4	hurtScale	5011	1	4				0.09		
1032012	四糸乃-技能1-技能伤2级	4	hurtScale	5020	1	4				0.09		
1032013	四糸乃-技能1-技能伤2级	4	hurtScale	5021	1	4				0.09		
1032014	四糸乃-技能1-技能伤2级	4	hurtScale	5030	1	4				0.09		
1032015	四糸乃-技能1-技能伤2级	4	hurtScale	5031	1	4				0.09		
1032016	四糸乃-技能1-技能伤2级	4	hurtScale	5040	1	4				0.09		
1032017	四糸乃-技能1-技能伤2级	4	hurtScale	5041	1	4				0.09		
1032018	四糸乃-技能1-技能伤2级	4	hurtScale	5042	1	4				0.09		
1032019	四糸乃-技能1-技能伤3级	4	hurtScale	5010	1	4				0.12		
1032020	四糸乃-技能1-技能伤3级	4	hurtScale	5011	1	4				0.12		
1032021	四糸乃-技能1-技能伤3级	4	hurtScale	5020	1	4				0.12		
1032022	四糸乃-技能1-技能伤3级	4	hurtScale	5021	1	4				0.12		
1032023	四糸乃-技能1-技能伤3级	4	hurtScale	5030	1	4				0.12		
1032024	四糸乃-技能1-技能伤3级	4	hurtScale	5031	1	4				0.12		
1032025	四糸乃-技能1-技能伤3级	4	hurtScale	5040	1	4				0.12		
1032026	四糸乃-技能1-技能伤3级	4	hurtScale	5041	1	4				0.12		
1032027	四糸乃-技能1-技能伤3级	4	hurtScale	5042	1	4				0.12		
1032028	四糸乃-技能1-技能伤4级	4	hurtScale	5010	1	4				0.15		
1032029	四糸乃-技能1-技能伤4级	4	hurtScale	5011	1	4				0.15		
1032030	四糸乃-技能1-技能伤4级	4	hurtScale	5020	1	4				0.15		
1032031	四糸乃-技能1-技能伤4级	4	hurtScale	5021	1	4				0.15		
1032032	四糸乃-技能1-技能伤4级	4	hurtScale	5030	1	4				0.15		
1032033	四糸乃-技能1-技能伤4级	4	hurtScale	5031	1	4				0.15		
1032034	四糸乃-技能1-技能伤4级	4	hurtScale	5040	1	4				0.15		
1032035	四糸乃-技能1-技能伤4级	4	hurtScale	5041	1	4				0.15		
1032036	四糸乃-技能1-技能伤4级	4	hurtScale	5042	1	4				0.15		
1032037	四糸乃-技能1-CDR-1级	1	cd	100320	1	4				-500		
1032038	四糸乃-技能1-CDR-2级	1	cd	100320	1	4				-1000		
1032039	四糸乃-技能1-CDR-3级	1	cd	100320	1	4				-1500		
1032040	四糸乃-技能1-机械伤1级	4	hurtValue652	5010	1	4				200		
1032041	四糸乃-技能1-机械伤1级	4	hurtValue652	5011	1	4				200		
1032042	四糸乃-技能1-机械伤1级	4	hurtValue652	5020	1	4				200		
1032043	四糸乃-技能1-机械伤1级	4	hurtValue652	5021	1	4				200		
1032044	四糸乃-技能1-机械伤1级	4	hurtValue652	5030	1	4				200		
1032045	四糸乃-技能1-机械伤1级	4	hurtValue652	5031	1	4				200		
1032046	四糸乃-技能1-机械伤1级	4	hurtValue652	5040	1	4				200		
1032047	四糸乃-技能1-机械伤1级	4	hurtValue652	5041	1	4				200		
1032048	四糸乃-技能1-机械伤1级	4	hurtValue652	5042	1	4				200		
1032049	四糸乃-技能1-机械伤2级	4	hurtValue652	5010	1	4				400		
1032050	四糸乃-技能1-机械伤2级	4	hurtValue652	5011	1	4				400		
1032051	四糸乃-技能1-机械伤2级	4	hurtValue652	5020	1	4				400		
1032052	四糸乃-技能1-机械伤2级	4	hurtValue652	5021	1	4				400		
1032053	四糸乃-技能1-机械伤2级	4	hurtValue652	5030	1	4				400		
1032054	四糸乃-技能1-机械伤2级	4	hurtValue652	5031	1	4				400		
1032055	四糸乃-技能1-机械伤2级	4	hurtValue652	5040	1	4				400		
1032056	四糸乃-技能1-机械伤2级	4	hurtValue652	5041	1	4				400		
1032057	四糸乃-技能1-机械伤2级	4	hurtValue652	5042	1	4				400		
1032058	四糸乃-技能1-机械伤3级	4	hurtValue652	5010	1	4				600		
1032059	四糸乃-技能1-机械伤3级	4	hurtValue652	5011	1	4				600		
1032060	四糸乃-技能1-机械伤3级	4	hurtValue652	5020	1	4				600		
1032061	四糸乃-技能1-机械伤3级	4	hurtValue652	5021	1	4				600		
1032062	四糸乃-技能1-机械伤3级	4	hurtValue652	5030	1	4				600		
1032063	四糸乃-技能1-机械伤3级	4	hurtValue652	5031	1	4				600		
1032064	四糸乃-技能1-机械伤3级	4	hurtValue652	5040	1	4				600		
1032065	四糸乃-技能1-机械伤3级	4	hurtValue652	5041	1	4				600		
1032066	四糸乃-技能1-机械伤3级	4	hurtValue652	5042	1	4				600		
1032067	四糸乃-技能1-机械伤4级	4	hurtValue652	5010	1	4				800		
1032068	四糸乃-技能1-机械伤4级	4	hurtValue652	5011	1	4				800		
1032069	四糸乃-技能1-机械伤4级	4	hurtValue652	5020	1	4				800		
1032070	四糸乃-技能1-机械伤4级	4	hurtValue652	5021	1	4				800		
1032071	四糸乃-技能1-机械伤4级	4	hurtValue652	5030	1	4				800		
1032072	四糸乃-技能1-机械伤4级	4	hurtValue652	5031	1	4				800		
1032073	四糸乃-技能1-机械伤4级	4	hurtValue652	5040	1	4				800		
1032074	四糸乃-技能1-机械伤4级	4	hurtValue652	5041	1	4				800		
1032075	四糸乃-技能1-机械伤4级	4	hurtValue652	5042	1	4				800		
1032076	四糸乃-技能1-穿透率1级	4	hurtValue503	5010	1	4				300		
1032077	四糸乃-技能1-穿透率1级	4	hurtValue503	5011	1	4				300		
1032078	四糸乃-技能1-穿透率1级	4	hurtValue503	5020	1	4				300		
1032079	四糸乃-技能1-穿透率1级	4	hurtValue503	5021	1	4				300		
1032080	四糸乃-技能1-穿透率1级	4	hurtValue503	5030	1	4				300		
1032081	四糸乃-技能1-穿透率1级	4	hurtValue503	5031	1	4				300		
1032082	四糸乃-技能1-穿透率1级	4	hurtValue503	5040	1	4				300		
1032083	四糸乃-技能1-穿透率1级	4	hurtValue503	5041	1	4				300		
1032084	四糸乃-技能1-穿透率1级	4	hurtValue503	5042	1	4				300		
1032085	四糸乃-技能1-穿透率2级	4	hurtValue503	5010	1	4				500		
1032086	四糸乃-技能1-穿透率2级	4	hurtValue503	5011	1	4				500		
1032087	四糸乃-技能1-穿透率2级	4	hurtValue503	5020	1	4				500		
1032088	四糸乃-技能1-穿透率2级	4	hurtValue503	5021	1	4				500		
1032089	四糸乃-技能1-穿透率2级	4	hurtValue503	5030	1	4				500		
1032090	四糸乃-技能1-穿透率2级	4	hurtValue503	5031	1	4				500		
1032091	四糸乃-技能1-穿透率2级	4	hurtValue503	5040	1	4				500		
1032092	四糸乃-技能1-穿透率2级	4	hurtValue503	5041	1	4				500		
1032093	四糸乃-技能1-穿透率2级	4	hurtValue503	5042	1	4				500		
1032094	四糸乃-技能1-穿透率3级	4	hurtValue503	5010	1	4				700		
