id	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	背景音乐	显示顺序	难度	地图摄像机修正Z	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，21-达到约会评分等级，22-完成特定结局)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	是否播放关卡开场默认动作	是否播放胜利动作
104208	第4章简单2-3-支线战斗	1	1	104207	1				[60,[16]]	4002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510201-510102-510152	510201-210012-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210408	60110408	1	1
104209	第4章简单2-4-战斗	1	1	104207					[35,[5,6]]	4002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510202-510102-510152	510202-510153-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210409	60110409	1	1
104210	第4章简单2-5-支线战斗	1	1	104209	1				[11,[17]]	4002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510203-510102-510152	510203-510216-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210410	60110410	1	1
104211	第4章简单2-6-约会	2		104209		2002	950046		[50,[4]]	4002				1004031-1004032	test_1		sound/battle_sound/battle_001.mp3	6	1			300	300301			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				循环	1	[[3]]	300801	300816	6-7-9	25-8-1	300056-300057-300059	510304-510102-510152	510304-510102-510152	21	{500004:0}	99	0				0			60110411	1	1
104312	第4章简单3-1-战斗	1	1	104211					[29,[1,2]]	4003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300302			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510204-510102-510152	510204-210013-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210412	60110412	1	1
104313	第4章简单3-2-战斗	1	1	104312					[19,[3]]	4003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510205-510102-510152	510205-510104-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210413	60110413	1	1
104314	第4章简单3-3-战斗	1	1	104313					[47,[4]]	4003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510206-510102-510152	510206-210014-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210414	60110414	1	1
104315	第4章简单3-4-约会	2		104314		2001	950002	1	[37,[5,6]]	4003				1004043-1004044-1004045	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300305			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8009	1	300909		3	[[20001,1]]	300807	300819	3-8-10	120-1-1	300053-300058-300060	510304-510102-510152	510304-510102-510152	24	{500004:0}	99	0				0			60110415	1	1
105101	第5章简单1-1-战斗	1	1	104315					[29,[1,2]]	5001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510207-510102-510152	510207-510154-510102-510152-210009	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210501	60110501	1	1
105102	第5章简单1-2-约会	2		105101		2002	950051		[44,[4]]	5001				1005004	test_1		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				定时	2	[[50]]	300802	300817	14-4-9	1-60-2	300064-300054-300059	510207-510102-510152	510207-510102-510152	27	{500004:0}	99	0				0			60110502	1	1
105103	第5章简单1-3-战斗	1	1	105102					[33,[5,6]]	5001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510208-510102-510152	510208-510209-510102-510152-210009	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210503	60110503	1	1
105104	第5章简单1-4-约会	2		105103		2003	950002		[48,[4]]	5001				1005010-1005011	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+循环	3-3	[[1011,6],[2040,2]]	300804-300804	300819	3-7-6	110-8-25	300053-300057-300056	510206-510102-510152	510206-510102-510152	27	{500004:0}	99	0				0			60110504	1	1
105105	第5章简单1-5-战斗	1	1	105104					[37,[1,2]]	5001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510311-510102-510152	510201-210015-510102-510152-210009	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210505	60110505	1	1
105206	第5章简单2-1-战斗	1	1	105105					[29,[5,6]]	5002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510202-510102-510152	510202-510104-510102-510152-210009	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210506	60110506	1	1
105207	第5章简单2-2-战斗	1	1	105206					[18,[3]]	5002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510203-510102-510152	510203-210016-510102-510152-210009	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210507	60110507	1	1
105208	第5章简单2-3-约会	2		105207		2004	950007		[33,[1,2]]	5002				1005022	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限	5	[[10]]	300803	300818	5-9-13	3-2-8	300055-300059-300063	510205-510102-510152	510205-510102-510152	30	{500004:0}	99	0				0			60110508	1	1
105209	第5章简单2-4-战斗	1	1	105208					[36,[1,2]]	5002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				常规+循环	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510204-510102-510152	510204-510154-510102-510152-210009	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210509	60110509	1	1
105210	第5章简单2-5-支线约会	2		105209	1	2005	950031		[64,[16]]	5002				1005028-1005029-1005030	test_1		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8004	1	300904		3	[[50401,1]]	300807	300819	3-6-8	110-25-1	300053-300056-300058	510312-510102-510152	510312-510102-510152	30	{500004:0}	99	0				0			60110510	1	1
105311	第5章简单3-1-战斗	1	1	105209					[29,[1,2]]	5003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510205-510102-510152	510205-510210-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210511	60110511	1	1
105312	第5章简单3-2-战斗	1	1	105311					[32,[5,6]]	5003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510206-510102-510152	510206-210017-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210512	60110512	1	1
105313	第5章简单3-3-支线约会	2		105312	1	1002	950036		[60,[16]]	5003				1005037-1005038	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	5-7-11	2-8-110301	300055-300057-300061	510203-510102-510152	510203-510102-510152	33	{500004:0}	99	0				0			60110513	1	1
105314	第5章简单3-4-约会	2		105312		2003	950041		[21,[3]]	5003				1005040-1005041-1005042	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+常规+循环	3-3	[[1063,2],[1051,6]]	300804-300804	300819	2-3-5	25-110-2	300052-300053-300055	510202-510102-510152	510202-510102-510152	33	{500004:0}	99	0				0			60110514	1	1
105315	第5章简单3-5-战斗	1	1	105314					[49,[4]]	5003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510207-510102-510152	510207-510104-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210515	60110515	1	1
105316	第5章简单3-6-战斗	1	1	105315					[25,[3]]	5003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510311-510102-510152	510208-210018-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210516	60110516	1	1
105417	第5章简单4-1-战斗	1	1	105316					[29,[5,6]]	5004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300				icon/fuben/levelIcon/Dating/zhihuibu.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510201-510102-510152	510201-510154-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210517	60110517	1	1
105418	第5章简单4-2-约会	2		105417		2005	950046		[18,[3]]	5004								2	1							icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png															510201-510102-510152	510201-510102-510152	35	{500004:0}	99	0				0			60110518	1	1
105419	第5章简单4-3-战斗	1	1	105418					[33,[1,2]]	5004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510202-510102-510152	510202-510211-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210519	60110519	1	1
105420	第5章简单4-4-战斗	1	1	105419					[48,[4]]	5004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510203-510102-510152	510203-210019-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210520	60110520	1	1
105421	第5章简单4-5-战斗	1	1	105420				1	[37,[1,2]]	5004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510312-510102-510152	510204-510104-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210521	60110521	1	1
106101	第6章简单1-1-战斗	1	1	105421					[29,[1,2]]	6001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-210010-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210601	60110601	1	1
106102	第6章简单1-2-战斗	1	1	106101					[32,[5,6]]	6001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510154-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210602	60110602	1	1
106103	第6章简单1-3-支线约会	2		106102	1	2003	950051		[8,[17]]	6001				1006007-1006008	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+定时	1	[[3]]	300801	300816	2-7-8	30-8-1	300052-300057-300058	510216-510102-510152	510216-510102-510152	38	{500004:0}	99	0				0			60110603	1	1
106104	第6章简单1-4-约会	2		106102		2002	950002		[47,[4]]	6001				1006010-1006011-1006012	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8005	3	300905		1	[[3]]	300801	300816	4-6-7	55-20-8	300054-300056-300057	510215-510102-510152	510215-510102-510152	38	{500004:0}	99	0				0			60110604	1	1
106105	第6章简单1-5-战斗	1	1	106104					[23,[3]]	6001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-510220-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210605	60110605	1	1
106106	第6章简单1-6-战斗	1	1	106105					[51,[4]]	6001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300	300301			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510216-210011-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210606	60110606	1	1
106207	第6章简单2-1-战斗	1	1	106106					[29,[5,6]]	6002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-510104-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210607	60110607	1	1
106208	第6章简单2-2-战斗	1	1	106207					[18,[3]]	6002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-210012-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210608	60110608	1	1
106209	第6章简单2-3-约会	2		106208		2005	950002		[33,[1,2]]	6002				1006025	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				循环	5	[[12]]	300806	300821	2-7-11	30-8-110301	300052-300057-300061	510214-510102-510152	510214-510102-510152	40	{500004:0}	99	0				0			60110609	1	1
106210	第6章简单2-4-支线约会	2		106209	1	1002	950007		[61,[16]]	6002				1006028-1006029-1006030	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300305			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					3	[[20001,1]]	300807	300819	2-3-8	30-100-1	300052-300053-300058	510213-510102-510152	510213-510102-510152	40	{500004:0}	99	0				0			60110610	1	1
106211	第6章简单2-5-战斗	1	1	106209					[22,[3]]	6002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300301			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-510154-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210611	60110611	1	1
106212	第6章简单2-6-战斗	1	1	106211					[37,[1,2]]	6002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限(怪物易进攻)	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510212-510221-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210612	60110612	1	1
106313	第6章简单3-1-战斗	1	1	106212					[29,[1,2]]	6003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300303			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-210013-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210613	60110613	1	1
106314	第6章简单3-2-支线约会	2		106313	1	2003	950031		[5,[17]]	6003				1006040-1006041	test_1		sound/battle_sound/battle_001.mp3	2	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8008	1	300908	常规+定时	1	[[3]]	300801	300816	3-4-6	100-55-20	300053-300054-300056	510212-510102-510152	510212-510102-510152	42	{500004:0}	99	0				0			60110614	1	1
106315	第6章简单3-3-战斗	1	1	106313					[32,[5,6]]	6003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510104-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210615	60110615	1	1
106316	第6章简单3-4-约会	2		106315		1002	950036		[47,[4]]	6003								4	1							icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png															510211-510102-510152	510211-510102-510152	42	{500004:0}	99	0				0			60110616	1	1
106317	第6章简单3-5-战斗	1	1	106316					[23,[3]]	6003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-210014-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210617	60110617	1	1
106318	第6章简单3-6-战斗	1	1	106317					[51,[4]]	6003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510216-510154-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210618	60110618	1	1
106419	第6章简单4-1-约会	2		106318		2005	950041		[29,[5,6]]	6004								1	1							icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png															510210-510102-510152	510210-510102-510152	45	{500004:0}	99	0				0			60110619	1	1
106420	第6章简单4-2-战斗	1	2	106419					[32,[1,2]]	6004								2	1							icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png															510209-510102-510152	510209-510222-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210620	60110620	1	1
106421	第6章简单4-3-战斗	1	1	106419					[21,[3]]	6004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-210015-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210621	60110621	1	1
106422	第6章简单4-4-战斗	1	1	106420-106421					[36,[1,2]]	6004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-510104-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210622	60110622	1	1
106423	第6章简单4-5-战斗	1	1	106420-106421				1	[51,[4]]	6004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dating/zhihuibu.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510212-210016-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210623	60110623	1	1
