	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
1021040	1002	7	{}		100	无名少女	「回答我的问题！」	1	{}				{}					1021041		1			id_normal_4			101103	id_angry		{}											{}											{}		0.7-4-6-3-0.02	4												{}				1		盔甲踩地板					1						{}	{}										
1021041	1002	7	{}		100	五河琴里	「看来没办法敷衍她啊。」	1	{}				{}					1021044		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}											1						{}	{}										
1021042	1002	7	{}		100	无名少女	「真的是偶然？你不会是在欺骗我吧？」	1	{}				{}					1021043		1			id_pose_2	1	id_look_6				{}											{}											{}															{}				1													{}	{}										
1021043	1002	7	{}		100	五河琴里	「你真是不擅长撒谎，“公主”已经产生怀疑了。」	1	{}				{}					1021044		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021044	1002	7	{}		100	我	「其实我是为了见到你才来这里的。」	1	{}				{}					1021045		1									{}											{}											{}															{}																	{}	{}										
1021045	1002	7	{}		100	无名少女	「见我？\n为什么要见我？」	1	{}				{}					1021046		1			id_favor1_1						{}											{}											{}															{}	1	70		1													{}	{}										
1021046	1002	7	{}		100	五河琴里	「又是询问目的吗？真是难缠啊。」	1	{}				{}					1021047		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021047	1002	7	{}		100	1	「琴里,怎么回答她？」	1	{}				{}					1021048		1									{}											{}											{}															{}																	{}	{}										
1021048	1002	7	{}		100	无名少女	「怎么了，不能说么？你是毫无理由在我身边出现的么？」	1	{}				{}					1021049		1			id_normal_9	1					{}											{}											{}															{}				1													{}	{}										
1021049	1002	7	{}		100	无名少女	「还是说……」	1	{}				{}					1021050		1			id_pose_6	1	id_look_6				{}	1.3										{}											{}															{}				1		盔甲摩擦					1						{}	{}										
1021050	1002	7	{}		100		少女的眼神又突然变得可怕起来，我慌张地挥着手发出声音。	1	{}				{}					1021051-1021052-1021053		1									{}											{}											{}															{}											1						{}	{}										
1021051	1002	7	{}		100		「是、是为了与你相爱！」	1	{}				{}					1021055		1									{}											{}											{}															{}										0	1						{}	{}										
1021052	1002	7	{}		100		「异性相吸！就是因为异性相吸！」	1	{}				{}					1021055		1									{}											{}											{}															{}										0	1						{}	{}										
1021053	1002	7	{}		100		「让我们相遇的是不可抗拒的爱啊！」	1	{}				{}					1021055		1									{}											{}											{}															{}										0	1						{}	{}										
1021054	1002	7	{}		100		「我们会在一起，都是命运的选择……」	1	{}				{}					1021055		1									{}											{}											{}															{}										0	1						{}	{}										
1021055	1002	7	{}		100	无名少女	「不要开玩笑。」	1	{}				{}					1021056		1			id_pose_2	1	id_look_6	101103	id_gas		{}											{}											{}															{}	sound/bgm/date_005.mp3	70		1							1						{}	{}										
1021056	1002	7	{}		100		慌张的情绪沉淀了下来，我深吸一口气。	1	{}				{}					1021057		1									{}											{}											{}															{}																	{}	{}										
1021057	1002	7	{}		100	1	「……我确实是为了与你说话才到这里来的。」	1	{}				{}					1021058		1									{}											{}											{}															{}																	{}	{}										
1021058	1002	7	{}		100	无名少女	「什么意思？」	1	{}				{}					1021059		1			id_normal_13	1					{}											{}											{}															{}				1		盔甲摩擦											{}	{}										
1021059	1002	7	{}		100	1	「意思就是：\n我想和你说话，内容是什么都无所谓。」	1	{}				{}					1021060		1									{}											{}											{}															{}																	{}	{}										
1021060	1002	7	{}		100		1	1	{}				{}					1021061				3							{}											{}											{}															{}												1	1				{}	{}										
1021061	1002	7	{}		100			1	{}				{}					1021062											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	-1	{"x":-171,"y":0}												1	1				{}	{}										
1021062	1002	7	{}		100			1	{}				{}					1021063											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	10	{"x":170,"y":0}												1	1				{}	{}										
1021063	1002	7	{}		100		至今为止，没有一个人对这个少女伸出过援手。	1	{}				{}					1021064											{}											{}											{}															{}																	{}	{}										
1021064	1002	7	{}		100		明明可能一句话就能改变这种状况……	1	{}				{}					1021065											{}											{}											{}															{}																	{}	{}										
1021065	1002	7	{}		100		但是一个也没有的话，那就让我来说吧。	1	{}				{}					1021066											{}											{}											{}															{}																	{}	{}										
1021066	1002	7	{}		100			1	{}				{}					1021068											{}											{}											{}										scene/bg/bg_jiaoshipohuai1.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}										
1021068	1002	7	{}		100	1	「我不会否定你！」	1	{}				{}					1021069		10101	3		id_pose_2	1	id_look_1			2	{}	1.3										{}											{}															{}										20	1						{}	{}										
1021069	1002	7	{}		100		少女皱着眉头，片刻间的沉默之后，轻轻地张开嘴唇。	1	{}				{}					1021070		1				1					{}											{}											{}															{}						盔甲踏步					1						{}	{}										
1021070	1002	7	{}		100	无名少女	「你真的，不否定我么？」	1	{}				{}					1021071		1			id_normal_13	1					{}											{}											{}															{}				1		盔甲摩擦轻					1						{}	{}										
1021071	1002	7	{}		100	1	「是真的！」	1	{}				{}					1021072		1									{}											{}											{}															{}																	{}	{}										
1021072	1002	7	{}		100		0@	1	{}				{}					1021073		1									{}	1.6										{}											{}															{}												1	1				{}	{}										
1021073	1002	7	{}		100	无名少女	「真的是真的么？」	1	{}				{}					1021074		1			id_pose_12	1	id_look_2				{}											{}											{}															{}				1													{}	{}										
1021074	1002	7	{}		100	1	「真的是真的！」	1	{}				{}					1021075		1									{}											{}											{}															{}																	{}	{}										
1021075	1002	7	{}		100		0@	1	{}				{}					1021076		1									{}	1.9										{}											{}															{}												1	1				{}	{}										
1021076	1002	7	{}		100	无名少女	「真的真的是真的么？」	1	{}				{}					1021077		1			id_pose_11	1	id_look_3				{}											{}											{}															{}				1													{}	{}										
1021077	1002	7	{}		100	1	「真的真的是真的！」	1	{}				{}					1021078		1									{}											{}											{}															{}																	{}	{}										
1021078	1002	7	{}		100		1@	1	{}				{}					1021080				2							{}											{}											{}															{}												1	1				{}	{}										
1021080	1002	7	{}		100	无名少女	「哼，谁会被这种话骗了啊！？白痴！」	1	{}				{}					1021081		10101	3		id_pose_2		id_look_1			2	{}	1.3										{}											{}															{}				1		盔甲摩擦											{}	{}										
1021081	1002	7	{}		100	无名少女	「不过啊，我虽然不知道你在想什么，但你是第一个正经和我对话的人类。」	1	{}				{}					1021082		1			id_favor1_2	1					{}											{}											{}															{}				1													{}	{}										
1021082	1002	7	{}		100	无名少女	「为了得到这个世界的情报，你就稍微让我利用下吧。」	1	{}				{}					1021083		1			id_normal_6	1					{}											{}											{}															{}				1													{}	{}										
1021083	1002	7	{}		100	无名少女	「没错，是为了得到情报。\n唔呣，情报超重要,说说话还是可以的。」	1	{}				{}					1021084		1			id_pose_12	1	id_look_4	101103	id_sun		{}											{}											{}															{}				1		盔甲摩擦轻											{}	{}										
1021084	1002	7	{}		100		少女的表情看起来稍微柔和了一些。	1	{}				{}					1021085		1			id_pose_5	1	id_look_4	101103	id_heart		{}											{}											{}															{}																	{}	{}										
1021085	1002	7	{}		100	五河琴里	「干得好！就这样继续下去。」	1	{}				{}					1021086		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021086	1002	7	{}		100	无名少女	「但你要是有什么可疑的举动，我就在你身上开个洞。」	1	{}				{}					1021087		1			id_pose_10	1	id_look_6				{}											{}											{}															{}				1													{}	{}										
1021087	1002	7	{}		100	1	「okay，了解。」	1	{}				{}					1021088		1									{}											{}											{}															{}																	{}	{}										
1021088	1002	7	{}		100	无名少女	「%s，你想怎么称呼我？我没有名字，你给我取个名字吧。」	1	{}				{}					1021089		1			id_pose_10	1	id_look_2				{}											{}											{}															{}				1													{}	{}										
1021089	1002	7	{}		100	1	「咿？我！？ 」	1	{}				{}					1021090		1									{}											{}											{}															{}						sound/dating_sound/dating_005.ogg											{}	{}										
1021090	1002	7	{}		100	无名少女	「唔，反正我没有打算与你之外的人说话。」	1	{}				{}					1021091		1			id_normal_6	1					{}											{}											{}															{}				1													{}	{}										
1021091	1002	7	{}		100	五河琴里	「呜哇，这又是个大事!冷静下来%s。不要一着急说出奇怪的名字。」	1	{}				{}					1021092		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021092	1002	7	{}		100		少女正一边抱着手臂，一边用手指敲着胳膊等我回答。	1	{}				{}					1021093		1			id_pose_11	1	id_look_3				{}											{}											{}															{}						盔甲摩擦					1						{}	{}										
1021093	1002	7	{}		100	1	「[美佐子]，怎么样？」	1	{}				{}					1021094		1									{}											{}											{}															{}											1						{}	{}										
1021094	1002	7	{}		100		她的眉毛拧成了一个结，看起来这个名字被拒绝了。	1	{}				{}					1021095-1021096-1021097		1			id_normal_4						{}											{}											{}															{}											1						{}	{}										
1021095	1002	7	{}		100		「那，丽钟呢？」	1	{}				{}					1021098		1									{}											{}											{}															{}										-5	1						{}	{}										
1021096	1002	7	{}		100		「或者叫十香？」	1	{}				{}					1021102		1									{}											{}											{}															{}										0	1						{}	{}										
1021097	1002	7	{}		100		「结！你的名字是结！」	1	{}				{}					1021098		1									{}											{}											{}															{}										-5	1						{}	{}										
1021098	1002	7	{}		100	无名少女	「虽然不知道是为什么，但我感觉好像是被狠狠地耍了一通。」	1	{}				{}					1021099		1			id_normal_4			101103	id_gas		{}											{}											{}															{}				1							1						{}	{}										
1021099	1002	7	{}		100	1	「抱歉……\n稍微等等，我再想一想吧。」	1	{}				{}					1021100		1									{}											{}											{}															{}											1						{}	{}										
1021100	1002	7	{}		100		我一边拼命的抑制心跳一边转着眼睛思考起来。	1	{}				{}					1021101		1			id_pose_11	1	id_look_3				{}											{}											{}															{}											1	1	1				{}	{}										
1021101	1002	7	{}		100	1	「十……十香？怎么样？」	1	{}				{}					1021102		1									{}											{}											{}															{}											1						{}	{}										
1021102	1002	7	{}		100		我小声地说出了这个名字，少女沉默了一阵之后勉强答应了。	1	{}				{}					1021103		1			id_favor1_5	1					{}											{}											{}															{}											1						{}	{}										
1021103	1002	7	{}		100	夜刀神十香	「哼，比之前的好一点。\n[十香]，以后就是我的名字了。」	1	{}				{}					1021104		1			id_normal_6	1					{}											{}											{}															{}				1		盔甲踏步					1						{}	{}										
1021104	1002	7	{}		100		我稍微移开视线挠着脸颊，怎么感觉些难为情呢。	1	{}				{}					1021105		1									{}											{}											{}															{}												1	1				{}	{}										
1021105	1002	7	{}		100	1	「十香。」	1	{}				{}					1021106		1									{}											{}											{}															{}												1	1				{}	{}										
1021106	1002	7	{}		100		我叫了她的新名字，十香满足地笑了起来。	1	{}				{}					1021107		1			id_pose_12	1	id_look_4	101103	id_heart		{}											{}											{}															{}												1	1				{}	{}										
1021107	1002	7	{}		100		说起来，这是我第一次见到十香的笑容。	1	{}				{}					1021108		1									{}	1.3										{}											{}															{}												1	1				{}	{}										
1021108	1002	7	{}		100			1	{}				{}					1021109				3							{}											{}											{}															{}												1	1				{}	{}										
1021109	1002	7	{}		100	五河琴里	「%s，快趴在地板上！」	1	{}				{}					1021110											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}	1	70															{}	{}										
1021110	1002	7	{}		100		1@@	1	{}				{}					1021111										2	{}											{}											{}		1.1-7-9-5-0.024	0										1.3	1	{"x":0,"y":96}												1	1				{}	{}										
1021111	1002	7	{}		100			1	{}				{}					1021112											{}											{}											{}													1.32		{}												1	1				{}	{}										
1021112	1002	7	{}		100		突然，剧烈的爆音和震动袭来。	1	{}				{}					1021113											{}											{}											{}		0.7-7-9-5-0.024	0												{}	sound/bgm/date_004.mp3	70				小型爆炸+砂石滚落						1	1				{}	{}										
1021113	1002	7	{}		100	1	「呜哇啊——！！这，这是什么啊！？」	1	{}				{}					1021114											{}											{}											{}		0.7-4-6-3-0.02	4												{}																	{}	{}										
1021114	1002	7	{}		100	五河琴里	「啧，是从外面发动的攻击……应该是想把校舍破坏掉，让精灵无处藏身。」	1	{}				{}					1021115											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021115	1002	7	{}		100	1	「哈啊？！怎么这么乱来啊！？」	1	{}				{}					1021116											{}											{}											{}															{}																	{}	{}										
1021116	1002	7	{}		100		1	1	{}				{}					1021117											{}											{}											{}															{}												1	1				{}	{}										
1021117	1002	7	{}		100			1	{}				{}					1021118											{}											{}											{}															{}												1	1				{}	{}		video/cg_main_shixianghuanghunjiaoshi.mp4								
1021118	1002	7	{}		100			1	{}				{}					1021119											{}											{}											{}										scene/bg/bg_jiaoshipohuai2.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}										
1021119	1002	7	{}		100	五河琴里	「机会来了哟，%s，精灵的[心情值]已经超过了七十了，趁机迈进一步吧！」	1	{}				{}					1021120											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021120	1002	7	{}		100	1	「迈进一步……是要怎么做？」	1	{}				{}					1021121											{}											{}											{}															{}																	{}	{}										
1021121	1002	7	{}		100	五河琴里	「试着邀请她去约会吧。」	1	{}				{}					1021122											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}											1						{}	{}										
1021122	1002	7	{}		100		虽然也明白“[约会]”对于之后的部署很重要，但还是稍微有点难为情。	1	{}				{}					1021123											{}											{}											{}															{}											1	1	1				{}	{}										
1021123	1002	7	{}		100		1	1	{}				{}					1021124											{}											{}											{}															{}											1	1	1				{}	{}										
1021124	1002	7	{}		100	1	「那个……十香。」	1	{}				{}					1021125		10101	3		id_pose_2		id_look_1			2	{}	1.3										{}											{}															{}	sound/bgm/date_003.mp3	70									1						{}	{}										
1021125	1002	7	{}		100	夜刀神十香	「什么？」	1	{}				{}					1021126-1021127-1021128		1									{}											{}											{}															{}				1						0	1						{}	{}										
1021126	1002	7	{}		100		「你要不要和我约会呢？」	1	{}				{}					1021129		1									{}											{}											{}															{}										0	1						{}	{}										
1021127	1002	7	{}		100		「拜托！和我约会吧！！」	1	{}				{}					1021129		1								2	{}											{}											{}															{}										0	1						{}	{}										
1021128	1002	7	{}		100		「那个，下次和我约会可以么？」	1	{}				{}					1021129		1									{}											{}											{}															{}						盔甲踏步					1						{}	{}										
1021129	1002	7	{}		100	夜刀神十香	「唔姆，约会是什么啊？」	1	{}				{}					1021130		1			id_favor1_2						{}											{}											{}															{}				1							1						{}	{}										
1021130	1002	7	{}		100	1	「哎？约会？\n约会就是………」	1	{}				{}					1021131		1									{}											{}											{}															{}												1	1				{}	{}										
1021131	1002	7	{}		100		不知为何有些难为情，我挠着脸颊躲开了视线。	1	{}				{}					1021132		1			id_normal_13						{}											{}											{}															{}												1	1				{}	{}										
1021132	1002	7	{}		100	五河琴里	「%s！AST的主力部队已经过去了，快逃！」	1	{}				{}					1021133		1									{}											{}											{}				effect/dianhua/dianhua	dianhua										{}																	{}	{}										
1021133	1002	7	{}		100		1	1	{}				{}					1021134				3							{}											{}											{}															{}												1	1				{}	{}										
1021134	1002	7	{}		100	1	「什么！？这么快！」	1	{}				{}																{}											{}											{}		0.7-4-6-3-0.02	4												{}	sound/bgm/date_004.mp3	70															{"fix":{"items":[{"id":500001,"min":60,"max":60},{"id":500005,"min":6,"max":6},{"id":500016,"min":5,"max":5},{"id":510207,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}										
2011001	2001	7	{}		100			1	{}				{}					2011002											{}											{}											{}										scene/bg/bg_black.png	1		1.3	-1	{}											 						{}	{}										
2011002	2001	7	{}		100		十香被封印后，以转学生的身份成了我的同班同学，生活暂时恢复了平静。	1	{}				{}					2011003											{}											{}											{}															{}					sound/EXA/place_001.mp3												{}	{}										
2011003	2001	7	{}		100			1	{}				{}					2011004											{}											{}											{}										scene/bg/bg_yutianshenshe.png	1		1.1	-1	{"x":-57,"y":0}												1	1				{}	{}										
2011004	2001	7	{}		100		现在的我，正被一场大雨困在路边。	1	{}				{}					2011005											{}											{}											{}													1.1	10	{"x":51,"y":0}																	{}	{}										
2011005	2001	7	{}		100	1	哎，只能先去神社里躲雨了。	1	{}				{}					2011006											{}											{}											{}															{}																	{}	{}										
2011006	2001	7	{}		100		1	1	{}				{}					2011007											{}											{}											{}													1.3	3	{"x":0,"y":0}												1	1				{}	{}										
2011007	2001	7	{}		100		嗯……？	1	{}				{}					2011008											{}											{}											{}															{}																	{}	{}										
2011008	2001	7	{}		100			1	{}				{}					2011009											{}											{}											{}										scene/bg/bg_black.png	1		1.3	-1	{}												1	1				{}	{}										
2011009	2001	7	{}		100		1	1	{}				{}					2011010											{}											{}											{}															{}												1	1				{}	{}		video/cg_main_sisinaishenmiao.mp4								
2011010	2001	7	{}		100			1	{}				{}					2011011											{}											{}											{}										scene/bg/bg_yutianshenshe.png	1		1.3	-1	{}												1	1				{}	{}										
2011011	2001	7	{}		100		少女接过玩偶后，戴在左手上，操控它的嘴巴一张一合动了起来。	1	{}				{}					2011012		10301	2		id1_tuzi					2	{}	1.2										{}											{}															{}	sound/bgm/date_013.mp3	70			1												{}	{}										
2011012	2001	7	{}		100	四糸奈	呀哈~成功了！谢谢了大哥哥。真是帮大忙了哟～	1	{}				{}					2011013-2011014-2011015	5	1			id1_tuzi	1		101103	id_heart		{}											{}											{}															{}																	{}	{}										
2011013	2001	7	{}		100	1	能帮助这么可爱的孩子，是我的荣幸呢。	1	{}				{}					2011016	1	1									{}											{}											{}															{}																	{}	{}										
2011014	2001	7	{}		100	1	只是刚好路过，你没事就好~	1	{}				{}					2011017	1	1									{}											{}											{}															{}																	{}	{}										
2011015	2001	7	{}		100	1	现在雨这么大，你快回家吧！	1	{}				{}					2011018	1	1									{}											{}											{}															{}																	{}	{}										
2011016	2001	7	{}		100	四糸奈	哈哈哈~！可爱吗？很有眼光啊，四糸奈当然是最可爱的啦！	1	{}				{}					2011017		1			id1_tuzi	1					{}											{}											{}															{}																	{}	{}										
2011017	2001	7	{}		100	四糸奈	不过没关系、没关系的哦，四糸奈没有摔伤。	1	{}				{}					2011018		1									{}											{}											{}															{}				4													{}	{}										
2011018	2001	7	{}		100		玩偶摇摆身体，用奇怪的嗓音发出笑声。	1	{}				{}					2011019		1									{}											{}											{}															{}																	{}	{}										
2011019	2001	7	{}		100	四糸奈	我说，小哥啊～在扶起来的时候，好像摸了四糸奈身体许多部位啊。	1	{}				{}					2011020		1			id1_tuzi	1					{}	1.4										{}											{}															{}																	{}	{}										
2011020	2001	7	{}		100	四糸奈	老实说，感觉怎——么——样——呢？	1	{}				{}					2011021		1									{}											{}											{}															{}				4													{}	{}										
2011021	2001	7	{}		100	1	哎？	1	{}				{}					2011022		1									{}											{}											{}		0.1-7-9-5-0.024	4												{}																	{}	{}										
2011022	2001	7	{}		100	四糸奈	别装糊涂啊，你这幸运色狼！嘛~毕竟还是帮了一点小忙呢，这点福利就算送你的吧~	1	{}				{}					2011023		1			id1_tuzi	1		101103	id_sun		{}											{}											{}															{}																	{}	{}										
2011023	2001	7	{}		100	1	啊？嗯……这样的吗！？	1	{}				{}					2011024		1									{}											{}											{}															{}																	{}	{}										
2011024	2001	7	{}		100	四糸奈	再见，Mr.谢谢了。	1	{}				{}					2011025		1			id1_tuzi						{}											{}											{}															{}				4													{}	{}										
2011025	2001	7	{}		100	1	再见……不过，雨这么大，还是要赶快回家才行哦！	1	{}				{}					2011026		1									{}											{}											{}															{}																	{}	{}										
2011026	2001	7	{}		100		1	1	{}				{}					2011027				2							{}											{}											{}															{}												1	1				{}	{}										
2011027	2001	7	{}		100		叮嘱着少女的我，衣服也已经湿透了，也得先回家换身衣服才行。	1	{}				{}					2011028											{}											{}											{}															{}	1	70															{}	{}										
2011028	2001	7	{}		100			1	{}				{}					2011029											{}											{}											{}										scene/bg/bg_keting.png	1		1.3	-1	{}												1	1				{}	{}										
2011029	2001	7	{}		100	1	我回来——	1	{}				{}					2011030											{}											{}											{}															{}	sound/bgm/date_008.mp3	70															{}	{}										
2011030	2001	7	{}		100	1	哈……哎？十香？！你为什么会在我家啊？？	1	{}				{}					2011031		10104	2		id_favor2					2	{}	1.2										{}											{}		1.2-7-9-5-0.024	4												{}						震惊											{}	{}										
2011031	2001	7	{}		100	夜刀神十香	唔~琴里没有告诉你吗？好像……要进行什么训练的样子。总之，要我暂时居住在这里。	1	{}				{}					2011032		1			normal_12	1	id_look_1				{}											{}											{}															{}				1													{}	{}										
2011032	2001	7	{}		100	1	诶？……住在这儿？训练？琴里？	1	{}				{}					2011033		1									{}											{}											{}															{}																	{}	{}										
2011033	2001	7	{}		100		1	1	{}				{}					2011034				2							{}											{}											{}															{}												1	1				{}	{}										
2011034	2001	7	{}		100	五河琴里	笨蛋老哥！	1	{}				{}					2011035		10504	4		id_pose_1		id_look_4			2	{}	1.2										{}											{}															{}				1													{}	{}										
2011035	2001	7	{}		100	五河琴里	精灵可不止一个哦！你要继续完成和精灵对话的任务，当然要继续训练。	1	{}				{}					2011036		1									{}											{}											{}															{}				1													{}	{}										
2011036	2001	7	{}		100	1	等等，别开玩笑了！	1	{}				{}					2011037		1									{}											{}											{}															{}																	{}	{}										
2011037	2001	7	{}		100	五河琴里	嗯哼？怎么？不想干了吗？	1	{}				{}					2011038-2011039-2011040	5	1			id_pose_7	1	id_look_11				{}											{}											{}															{}				1													{}	{}										
2011038	2001	7	{}		100	1	没有那种事！我会继续努力的！	1	{}				{}					2011049	1	1									{}											{}											{}															{}																	{}	{}										
2011039	2001	7	{}		100	1	喂喂……别当我是种马啊！	1	{}				{}					2011041	1	1									{}											{}											{}															{}																	{}	{}										
2011040	2001	7	{}		100	1	我现在放弃还来得及吗……	1	{}				{}					2011041	1	1									{}											{}											{}															{}																	{}	{}										
2011041	2001	7	{}		100	五河琴里	啊啊，那你就乖乖闭上嘴，然后眼看着这个世界因为空间震变得破破烂烂的吧。	1	{}				{}					2011042		1			id_favor1_1		id_look_11				{}											{}											{}															{}				1													{}	{}										
2011042	2001	7	{}		100	五河琴里	或者呢，是等待精灵被AST杀掉……到底会迎来哪一种结局呢？	1	{}				{}					2011043		1			id_pose_1	1	id_look_1				{}											{}											{}															{}				1													{}	{}										
2011043	2001	7	{}		100	五河琴里	封印精灵——这种破格的能力，在世上就只有你一人拥有。	1	{}				{}					2011044		1			id_pose_1	1	id_look_9				{}											{}											{}															{}				1													{}	{}										
2011044	2001	7	{}		100	五河琴里	你如果不想做的话，那就已经……什——么办法都没有了哦？	1	{}				{}					2011045		1			id_pose_2	1	id_look_10				{}											{}											{}															{}				1													{}	{}										
2011045	2001	7	{}		100	1	怎么……这样……	1	{}				{}					2011046		1									{}											{}											{}															{}	1	70															{}	{}										
2011046	2001	7	{}		100		1	1	{}				{}					2011047				2							{}											{}											{}															{}												1	1				{}	{}										
2011047	2001	7	{}		100			1	{}				{}					2011048											{}											{}											{}										scene/bg/bg_black.png	2		1.5	-1	{"x":0,"y":0}												1	1				{}	{}										
2011048	2001	7	{}		100			1	{}				{}					2011049											{}											{}											{}										scene/bg/bg_keting.png	1		1.5	1	{"x":85,"y":0}												1	1				{}	{}										
2011049	2001	7	{}		100		琴里的话让我的脑海处于混乱状态，到底还有多少精灵需要我拯救啊……这种事，要一直继续下去吗……	1	{}				{}					2011050											{}											{}											{}															{}																	{}	{}										
2011050	2001	7	{}		100		街道上突然响起了空间震警报声。	1	{}				{}					2011051											{}											{}											{}															{}					空间震警报												{}	{}										
2011051	2001	7	{}		100	五河琴里	别废话了，空间震来了，快跟我回Fraxinus！	1	{}				{}					2011052		10505	2		id_pose_8		id_look_10			2	{}	1.2										{}											{}															{}				1	1												{}	{}										
2011052	2001	7	{}		100		1	1	{}				{}					2011053				2							{}											{}											{}															{}												1	1				{}	{}										
2011053	2001	7	{}		100			1	{}				{}																{}											{}											{}															{}												1	1				{"fix":{"items":[{"id":500001,"min":60,"max":60},{"id":500005,"min":6,"max":6},{"id":500016,"min":5,"max":5},{"id":510207,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}		video/cg_main_zhuishasisinai.mp4								
																																																																																														
2021001	2002	7	{}		100			1	{}				{}					2021002											{}											{}											{}										scene/bg/bg_shangchang.png	1	2	1.3	-1	{}	sound/bgm/date_012.mp3	70										1	1				{}	{}										
2021002	2002	7	{}		100		为了拯救被AST追杀的「隐居者」，我按照琴里的指示来到商场。	1	{}				{}					2021003											{}											{}											{}												2	1.3	10	{"x":170,"y":0}																	{}	{}										
2021003	2002	7	{}		100	五河琴里	检测到精灵的反应就在你附近，做好准备准备开始初次接触吧。	1	{}				{}					2021004											{}											{}											{}				effect/dianhua/dianhua	dianhua							2			{}																	{}	{}										
2021004	2002	7	{}		100	1	哈啊……哈啊……嗯……！我已经看到她了」	1	{}				{}					2021005											{}											{}											{}										scene/bg/bg_shangchang.png	1	2	1.5	-1	{"x":0,"y":0}																	{}	{}										
2021005	2002	7	{}		100	四糸奈	你也是来欺负四糸奈的吗？不可以哟～咦？	1	{}				{}					2021006		10301	2		id1_tuzi					2	{}	1.2										{}											{}												2			{}	sound/bgm/shop_001.mp3	70															{}	{}										
2021006	2002	7	{}		100	四糸奈	哎呀呀？还以为是谁呢，这不就是那位幸运色狼大哥哥嘛~	1	{}				{}					2021007-2021008-2021009	5	1						101103	id_heart		{}											{}											{}												2			{}				4													{}	{}										
2021007	2002	7	{}		100	1	哈、哈哈哈，好久不见，身体还好吗？	1	{}				{}					2021010	1	1									{}											{}											{}												2			{}																	{}	{}										
2021008	2002	7	{}		100	1	……幸运色狼算什么啊？！	1	{}				{}					2021012	1	1									{}											{}											{}												2			{}																	{}	{}										
2021009	2002	7	{}		100	1	你我从未相识，在下仅一介路人而已。	1	{}				{}					2021013	1	1									{}											{}											{}												2			{}																	{}	{}										
2021010	2002	7	{}		100	四糸奈	我们不久之前才见过呢~在神社外面，大哥哥还记得吗？	1	{}				{}					2021011		1			id1_tuzi						{}											{}											{}												2			{}																	{}	{}										
2021011	2002	7	{}		100	1	这么可爱的女孩子……我当然会记得啊！	1	{}				{}					2021016		1									{}											{}											{}												2			{}																	{}	{}										
2021012	2002	7	{}		100	1	能、能够遇见你这么可爱的女孩子，我……确实很幸运啊！	1	{}				{}					2021016		1									{}											{}											{}												2			{}																	{}	{}										
2021013	2002	7	{}		100		我仰着头、伸手拨弄着头发，我装模作样地和她进行对话。	1	{}				{}					2021014		1									{}											{}											{}												2			{}																	{}	{}										
2021014	2002	7	{}		100	四糸奈	啊哈哈哈，大哥哥，还真是意外地搞笑呢？不、过~现在已经不流行这个了哦~	1	{}				{}					2021015		1			id1_tuzi	1					{}											{}											{}												2			{}																	{}	{}										
