id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述
102124	124	2	3000370-3000371-3000372	124	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641024	{500001:6000,500002:30,570005:6}	300842	300852	300862
102125	125	2	3000373-3000374	125	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641025	{500001:6000,500002:30,570005:6}	300842	300852	300862
102126	126	2	3000376-3000377-3000378	126	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641026	{500001:6000,500002:30,570005:6}	300842	300852	300862
102127	127	2	3000379-3000380	127	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641027	{500001:6000,500002:30,570005:6}	300842	300852	300862
102128	128	2	3000382-3000383-3000384	128	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641028	{500001:6000,500002:30,570005:6}	300842	300852	300862
102129	129	2	3000385-3000386	129	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641029	{500001:6000,500002:30,570005:6}	300842	300852	300862
102130	130	2	3000388	130	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40005,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641030	{500001:6000,500002:30,570005:6}	300842	300852	300862
102131	131	2	3000391-3000392-3000393	131	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641031	{500001:8000,500002:40,570005:8}	300842	300852	300862
102132	132	2	3000394-3000395-3000396	132	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641032	{500001:8000,500002:40,570005:8}	300842	300852	300862
102133	133	2	3000397-3000398	133	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641033	{500001:8000,500002:40,570005:8}	300842	300852	300862
102134	134	2	3000400-3000401	134	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641034	{500001:8000,500002:40,570005:8}	300842	300852	300862
102135	135	2	3000403-3000404-3000405	135	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641035	{500001:8000,500002:40,570005:8}	300842	300852	300862
102136	136	2	3000406-3000407	136	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641036	{500001:8000,500002:40,570005:8}	300842	300852	300862
102137	137	2	3000409-3000410-3000411	137	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641037	{500001:8000,500002:40,570005:8}	300842	300852	300862
102138	138	2	3000412-3000413-3000414	138	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641038	{500001:8000,500002:40,570005:8}	300842	300852	300862
102139	139	2	3000415-3000416	139	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641039	{500001:8000,500002:40,570005:8}	300842	300852	300862
102140	140	2	3000418	140	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40006,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641040	{500001:8000,500002:40,570005:8}	300842	300852	300862
102141	141	2	3000421-3000422-3000423	141	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641041	{500001:10000,500002:50,570005:10}	300842	300852	300862
102142	142	2	3000424-3000425	142	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641042	{500001:10000,500002:50,570005:10}	300842	300852	300862
102143	143	2	3000427-3000428	143	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641043	{500001:10000,500002:50,570005:10}	300842	300852	300862
102144	144	2	3000430-3000431-3000432	144	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641044	{500001:10000,500002:50,570005:10}	300842	300852	300862
102145	145	2	3000433-3000434	145	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641045	{500001:10000,500002:50,570005:10}	300842	300852	300862
102146	146	2	3000436-3000437-3000438	146	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641046	{500001:10000,500002:50,570005:10}	300842	300852	300862
102147	147	2	3000439-3000440	147	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641047	{500001:10000,500002:50,570005:10}	300842	300852	300862
102148	148	2	3000442-3000443-3000444	148	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641048	{500001:10000,500002:50,570005:10}	300842	300852	300862
102149	149	2	3000445-3000446	149	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641049	{500001:10000,500002:50,570005:10}	300842	300852	300862
102150	150	2	3000448	150	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40007,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641050	{500001:10000,500002:50,570005:10}	300842	300852	300862
102151	151	2	3000451-3000452-3000453	151	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641051	{500001:12000,500002:60,570005:12}	300842	300852	300862
102152	152	2	3000454-3000455-3000456	152	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641052	{500001:12000,500002:60,570005:12}	300842	300852	300862
102153	153	2	3000457-3000458	153	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641053	{500001:12000,500002:60,570005:12}	300842	300852	300862
102154	154	2	3000460-3000461-3000462	154	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641054	{500001:12000,500002:60,570005:12}	300842	300852	300862
102155	155	2	3000463-3000464	155	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641055	{500001:12000,500002:60,570005:12}	300842	300852	300862
102156	156	2	3000466-3000467-3000468	156	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641056	{500001:12000,500002:60,570005:12}	300842	300852	300862
102157	157	2	3000469-3000470	157	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641057	{500001:12000,500002:60,570005:12}	300842	300852	300862
102158	158	2	3000472-3000473-3000474	158	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641058	{500001:12000,500002:60,570005:12}	300842	300852	300862
102159	159	2	3000475-3000476	159	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641059	{500001:12000,500002:60,570005:12}	300842	300852	300862
102160	160	2	3000478	160	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40008,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641060	{500001:12000,500002:60,570005:12}	300842	300852	300862
102161	161	2	3000481-3000482	161	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641061	{500001:14000,500002:70,570005:14}	300842	300852	300862
102162	162	2	3000484-3000485-3000486	162	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641062	{500001:14000,500002:70,570005:14}	300842	300852	300862
102163	163	2	3000487-3000488	163	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641063	{500001:14000,500002:70,570005:14}	300842	300852	300862
102164	164	2	3000490-3000491-3000492	164	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641064	{500001:14000,500002:70,570005:14}	300842	300852	300862
102165	165	2	3000493-3000494-3000495	165	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641065	{500001:14000,500002:70,570005:14}	300842	300852	300862
102166	166	2	3000496-3000497	166	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641066	{500001:14000,500002:70,570005:14}	300842	300852	300862
102167	167	2	3000499-3000500	167	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641067	{500001:14000,500002:70,570005:14}	300842	300852	300862
102168	168	2	3000502-3000503-3000504	168	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641068	{500001:14000,500002:70,570005:14}	300842	300852	300862
102169	169	2	3000505-3000506	169	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641069	{500001:14000,500002:70,570005:14}	300842	300852	300862
102170	170	2	3000508	170	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40009,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641070	{500001:14000,500002:70,570005:14}	300842	300852	300862
102171	171	2	3000511-3000512-3000513	171	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641071	{500001:16000,500002:80,570005:16}	300842	300852	300862
102172	172	2	3000514-3000515-3000516	172	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641072	{500001:16000,500002:80,570005:16}	300842	300852	300862
102173	173	2	3000517-3000518	173	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641073	{500001:16000,500002:80,570005:16}	300842	300852	300862
102174	174	2	3000520-3000521	174	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641074	{500001:16000,500002:80,570005:16}	300842	300852	300862
102175	175	2	3000523-3000524-3000525	175	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641075	{500001:16000,500002:80,570005:16}	300842	300852	300862
102176	176	2	3000526-3000527	176	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641076	{500001:16000,500002:80,570005:16}	300842	300852	300862
102177	177	2	3000529-3000530-3000531	177	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641077	{500001:16000,500002:80,570005:16}	300842	300852	300862
102178	178	2	3000532-3000533	178	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641078	{500001:16000,500002:80,570005:16}	300842	300852	300862
102179	179	2	3000535-3000536	179	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641079	{500001:16000,500002:80,570005:16}	300842	300852	300862
102180	180	2	3000538	180	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40010,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641080	{500001:16000,500002:80,570005:16}	300842	300852	300862
102181	181	2	3000541-3000542-3000543	181	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641081	{500001:18000,500002:90,570005:18}	300842	300852	300862
102182	182	2	3000544-3000545-3000546	182	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641082	{500001:18000,500002:90,570005:18}	300842	300852	300862
102183	183	2	3000547-3000548	183	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641083	{500001:18000,500002:90,570005:18}	300842	300852	300862
102184	184	2	3000550-3000551-3000552	184	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641084	{500001:18000,500002:90,570005:18}	300842	300852	300862
102185	185	2	3000553-3000554	185	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641085	{500001:18000,500002:90,570005:18}	300842	300852	300862
102186	186	2	3000556-3000557-3000558	186	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641086	{500001:18000,500002:90,570005:18}	300842	300852	300862
102187	187	2	3000559-3000560	187	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641087	{500001:18000,500002:90,570005:18}	300842	300852	300862
102188	188	2	3000562-3000563-3000564	188	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641088	{500001:18000,500002:90,570005:18}	300842	300852	300862
102189	189	2	3000565-3000566	189	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641089	{500001:18000,500002:90,570005:18}	300842	300852	300862
102190	190	2	3000568	190	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40010,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641090	{500001:18000,500002:90,570005:18}	300842	300852	300862
102191	191	2	3000571-3000572-3000573	191	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641091	{500001:20000,500002:100,570005:20}	300842	300852	300862
102192	192	2	3000574-3000575-3000576	192	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641092	{500001:20000,500002:100,570005:20}	300842	300852	300862
102193	193	2	3000577-3000578	193	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641093	{500001:20000,500002:100,570005:20}	300842	300852	300862
102194	194	2	3000580-3000581-3000582	194	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641094	{500001:20000,500002:100,570005:20}	300842	300852	300862
102195	195	2	3000583-3000584-3000585	195	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641095	{500001:20000,500002:100,570005:20}	300842	300852	300862
102196	196	2	3000586-3000587	196	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641096	{500001:20000,500002:100,570005:20}	300842	300852	300862
102197	197	2	3000589-3000590-3000591	197	1	2	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641097	{500001:20000,500002:100,570005:20}	300842	300852	300862
102198	198	2	3000592-3000593-3000594	198	1	3	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641098	{500001:20000,500002:100,570005:20}	300842	300852	300862
102199	199	2	3000595-3000596	199	1	4	13-16	4_wujin_DEM002	101001	180		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641099	{500001:20000,500002:100,570005:20}	300842	300852	300862
102200	200	2	3000598	200	2	1	12	Zudui_01	101001	180	270	8106	3	300906	4	[[40010,1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641100	{500001:20000,500002:100,570005:20}	300842	300852	300862
																										
																										
																										
103001	1	3	3000001-3000002	1	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641001	{500001:2000,500002:10,570005:2}	300843	300853	300863
103002	2	3	3000004-3000005-3000006	2	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641002	{500001:2000,500002:10,570005:2}	300843	300853	300863
103003	3	3	3000007-3000008	3	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641003	{500001:2000,500002:10,570005:2}	300843	300853	300863
103004	4	3	3000010-3000011-3000012	4	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641004	{500001:2000,500002:10,570005:2}	300843	300853	300863
103005	5	3	3000013-3000014-3000015	5	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641005	{500001:2000,500002:10,570005:2}	300843	300853	300863
103006	6	3	3000016-3000017	6	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641006	{500001:2000,500002:10,570005:2}	300843	300853	300863
103007	7	3	3000019-3000020-3000021	7	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641007	{500001:2000,500002:10,570005:2}	300843	300853	300863
103008	8	3	3000022-3000023	8	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641008	{500001:2000,500002:10,570005:2}	300843	300853	300863
103009	9	3	3000025-3000026-3000027	9	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641009	{500001:2000,500002:10,570005:2}	300843	300853	300863
103010	10	3	4000001	10	2	1	12	Zudui_01	101001	180	270	8103	3	300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641010	{500001:2000,500002:10,570005:2}	300843	300853	300863
103011	11	3	3000031-3000032-3000033	11	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641011	{500001:4000,500002:20,570005:4}	300843	300853	300863
103012	12	3	3000034-3000035-3000036	12	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641012	{500001:4000,500002:20,570005:4}	300843	300853	300863
103013	13	3	3000037-3000038	13	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641013	{500001:4000,500002:20,570005:4}	300843	300853	300863
103014	14	3	3000040-3000041-3000042	14	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641014	{500001:4000,500002:20,570005:4}	300843	300853	300863
103015	15	3	3000043-3000044	15	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641015	{500001:4000,500002:20,570005:4}	300843	300853	300863
103016	16	3	3000046-3000047-3000048	16	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641016	{500001:4000,500002:20,570005:4}	300843	300853	300863
103017	17	3	3000049-3000050	17	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641017	{500001:4000,500002:20,570005:4}	300843	300853	300863
103018	18	3	3000052-3000053-3000054	18	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641018	{500001:4000,500002:20,570005:4}	300843	300853	300863
103019	19	3	3000055-3000056	19	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641019	{500001:4000,500002:20,570005:4}	300843	300853	300863
103020	20	3	4000001	20	2	1	12	Zudui_01	101001	180	270	8103	3	300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641020	{500001:4000,500002:20,570005:4}	300843	300853	300863
103021	21	3	3000061-3000062-3000063	21	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641021	{500001:6000,500002:30,570005:6}	300843	300853	300863
103022	22	3	3000064-3000065	22	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641022	{500001:6000,500002:30,570005:6}	300843	300853	300863
103023	23	3	3000067-3000068-3000069	23	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641023	{500001:6000,500002:30,570005:6}	300843	300853	300863
103024	24	3	3000070-3000071-3000072	24	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641024	{500001:6000,500002:30,570005:6}	300843	300853	300863
103025	25	3	3000073-3000074	25	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641025	{500001:6000,500002:30,570005:6}	300843	300853	300863
103026	26	3	3000076-3000077-3000078	26	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641026	{500001:6000,500002:30,570005:6}	300843	300853	300863
103027	27	3	3000079-3000080	27	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641027	{500001:6000,500002:30,570005:6}	300843	300853	300863
103028	28	3	3000082-3000083-3000084	28	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641028	{500001:6000,500002:30,570005:6}	300843	300853	300863
103029	29	3	3000085-3000086	29	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641029	{500001:6000,500002:30,570005:6}	300843	300853	300863
103030	30	3	4000001	30	2	1	12	Zudui_01	101001	180	270	8103	3	300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641030	{500001:6000,500002:30,570005:6}	300843	300853	300863
103031	31	3	3000091-3000092-3000093	31	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641031	{500001:8000,500002:40,570005:8}	300843	300853	300863
103032	32	3	3000094-3000095-3000096	32	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641032	{500001:8000,500002:40,570005:8}	300843	300853	300863
103033	33	3	3000097-3000098	33	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641033	{500001:8000,500002:40,570005:8}	300843	300853	300863
103034	34	3	3000100-3000101	34	1	3	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641034	{500001:8000,500002:40,570005:8}	300843	300853	300863
103035	35	3	3000103-3000104-3000105	35	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641035	{500001:8000,500002:40,570005:8}	300843	300853	300863
103036	36	3	3000106-3000107	36	1	4	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641036	{500001:8000,500002:40,570005:8}	300843	300853	300863
103037	37	3	3000109-3000110-3000111	37	1	2	13-16	4_wujin_DEM002	101001	180		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	641037	{500001:8000,500002:40,570005:8}	300843	300853	300863
