怪物类型	名称	怪物基础属性	成长属性
27007	【无尽】精英怪近战缓慢	{1:131250,2:840,3:450,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:32812,2:210,3:112,505:5,506:4,507:6,508:6,6:0,11:0}
27008	【无尽】精英怪近战敏捷	{1:87500,2:630,3:315,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:21875,2:157,3:78,505:6,506:7,507:7,508:4,6:0,11:0}
27009	【无尽】精英怪近战逃跑	{1:201250,2:700,3:45,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:50312,2:175,3:11,505:6,506:6,507:6,508:0,6:0,11:0}
28001	【无尽】boss怪近战防御	{1:182000,2:735,3:600,505:10000,506:1000,507:1500,508:550,6:10000,11:18000,516:0}	{1:45500,2:183,3:150,505:8,506:8,507:8,508:8,6:0,11:0}
28002	【无尽】boss怪近战爆发	{1:112000,2:1470,3:480,505:10000,506:1000,507:1650,508:450,6:10000,11:20000,516:0,15:112000}	{1:28000,2:366,3:120,505:8,506:8,507:8,508:7,6:0,11:0}
28003	【无尽】boss怪近战平衡	{1:140000,2:1050,3:600,505:10000,506:1000,507:1500,508:500,6:10000,11:20000,516:0}	{1:35000,2:262,3:150,505:8,506:8,507:8,508:8,6:0,11:0}
28004	【无尽】boss怪远程爆发	{1:112000,2:1470,3:480,505:10000,506:1000,507:1575,508:500,6:10000,11:19000,516:0}	{1:28000,2:366,3:120,505:8,506:8,507:8,508:8,6:0,11:0}
28005	【无尽】boss怪远程平衡	{1:154000,2:1155,3:480,505:10000,506:1050,507:1500,508:500,6:10000,11:19000,516:0}	{1:38500,2:288,3:120,505:8,506:8,507:8,508:8,6:0,11:0}
28006	【无尽】boss怪远程风筝	{1:168000,2:1050,3:480,505:9500,506:1150,507:1350,508:450,6:10000,11:22000,516:0}	{1:42000,2:262,3:120,505:7,506:9,507:7,508:7,6:0,11:0}
28007	【无尽】boss怪近战缓慢	{1:210000,2:1260,3:600,505:9000,506:800,507:1500,508:500,6:10000,11:12000,516:0}	{1:52500,2:314,3:150,505:7,506:6,507:8,508:8,6:0,11:0}
28008	【无尽】boss怪近战敏捷	{1:140000,2:945,3:420,505:11000,506:1200,507:1800,508:400,6:10000,11:22000,516:0}	{1:35000,2:235,3:105,505:8,506:9,507:9,508:6,6:0,11:0}
28009	【无尽】boss怪近战逃跑	{1:322000,2:1050,3:60,505:10000,506:1000,507:1500,508:50,6:10000,11:30000,516:0}	{1:80500,2:262,3:15,505:8,506:8,507:8,508:0,6:0,11:0}
41001	【联机】普通怪近战防御	{1:130000,2:140,3:75,505:10000,506:1000,507:1500,508:550,6:10000,11:21600,516:0}	{1:32500,2:35,3:18,505:5,506:2,507:5,508:2,6:0,11:0}
41002	【联机】普通怪近战爆发	{1:80000,2:280,3:60,505:10000,506:1000,507:1650,508:450,6:10000,11:24000,516:0}	{1:20000,2:70,3:14,505:5,506:2,507:5,508:1,6:0,11:0}
41003	【联机】普通怪近战平衡	{1:100000,2:200,3:75,505:10000,506:1000,507:1500,508:500,6:10000,11:24000,516:0}	{1:25000,2:50,3:18,505:5,506:2,507:5,508:2,6:0,11:0}
41004	【联机】普通怪远程爆发	{1:80000,2:280,3:60,505:10000,506:1000,507:1575,508:500,6:10000,11:22800,516:0}	{1:20000,2:70,3:14,505:5,506:2,507:5,508:2,6:0,11:0}
41005	【联机】普通怪远程平衡	{1:110000,2:220,3:60,505:10000,506:1050,507:1500,508:500,6:10000,11:22800,516:0}	{1:27500,2:55,3:14,505:5,506:2,507:5,508:2,6:0,11:0}
41006	【联机】普通怪远程风筝	{1:120000,2:200,3:60,505:9500,506:1150,507:1350,508:450,6:10000,11:26400,516:0}	{1:30000,2:50,3:14,505:4,506:2,507:4,508:1,6:0,11:0}
41007	【联机】普通怪近战缓慢	{1:150000,2:240,3:75,505:9000,506:800,507:1500,508:500,6:10000,11:14400,516:0}	{1:37500,2:60,3:18,505:4,506:1,507:5,508:2,6:0,11:0}
41008	【联机】普通怪近战敏捷	{1:100000,2:180,3:52,505:11000,506:1200,507:1800,508:400,6:10000,11:26400,516:0}	{1:25000,2:45,3:12,505:5,506:2,507:6,508:1,6:0,11:0}
41009	【联机】普通怪近战逃跑	{1:230000,2:200,3:7,505:10000,506:1000,507:1500,508:50,6:10000,11:36000,516:0}	{1:57500,2:50,3:1,505:5,506:2,507:5,508:0,6:0,11:0}
42001	【联机】高级怪近战防御	{1:195000,2:210,3:150,505:10000,506:1000,507:1500,508:550,6:10000,11:21600,516:0}	{1:48750,2:52,3:37,505:6,506:2,507:6,508:2,6:0,11:0}
42002	【联机】高级怪近战爆发	{1:120000,2:420,3:120,505:10000,506:1000,507:1650,508:450,6:10000,11:24000,516:0}	{1:30000,2:105,3:29,505:6,506:2,507:6,508:2,6:0,11:0}
42003	【联机】高级怪近战平衡	{1:150000,2:300,3:150,505:10000,506:1000,507:1500,508:500,6:10000,11:24000,516:0}	{1:37500,2:75,3:37,505:6,506:2,507:6,508:2,6:0,11:0}
42004	【联机】高级怪远程爆发	{1:120000,2:420,3:120,505:10000,506:1000,507:1575,508:500,6:10000,11:22800,516:0}	{1:30000,2:105,3:29,505:6,506:2,507:6,508:2,6:0,11:0}
42005	【联机】高级怪远程平衡	{1:165000,2:330,3:120,505:10000,506:1050,507:1500,508:500,6:10000,11:22800,516:0}	{1:41250,2:82,3:29,505:6,506:2,507:6,508:2,6:0,11:0}
42006	【联机】高级怪远程风筝	{1:180000,2:300,3:120,505:9500,506:1150,507:1350,508:450,6:10000,11:26400,516:0}	{1:45000,2:75,3:29,505:5,506:2,507:5,508:2,6:0,11:0}
42007	【联机】高级怪近战缓慢	{1:225000,2:360,3:150,505:9000,506:800,507:1500,508:500,6:10000,11:14400,516:0}	{1:56250,2:90,3:37,505:5,506:1,507:6,508:2,6:0,11:0}
42008	【联机】高级怪近战敏捷	{1:150000,2:270,3:105,505:11000,506:1200,507:1800,508:400,6:10000,11:26400,516:0}	{1:37500,2:67,3:25,505:6,506:2,507:7,508:1,6:0,11:0}
42009	【联机】高级怪近战逃跑	{1:345000,2:300,3:15,505:10000,506:1000,507:1500,508:50,6:10000,11:36000,516:0}	{1:86250,2:75,3:3,505:6,506:2,507:6,508:0,6:0,11:0}
43001	【联机】精英怪近战防御	{1:325000,2:280,3:225,505:10000,506:1000,507:1500,508:550,6:10000,11:21600,516:0}	{1:81250,2:70,3:56,505:7,506:3,507:7,508:3,6:0,11:0}
43002	【联机】精英怪近战爆发	{1:200000,2:560,3:180,505:10000,506:1000,507:1650,508:450,6:10000,11:24000,516:0}	{1:50000,2:140,3:44,505:7,506:3,507:8,508:2,6:0,11:0}
43003	【联机】精英怪近战平衡	{1:250000,2:400,3:225,505:10000,506:1000,507:1500,508:500,6:10000,11:24000,516:0}	{1:62500,2:100,3:56,505:7,506:3,507:7,508:3,6:0,11:0}
43004	【联机】精英怪远程爆发	{1:200000,2:560,3:180,505:10000,506:1000,507:1575,508:500,6:10000,11:22800,516:0}	{1:50000,2:140,3:44,505:7,506:3,507:7,508:3,6:0,11:0}
43005	【联机】精英怪远程平衡	{1:275000,2:440,3:180,505:10000,506:1050,507:1500,508:500,6:10000,11:22800,516:0}	{1:68750,2:110,3:44,505:7,506:3,507:7,508:3,6:0,11:0}
43006	【联机】精英怪远程风筝	{1:300000,2:400,3:180,505:9500,506:1150,507:1350,508:450,6:10000,11:26400,516:0}	{1:75000,2:100,3:44,505:7,506:3,507:6,508:2,6:0,11:0}
43007	【联机】精英怪近战缓慢	{1:375000,2:480,3:225,505:9000,506:800,507:1500,508:500,6:10000,11:14400,516:0}	{1:93750,2:120,3:56,505:6,506:2,507:7,508:3,6:0,11:0}
43008	【联机】精英怪近战敏捷	{1:250000,2:360,3:157,505:11000,506:1200,507:1800,508:400,6:10000,11:26400,516:0}	{1:62500,2:90,3:39,505:8,506:3,507:9,508:2,6:0,11:0}
43009	【联机】精英怪近战逃跑	{1:575000,2:400,3:22,505:10000,506:1000,507:1500,508:50,6:10000,11:36000,516:0}	{1:143750,2:100,3:5,505:7,506:3,507:7,508:0,6:0,11:0}
44001	【联机】boss怪近战防御	{1:650000,2:350,3:300,505:10000,506:1000,507:1500,508:550,6:10000,11:21600,516:0}	{1:162500,2:87,3:75,505:10,506:4,507:10,508:4,6:0,11:0}
44002	【联机】boss怪近战爆发	{1:400000,2:700,3:240,505:10000,506:1000,507:1650,508:450,6:10000,11:24000,516:0}	{1:100000,2:175,3:60,505:10,506:4,507:11,508:3,6:0,11:0}
44003	【联机】boss怪近战平衡	{1:500000,2:500,3:300,505:10000,506:1000,507:1500,508:500,6:10000,11:24000,516:0}	{1:125000,2:125,3:75,505:10,506:4,507:10,508:4,6:0,11:0}
44004	【联机】boss怪远程爆发	{1:400000,2:700,3:240,505:10000,506:1000,507:1575,508:500,6:10000,11:22800,516:0}	{1:100000,2:175,3:60,505:10,506:4,507:10,508:4,6:0,11:0}
44005	【联机】boss怪远程平衡	{1:550000,2:550,3:240,505:10000,506:1050,507:1500,508:500,6:10000,11:22800,516:0}	{1:137500,2:137,3:60,505:10,506:4,507:10,508:4,6:0,11:0}
44006	【联机】boss怪远程风筝	{1:600000,2:500,3:240,505:9500,506:1150,507:1350,508:450,6:10000,11:26400,516:0}	{1:150000,2:125,3:60,505:9,506:4,507:9,508:3,6:0,11:0}
44007	【联机】boss怪近战缓慢	{1:750000,2:600,3:300,505:9000,506:800,507:1500,508:500,6:10000,11:14400,516:0}	{1:187500,2:150,3:75,505:9,506:3,507:10,508:4,6:0,11:0}
44008	【联机】boss怪近战敏捷	{1:500000,2:450,3:210,505:11000,506:1200,507:1800,508:400,6:10000,11:26400,516:0}	{1:125000,2:112,3:52,505:11,506:4,507:12,508:3,6:0,11:0}
44009	【联机】boss怪近战逃跑	{1:1150000,2:500,3:30,505:10000,506:1000,507:1500,508:50,6:10000,11:36000,516:0}	{1:287500,2:125,3:7,505:10,506:4,507:10,508:0,6:0,11:0}
5001	boss机械猩猩	{1:195000,2:1050,3:600,505:9000,506:0,507:500,508:0,6:9000,11:12000,516:0}	{1:48750,2:262,3:150,505:10,506:11,507:10,508:11,6:0,11:0}
5002	机械BOSS5号	{1:195000,2:1050,3:600,505:9000,506:0,507:500,508:0,6:9000,11:0,516:0}	{1:48750,2:262,3:150,505:10,506:11,507:10,508:11,6:0,11:0}
