id	名称（策划用）	名称	名称2（保持统一用）	描述	描述（策划用）	物品类型	背包类型	单格上限	是否支持叠加	道具总数上限	超出上限转换	灵装类型	星级	品质	图鉴排序	负重	icon	半身像	立绘	六边形像	立绘位置	立绘缩放比例	拍照时的缩放比例	提供经验	初始等级	等级上限	所属组合类型(Equipment_Combination中的组合类型id)	所属套装	基础属性({属性号：属性值，属性号：属性值})	成长属性	基础战力	每级成长战力	各属性条目的等级范围	特殊属性(类型id：权重，类型id：权重)	固有属性	出售收益	交易收益	获得后是否展示立绘
240040	真·卑弥呼	400031	400031	405031	古代日本邪马台王国的女王，她整合了松散的各个部落，使国家进入了黄金时代。质点为王冠，拥有3条随机属性。	2	2	1	0	99	{570001:400}	1	4	5	31	5	icon/equipment/icon/106_106/icon1_wangguan_2.png	icon/equipment/icon/170_214/icon2_wangguan_2.png	icon/equipment/paint/paint_wangguan_2.png	icon/equipment/icon/192_166/icon3_wangguan_2.png	{"x":335,"y":252}	0.9	0.8	50	1	40	1-2-3	-1	{1:5040,2:2460,3:1477}	{1:360,2:210,3:105}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10031	{570001:400}		0
240041	真·十铃莫子	400032	400032	405032	智勇双全的舞姬，曾代替负伤的长兄指挥军队，击败了入侵的敌人。质点为智慧，拥有3条随机属性。	2	2	1	0	99	{570001:400}	2	4	5	32	5	icon/equipment/icon/106_106/icon1_zhihui_2.png	icon/equipment/icon/170_214/icon2_zhihui_2.png	icon/equipment/paint/paint_zhihui_2.png	icon/equipment/icon/192_166/icon3_zhihui_2.png	{"x":334,"y":289}	0.8	0.75	50	1	40	1-4-5-6	-1	{1:5810,2:1935,3:1631}	{1:415,2:165,3:115}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10032	{570001:400}		0
240042	真·诺尔	400033	400033	405033	光之灵女卢娜，掌管晨曦的使者，经常化妆为大姐姐帮助受苦的孩子。质点为仁爱，拥有3条随机属性。	2	2	1	0	99	{570001:400}	3	4	5	33	5	icon/equipment/icon/106_106/icon1_lijie_2.png	icon/equipment/icon/170_214/icon2_lijie_2.png	icon/equipment/paint/paint_lijie_2.png	icon/equipment/icon/192_166/icon3_lijie_2.png	{"x":331,"y":249}	0.75	0.65	50	1	40	2-4-7-8	-1	{1:5810,2:2717,3:1162}	{1:415,2:232,3:82}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10033	{570001:400}		0
240043	真·卢娜	400034	400034	405034	光之灵女卢娜，掌管晨曦的使者，经常化妆为大姐姐帮助受苦的孩子。质点为仁爱，拥有3条随机属性。	2	2	1	0	99	{570001:400}	4	4	5	34	5	icon/equipment/icon/106_106/icon1_renai_2.png	icon/equipment/icon/170_214/icon2_renai_2.png	icon/equipment/paint/paint_renai_2.png	icon/equipment/icon/192_166/icon3_renai_2.png	{"x":300,"y":235}	0.8	0.7	50	1	40	5-9-10-11	-1	{1:5810,2:1422,3:1939}	{1:415,2:120,3:137}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10034	{570001:400}		0
240044	真·希斯卡	400035	400035	405035	充满斗志的元气少女，因崇拜姐姐的绝伦武技，走上了武者之路。质点为严格，拥有3条随机属性	2	2	1	0	99	{570001:400}	5	4	5	35	5	icon/equipment/icon/106_106/icon1_yange_2.png	icon/equipment/icon/170_214/icon2_yange_2.png	icon/equipment/paint/paint_yange_2.png	icon/equipment/icon/192_166/icon3_yange_2.png	{"x":344,"y":301}	0.7	0.7	50	1	40	7-9-12-13	-1	{1:5810,2:3230,3:854}	{1:415,2:275,3:60}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10035	{570001:400}		0
240045	真·瑞丽丝	400036	400036	405036	害羞的美少女，为什么和人说话就会脸红呢，恐怕她自己也不清楚。质点为美丽，拥有3条随机属性。	2	2	1	0	99	{570001:400}	6	4	5	36	5	icon/equipment/icon/106_106/icon1_meili_2.png	icon/equipment/icon/170_214/icon2_meili_2.png	icon/equipment/paint/paint_meili_2.png	icon/equipment/icon/192_166/icon3_meili_2.png	{"x":369,"y":226}	0.8	0.7	50	1	40	3-6-8-10-12-14-15-16	-1	{1:6580,2:2192,3:1316}	{1:470,2:187,3:92}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10036	{570001:400}		0
240046	真·涅墨西斯	400037	400037	405037	冷若冰霜的魔法剑客，被称为复仇女神，使用的武器是传说中的圣器“折辉”。质点为胜利，拥有3条随机属性。	2	2	1	0	99	{570001:400}	7	4	5	37	5	icon/equipment/icon/106_106/icon1_shengli_2.png	icon/equipment/icon/170_214/icon2_shengli_2.png	icon/equipment/paint/paint_shengli_2.png	icon/equipment/icon/192_166/icon3_shengli_2.png	{"x":330,"y":308}	0.7	0.65	50	1	40	11-14-17-18-19	-1	{1:5810,2:1935,3:1631}	{1:415,2:165,3:115}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10037	{570001:400}		0
240047	真·拉斐尔	400038	400038	405038	德高望重的天使长，表面上是受人尊敬的昊天使，其实是个迟钝的萝莉。质点为光辉，拥有3条随机属性。	2	2	1	0	99	{570001:400}	8	4	5	38	5	icon/equipment/icon/106_106/icon1_guanghui_2.png	icon/equipment/icon/170_214/icon2_guanghui_2.png	icon/equipment/paint/paint_guanghui_2.png	icon/equipment/icon/192_166/icon3_guanghui_2.png	{"x":307,"y":265}	0.8	0.7	50	1	40	13-15-17-20-21	-1	{1:5810,2:2717,3:1162}	{1:415,2:232,3:82}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10038	{570001:400}		0
240048	真·桐壶女御	400039	400039	405039	擅长剑技的侍女，天照大神的奴仆，被赐予了无限的生命。质点为基础，拥有3条随机属性。	2	2	1	0	99	{570001:400}	9	4	5	39	5	icon/equipment/icon/106_106/icon1_jichu_2.png	icon/equipment/icon/170_214/icon2_jichu_2.png	icon/equipment/paint/paint_jichu_2.png	icon/equipment/icon/192_166/icon3_jichu_2.png	{"x":305,"y":320}	0.75	0.7	50	1	40	16-18-20-22	-1	{1:8155,2:1935,3:1162}	{1:582,2:165,3:82}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10039	{570001:400}		0
240049	真·玛格丽特	400040	400040	405040	身兼三国女王的伟大女性，行事不拘一格，拥有出色的政治智慧。质点为王国，拥有3条随机属性。	2	2	1	0	99	{570001:400}	10	4	5	40	5	icon/equipment/icon/106_106/icon1_wangguo_2.png	icon/equipment/icon/170_214/icon2_wangguo_2.png	icon/equipment/paint/paint_wangguo_2.png	icon/equipment/icon/192_166/icon3_wangguo_2.png	{"x":317,"y":235}	0.75	0.7	50	1	40	19-21-22	-1	{1:9695,2:1680,3:1008}	{1:692,2:142,3:70}			[[1,2],[1,3],[3,4]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10040	{570001:400}		0
250050	阿玛尔塞	400041	400041	405041	神月宫的女官，因为偶然间认识的朋友，而激发了想要离开宫殿前往外面世界的愿望。质点为王冠，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	1	5	6	41	10	icon/equipment/icon/106_106/icon1_wangguan_3.png	icon/equipment/icon/170_214/icon2_wangguan_3.png	icon/equipment/paint/paint_wangguan_3.png	icon/equipment/icon/192_166/icon3_wangguan_3.png	{"x":345,"y":255}	0.8	0.75	500	1	50	1-2-3	-1	{1:5760,2:2812,3:1688}	{1:432,2:252,3:126}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10041	{570001:1200}		1
250051	朱诺	400042	400042	405042	宽容而冷静的神之母，知识渊博，曾教导过大魔法师洛毕朗。质点为智慧，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	2	5	6	42	10	icon/equipment/icon/106_106/icon1_zhihui_3.png	icon/equipment/icon/170_214/icon2_zhihui_3.png	icon/equipment/paint/paint_zhihui_3.png	icon/equipment/icon/192_166/icon3_zhihui_3.png	{"x":321,"y":219}	0.8	0.7	500	1	50	1-4-5-6	-1	{1:6640,2:2212,3:1864}	{1:498,2:198,3:138}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10042	{570001:1200}		1
250052	诺莫斯	400043	400043	405043	崇尚公平和正义的律法女神，和某公主殿下有一丝神似。质点为理解，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	3	5	6	43	10	icon/equipment/icon/106_106/icon1_lijie_3.png	icon/equipment/icon/170_214/icon2_lijie_3.png	icon/equipment/paint/paint_lijie_3.png	icon/equipment/icon/192_166/icon3_lijie_3.png	{"x":295,"y":283}	0.7	0.7	500	1	50	2-4-7-8	-1	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10043	{570001:1200}		1
250053	拉娜蒂丝	400044	400044	405044	作为神界观察人类而存在的小仙女，机敏而调皮。质点为仁爱，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	4	5	6	44	10	icon/equipment/icon/106_106/icon1_renai_3.png	icon/equipment/icon/170_214/icon2_renai_3.png	icon/equipment/paint/paint_renai_3.png	icon/equipment/icon/192_166/icon3_renai_3.png	{"x":305,"y":276}	0.8	0.75	500	1	50	5-9-10-11	-1	{1:6640,2:1626,3:2216}	{1:498,2:144,3:165}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10044	{570001:1200}		1
250054	科黛	400045	400045	405045	刺杀了叛军首领的勇敢战士，以对待任务一丝不苟而令人尊敬正义刺客。质点为严格，拥有4条随机属性	2	2	1	0	99	{570001:1200}	5	5	6	45	10	icon/equipment/icon/106_106/icon1_yange_3.png	icon/equipment/icon/170_214/icon2_yange_3.png	icon/equipment/paint/paint_yange_3.png	icon/equipment/icon/192_166/icon3_yange_3.png	{"x":344,"y":286}	0.7	0.7	500	1	50	7-9-12-13	-1	{1:6640,2:3692,3:976}	{1:498,2:330,3:72}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10045	{570001:1200}		1
250055	宇宫加奈	400046	400046	405046	来自遥远边疆的公主，被国王派来前来参与磨练，是不容小觑的剑士。质点为美丽，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	6	5	6	46	10	icon/equipment/icon/106_106/icon1_meili_3.png	icon/equipment/icon/170_214/icon2_meili_3.png	icon/equipment/paint/paint_meili_3.png	icon/equipment/icon/192_166/icon3_meili_3.png	{"x":345,"y":315}	0.75	0.7	500	1	50	3-6-8-10-12-14-15-16	-1	{1:7520,2:2506,3:1504}	{1:564,2:225,3:111}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10046	{570001:1200}		1
250056	密涅瓦	400047	400047	405047	被女战神密涅瓦选中的不幸少女，终身为正义而战。在成为战神之前只是一名普通的邻家少女。质点为胜利，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	7	5	6	47	10	icon/equipment/icon/106_106/icon1_shengli_3.png	icon/equipment/icon/170_214/icon2_shengli_3.png	icon/equipment/paint/paint_shengli_3.png	icon/equipment/icon/192_166/icon3_shengli_3.png	{"x":315,"y":275}	0.8	0.8	500	1	50	11-14-17-18-19	-1	{1:6640,2:2212,3:1864}	{1:498,2:198,3:138}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10047	{570001:1200}		1
250057	伊莫拉	400048	400048	405048	白精灵公主，与人类王国某国王子共同击退了恶魔的入侵。质点为光辉，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	8	5	6	48	10	icon/equipment/icon/106_106/icon1_guanghui_3.png	icon/equipment/icon/170_214/icon2_guanghui_3.png	icon/equipment/paint/paint_guanghui_3.png	icon/equipment/icon/192_166/icon3_guanghui_3.png	{"x":341,"y":320}	0.85	0.8	500	1	50	13-15-17-20-21	-1	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10048	{570001:1200}		1
250058	伊邪那美	400049	400049	405049	精通刀剑的战斗公主，古代日本传说中的母神，与伊邪那岐一起创造了世界。质点为基础，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	9	5	6	49	10	icon/equipment/icon/106_106/icon1_jichu_3.png	icon/equipment/icon/170_214/icon2_jichu_3.png	icon/equipment/paint/paint_jichu_3.png	icon/equipment/icon/192_166/icon3_jichu_3.png	{"x":290,"y":283}	0.75	0.7	500	1	50	16-18-20-22	-1	{1:9320,2:2212,3:1328}	{1:699,2:198,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10049	{570001:1200}		1
250059	安娜科	400050	400050	405050	不善言辞的摄政王，在年轻的皇帝病逝后便领导着国家，小看她的人都付出了代价。质点为王国，拥有4条随机属性。	2	2	1	0	99	{570001:1200}	10	5	6	50	10	icon/equipment/icon/106_106/icon1_wangguo_3.png	icon/equipment/icon/170_214/icon2_wangguo_3.png	icon/equipment/paint/paint_wangguo_3.png	icon/equipment/icon/192_166/icon3_wangguo_3.png	{"x":311,"y":222}	0.85	0.75	500	1	50	19-21-22	-1	{1:11080,2:1920,3:1152}	{1:831,2:171,3:84}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10050	{570001:1200}		1
250060	蔷薇·伊丽莎白	400051	400051	405051	在战争中加冕的女王，率领曾经的战败之师在保卫首都的战役中一举击败敌国。蔷薇套装之一，质点为王冠，拥有4条随机属性	2	2	1	0	99	{570001:2000}	1	5	6	51	15	icon/equipment/icon/106_106/icon1_wangguan_4.png	icon/equipment/icon/170_214/icon2_wangguan_4.png	icon/equipment/paint/paint_wangguan_4.png	icon/equipment/icon/192_166/icon3_wangguan_4.png	{"x":380,"y":228}	0.8	0.7	500	1	50	1-2-3	4	{1:5760,2:2812,3:1688}	{1:432,2:252,3:126}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10051	{570001:2000}		1
250061	蔷薇·格欧菲茵	400052	400052	405052	格欧费茵，通晓过去与未来的天才的魔法少女，火之魔法的传人。蔷薇套装之一，质点为智慧，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	2	5	6	52	15	icon/equipment/icon/106_106/icon1_zhihui_4.png	icon/equipment/icon/170_214/icon2_zhihui_4.png	icon/equipment/paint/paint_zhihui_4.png	icon/equipment/icon/192_166/icon3_zhihui_4.png	{"x":324,"y":279}	0.8	0.75	500	1	50	1-4-5-6	4	{1:6640,2:2212,3:1864}	{1:498,2:198,3:138}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10052	{570001:2000}		1
250062	蔷薇·爱丽莎	400053	400053	405053	精灵之森中的豹精灵，是森林中所有动物的伙伴。蔷薇套装之一，质点为理解，拥有4条属性。	2	2	1	0	99	{570001:2000}	3	5	6	53	15	icon/equipment/icon/106_106/icon1_lijie_4.png	icon/equipment/icon/170_214/icon2_lijie_4.png	icon/equipment/paint/paint_lijie_4.png	icon/equipment/icon/192_166/icon3_lijie_4.png	{"x":345,"y":265}	0.75	0.75	500	1	50	2-4-7-8	4	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10053	{570001:2000}		1
250071	领袖·艾莉娜	400054	400054	405054	风之魔法的传人，大魔法师格林赛特的唯一在世弟子，守护着风之国。领袖套装之一，质点为智慧，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	2	5	6	54	15	icon/equipment/icon/106_106/icon1_zhihui_5.png	icon/equipment/icon/170_214/icon2_zhihui_5.png	icon/equipment/paint/paint_zhihui_5.png	icon/equipment/icon/192_166/icon3_zhihui_5.png	{"x":300,"y":293}	0.75	0.7	500	1	50	1-4-5-6	5	{1:5760,2:2812,3:1688}	{1:432,2:252,3:126}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10054	{570001:2000}		1
250073	领袖·然德基尔	400055	400055	405055	伟大的守护天使，在混沌时期依然坚持用爱引导人类的慈悲天使。领袖套装之一，质点为仁爱，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	4	5	6	55	15	icon/equipment/icon/106_106/icon1_renai_4.png	icon/equipment/icon/170_214/icon2_renai_4.png	icon/equipment/paint/paint_renai_4.png	icon/equipment/icon/192_166/icon3_renai_4.png	{"x":315,"y":283}	0.75	0.7	500	1	50	5-9-10-11	5	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10055	{570001:2000}		1
250075	领袖·安托瓦内特	400056	400056	405056	身为战败国的公主，因为反抗敌国的统治而牺牲在了胜利的前夜。领袖套装之一，质点为美丽，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	6	5	6	56	15	icon/equipment/icon/106_106/icon1_meili_4.png	icon/equipment/icon/170_214/icon2_meili_4.png	icon/equipment/paint/paint_meili_4.png	icon/equipment/icon/192_166/icon3_meili_4.png	{"x":352,"y":290}	0.7	0.7	500	1	50	3-6-8-10-12-14-15-16	5	{1:6640,2:3692,3:976}	{1:498,2:330,3:72}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10056	{570001:2000}		1
250083	天神·海奎特	400057	400057	405057	神秘的生命女神，为每一个诞生的新生命注入灵魂的伟大神祇。天神套装之一，质点为仁爱，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	4	5	6	57	15	icon/equipment/icon/106_106/icon1_renai_5.png	icon/equipment/icon/170_214/icon2_renai_5.png	icon/equipment/paint/paint_renai_5.png	icon/equipment/icon/192_166/icon3_renai_5.png	{"x":351,"y":359}	0.75	0.7	500	1	50	5-9-10-11	1	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10057	{570001:2000}		1
250085	天神·芙萝拉	400058	400058	405058	花之女神，拥有倾国倾城的美丽容颜，和黎明女神欧若拉并称“圣殿双姝”。天神套装之一，质点为美丽，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	6	5	6	58	15	icon/equipment/icon/106_106/icon1_meili_5.png	icon/equipment/icon/170_214/icon2_meili_5.png	icon/equipment/paint/paint_meili_5.png	icon/equipment/icon/192_166/icon3_meili_5.png	{"x":291,"y":270}	0.75	0.7	500	1	50	3-6-8-10-12-14-15-16	1	{1:6640,2:3692,3:976}	{1:498,2:330,3:72}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10058	{570001:2000}		1
250086	天神·莫珈娜	400059	400059	405059	神话中著名的魔女，经常变换自己的形态，有时甚至变为动物隐居在人类世界中。天神套装之一，质点为胜利，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	7	5	6	59	15	icon/equipment/icon/106_106/icon1_shengli_4.png	icon/equipment/icon/170_214/icon2_shengli_4.png	icon/equipment/paint/paint_shengli_4.png	icon/equipment/icon/192_166/icon3_shengli_4.png	{"x":384,"y":293}	0.75	0.7	500	1	50	11-14-17-18-19	1	{1:7520,2:2506,3:1504}	{1:564,2:225,3:111}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10059	{570001:2000}		1
250096	战姬·艾尔德斯	400060	400060	405060	如冰山一样的美丽女将军，虽然百战不殆却意识到战争的残酷，渴望得到解脱。战姬套装之一，质点为胜利，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	7	5	6	60	15	icon/equipment/icon/106_106/icon1_shengli_5.png	icon/equipment/icon/170_214/icon2_shengli_5.png	icon/equipment/paint/paint_shengli_5.png	icon/equipment/icon/192_166/icon3_shengli_5.png	{"x":358,"y":268}	0.75	0.75	500	1	50	11-14-17-18-19	2	{1:7520,2:2506,3:1504}	{1:564,2:225,3:111}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10060	{570001:2000}		1
250098	战姬·喀秋莎	400061	400061	405061	勇敢的北国女战士，在祖国遭遇敌人入侵时毅然走上战场，成为一段传奇。战姬套装之一，质点为基础，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	9	5	6	61	15	icon/equipment/icon/106_106/icon1_jichu_4.png	icon/equipment/icon/170_214/icon2_jichu_4.png	icon/equipment/paint/paint_jichu_4.png	icon/equipment/icon/192_166/icon3_jichu_4.png	{"x":315,"y":295}	0.75	0.7	500	1	50	16-18-20-22	2	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10061	{570001:2000}		1
250099	战姬·卡米拉	400062	400062	405062	充满野性的兽族女王，以严酷的手段对待敌人而被人熟知。战姬套装之一，质点为王国，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	10	5	6	62	15	icon/equipment/icon/106_106/icon1_wangguo_4.png	icon/equipment/icon/170_214/icon2_wangguo_4.png	icon/equipment/paint/paint_wangguo_4.png	icon/equipment/icon/192_166/icon3_wangguo_4.png	{"x":345,"y":255}	0.75	0.7	500	1	50	19-21-22	2	{1:9320,2:2212,3:1328}	{1:699,2:198,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10062	{570001:2000}		1
250107	圣灵·赫斯提亚	400063	400063	405063	圣洁的炉之女神，终身未婚，是12主神中对人类最为友好的。圣灵套装之一，质点为光辉，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	8	5	6	63	15	icon/equipment/icon/106_106/icon1_guanghui_4.png	icon/equipment/icon/170_214/icon2_guanghui_4.png	icon/equipment/paint/paint_guanghui_4.png	icon/equipment/icon/192_166/icon3_guanghui_4.png	{"x":324,"y":279}	0.7	0.65	500	1	50	13-15-17-20-21	3	{1:6640,2:2212,3:1864}	{1:498,2:198,3:138}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10063	{570001:2000}		1
250108	圣灵·姆特	400064	400064	405064	纵横捭阖的战争女神，从征讨外敌到内制法典都堪称国之基石。圣灵套装之一，质点为基础，拥有4条随机属性。	2	2	1	0	99	{570001:2000}	9	5	6	64	15	icon/equipment/icon/106_106/icon1_jichu_5.png	icon/equipment/icon/170_214/icon2_jichu_5.png	icon/equipment/paint/paint_jichu_5.png	icon/equipment/icon/192_166/icon3_jichu_5.png	{"x":331,"y":275}	0.75	0.7	500	1	50	16-18-20-22	3	{1:6640,2:3106,3:1328}	{1:498,2:279,3:99}			[[1,2],[1,3],[2,4],[4,5]]	{1:48,2:48,3:48,4:48,5:48,6:48,7:48,8:48,9:48,10:48,11:48,12:48,13:48,14:47,15:47,16:47,17:47,18:47,19:47,20:47,21:47}	10064	{570001:2000}		1
