id	兼职名称	兼职名称	条件	兼职稀有度	消耗精力	完成所需时间	奖励	固定奖励	随机奖励	属性奖励	兼职经验奖励	限制时间
107009	饮品店-兼职9（1星）	920059	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532106,"num":6},{"id":532105,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532106:6,532105:6}	500002-532203-532204		10	0
107010	饮品店-兼职10（1星）	920060	107-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532104,"num":4},{"id":532105,"num":4},{"id":532106,"num":4}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532203,"num":0,"min":1,"max":1,"weight":3500},{"id":532204,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532104:4,532105:4,532106:4}	500002-532203-532204		10	0
107011	饮品店-兼职1（2星）	920061	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532104,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532104:15}	500002-532203-532204		15	1
107012	饮品店-兼职2（2星）	920062	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532105,"num":15},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532105:15,500019:1}	500002-532203-532204	{500019:1}	15	1
107013	饮品店-兼职3（2星）	920063	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532106,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532106:15}	500002-532203-532204		15	1
107014	饮品店-兼职4（2星）	920064	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532104,"num":15},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532104:15,500023:1}	500002-532203-532204	{500023:1}	15	1
107015	饮品店-兼职5（2星）	920065	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532105,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532105:15}	500002-532203-532204	{500020:0}	15	0
107016	饮品店-兼职6（2星）	920066	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532106,"num":15},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532106:15,500020:1}	500002-532203-532204	{500020:1}	15	0
107017	饮品店-兼职7（2星）	920067	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532104,"num":8},{"id":532106,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532104:8,532106:8}	500002-532203-532204		15	0
107018	饮品店-兼职8（2星）	920068	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532105,"num":8},{"id":532104,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532105:8,532104:8}	500002-532203-532204		15	0
107019	饮品店-兼职9（2星）	920069	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532106,"num":8},{"id":532105,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532106:8,532105:8}	500002-532203-532204		15	0
107020	饮品店-兼职10（2星）	920070	107-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532104,"num":6},{"id":532105,"num":6},{"id":532106,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532203,"num":0,"min":1,"max":2,"weight":3800},{"id":532204,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532104:6,532105:6,532106:6}	500002-532203-532204		15	0
107021	饮品店-兼职1（3星）	920071	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532104,"num":20},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532104:20,500019:1}	500002-532203-532204-532302	{500019:1}	20	1
107022	饮品店-兼职2（3星）	920072	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532105,"num":20},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532105:20,500019:1}	500002-532203-532204-532302	{500019:1}	20	1
107023	饮品店-兼职3（3星）	920073	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532106,"num":20},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532106:20,500023:1}	500002-532203-532204-532302	{500023:1}	20	1
107024	饮品店-兼职4（3星）	920074	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532104,"num":20},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532104:20,500023:1}	500002-532203-532204-532302	{500023:1}	20	1
107025	饮品店-兼职5（3星）	920075	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532105,"num":20},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532105:20,500020:1}	500002-532203-532204-532302	{500020:1}	20	0
107026	饮品店-兼职6（3星）	920076	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532106,"num":20},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532106:20,500020:1}	500002-532203-532204-532302	{500020:1}	20	0
107027	饮品店-兼职7（3星）	920077	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532104,"num":12},{"id":532106,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532104:12,532106:12}	500002-532203-532204-532302		20	0
107028	饮品店-兼职8（3星）	920078	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532105,"num":12},{"id":532104,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532105:12,532104:12}	500002-532203-532204-532302		20	0
107029	饮品店-兼职9（3星）	920079	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532106,"num":12},{"id":532105,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532106:12,532105:12}	500002-532203-532204-532302		20	0
107030	饮品店-兼职10（3星）	920080	107-3-100	3	{500024:20}	14400	{"fix":{"items":[{"id":500018,"num":40},{"id":532104,"num":8},{"id":532105,"num":8},{"id":532106,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":20,"weight":2400},{"id":532203,"num":0,"min":1,"max":3,"weight":3800},{"id":532204,"num":0,"min":1,"max":3,"weight":3800},{"id":532302,"num":0,"min":1,"max":1,"weight":2000}]}}	{500018:40,532104:8,532105:8,532106:8}	500002-532203-532204-532302		20	0
107031	饮品店-兼职1（4星）	920081	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532104,"num":30},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532104:30,500019:1}	500002-532203-532204-532302	{500019:1}	30	1
107032	饮品店-兼职2（4星）	920082	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532105,"num":30},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532105:30,500019:2}	500002-532203-532204-532302	{500019:2}	30	1
107033	饮品店-兼职3（4星）	920083	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532106,"num":30},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532106:30,500023:1}	500002-532203-532204-532302	{500023:1}	30	1
107034	饮品店-兼职4（4星）	920084	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532104,"num":30},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532104:30,500023:2}	500002-532203-532204-532302	{500023:2}	30	1
107035	饮品店-兼职5（4星）	920085	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532105,"num":30},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532105:30,500020:1}	500002-532203-532204-532302	{500020:1}	30	0
107036	饮品店-兼职6（4星）	920086	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532106,"num":30},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532106:30,500020:2}	500002-532203-532204-532302	{500020:2}	30	0
107037	饮品店-兼职7（4星）	920087	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532104,"num":18},{"id":532106,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532104:18,532106:18}	500002-532203-532204-532302		30	0
107038	饮品店-兼职8（4星）	920088	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532105,"num":18},{"id":532104,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532105:18,532104:18}	500002-532203-532204-532302		30	0
107039	饮品店-兼职9（4星）	920089	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532106,"num":18},{"id":532105,"num":18}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532106:18,532105:18}	500002-532203-532204-532302		30	0
107040	饮品店-兼职10（4星）	920090	107-4-100	4	{500024:30}	21600	{"fix":{"items":[{"id":500018,"num":60},{"id":532104,"num":12},{"id":532105,"num":12},{"id":532106,"num":12}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":25,"weight":3000},{"id":532203,"num":0,"min":1,"max":4,"weight":4500},{"id":532204,"num":0,"min":1,"max":4,"weight":4500},{"id":532302,"num":0,"min":1,"max":1,"weight":2800}]}}	{500018:60,532104:12,532105:12,532106:12}	500002-532203-532204-532302		30	0
107041	饮品店-兼职1（5星）	920091	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532104,"num":40},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532104:40,500019:2}	500002-532203-532204-532302	{500019:2}	40	1
107042	饮品店-兼职2（5星）	920092	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532105,"num":40},{"id":500019,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532105:40,500019:2}	500002-532203-532204-532302	{500019:2}	40	1
107043	饮品店-兼职3（5星）	920093	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532106,"num":40},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532106:40,500023:2}	500002-532203-532204-532302	{500023:2}	40	1
107044	饮品店-兼职4（5星）	920094	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532104,"num":40},{"id":500023,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532104:40,500023:2}	500002-532203-532204-532302	{500023:2}	40	1
107045	饮品店-兼职5（5星）	920095	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532105,"num":40},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532105:40,500020:2}	500002-532203-532204-532302	{500020:2}	40	0
107046	饮品店-兼职6（5星）	920096	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532106,"num":40},{"id":500020,"num":2}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532106:40,500020:2}	500002-532203-532204-532302	{500020:2}	40	0
107047	饮品店-兼职7（5星）	920097	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532104,"num":24},{"id":532106,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532104:24,532106:24}	500002-532203-532204-532302		40	0
107048	饮品店-兼职8（5星）	920098	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532105,"num":24},{"id":532104,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532105:24,532104:24}	500002-532203-532204-532302		40	0
107049	饮品店-兼职9（5星）	920099	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532106,"num":24},{"id":532105,"num":24}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532106:24,532105:24}	500002-532203-532204-532302		40	0
107050	饮品店-兼职10（5星）	920100	107-5-100	5	{500024:40}	28800	{"fix":{"items":[{"id":500018,"num":80},{"id":532104,"num":16},{"id":532105,"num":16},{"id":532106,"num":16}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":30,"weight":3500},{"id":532203,"num":0,"min":1,"max":5,"weight":5000},{"id":532204,"num":0,"min":1,"max":5,"weight":5000},{"id":532302,"num":0,"min":1,"max":1,"weight":3333}]}}	{500018:80,532104:16,532105:16,532106:16}	500002-532203-532204-532302		40	0
105001	餐厅-兼职1（1星）	920101	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532107,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532107:10}	500002-532205-532206		10	1
105002	餐厅-兼职2（1星）	920102	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532108,"num":10},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532108:10,500019:1}	500002-532205-532206	{500019:1}	10	1
105003	餐厅-兼职3（1星）	920103	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532109,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532109:10}	500002-532205-532206		10	0
105004	餐厅-兼职4（1星）	920104	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532107,"num":10},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532107:10,500023:1}	500002-532205-532206	{500023:1}	10	0
105005	餐厅-兼职5（1星）	920105	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532108,"num":10}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532108:10}	500002-532205-532206		10	0
105006	餐厅-兼职6（1星）	920106	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532109,"num":10},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532109:10,500020:1}	500002-532205-532206	{500020:1}	10	0
105007	餐厅-兼职7（1星）	920107	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532107,"num":6},{"id":532109,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532107:6,532109:6}	500002-532205-532206		10	0
105008	餐厅-兼职8（1星）	920108	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532108,"num":6},{"id":532107,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532108:6,532107:6}	500002-532205-532206		10	0
105009	餐厅-兼职9（1星）	920109	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532109,"num":6},{"id":532108,"num":6}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532109:6,532108:6}	500002-532205-532206		10	0
105010	餐厅-兼职10（1星）	920110	105-1-100	1	{500024:10}	7200	{"fix":{"items":[{"id":500018,"num":20},{"id":532107,"num":4},{"id":532108,"num":4},{"id":532109,"num":4}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":10,"weight":2000},{"id":532205,"num":0,"min":1,"max":1,"weight":3500},{"id":532206,"num":0,"min":1,"max":1,"weight":3500}]}}	{500018:20,532107:4,532108:4,532109:4}	500002-532205-532206		10	0
105011	餐厅-兼职1（2星）	920111	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532107,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532107:15}	500002-532205-532206		15	1
105012	餐厅-兼职2（2星）	920112	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532108,"num":15},{"id":500019,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532108:15,500019:1}	500002-532205-532206	{500019:1}	15	1
105013	餐厅-兼职3（2星）	920113	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532109,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532109:15}	500002-532205-532206		15	0
105014	餐厅-兼职4（2星）	920114	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532107,"num":15},{"id":500023,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532107:15,500023:1}	500002-532205-532206	{500023:1}	15	0
105015	餐厅-兼职5（2星）	920115	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532108,"num":15}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532108:15}	500002-532205-532206	{500020:0}	15	0
105016	餐厅-兼职6（2星）	920116	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532109,"num":15},{"id":500020,"num":1}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532109:15,500020:1}	500002-532205-532206	{500020:1}	15	0
105017	餐厅-兼职7（2星）	920117	105-2-100	2	{500024:15}	10800	{"fix":{"items":[{"id":500018,"num":30},{"id":532107,"num":8},{"id":532109,"num":8}]},"basic":{"items":[{"id":500002,"num":0,"min":5,"max":15,"weight":2250},{"id":532205,"num":0,"min":1,"max":2,"weight":3800},{"id":532206,"num":0,"min":1,"max":2,"weight":3800}]}}	{500018:30,532107:8,532109:8}	500002-532205-532206		15	0
