特效ID	名字（策划看）	特效触发事件名	特效资源名	动画名称	固定特效朝向（包括固定特效朝向，或子弹飞行方向，不填则为释放者朝向，填1则固定X轴正方向，填2则固定X轴负方向）	特效颜色叠加	触发新特效几率	触发新特效	气浪强度（0为关闭，最强100）	是否循环	渲染层级(0在角色下层，1在人物上层，2根据地图Y值排序)	碰撞类型(0矩形，1多边形)	碰撞范围Y轴修正	碰撞区域	缩放	特效类型（1普通型，2放出型）	牵引类型，放出型特效没有牵引数据（0或不填表示没有牵引，1推吸类型，2固定方向）	牵引速度X（推吸类型，只填写X轴正负速度值，正推负吸。固定方向类型，填写XY轴速度）	牵引速度Y	伤害方式判定（0不进行伤害判定，1根据hurt帧事件判定，2碰撞即算伤害）	伤害触发	是否开启地图蒙板	父节点(1触发者,2目标,3地图,4UI层)	特效是否跟随触发动作(0不删除，1删除)	播放位置（0随施法者1目标位置2施法者挂点3施法者位置4目标挂点5随机位置）	播放位置偏移X（单位像素，正前负后）	播放位置偏移Y（0与角色Y轴一致。1~10为可行走区域的10条路）	挂点骨骼名称（不填为spine原点。）	目标选择（0无，1自身，2随机敌人，3最近的敌人，4最远的敌人，5随机地面点）	目标选择范围（以自身为基点，配置x_y_w_h。来确定一个矩形范围。xy为矩形起点坐标，wh为框大小）	目标选择数量	跟踪方式（0直线，1始终跟踪，2角度跟踪，3追踪目标位置，angle,4圆形，5S曲线，6折射，7直线角度，8贝塞尔曲线目标位置,10贝赛尔曲线固定位置）	直线飞行子弹的角度	圆形和S曲线飞行半径	折射时间	贝塞尔曲线高度	命中数量回收(发射型特效生效。0或不填为不回收。其他数字为命中该数量后回收)	自动触发特效（特效结束or回收时，自动播放下一个特效）	特效速度（包含贝塞尔曲线速度）	特效总时间(循环播放特效生效)	回收特效资源	回收特效动画	受击特效资源	受击特效动画（上层）	受击特效动画（下层）	受击特效角度	受击特效缩放	触发事件（配置该特效的事件名）	触发刷怪表（配置刷怪表ID）	刷怪位置类型（1随机，2特效中心点）
40226	狂三-技能2-空中射击-3级-连续开枪	effect0	effects_10401_extra_skillB	extra_skillB2_2						0	1		50-50	bdbox_eff	1	1				1	8064-8065		1		0				0		1	0	0				1	0	800	1000	0					0	1			
40231	狂三-必杀-0、1、2、3级-闪出	effect0	effects_10401_skillC	skillC_1						0	1		50-50	bdbox_eff	1	1				0		1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40232	狂三-必杀-0、1、2级-闪回	effect0	effects_10401_skillC	skillC_3_1						0	1		50-50	bdbox_eff	1	1				0		1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40233	狂三-必杀-0级	effect0	effects_10401_skillC	skillC0_2						0	1		50-50	bdbox_eff	1	1				1	8070	1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40234	狂三-必杀-1级	effect0	effects_10401_skillC	skillC1_2						0	1		50-50	bdbox_eff	1	1				1	8071	1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40235	狂三-必杀-2级	effect0	effects_10401_skillC	skillC2_2						0	1		50-50	bdbox_eff	1	1				1	8072	1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40236	狂三-必杀-3级	effect0	effects_10401_skillC	skillC3_2						0	1		50-50	bdbox_eff	1	1				1	8073	1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40237	狂三-必杀-3级-地圈	effect0	effects_10401_skillC	skillC_3_2_quan						0	0		50-50	bdbox_eff	1	1				0		1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
40238	狂三-必杀-3级-刻刻帝	effect0	effects_10401_skillC	skillC_3_2						0	0		50-50	bdbox_eff	1	1				1	8074	1	3		3				0		1	0	0				1	0	800	1000	0					0	1			
																																																		
50001	琴里—普攻1	effect0	effects_10501_skillA	skillA_1						0	1		70-40	bdbox_eff	0.8	1				1	7001		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50002	琴里—普攻2	effect0	effects_10501_skillA	skillA_2						0	1		70-40	bdbox_eff	0.8	1				1	7002		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50003	琴里—普攻3	effect0	effects_10501_skillA	skillA_3						0	1		70-40	bdbox_eff	0.8	1				1	7003		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50004	琴里—普攻4	effect0	effects_10501_skillA	skillA_4						0	1		70-40	bdbox_eff	0.8	1				1	7004		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50005	琴里—普攻5	effect0	effects_10501_skillA	skillA_5						0	1		70-40	bdbox_eff	0.8	1				1	7005		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50006	琴里—普攻1+	effect0	effects_10501_skillA	skillA_1_1						0	1		70-40	bdbox_eff	0.8	1				1	7001		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50007	琴里—普攻2+	effect0	effects_10501_skillA	skillA_2_1						0	1		70-40	bdbox_eff	0.8	1				1	7002		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50008	琴里—普攻3+	effect0	effects_10501_skillA	skillA_3_1						0	1		70-40	bdbox_eff	0.8	1				1	7003		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50009	琴里—普攻4+	effect0	effects_10501_skillA	skillA_4_1						0	1		70-40	bdbox_eff	0.8	1				1	7004		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50010	琴里—普攻5+	effect0	effects_10501_skillA	skillA_5_1						0	1		70-40	bdbox_eff	0.8	1				1	7005		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50015	琴里—觉醒	effect0	effects_10501_skillD	skillD						0	1		70-40	bdbox_eff	0.8	1				1	7040		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		0	1			
50020	琴里—闪避	effect0	effects_10501_quickmove	quickmove						1	1		1-0	bdbox_eff	0.8	1				0	0		1		0				0			0	0				0	0	400	1000	0		0			0	1			
50030	琴里—出场—旋风斩up	effect1	effects_10501_skillF	up						0	1		70-40	bdbox_eff	0.8	1				1	7050-7050-7051		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50031	琴里—出场—旋风斩down	effect1	effects_10501_skillF	down						0	0		70-40	bdbox_eff	0.8	1				0	0		3		3				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50040	琴里-技能1-旋转挑飞-0级-旋转	effect0	effects_10501_extra_skillB	extra_skillB1						0	1		70-40	bdbox_eff	0.8	1				1	7060		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50041	琴里-技能1-旋转挑飞-1级-旋转	effect0	effects_10501_extra_skillB	extra_skillB2						0	1		70-40	bdbox_eff	0.8	1				1	7061		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50042	琴里-技能1-旋转挑飞-1级-横斩*2	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7062		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50043	琴里-技能1-旋转挑飞-2级-旋转	effect0	effects_10501_extra_skillB	extra_skillB3						0	1		70-40	bdbox_eff	0.8	1				1	7063		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50044	琴里-技能1-旋转挑飞-2级-横斩*2	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7064		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50045	琴里-技能1-旋转挑飞-2级-重劈	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7065		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50046	琴里-技能1-旋转挑飞-3级-旋转	effect0	effects_10501_extra_skillB	extra_skillB4						0	1		70-40	bdbox_eff	0.8	1				1	7066		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50047	琴里-技能1-旋转挑飞-3级-横斩*2	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7067		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50048	琴里-技能1-旋转挑飞-3级-重劈	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7068		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50060	琴里-技能2-跳跃重劈-0级-跳劈	effect0	effects_10501_skillB	skillB_1						0	1		70-40	bdbox_eff	0.8	1				1	7080		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50061	琴里-技能2-跳跃重劈-1级-跳劈	effect0	effects_10501_skillB	skillB_1						0	1		70-40	bdbox_eff	0.8	1				1	7081		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50062	琴里-技能2-跳跃重劈-1级-火浪	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7082		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50063	琴里-技能2-跳跃重劈-2级-跳劈	effect0	effects_10501_skillB	skillB_1						0	1		70-40	bdbox_eff	0.8	1				1	7083		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50064	琴里-技能2-跳跃重劈-2级-火浪	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7084		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50065	琴里-技能2-跳跃重劈-2级-地面火焰	effect0	effects_10501_skillB	skillB_2						0	1		70-40	bdbox_eff	0.8	1				1	7085		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50066	琴里-技能2-跳跃重劈-3级-跳劈	effect0	effects_10501_skillB	skillB_1_1						0	1		70-40	bdbox_eff	0.8	1				1	7086		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50067	琴里-技能2-跳跃重劈-3级-火浪	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7087		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50068	琴里-技能2-跳跃重劈-3级-地面火焰	effect0	effects_10501_skillB	skillB_2_1						0	1		70-40	bdbox_eff	0.8	1				1	7088		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50080	琴里-技能2-必杀-0级-踩	effect0	effects_10501_skillC	skillC_1_up						0	1		70-40	bdbox_eff	0.8	1				1	7100		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50081	琴里-技能2-必杀-0级-斩劈1+1	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7101-7102		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50082	琴里-技能2-必杀-1级-踩	effect0	effects_10501_skillC	skillC_2_up						0	1		70-40	bdbox_eff	0.8	1				1	7103		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50083	琴里-技能2-必杀-1级-斩劈1+3	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7104-7105-7106-7107		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50084	琴里-技能2-必杀-2级-踩	effect0	effects_10501_skillC	skillC_3_up						0	1		70-40	bdbox_eff	0.8	1				1			1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50085	琴里-技能2-必杀-2级-斩劈1+5	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7109-7110-7111-7112-7113-7114		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50086	琴里-技能2-必杀-3级-踩	effect0	effects_10501_skillC	skillC_4_up						0	1		70-40	bdbox_eff	0.8	1				1			1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50087	琴里-技能2-必杀-3级-斩劈1+5	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7116-7117-7118-7119-7120-7121		1		0				0			0	0				0	0	400	0	0		effects_10501_skillA	skillA		120	1			
50151	琴里—火焰爆炸	effect1	effects_10501_PskillA	PskillA_hit2						0	1		70-40	bdbox_eff	0.8	1				1	7160		3		3				0			0	0				0	0	400	0	0					120	1			
50160	琴里-炮—普攻展示1	effect0	effects_10501_PskillA	PskillA_1						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50161	琴里-炮—普攻展示2	effect0	effects_10501_PskillA	PskillA_2						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50162	琴里-炮—普攻展示3	effect0	effects_10501_PskillA	PskillA_3						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50165	琴里-炮—普攻1	effect0	effects_10501_PskillA	PskillA_4						1	1		70-40	bdbox_eff	0.8	2				2	7201		3		2			shoot	0		1	0	0				10	0	1000	1500	effects_10501_skillA	skillA				120	1			
50166	琴里-炮—普攻2	effect0	effects_10501_PskillA	PskillA_4						1	1		70-40	bdbox_eff	0.8	2				2	7202		3		2			shoot	0		1	0	0				10	0	1000	1500	effects_10501_skillA	skillA				120	1			
50167	琴里-炮—普攻3	effect0	effects_10501_PskillA	PskillA_4						1	1		70-40	bdbox_eff	0.8	2				2	7203		3		2			shoot	0		1	0	0				10	0	1000	1500	effects_10501_skillA	skillA				120	1			
50180	琴里-炮-技能1-火焰光束-0级-展示	effect0	effects_10501_PskillB	PskillB_1						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50181	琴里-炮-技能1-火焰光束-0级	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7211		1		0				0			0	0				0	0	400	0	0					120	1			
50182	琴里-炮-技能1-火焰光束-1级-展示	effect0	effects_10501_PskillB	PskillB_2						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50183	琴里-炮-技能1-火焰光束-1级	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7212		1		0				0			0	0				0	0	400	0	0					120	1			
50184	琴里-炮-技能1-火焰光束-2级-展示	effect0	effects_10501_PskillB	PskillB_2						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50185	琴里-炮-技能1-火焰光束-2级	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7213		1		0				0			0	0				0	0	400	0	0					120	1			
50186	琴里-炮-技能1-火焰光束-3级-展示	effect0	effects_10501_PskillB	PskillB_3						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50187	琴里-炮-技能1-火焰光束-3级	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7214		1		0				0			0	0				0	0	400	0	0					120	1			
50188	琴里-炮-技能1-火焰光束-3级-爆炸	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				1	7215		1		0				0			0	0				0	0	400	0	0					120	1			
50200	琴里-炮-技能2-聚能火球-0级-展示	effect0	effects_10501_extra_PskillB	PskillB_1						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50201	琴里-炮-技能2-聚能火球-0级	effect0	effects_10501_extra_PskillB	PskillB_huoqiu						1	2		70-40	bdbox_eff	0.8	2				2	7231		3		2	50		weapon_1	0			0	0				1	50202	600	2000	0		effects_10501_extra_PskillB	PskillB_1_1		120	1			
50202	琴里-炮-技能2-聚能火球-0级-循环	effect0	effects_10501_extra_PskillB	PskillB_1_2						1	2		70-40	bdbox_eff	0.8	1	1	-100		1	7232		3		2				0			0	0				0	50203	400	2000	0					120	1			
50203	琴里-炮-技能2-聚能火球-0级-爆炸	effect0	effects_10501_extra_PskillB	PskillB_1_3						0	1		70-40	bdbox_eff	0.8	1				1	7233		3		2				0			0	0				0	0	400	0	0					120	1			
50204	琴里-炮-技能2-聚能火球-1级-展示	effect0	effects_10501_extra_PskillB	PskillB_1						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50205	琴里-炮-技能2-聚能火球-1级	effect0	effects_10501_extra_PskillB	PskillB_huoqiu						1	2		70-40	bdbox_eff	0.8	2				2	7234		3		2	50		weapon_1	0			0	0				1	50206	600	2000	0		effects_10501_extra_PskillB	PskillB_1_1		120	1			
50206	琴里-炮-技能2-聚能火球-1级-循环	effect0	effects_10501_extra_PskillB	PskillB_2_1						1	2		70-40	bdbox_eff	0.8	1	1	-200		1	7235		3		2				0			0	0				0	50207	400	2000	0					120	1			
50207	琴里-炮-技能2-聚能火球-1级-爆炸	effect0	effects_10501_extra_PskillB	PskillB_1_3						0	1		70-40	bdbox_eff	0.8	1				1	7236		3		2				0			0	0				0	0	400	0	0					120	1			
50208	琴里-炮-技能2-聚能火球-2级-展示	effect0	effects_10501_extra_PskillB	PskillB_2						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50209	琴里-炮-技能2-聚能火球-2级	effect0	effects_10501_extra_PskillB	PskillB_huoqiu						1	2		70-40	bdbox_eff	0.8	2				2	7237		3		2	50		weapon_1	0			0	0				1	50210	600	2000	0		effects_10501_extra_PskillB	PskillB_1_1		120	1			
50210	琴里-炮-技能2-聚能火球-2级-循环	effect0	effects_10501_extra_PskillB	PskillB_2_1						1	2		70-40	bdbox_eff	0.8	1	1	-200		1	7238		3		2				0			0	0				0	50211	400	2000	0					120	1			
50211	琴里-炮-技能2-聚能火球-2级-爆炸	effect0	effects_10501_extra_PskillB	PskillB_1_3						0	1		70-40	bdbox_eff	0.8	1				1	7239		3		2				0			0	0				0	0	400	0	0					120	1			
50212	琴里-炮-技能2-聚能火球-3级-展示	effect0	effects_10501_extra_PskillB	PskillB_2						0	1		70-40	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	0	0					120	1			
50213	琴里-炮-技能2-聚能火球-3级	effect0	effects_10501_extra_PskillB	PskillB_huoqiu						1	2		70-40	bdbox_eff	0.8	2				2	7240		3		2	50		weapon_1	0			0	0				1	50214	600	2000	0		effects_10501_extra_PskillB	PskillB_1_1		120	1			
50214	琴里-炮-技能2-聚能火球-3级-循环	effect0	effects_10501_extra_PskillB	PskillB_2_1						1	2		70-40	bdbox_eff	0.8	1	1	-200		1	7241		3		2				0			0	0				0	50215	400	2000	0					120	1			
50215	琴里-炮-技能2-聚能火球-3级-爆炸	effect0	effects_10501_extra_PskillB	PskillB_3						0	1		70-40	bdbox_eff	0.8	1				1	7242		3		2				0			0	0				0	0	400	0	0					120	1			
50230	琴里-炮-必杀-0级-跃起展示	effect0	effects_10501_PskillC	PskillC_1			10000	50201		0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	0	400	0	0					120	1			
50231	琴里-炮-必杀-0级-发射	effect0	effects_air	effects_air			10000	50201		0	1		70-40	bdbox_eff	0.8	1				1	7250		3		3				0			0	0				0	0	400	0	0					120	1			
50232	琴里-炮-必杀-0级-落地展示	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	0	400	0	0					120	1			
50233	琴里-炮-必杀-1级-跃起展示	effect0	effects_10501_PskillC	PskillC_1			10000	50201		0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	50235	400	0	0					120	1			
50234	琴里-炮-必杀-1级-发射	effect0	effects_air	effects_air			10000	50201		0	1		70-40	bdbox_eff	0.8	1				1	7251		3		3				0			0	0				0	0	400	0	0					120	1			
50235	琴里-炮-必杀-1级-地面火焰	effect0	effects_10501_PskillC	PskillC_1_down			10000	50201		1	0		70-40	bdbox_eff	0.8	1				1	7252		3		2				0			0	0				0	0	400	3000	0					120	1			
50236	琴里-炮-必杀-1级-落地展示	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	0	400	0	0					120	1			
50237	琴里-炮-必杀-2级-跃起展示	effect0	effects_10501_PskillC	PskillC_2			10000	50201		0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	50239	400	0	0					120	1			
50238	琴里-炮-必杀-2级-发射	effect0	effects_air	effects_air			10000	50201		0	1		70-40	bdbox_eff	0.8	1				1	7253		3		3				0			0	0				0	0	400	0	0					120	1			
50239	琴里-炮-必杀-2级-地面火焰	effect0	effects_10501_PskillC	PskillC_2_down			10000	50201		1	0		70-40	bdbox_eff	0.8	1				1	7254		3		2				0			0	0				0	0	400	3000	0					120	1			
50240	琴里-炮-必杀-2级-落地展示	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	0	400	0	0					120	1			
50241	琴里-炮-必杀-3级-跃起展示	effect0	effects_10501_PskillC	PskillC_3			10000	50201		0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	50243	400	0	0					120	1			
50242	琴里-炮-必杀-3级-发射	effect0	effects_air	effects_air			10000	50201		0	1		70-40	bdbox_eff	0.8	1				1	7255-7256		3		3				0			0	0				0	0	400	0	0					120	1			
50243	琴里-炮-必杀-3级-地面火焰	effect0	effects_10501_PskillC	PskillC_3_down			10000	50201		1	0		70-40	bdbox_eff	0.8	1				1	7257		3		2				0			0	0				0	0	400	3000	0					120	1			
50244	琴里-炮-必杀-3级-落地展示	effect0	effects_air	effects_air						0	1		70-40	bdbox_eff	0.8	1				0			3		3				0			0	0				0	0	400	0	0					120	1			
50300	琴里-炮—觉醒变身	effect0	effects_10501_PskillD	PskillD						0	1		70-40	bdbox_eff	0.8	1				1	7260		1		0				0			0	0				0	0	400	0	0					0	1			
50310	琴里-炮—闪避	effect0	effects_air	effects_air						1	1		1-0	bdbox_eff	0.8	1				0			1		0				0			0	0				0	0	400	1000	0					0	1			
																																																		
60010	崇宫真那—普攻1	effect1	effects_10601_skillA	skillA1			0	60051		0	1		70-40	bdbox_eff	1	1				1	6910		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		0	1			
60020	崇宫真那—普攻2	effect1	effects_10601_skillA	skillA2			0	60051		0	1		70-40	bdbox_eff	1	1				1	6920-6921		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		60	1			
60030	崇宫真那—普攻3	effect1	effects_10601_skillA	skillA3			0	60051		0	1		70-40	bdbox_eff	1	1				1	6930-6931		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60040	崇宫真那—普攻4	effect0	effects_10601_skillA	skillA4			0	60051		0	1		70-40	bdbox_eff	1	1				1	6940-6941		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		90	1			
60050	崇宫真那—普攻5	effect0	effects_10601_skillA	skillA5			0	60051		0	1		70-40	bdbox_eff	1	1				1	6950		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		70	1			
60051	崇宫真那—普攻-残影攻击	effect1	effects_10601_skillA	skillA7						0	1		70-40	bdbox_eff	1	1				1	6951		3		3	200			0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		45	1			
60200	崇宫真那-技能1-0级	effect1	effects_10601_skillB	skillB0						0	1		70-40	bdbox_eff	1	1				1	6201-6202-6203-6204-6205		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60210	崇宫真那-技能1-1级	effect0	effects_10601_skillB	skillB0						0	1		70-40	bdbox_eff	1	1				1	6211-6212-6213-6214-6215		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60220	崇宫真那-技能1-1级	effect0	effects_10601_skillB	skillB1						0	1		70-40	bdbox_eff	1	1				1	6220		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60230	崇宫真那-技能1-2级	effect1	effects_10601_skillB	skillB0						0	1		70-40	bdbox_eff	1	1				1	6231-6232-6233-6234-6235		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60240	崇宫真那-技能1-2级	effect0	effects_10601_skillB	skillB1						0	1		70-40	bdbox_eff	1.2	1				1	6240		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60250	崇宫真那-技能1-2级	effect0	effects_10601_skillB	skillB2All						0	1		70-40	bdbox_eff	1.2	1				1	6250		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60260	崇宫真那-技能1-3级	effect1	effects_10601_skillB	skillB0						0	1		70-40	bdbox_eff	1	1				1	6261-6262-6263-6264-6265		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60270	崇宫真那-技能1-3级	effect0	effects_10601_skillB	skillB1						0	1		70-40	bdbox_eff	1.5	1				1	6270		1		0				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60280	崇宫真那-技能1-3级	effect0	effects_10601_skillB	skillB3All						0	1		70-40	bdbox_eff	1.5	1				1	6280		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60700	崇宫真那-技能2-0级	effect0	effects_10601_extra_skillB	extra_skillB0_1						0	1		70-40	bdbox_eff	1	1				1	6700		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60710	崇宫真那-技能2-0级	effect0	effects_10601_extra_skillB	extra_skillB0_2						0	1		70-40	bdbox_eff	1	1				1	6710		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60720	崇宫真那-技能2-1级	effect0	effects_10601_extra_skillB	extra_skillB2_1_1						0	1		70-40	bdbox_eff	1	1				1	6720		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60730	崇宫真那-技能2-1级	effect0	effects_10601_extra_skillB	extra_skillB2_1_2						0	1		70-40	bdbox_eff	1	1				1	6730		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60740	崇宫真那-技能2-1级	effect0	effects_10601_extra_skillB	extra_skillB2_1_3						0	1		70-40	bdbox_eff	1	1				1	6740		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60750	崇宫真那-技能2-1级	effect0	effects_10601_extra_skillB	extra_skillB2_1_4						0	1		70-40	bdbox_eff	1	1				1	6750		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60760	崇宫真那-技能2-2级	effect0	effects_10601_extra_skillB	extra_skillB2_2						0	1		70-40	bdbox_eff	1	1				1	6760-6760-6760-6760-6761-6761		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60770	崇宫真那-技能2-3级	effect0	effects_10601_extra_skillB	extra_skillB3_2						0	1		70-40	bdbox_eff	1	1				1	6770-6770-6770-6770-6770-6770-6770-6771-6771-6771-6771		3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60800	崇宫真那-大招-0级	effect1	effects_10601_skillC	skillC0_1						0	1		70-40	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	0	0	0		0				1			
60801	崇宫真那-大招-0级	effect2	effects_10601_skillC	skillC0_2						0	1		70-40	bdbox_eff	1	1				1	6801-6801-6801-6801-6802	1	3		3				0			0	0				0	0	0	0	0		effects_20101_skillA1	effects_skillA		120	1			
60802	崇宫真那-大招-0级	effect2	effects_10601_skillC	skillC0_3						0	1		70-40	bdbox_eff	1	1				1	0		1		0				0			0	0				0	0	0	0	0		0			0	1			
