	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
2502431	2101001	2	{}		100		我身兼着奖品和裁判的身份，无奈地发出开始的指令后，十香和折纸便拼尽全力般的大口吞咽着	1	{}			{}	{}					2502432		1			id_pose_6		id_look_13			1	{}	1.2	1								3	{}	1.2	1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502432	2101001	2	{}		100		诶？狂三还在用手帕擦手	1	{}			{}	{}					2502433		1								1	{}	1.2	1								3	{}	1.2	1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502433	2101001	2	{}		100	时崎狂三	「啊啦啊啦，我开动啦」	1	{}			{}	{}					2502434											{}											{}		1			id_pose_3		id_look_5			2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502434	2101001	2	{}		100		狂三撕开包装袋，将黄豆粉面包放在盘子上，慢条斯理地像是切牛排一样将面包分成小块	1	{}			{}	{}					2502435											{}											{}		1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502435	2101001	2	{}		100		虽然我作为奖品一般的存在，也不禁叹了口气，看样子狂三是不可能赢了	1	{}			{}	{}					2502436											{}											{}		1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502436	2101001	2	{}		100		果然，当狂三吃完一个黄豆粉面包的时候，十香与折纸桌子上早已堆满了空的包装袋	1	{}			{}	{}					2502437											{}											{}		1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502437	2101001	2	{}		100	时崎狂三	「多谢款待~」	1	{}			{}	{}					2502438											{}											{}		1			id_pose_1		id_look_3			2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502438	2101001	2	{}		100		狂三满意地擦掉嘴上残留的面包屑，正当我以为狂三即将放弃的时候	1	{}			{}	{}					2502439											{}											{}		1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502439	2101001	2	{}		100	时崎狂三	「呐，出来吧，『我们』」	1	{}			{}	{}					2502440											{}											{}		1			id_pose_1		id_look_1			2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502440	2101001	2	{}		100	1	「什……什么？！！」	1	{}			{}	{}					2502441											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2502441	2101001	2	{}		100		我目瞪口呆的看着无数个狂三涌进面包店	1	{}			{}	{}					2502442											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2502442	2101001	2	{}		100	时崎狂三1	「啊啦啊啦，吓到了？」	1	{}			{}	{}					2502443		10401			id_pose_1		id_look_11			1	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
2502443	2101001	2	{}		100	时崎狂三2	「嘻嘻嘻」	1	{}			{}	{}					2502444		1								1	{}	1.2	10401			id_pose_2		id_look_8			3	{}	1.2										{}										1		{}																	{}	{}					{}	{}		{}		
2502444	2101001	2	{}		100	时崎狂三3	「呼呼，看起来很美味呢」	1	{}			{}	{}					2502445		1								1	{}	1.2	1								3	{}	1.2	10401			id_pose_1		id_look_1			2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502445	2101001	2	{}		100		面包店里无数狂三窃笑着，随即响起刀叉碰撞的诡异声音	1	{}			{}	{}					2502446		1								1	{}	1.2	1								3	{}	1.2	1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502446	2101001	2	{}		100		没过多久，面包店里一开始给参赛选手准备着的黄豆粉面包都被一扫而空	1	{}			{}	{}					2502447		1								1	{}	1.2	1								3	{}	1.2	1								2	{}	1.2									1		{}																	{}	{}					{}	{}		{}		
2502447	2101001	2	{}		100	时崎狂三	「贵安了，各位。记得和我的约会哦， %s 」	1	{}			{}	{}					2502448											{}											{}		1			id_pose_1		id_look_1			2	{}	1.2									1		{}			sound/role/yuyin_kuangsan_1.mp3														{}	{}					{}	{}		{}		
2502448	2101001	2	{}		100		十香与折纸口中还鼓着没来得及吞下去的面包，和我一样愣在了原地	1	{}			{}	{}																{}											{}											{}										1		{}																	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				5	{}	{}		{}		
2503101	2101001	2	{}		100		「买买买，再买一份！」	1	{}			{}	{}					2503102	1	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2503201	2101001	2	{}		100		「买买买，再买两份！」	1	{}			{}	{}					2503102	1	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2503301	2101001	2	{}		100		「买买买，再买三份！」	1	{}			{}	{}					2503102	1	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									30	1						{}	{}					{}	{}		{}		
2503102	2101001	2	{}		100		桌面再次被堆满了面包，十香眼睛闪闪发光，口中发出愉快的声音	1	{}			{}	{}					2503103	2	10107			id_pose_9		id_look_4			2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2503103	2101001	2	{}		100	夜刀神十香	「我开动啦！」	1	{}			{}	{}					2503104		10107			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2503104	2101001	2	{}		100	1	「我开动啦…………」	1	{}			{}	{}					2503105		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2503105	2101001	2	{}		100		我有些忧伤地抓起一块面包塞进嘴里	1	{}			{}	{}					2503106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2503106	2101001	2	{}		100		没过多久……………………	1	{}			{}	{}					2503107		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2503107	2101001	2	{}		100	夜刀神十香	「唔姆！又被吃完了！」	1	{}			{}	{}					2503108		10107			id_pose_6		id_look_8	103_eff	id_idea	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2503108	2101001	2	{}		100	1	「十……十香……」	1	{}			{}	{}					2503109		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2503109	2101001	2	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					2503110		10107			id_pose_6		id_look_2	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_6.mp3								1						{}	{}					{}	{}		{}		
2503110	2101001	2	{}		100	夜刀神十香	「不知道为什么一直都吃不饱，嘿嘿」	1	{}			{}	{}					2503111		1								2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2503111	2101001	2	{}		100		拜托，我一天也吃不了这么多……	1	{}			{}	{}					2503112		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2503112	2101001	2	{}		100	夜刀神十香	「还可以再吃么~」	1	{}			{}	{}					2503113		10107			id_pose_6		id_look_5	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_6.mp3								1						{}	{}					{}	{}		{}		
2503113	2101001	2	{}		100		我不禁叹了口气，再次绝望地走向收银台	1	{}			{}	{}					2501218		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2504101	2101001	2	{}		100		「豪华奶酪面包家庭装」	1	{}			{}	{}					2402102	1	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									10	1						{}	{}					{}	{}		{}		
2504201	2101001	2	{}		100		「黄豆粉面包」	1	{}			{}	{}					2402402	1	10107			id_pose_6		id_look_5			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2505101	2101001	2	{}		100		「吃到豆沙的味道了么」	1	{}			{}	{}					2505102	1	10107			id_pose_12		id_look_4			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3										1						{}	{}					{}	{}		{}		
2505201	2101001	2	{}		100		「吃到樱花的味道了么」	1	{}			{}	{}					2505202	1	10107			id_pose_12		id_look_4			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3										1						{}	{}					{}	{}		{}		
2505102	2101001	2	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					2505103		10107			id_pose_9		id_look_3	103_eff	id_sweat	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2505103	2101001	2	{}		100		十香又用力咬下一块，细细咀嚼着	1	{}			{}	{}					2505104		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505104	2101001	2	{}		100	夜刀神十香	「唔姆~入口甜甜的，这应该就是豆沙的味道吧！」	1	{}			{}	{}					2505105		1			id_pose_9		id_look_2			2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2505105	2101001	2	{}		100		似乎在努力寻找形容这种味道的词语，十香一边吃着一边不停望向窗外	1	{}			{}	{}					2505106	2	1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2505106	2101001	2	{}		100		可惜的是并没有赏心悦目的樱花开满枝头	1	{}			{}	{}					2505107		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2505107	2101001	2	{}		100	夜刀神十香	「 %s ，下次还来吃樱花豆沙面包吧~」	1	{}			{}	{}					2505108		1			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2505108	2101001	2	{}		100		十香露出陶醉的笑容	1	{}			{}	{}					2505109		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505109	2101001	2	{}		100		我伸出手温柔地摸了摸十香的脑袋	1	{}			{}	{}					2505110		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505110	2101001	2	{}		100		突然间，我感觉到窗外突然樱花盛开	1	{}			{}	{}					2505111		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505111	2101001	2	{}		100		像一场纷纷扬扬的小雪，飘落在美食街道上	1	{}			{}	{}					2505112		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505112	2101001	2	{}		100	1	「嗯！约定好了哟！」	1	{}			{}	{}							1								2	{}	1.4										{}											{}										1.1		{}											1						{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5},{"id":540003,"num":1}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
2505202	2101001	2	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					2505203		1			id_pose_11		id_look_3	103_eff	id_heart	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2505203	2101001	2	{}		100		十香又用力咬下一块，细细咀嚼着	1	{}			{}	{}					2505204		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2505204	2101001	2	{}		100	夜刀神十香	「唔姆~入口香香的，这应该就是樱花的味道吧！」	1	{}			{}	{}					2505105		1			id_pose_11		id_look_4			2	{}	1.4										{}											{}										1.4		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2506101	2101001	2	{}		100		「别在意......我正在减肥」	1	{}			{}	{}					2506102	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-30	1						{}	{}					{}	{}		{}		
2506201	2101001	2	{}		100		「让我也咬一口吧」	1	{}			{}	{}					2506202	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
2506301	2101001	2	{}		100		「那么......我也吃一个吧」	1	{}			{}	{}					2506302	1	10107			id_pose_9		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2506102	2101001	2	{}		100	夜刀神十香	「哼！ %s 是在嫌弃我么！果然男生都喜欢苗条的女生！」	1	{}			{}	{}					2506103		10107			id_pose_9		id_look_5	103_eff	id_angry	2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_9.mp3								1						{}	{}					{}	{}		{}		
2506103	2101001	2	{}		100		十香鼓起脸颊，显得有些沮丧郁闷	1	{}			{}	{}					2506104		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2506104	2101001	2	{}		100	1	「误会了……其实很多人都羡慕十香的身材哦」	1	{}			{}	{}					2506105		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2506105	2101001	2	{}		100		我急忙说道	1	{}			{}	{}					2506106		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2506106	2101001	2	{}		100	夜刀神十香	「唔姆……」	1	{}			{}	{}					2506107		1			id_pose_6		id_look_7	103_eff	id_gas	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2506107	2101001	2	{}		100	夜刀神十香	「既然如此，那我今天要多吃一些！」	1	{}			{}	{}					2506108		1								2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2506108	2101001	2	{}		100		看着十香迈开步伐走向柜台，我重重地叹了口气	1	{}			{}	{}					2501218		1			id_pose_5		id_look_4			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2506202	2101001	2	{}		100	夜刀神十香	「诶？！ %s 不是也有一个黄豆粉面包么」	1	{}			{}	{}					2506203		10107			id_pose_9		id_look_7			2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2506203	2101001	2	{}		100		我不怀好意地笑了笑，正准备撕开黄豆粉面包的包装袋时	1	{}			{}	{}					2506204		1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2506204	2101001	2	{}		100	夜刀神十香	「喏~给你」	1	{}			{}	{}					2506205		1			id_pose_5		id_look_4			2	{}	1.4										{}											{}										1.3		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2506205	2101001	2	{}		100		没想到十香居然真的将手中的面包递了过来	1	{}			{}	{}					2506206		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2506206	2101001	2	{}		100		面包被咬掉的一块空缺处，仿佛还能够看到十香的牙印，我不禁吞了吞口水	1	{}			{}	{}					2506207		1								2	{}	1.4										{}											{}										1.3		{}											1						{}	{}					{}	{}		{}		
2506207	2101001	2	{}		100	夜刀神十香	「再不吃我就收回了哦」	1	{}			{}	{}				1	2506208		1			id_pose_6		id_look_2	103_eff	id_angry	2	{}	1.4										{}											{}										1.2		{}			sound/role/yuyin_shixiang_5.mp3								1						{}	{}					{}	{}		{}		
2506208	2101001	2	{}		100		十香似乎猜到了我心里所想的，脸颊上渐渐浮现一抹红晕	1	{}			{}	{}					2603101-2603201	5	1								2	{}	1.4										{}											{}										1.2		{}											1						{}	{}					{}	{}		{}		
2506302	2101001	2	{}		100		十香露出灿烂的笑容	1	{}			{}	{}					2506303		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2506303	2101001	2	{}		100	夜刀神十香	「唔姆！」	1	{}			{}	{}					2506304		10107			id_pose_9		id_look_4	103_eff	id_sun	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2506304	2101001	2	{}		100		不得不说这家面包店的面包都很美味，即便是小小的一个面包也感觉做得一丝不苟，也难怪十香在其面前毫无招架之力	1	{}			{}	{}					2506305		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2506305	2101001	2	{}		100		两人趴在面包店的桌子上，一边吃一边望向窗外	1	{}			{}	{}					1002506306		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
1002506306	2101001	2	{}		100			1	{}			{}	{}					2506306											{}											{}											{}							scene/bg/bg_meishijie.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2506306	2101001	2	{}		100		正午的阳光洒在美食街的道路上，拎着公文包的上班白领匆匆路过，在对面冷饮店解暑的女学生，树下嬉笑乘凉的情侣	1	{}			{}	{}					2506307											{}											{}											{}										1		{}	sound/bgm/date_005.mp3																{}	{}					{}	{}		{}		
2506307	2101001	2	{}		100		这个世界看起来是那么温柔	1	{}			{}	{}					2506308											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
2506308	2101001	2	{}		100	夜刀神十香	「诶， %s 」	1	{}			{}	{}					1002506309											{}											{}											{}										1		{}			sound/role/yuyin_shixiang_8.mp3														{}	{}					{}	{}		{}		
1002506309	2101001	2	{}		100			1	{}			{}	{}					2506309											{}											{}											{}							scene/bg/bg_mianbaodian.png	2		1	-1	{}																	{}	{}					{}	{}		{}		
2506309	2101001	2	{}		100	1	「嗯？」	1	{}			{}	{}					2506310		10107			id_pose_9		id_look_4			2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2506310	2101001	2	{}		100		十香突然压低声音说道	1	{}			{}	{}					2506311		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2506311	2101001	2	{}		100	夜刀神十香	「其实到现在我都还无法相信，自己居然能够在这个世界这么幸福地生活下去」	1	{}			{}	{}					2506312		1			id_pose_6		id_look_5	103_eff	id_sweat	2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_7.mp3								1						{}	{}					{}	{}		{}		
2506312	2101001	2	{}		100	夜刀神十香	「想了很多次，就算待在这个世界也可以么？原先现界的时候，破坏掉了那么多美好的东西」	1	{}			{}	{}					2506313		1			id_pose_6		id_look_2			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_8.mp3								1						{}	{}					{}	{}		{}		
2506313	2101001	2	{}		100		十香露出稍微有些悲伤的表情	1	{}			{}	{}				1	2506314		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2506314	2101001	2	{}		100	夜刀神十香	「不过多亏了 %s ，这么包容什么都不懂的我，教会我这么多我不知道的东西」	1	{}			{}	{}					2604101-2604201-2604301	5	10107			id_pose_9		id_look_3			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2507101	2101001	2	{}		100		「其实那是令音小姐」	1	{}			{}	{}					2507102	1	10107			id_pose_6		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2507201	2101001	2	{}		100		「别去在意这些小细节啦……」	1	{}			{}	{}					2507202	1	10107			id_pose_6		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
2507102	2101001	2	{}		100	夜刀神十香	「诶？令音小姐为什么会在这里？」	1	{}			{}	{}					2507103		1			id_pose_9		id_look_7			2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2507103	2101001	2	{}		100	1	「那是因为……」	1	{}			{}	{}					2507104		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2507104	2101001	2	{}		100	1	「哦对了，令音小姐平时会在这里打工赚钱哦~」	1	{}			{}	{}					2507105		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2507105	2101001	2	{}		100		这个时候后背传来阵阵寒意，我苦笑着挪了挪身子	1	{}			{}	{}					2507106		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2507106	2101001	2	{}		100		递过刚买到黄豆粉面包，十香迫不及待咬下一口，陶醉的表情迅速在脸上弥漫开	1	{}			{}	{}					2402406		1			id_pose_9		id_look_4			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2507202	2101001	2	{}		100		虽然十香努力回想，但终究黄豆粉面包的吸引力是不可抵挡的	1	{}			{}	{}					2507203		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2507203	2101001	2	{}		100		递过刚买到黄豆粉面包，十香迫不及待咬下一口，陶醉的表情迅速在脸上弥漫开	1	{}			{}	{}					2402406		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601101	2101001	2	{}		100		「那是当然，还要照顾家里长身体的妹妹啦」	1	{}			{}	{}					2601102	1	10107			id_pose_9		id_look_4			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									-10	1						{}	{}					{}	{}		{}		
2601201	2101001	2	{}		100		「你所有不知道的东西我全部教给你」	1	{}			{}	{}					2601202	1	10107			id_pose_9		id_look_4			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									30	1						{}	{}					{}	{}		{}		
2601301	2101001	2	{}		100		「所以说不能挑食哦~」	1	{}			{}	{}					2601302	1	10107			id_pose_9		id_look_4			2	{}	1.2										{}											{}							scene/bg/bg_mianbaodian.png			1	-1	{}	sound/bgm/date_001.mp3									20	1						{}	{}					{}	{}		{}		
2601102	2101001	2	{}		100	夜刀神十香	「那么…… %s 对我是像妹妹一样么，还是……」	1	{}			{}	{}					2601103		10107			id_pose_10		id_look_2			2	{}	1.4										{}											{}										1.1		{}			sound/role/yuyin_shixiang_4.mp3								1						{}	{}					{}	{}		{}		
2601103	2101001	2	{}		100		十香突如其来的话语让我有些来不及反应	1	{}			{}	{}					2601104		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601104	2101001	2	{}		100	1	「其实……我对十香……」	1	{}			{}	{}				1	2601105		1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601105	2101001	2	{}		100		不知为何，在十香灼热的眼神下，我竟然吞吞吐吐起来	1	{}			{}	{}					2701101-2701201-2701301	5	1								2	{}	1.4										{}											{}										1.1		{}											1						{}	{}					{}	{}		{}		
2601202	2101001	2	{}		100	夜刀神十香	「但，但是，还有那个。我不知道的东西太多了哦？」	1	{}			{}	{}					2601203	2	10101			id_pose_10		id_look_5			2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601203	2101001	2	{}		100	1	「那种事情，全都由我来教给你！」	1	{}			{}	{}					2601204		1								2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601204	2101001	2	{}		100	夜刀神十香	「......我真的，就算活着也可以么？」	1	{}			{}	{}					2601205		1			id_pose_10		id_look_1			2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601205	2101001	2	{}		100	1	「啊啊！」	1	{}			{}	{}					2601206		1								2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601206	2101001	2	{}		100	夜刀神十香	「就算待在这个世界也可以么？」	1	{}			{}	{}					2601207		1			id_pose_10		id_look_2			2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601207	2101001	2	{}		100	1	「没错！」	1	{}			{}	{}					2601208		1								2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601208	2101001	2	{}		100	1	「如果有否定你的人，我会比否定你的人，更加倍，更加倍地肯定你。」	1	{}			{}	{}					2601209		1			id_pose_10		id_look_7			2	{}	1.2										{}											{}										1		{}														1			{}	{}					{}	{}		{}		
2601209	2101001	2	{}		100		两人似乎同时想起了第一次约会时那一幕，脸红得厉害的十香低着头盯着已经空了的面包包装袋。	1	{}			{}	{}					2601210		10107			id_pose_7		id_look_2			2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601210	2101001	2	{}		100		回想起当时说过的话，心脏剧烈地跳动着，不禁开始紧张起来。	1	{}			{}	{}					2601211		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601211	2101001	2	{}		100		也许是默契还是别的什么，两人的手像是蚂蚁爬行一般缓缓靠向对方，手指相碰的一瞬间，又像是触电了似的退后一点。	1	{}			{}	{}					2601212		10107			id_pose_7		id_look_12	103_eff	id_sweat	2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601212	2101001	2	{}		100		反复几次，我最终还是握住了十香玉石一般细腻的手指。	1	{}			{}	{}					2601213		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601213	2101001	2	{}		100	1	「嗯......十......十香，对了，我们去家庭餐厅吃午饭吧。」	1	{}			{}	{}					2601214		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601214	2101001	2	{}		100		如果换做往常，十香肯定会显得迫不及待，眼睛闪闪发亮。而这次十香却微妙地移开了视线。	1	{}			{}	{}					2601215		1								2	{}	1.2										{}											{}										1		{}											1						{}	{}					{}	{}		{}		
2601215	2101001	2	{}		100	夜刀神十香	「唔……」	1	{}			{}	{}					2601216		1			id_pose_7		id_look_5	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/yuyin_shixiang_10.mp3								1						{}	{}					{}	{}		{}		
2601216	2101001	2	{}		100		走出面包店，夏日燥热的气温扑面而来，但握着的手似乎更加用力了。	1	{}			{}	{}							1								2	{}	1.2										{}											{}										1		{}											1						{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
