	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	奖励指定精灵游戏资源 格式：精灵id-资源id-数量  目前只支持添加好感度，若后期有其他资源奖励，再做调整 
1024029	10024	7	{}		100	十香	「唔呣，不行！这是我们第一次合作啊，快出来！快出来！」	1	{}				{}				1024030				1			id_pose_12		id_look_6				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1024030	10024	7	{}		100		十香生气地用力踹向娃娃机，故障的机器颤抖着弹出奖励。	1	{}				{}				1024031				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1024031	10024	7	{}		100	十香	「哇！原来这样就可以了，快看快看！」	1	{}				{}								1			id_pose_12		id_look_4				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021001	1002	7	{}		100			1	{}				{}				101021001													{}											{}											{}							scene/bg/bg_tiantai.png	2		1.25	-1	{}																	{}	{}													{}	{}	{}	
101021001	1002	7	{}		100	1	「今天过得怎么样？没有遇到想要杀掉你的家伙吧？」	1	{}				{}				1021002				10104	2							2	{}	1.5										{}											{}												{}																	{}	{}													{}	{}	{}	
1021002	1002	7	{}		100	十香	「唔……大家都很温柔。但是……我还是有些不敢相信。」	1	{}				{}				1021003				1									{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021003	1002	7	{}		100	十香	「那么多的人类……没有拒绝我，没有否定我，对我绽开笑容……不过，那个机械团那个，怎么说来着？阿咿？」	1	{}				{}				1021004				1			id_pose_5		id_look_7				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021004	1002	7	{}		100	1	「是说AST么？」	1	{}				{}				1021005				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021005	1002	7	{}		100	十香	「对，就是那个！也许，街上的人类都是他们的手下……只是为了欺骗我，这才是真相……也说不定。」	1	{}				{}				1021006				1			id_pose_1		id_look_1				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021006	1002	7	{}		100	1	「那么，连我也变成了AST的手下了么？」	1	{}				{}				1021007				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021007	1002	7	{}		100	十香	「不是！你，你是无辜的。对了！肯定是敌人抓住了你重视的人做为人质，威胁你！嗯！」	1	{}				{}				1021008-1021009-1021010	6 随机选项			1			id_pose_7	1	id_look_3				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021008	1002	7	{}	1	100		噗嗤，这是什么奇怪的猜想啊？	1	{}				{}				1021013	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021009	1002	7	{}	1	100		十香想象力，真是太厉害了！	1	{}				{}				1021013	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021010	1002	7	{}	1	100		唔……果然还是不相信我吗？	1	{}				{}				1021013	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021011	1002	7	{}	1	100		十香，我并不是你的敌人！	1	{}				{}				1021013	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021012	1002	7	{}	1	100		真的没有这种事！相信我吧！	1	{}				{}				1021013	1			1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021013	1002	7	{}		100	十香	「我……不认为你是我的敌人。」	1	{}				{}				1021014				1			id_pose_11		id_look_3				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021014	1002	7	{}		100	十香	「今天对我来说，是非常有意义的一天，第一次见到，这个世界是如此美丽，如此温柔……」	1	{}				{}				1021015				1			id_pose_12		id_look_4				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021015	1002	7	{}		100	十香	「那些家伙——AST的想法，我似乎有些明白了。」	1	{}				{}				1021016				1			id_pose_1						{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021016	1002	7	{}		100	1	「嗯？十香……是明白了哪部分？」	1	{}				{}				1021017				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021017	1002	7	{}		100	十香	「因为，我每次出现的时候，就会破坏如此美丽的世界啊。」	1	{}				{}				1021018				1			id_pose_12		id_look_2				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021018	1002	7	{}		100	十香	「我果然，还是应该消失掉才对吧……」	1	{}				{}				1021019				1									{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021019	1002	7	{}		100	1	「没有那种事！」	1	{}				{}				1021020				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021020	1002	7	{}		100	1	「你看，今天就没有发生空间震！肯定和平时有什么不一样，所以一定有办法……让十香存在于这个世界的办法……」	1	{}				{}				1021021				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021021	1002	7	{}		100	十香	「……不会的，无法阻止我不定期被送来这个世界，现界的次数，并不会减少。」	1	{}				{}				1021022				1			id_pose_5		id_look_12				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021022	1002	7	{}		100	1	「那么！只要你不回去那里就可以了吧！」	1	{}				{}				1021023				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021023	1002	7	{}		100	十香	「哎？那种事情……应该不可能吧……」	1	{}				{}				1021024-1021025-1021026	6 随机选项			1					id_look_1				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021024	1002	7	{}	1	100	1	「试试吧！就算一次也好！」	1	{}				{}				1021029				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021025	1002	7	{}	1	100		「拜托了，为了我留下来吧！」	1	{}				{}				1021029				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021026	1002	7	{}	1	100		「先试试吧，万一能留下来呢？」	1	{}				{}				1021029				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021027	1002	7	{}	1	100		「我一定会让你爱上这个世界的！」	1	{}				{}				1021029				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021028	1002	7	{}	1	100		「十香喜欢这里的吧？那就留下来吧！」	1	{}				{}				1021029				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021029	1002	7	{}		100	十香	「可是……我要怎么留下来呢？我的力量可能会伤害你，伤害你们……」	1	{}				{}				1021030				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021030	1002	7	{}		100	五河琴里	「别废话了！快抓紧机会！接吻！接吻！！接吻！！！」	1	{}				{}				1021031				1									{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}													{}	{}	{}	
1021031	1002	7	{}		100	1	「如果十香和我接吻，那种事情就不会再发生了。」	1	{}				{}				1021032				1									{}											{}											{}				1	1							{}																	{}	{}													{}	{}	{}	
1021032	1002	7	{}		100	十香	「接吻？那又是什么？和约会一样吗？」	1	{}				{}				1021033				1									{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021033	1002	7	{}		100	1	「不……不一样，但是如果这种方法有效，十香就不用担心力量失控了。」	1	{}				{}				1021034				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021034	1002	7	{}		100	十香	「真的？有那种方法吗？我……真的可以在这个世界上生存下去吗……」	1	{}				{}				1021035				1			id_pose_2		id_look_9				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021035	1002	7	{}		100	十香	「我对这个世界，完全不了解啊……」	1	{}				{}				1021036				1			id_pose_4		id_look_1				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021036	1002	7	{}		100	1	「这些就交给我吧！这个世界相关的事情，全都由我来教给你！」	1	{}				{}				1021037				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021037	1002	7	{}		100	十香	「我睡觉的地方，吃的东西……」	1	{}				{}				1021038				1					id_look_9				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021038	1002	7	{}		100	1	「我会想办法的！」	1	{}				{}				1021039				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021039	1002	7	{}		100	十香	「也许会发生预料之外的事也说不定。」	1	{}				{}				1021040				1									{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021040	1002	7	{}		100	1	「那种事等发生了再去考虑它！」	1	{}				{}				1021041				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021041	1002	7	{}		100	十香	「我真的，可以活下去吗？」	1	{}				{}				1021042				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021042	1002	7	{}		100	1	「当然！」	1	{}				{}				1021043				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021043	1002	7	{}		100	十香	「真的可以待在这个世界？」	1	{}				{}				1021044				1									{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021044	1002	7	{}		100	1	「没错！」	1	{}				{}				1021045				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021045	1002	7	{}		100	十香	「肯定我的人，只有你而已。AST不会这么说，其他的人类也是。」	1	{}				{}				1021046				1			id_pose_12		id_look_2				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
1021046	1002	7	{}		100	1	「谁管那么多啊！！如果那些家伙否定你，我会加倍肯定你！」	1	{}				{}				1021047				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021047	1002	7	{}		100	1	「十香，握住我的手。」	1	{}				{}				1021048				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
1021048	1002	7	{}		100	十香	「哎？手吗？」	1	{}				{}				101021048				1			id_pose_12		id_look_3				{}											{}											{}												{}				1													{}	{}													{}	{}	{}	
101021048	1002	7	{}		100	1	「现在只需要握住我的手就可以了！」	1	{}				{}				101021049				1									{}											{}											{}												{}																	{}	{}													{}	{}	{}	
101021049	1002	7	{}		100			1	{}				{}				101021050						3							{}											{}											{}												{}																	{}	{}													{}	{}	{}	
101021050	1002	7	{}		100			1	{}				{}				1021049													{}											{}											{}							scene/bg/bg_black.png	12		1.3	-1	{}																	{}	{}													{}	{}	{}	
1021049	1002	7	{}		100			1	{}				{}										2							{}											{}											{}												{}												1	1				{}	{}		video/cg_main_shidaozhongqiang.mp4									1		{}	{}	{}	101-500007-10
