排序	怪物ID(填写monster.csv表中怪物ID)	关卡ID(填写dungeonLevel.csv表中关卡ID)	怪物等级	怪物出现时间(从关卡第0秒开始计时，直到关卡结束，单位毫秒)	怪物出现坐标(以1屏尺寸为基础，坐标可出屏，场景左下角为(0,0))	怪物是否翻转	怪物AI(填AI的ID)	怪物出场帧段数(点第一段轨迹的结算帧段值)	出场动作名	怪物移动轨迹(移动轨迹在路径编辑器里编辑，此处填对应轨迹ID)	轨迹是否需要循环(第一段出场轨迹后的轨迹循环，多用于BOSS)	弹幕ID(弹幕表中I的D)	怒气恢复(怪物被击杀后，精灵恢复怒气点数)	怪物掉落Buff(关卡内的Buff道具)	怪物击杀得分	怪物掉落奖励(实际掉落)	死亡特效{"effectName":"必须有，没有不播放","scale":默认1,"actionName":"如果只有一个动画可不填,1个或多个是数组", "offset":偏移坐标默认0,0}
115	800003	501002	5	12200	{"x":720, "y":700}		1012060002		bornA-bornA2	test_1_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
116	800003	501002	5	12500	{"x":800, "y":-60}		1012060002		bornB-bornB2	test_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
117	800003	501002	5	12800	{"x":880, "y":700}		1012060002		bornA-bornA2	test_1_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
118	800003	501002	5	13100	{"x":960, "y":-60}		1012060002		bornB-bornB2	test_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
119	800003	501002	5	13400	{"x":1040, "y":700}		1012060002			test_1_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
120	800003	501002	5	13700	{"x":1120, "y":-60}		1012060002			test_2_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
121	800001	501002	15	15400	{"x":1350, "y":400}		1012060009			horizontal_2_1-6		2001002-2001003		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
122	800001	501002	15	15400	{"x":1350, "y":240}		1012060010			horizontal_2_1-6		2001002-2001004		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
123	800002	501002	5	17200	{"x":630, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
124	800002	501002	5	18800	{"x":630, "y":-80}		1012060005			vertical_4_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
125	800002	501002	5	17700	{"x":670, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
126	800002	501002	5	19300	{"x":670, "y":-80}		1012060005			vertical_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
127	800002	501002	5	18200	{"x":710, "y":720}		1012060005			vertical_3_1-6		2001005			5	{"fix":{"items":[{"id":500001,"num":50},{"id":500005,"num":5}]}}	{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
128	800002	501002	5	19800	{"x":710, "y":-80}		1012060005			vertical_4_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
129	800004	501002	5	23500	{"x":1400, "y":270}		5002001			horizontal_4_1-6		2001006		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
130	800004	501002	5	23500	{"x":1400, "y":370}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
131	800004	501002	5	23500	{"x":1400, "y":170}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
132	800004	501002	5	23500	{"x":1400, "y":470}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
133	800004	501002	5	23500	{"x":1400, "y":70}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
134	800004	501002	5	23500	{"x":1400, "y":570}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
135	800001	501002	25	26000	{"x":1360, "y":320}		5002002			horizontal_2_1-6		2001007-2001008		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
136	800002	501002	5	27500	{"x":1370, "y":210}		5002003			horizontal_4_1-6		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
137	800002	501002	5	27500	{"x":1370, "y":430}		5002003			horizontal_5_1-6		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
138	800003	501002	5	27500	{"x":1370, "y":120}		5002003			horizontal_4_1-6		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
139	800003	501002	5	27500	{"x":1370, "y":520}		5002003			horizontal_5_1-6		2001001			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
140	800003	501002	5	32500	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
141	800003	501002	5	32800	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
142	800003	501002	5	33100	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
143	800003	501002	5	33400	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
144	800003	501002	5	33700	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
145	800003	501002	5	34000	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
146	800003	501002	5	34300	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
147	800003	501002	5	34600	{"x":950, "y":800}		1012060012			vertical_11_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
148	800002	501002	5	32500	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
149	800002	501002	5	32800	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
150	800002	501002	5	33100	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
151	800002	501002	5	33400	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
152	800002	501002	5	33700	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
153	800002	501002	5	34000	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
154	800002	501002	5	34300	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
155	800002	501002	5	34600	{"x":950, "y":-160}		1012060012			vertical_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
156	800003	501002	5	36000	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
157	800003	501002	5	36300	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
158	800003	501002	5	36600	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
159	800003	501002	5	36900	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
160	800003	501002	5	37200	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
161	800003	501002	5	37500	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
162	800003	501002	5	37800	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
163	800003	501002	5	38100	{"x":1530, "y":450}		1012060012			horizontal_12_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
164	800002	501002	5	36000	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
165	800002	501002	5	36300	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
166	800002	501002	5	36600	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
167	800002	501002	5	36900	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
168	800002	501002	5	37200	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
169	800002	501002	5	37500	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
170	800002	501002	5	37800	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
171	800002	501002	5	38100	{"x":1530, "y":190}		1012060012			horizontal_13_1-6		2001005			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
172	800001	501002	25	40000	{"x":1360, "y":320}		5002002			horizontal_2_1-6		2001007-2001008			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
173	800004	501002	5	41500	{"x":1400, "y":440}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
174	800004	501002	5	41500	{"x":1400, "y":560}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
175	800004	501002	5	41500	{"x":1400, "y":200}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
176	800004	501002	5	41500	{"x":1400, "y":80}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
177	800004	501002	5	46000	{"x":1400, "y":270}		5002001			horizontal_4_1-6		2001006		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
178	800004	501002	5	46000	{"x":1400, "y":370}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
179	800004	501002	5	46000	{"x":1400, "y":170}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
180	800004	501002	5	46000	{"x":1400, "y":470}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
181	800004	501002	5	46000	{"x":1400, "y":70}		5002001			horizontal_4_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
182	800004	501002	5	46000	{"x":1400, "y":570}		5002001			horizontal_5_1-6		2001006			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
																	
183	800003	501003	5	3000	{"x":1280, "y":470}		5003001			horizontal_8_1-6		2001009		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
184	800003	501003	5	3400	{"x":1280, "y":420}		5003001			horizontal_8_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
185	800003	501003	5	3800	{"x":1280, "y":370}		5003001			horizontal_8_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
186	800003	501003	5	3000	{"x":1280, "y":170}		5003001			horizontal_9_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
187	800003	501003	5	3400	{"x":1280, "y":220}		5003001			horizontal_9_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
188	800003	501003	5	3800	{"x":1280, "y":270}		5003001			horizontal_9_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
189	800002	501003	5	8000	{"x":740, "y":700}		5003001			vertical_5_1-6		2001009		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
190	800002	501003	5	8400	{"x":740, "y":-60}		5003001	s		vertical_6_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
191	800002	501003	5	8900	{"x":740, "y":700}		5003001			vertical_5_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
192	800002	501003	5	8000	{"x":740, "y":-60}		5003001			vertical_6_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
193	800002	501003	5	8400	{"x":740, "y":700}		5003001			vertical_5_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
194	800002	501003	5	8900	{"x":740, "y":-60}		5003001			vertical_6_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
195	800003	501003	5	13000	{"x":1200, "y":470}		5003002			horizontal_4_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
196	800003	501003	5	13000	{"x":1200, "y":370}		5003002			horizontal_3_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
197	800003	501003	5	13000	{"x":1200, "y":270}		5003002			horizontal_3_1-6		2001009		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
198	800003	501003	5	13000	{"x":1200, "y":170}		5003002			horizontal_5_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
199	800003	501003	5	15000	{"x":1200, "y":470}		5003002			horizontal_4_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
200	800003	501003	5	15000	{"x":1200, "y":370}		5003002			horizontal_3_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
201	800003	501003	5	15000	{"x":1200, "y":270}		5003002			horizontal_3_1-6		2001009		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
202	800003	501003	5	15000	{"x":1200, "y":170}		5003002			horizontal_5_1-6		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
203	800001	501003	25	17300	{"x":1400, "y":320}		5002002			horizontal_2_1-6		2001007-2001008		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
204	800002	501003	5	18800	{"x":1370, "y":210}		5003003			horizontal_4_1-6		2001010			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
205	800002	501003	5	18800	{"x":1370, "y":430}		5003003			horizontal_5_1-6		2001010			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
206	800003	501003	5	18800	{"x":1370, "y":120}		5003003			horizontal_4_1-6		2001010			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
207	800003	501003	5	18800	{"x":1370, "y":520}		5003003			horizontal_5_1-6		2001010			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
208	800001	501003	20	23800	{"x":1430, "y":450}		5003004			horizontal_2_1-6		2001011-2001008		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
209	800001	501003	20	23800	{"x":1430, "y":190}		5003004			horizontal_2_1-6		2001011-2001008		{102001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
210	800004	501003	15	30400	{"x":1460, "y":500}		5003005			dailyExp_3_1		2001003-2001004			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
211	800004	501003	15	30400	{"x":1460, "y":380}		5003005			dailyExp_3_1		2001003-2001004			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
212	800004	501003	15	30400	{"x":1460, "y":260}		5003005			dailyExp_3_1		2001003-2001004			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
213	800004	501003	15	30400	{"x":1460, "y":140}		5003005			dailyExp_3_1		2001003-2001004		{101001:10000}	5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
214	800003	501003	5	38700	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
215	800003	501003	5	39100	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
216	800003	501003	5	39500	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
217	800003	501003	5	39900	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
218	800003	501003	5	40300	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
219	800003	501003	5	40700	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
220	800003	501003	5	41100	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
221	800003	501003	5	41500	{"x":1250, "y":450}		5003001			dailyExp_3_2		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
222	800003	501003	5	38700	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
223	800003	501003	5	39100	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
224	800003	501003	5	39500	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
225	800003	501003	5	39900	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
226	800003	501003	5	40300	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
227	800003	501003	5	40700	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
228	800003	501003	5	41100	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
229	800003	501003	5	41500	{"x":1250, "y":190}		5003001			dailyExp_3_3		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
230	800002	501003	5	44500	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
231	800002	501003	5	44900	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
232	800002	501003	5	45300	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
233	800002	501003	5	45700	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
234	800002	501003	5	46100	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
235	800002	501003	5	46500	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
236	800002	501003	5	46900	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
237	800002	501003	5	47300	{"x":900, "y":700}		5003001			dailyExp_3_4		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
238	800002	501003	5	44500	{"x":900, "y":-60}		5003001			dailyExp_3_5		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
239	800002	501003	5	44900	{"x":900, "y":-60}		5003001			dailyExp_3_5		2001009			5		{"effectName":"guaiwusiwang","scale":0.36,"actionName":["baozha","ASTsuipian"], "offset":{"x":0,"y":0}}
