id	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务描述	任务描述2	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
20090	1	1	1	90	1310090	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章普通难度f4-6副本	1330002	10001	{"pre_task_id":20088}	9007	{"dunId":106315}	1	{500005:10,500001:700}		16	1		1	-1
20091	1	1	1	91	1310091	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-1副本	1330002	10001	{"pre_task_id":20090}	9007	{"dunId":106316}	1	{500005:10,500001:700}		16	1		1	-1
20092	1	1	1	92	1310092	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-2副本	1330002	10001	{"pre_task_id":20091}	9007	{"dunId":106317}	1	{500005:10,500001:700}		16	1		1	-1
20093	1	1	1	93	1310093	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-3副本	1330002	10001	{"pre_task_id":20092}	9007	{"dunId":106318}	1	{500005:10,500001:700}		16	1		1	-1
20094	1	1	1	94	1310094	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-4副本	1330002	10001	{"pre_task_id":20093}	9007	{"dunId":106419}	1	{500005:10,500001:700}		16	1		1	-1
20095	1	1	1	95	1310095	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-5副本	1330002	10001	{"pre_task_id":20094}	9007	{"dunId":106420}	1	{500005:10,500001:700}		16	1		1	-1
20096	1	1	1	96	1310096	百合美九	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章普通难度f5-6副本	1330002	10001	{"pre_task_id":20094}	9007	{"dunId":106421}	1	{500005:10,500001:700}		16	1		1	-1
20097	1	1	1	97	1310097	百合美九	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20095}	9007	{"dunId":106422}	1	{500005:10,500001:700}		16	1		1	-1
20098	1	1	1	98	1310098	百合美九	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20095}	9007	{"dunId":106423}	1	{500005:10,500001:700}		16	1		1	-1
20099	1	1	1	99	1310099	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20097}	9007	{"dunId":107101}	1	{500005:11,500001:800}		16	1		1	-1
20100	1	1	1	100	1310100	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20099}	9007	{"dunId":107102}	1	{500005:11,500001:800}		16	1		1	-1
20101	1	1	1	101	1310101	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20099}	9007	{"dunId":107103}	1	{500005:11,500001:800}		16	1		1	-1
20102	1	1	1	102	1310102	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第六章F	1330002	10001	{"pre_task_id":20101}	9007	{"dunId":107104}	1	{500005:11,500001:800}		16	1		1	-1
20103	1	1	1	103	1310103	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20102}	9007	{"dunId":107105}	1	{500005:11,500001:800}		16	1		1	-1
20104	1	1	1	104	1310104	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20103}	9007	{"dunId":107106}	1	{500005:11,500001:800}		16	1		1	-1
20105	1	1	1	105	1310105	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20104}	9007	{"dunId":107207}	1	{500005:11,500001:800}		16	1		1	-1
20106	1	1	1	106	1310106	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20105}	9007	{"dunId":107208}	1	{500005:11,500001:800}		16	1		1	-1
20107	1	1	1	107	1310107	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20106}	9007	{"dunId":107209}	1	{500005:11,500001:800}		16	1		1	-1
20108	1	1	1	108	1310108	美九真相	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成普通关卡第七章F	1330002	10001	{"pre_task_id":20106}	9007	{"dunId":107210}	1	{500005:11,500001:800}		16	1		1	-1
20109	1	1	1	109	1310109	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20108}	9007	{"dunId":107211}	1	{500005:11,500001:800}		16	1		1	-1
20110	1	1	1	110	1310110	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20109}	9007	{"dunId":107212}	1	{500005:11,500001:800}		16	1		1	-1
20111	1	1	1	111	1310111	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20110}	9007	{"dunId":107313}	1	{500005:11,500001:800}		16	1		1	-1
20112	1	1	1	112	1310112	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20110}	9007	{"dunId":107314}	1	{500005:11,500001:800}		16	1		1	-1
20113	1	1	1	113	1310113	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20110}	9007	{"dunId":107315}	1	{500005:11,500001:800}		16	1		1	-1
20114	1	1	1	114	1310114	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第八章F	1330002	10001	{"pre_task_id":20111}	9007	{"dunId":107316}	1	{500005:11,500001:800}		16	1		1	-1
20115	1	1	1	115	1310115	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20114}	9007	{"dunId":107317}	1	{500005:11,500001:800}		16	1		1	-1
20116	1	1	1	116	1310116	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20115}	9007	{"dunId":107318}	1	{500005:11,500001:800}		16	1		1	-1
20117	1	1	1	117	1310117	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20116}	9007	{"dunId":107419}	1	{500005:11,500001:800}		16	1		1	-1
20118	1	1	1	118	1310118	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20117}	9007	{"dunId":107420}	1	{500005:11,500001:800}		16	1		1	-1
20119	1	1	1	119	1310119	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20118}	9007	{"dunId":107421}	1	{500005:11,500001:800}		16	1		1	-1
20120	1	1	1	120	1310120	美九真相	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成普通关卡第九章F	1330002	10001	{"pre_task_id":20119}	9007	{"dunId":107422}	1	{500005:11,500001:800}		16	1		1	-1
20121	1	1	1	121	1310121	美九真相	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度1-1副本	1330001	10001	{"pre_task_id":20119}	9007	{"dunId":107423}	1	{500005:11,500001:800}		16	1		1	-1
20122	1	1	1	122	1310122	美九真相	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度1-2副本	1330001	10001	{"pre_task_id":20121}	9007	{"dunId":107524}	1	{500005:11,500001:800}		16	1		1	-1
20123	1	1	1	123	1310123	美九真相	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度1-1副本	1330001	10001	{"pre_task_id":20122}	9007	{"dunId":107525}	1	{500005:11,500001:800}		16	1		1	-1
20124	1	1	1	124	1310124	美九真相	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度1-2副本	1330001	10001	{"pre_task_id":20123}	9007	{"dunId":107526}	1	{500005:11,500001:800}		16	1		1	-1
20125	1	1	1	125	1310125	美九真相	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度1-3副本	1330001	10001	{"pre_task_id":20123}	9007	{"dunId":107527}	1	{500005:11,500001:800}		16	1		1	-1
20126	1	1	1	126	1310126	美九真相	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-1副本	1330001	10001	{"pre_task_id":20125}	9007	{"dunId":107528}	1	{500005:11,500001:800}		16	1		1	-1
20127	1	1	1	127	1310127	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-2副本	1330001	10001	{"pre_task_id":20023}	9007	{"dunId":201101}	1	{500005:10,500001:400}		16	1		1	-1
20128	1	1	1	128	1310128	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-3副本	1330001	10001	{"pre_task_id":20127}	9007	{"dunId":201102}	1	{500005:10,500001:400}		16	1		1	-1
20129	1	1	1	129	1310129	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-1副本	1330001	10001	{"pre_task_id":20128}	9007	{"dunId":201103}	1	{500005:10,500001:400}		16	1		1	-1
20130	1	1	1	130	1310130	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-2副本	1330001	10001	{"pre_task_id":20129}	9007	{"dunId":201104}	1	{500005:10,500001:400}		16	1		1	-1
20131	1	1	1	131	1310131	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度2-3副本	1330001	10001	{"pre_task_id":20130}	9007	{"dunId":201105}	1	{500005:10,500001:400}		16	1		1	-1
20132	1	1	1	132	1310132	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-1副本	1330001	10001	{"pre_task_id":20131}	9007	{"dunId":201206}	1	{500005:10,500001:400}		16	1		1	-1
20133	1	1	1	133	1310133	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-2副本	1330001	10001	{"pre_task_id":20132}	9007	{"dunId":201207}	1	{500005:10,500001:400}		16	1		1	-1
20134	1	1	1	134	1310134	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-3副本	1330001	10001	{"pre_task_id":20133}	9007	{"dunId":201208}	1	{500005:10,500001:400}		16	1		1	-1
20135	1	1	1	135	1310135	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-1副本	1330001	10001	{"pre_task_id":20134}	9007	{"dunId":201209}	1	{500005:10,500001:400}		16	1		1	-1
20136	1	1	1	136	1310136	陌路人十香·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-2副本	1330001	10001	{"pre_task_id":20135}	9007	{"dunId":201210}	1	{500005:10,500001:400}		16	1		1	-1
20137	1	1	1	137	1310137	手偶少女·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度3-3副本	1330001	10001	{"pre_task_id":20136}	9007	{"dunId":202101}	1	{500005:12,500001:600}		16	1		1	-1
20138	1	1	1	138	1310138	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-1副本	1330001	10001	{"pre_task_id":20137}	9007	{"dunId":202102}	1	{500005:12,500001:600}		16	1		1	-1
20139	1	1	1	139	1310139	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-2副本	1330001	10001	{"pre_task_id":20138}	9007	{"dunId":202103}	1	{500005:12,500001:600}		16	1		1	-1
20140	1	1	1	140	1310140	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-3副本	1330001	10001	{"pre_task_id":20139}	9007	{"dunId":202104}	1	{500005:12,500001:600}		16	1		1	-1
20141	1	1	1	141	1310141	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-1副本	1330001	10001	{"pre_task_id":20140}	9007	{"dunId":202105}	1	{500005:12,500001:600}		16	1		1	-1
20142	1	1	1	142	1310142	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-2副本	1330001	10001	{"pre_task_id":20141}	9007	{"dunId":202206}	1	{500005:12,500001:600}		16	1		1	-1
20143	1	1	1	143	1310143	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-3副本	1330001	10001	{"pre_task_id":20142}	9007	{"dunId":202207}	1	{500005:12,500001:600}		16	1		1	-1
20144	1	1	1	144	1310144	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-1副本	1330001	10001	{"pre_task_id":20143}	9007	{"dunId":202208}	1	{500005:12,500001:600}		16	1		1	-1
20145	1	1	1	145	1310145	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-2副本	1330001	10001	{"pre_task_id":20144}	9007	{"dunId":202209}	1	{500005:12,500001:600}		16	1		1	-1
20146	1	1	1	146	1310146	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度4-3副本	1330001	10001	{"pre_task_id":20145}	9007	{"dunId":202210}	1	{500005:12,500001:600}		16	1		1	-1
20147	1	1	1	147	1310147	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-1副本	1330001	10001	{"pre_task_id":20146}	9007	{"dunId":202311}	1	{500005:12,500001:600}		16	1		1	-1
20148	1	1	1	148	1310148	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-2副本	1330001	10001	{"pre_task_id":20147}	9007	{"dunId":202312}	1	{500005:12,500001:600}		16	1		1	-1
20149	1	1	1	149	1310149	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-3副本	1330001	10001	{"pre_task_id":20148}	9007	{"dunId":202313}	1	{500005:12,500001:600}		16	1		1	-1
20150	1	1	1	150	1310150	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-1副本	1330001	10001	{"pre_task_id":20149}	9007	{"dunId":202314}	1	{500005:12,500001:600}		16	1		1	-1
20151	1	1	1	151	1310151	手偶少女·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-2副本	1330001	10001	{"pre_task_id":20150}	9007	{"dunId":202315}	1	{500005:12,500001:600}		16	1		1	-1
20152	1	1	1	152	1310152	杀手狂三·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-3副本	1330001	10001	{"pre_task_id":20151}	9007	{"dunId":203101}	1	{500005:14,500001:800}		16	1		1	-1
20153	1	1	1	153	1310153	杀手狂三·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-1副本	1330001	10001	{"pre_task_id":20152}	9007	{"dunId":203102}	1	{500005:14,500001:800}		16	1		1	-1
20154	1	1	1	154	1310154	杀手狂三·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-2副本	1330001	10001	{"pre_task_id":20153}	9007	{"dunId":203103}	1	{500005:14,500001:800}		16	1		1	-1
20155	1	1	1	155	1310155	杀手狂三·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度5-3副本	1330001	10001	{"pre_task_id":20154}	9007	{"dunId":203104}	1	{500005:14,500001:800}		16	1		1	-1
20156	1	1	1	156	1310156	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章1-1	1330001	10001	{"pre_task_id":20155}	9007	{"dunId":203105}	1	{500005:14,500001:800}		16	1		1	-1
20157	1	1	1	157	1310157	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章1-2	1330001	10001	{"pre_task_id":20156}	9007	{"dunId":203206}	1	{500005:14,500001:800}		16	1		1	-1
20158	1	1	1	158	1310158	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章1-3	1330001	10001	{"pre_task_id":20157}	9007	{"dunId":203207}	1	{500005:14,500001:800}		16	1		1	-1
20159	1	1	1	159	1310159	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章2-1	1330001	10001	{"pre_task_id":20158}	9007	{"dunId":203208}	1	{500005:14,500001:800}		16	1		1	-1
20160	1	1	1	160	1310160	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章2-2	1330001	10001	{"pre_task_id":20159}	9007	{"dunId":203209}	1	{500005:14,500001:800}		16	1		1	-1
20161	1	1	1	161	1310161	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章2-3	1330001	10001	{"pre_task_id":20160}	9007	{"dunId":203210}	1	{500005:14,500001:800}		16	1		1	-1
20162	1	1	1	162	1310162	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章3-1	1330001	10001	{"pre_task_id":20161}	9007	{"dunId":203311}	1	{500005:14,500001:800}		16	1		1	-1
20163	1	1	1	163	1310163	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章3-2	1330001	10001	{"pre_task_id":20162}	9007	{"dunId":203312}	1	{500005:14,500001:800}		16	1		1	-1
20164	1	1	1	164	1310164	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章3-3	1330001	10001	{"pre_task_id":20163}	9007	{"dunId":203313}	1	{500005:14,500001:800}		16	1		1	-1
20165	1	1	1	165	1310165	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章1-1	1330001	10001	{"pre_task_id":20164}	9007	{"dunId":203314}	1	{500005:14,500001:800}		16	1		1	-1
20166	1	1	1	166	1310166	杀手狂三·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章1-2	1330001	10001	{"pre_task_id":20165}	9007	{"dunId":203315}	1	{500005:14,500001:800}		16	1		1	-1
20167	1	1	1	167	1310167	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章1-3	1330001	10001	{"pre_task_id":20166}	9007	{"dunId":204101}	1	{500005:16,500001:1000}		16	1		1	-1
20168	1	1	1	168	1310168	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章2-1	1330001	10001	{"pre_task_id":20167}	9007	{"dunId":204102}	1	{500005:16,500001:1000}		16	1		1	-1
20169	1	1	1	169	1310169	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章2-2	1330001	10001	{"pre_task_id":20168}	9007	{"dunId":204103}	1	{500005:16,500001:1000}		16	1		1	-1
20170	1	1	1	170	1310170	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章2-3	1330001	10001	{"pre_task_id":20169}	9007	{"dunId":204104}	1	{500005:16,500001:1000}		16	1		1	-1
20171	1	1	1	171	1310171	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章3-1	1330001	10001	{"pre_task_id":20170}	9007	{"dunId":204105}	1	{500005:16,500001:1000}		16	1		1	-1
20172	1	1	1	172	1310172	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章3-2	1330001	10001	{"pre_task_id":20171}	9007	{"dunId":204206}	1	{500005:16,500001:1000}		16	1		1	-1
20173	1	1	1	173	1310173	五河妹妹·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章3-3	1330001	10001	{"pre_task_id":20172}	9007	{"dunId":204207}	1	{500005:16,500001:1000}		16	1		1	-1
20174	1	1	1	174	1310174	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章1-1	1330001	10001	{"pre_task_id":20173}	9007	{"dunId":204208}	1	{500005:16,500001:1000}		16	1		1	-1
20175	1	1	1	175	1310175	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章1-2	1330001	10001	{"pre_task_id":20174}	9007	{"dunId":204209}	1	{500005:16,500001:1000}		16	1		1	-1
20176	1	1	1	176	1310176	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章1-3	1330001	10001	{"pre_task_id":20175}	9007	{"dunId":204210}	1	{500005:16,500001:1000}		16	1		1	-1
20177	1	1	1	177	1310177	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章2-1	1330001	10001	{"pre_task_id":20176}	9007	{"dunId":204311}	1	{500005:16,500001:1000}		16	1		1	-1
20178	1	1	1	178	1310178	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章2-2	1330001	10001	{"pre_task_id":20177}	9007	{"dunId":204312}	1	{500005:16,500001:1000}		16	1		1	-1
20179	1	1	1	179	1310179	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章2-3	1330001	10001	{"pre_task_id":20178}	9007	{"dunId":204313}	1	{500005:16,500001:1000}		16	1		1	-1
20180	1	1	1	180	1310180	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章3-1	1330001	10001	{"pre_task_id":20179}	9007	{"dunId":204314}	1	{500005:16,500001:1000}		16	1		1	-1
20181	1	1	1	181	1310181	五河妹妹·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章3-2	1330001	10001	{"pre_task_id":20180}	9007	{"dunId":204315}	1	{500005:16,500001:1000}		16	1		1	-1
20182	1	1	1	182	1310182	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章3-3	1330001	10001	{"pre_task_id":20181}	9007	{"dunId":205101}	1	{500005:18,500001:1200}		16	1		1	-1
20183	1	1	1	183	1310183	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章1-1	1330001	10001	{"pre_task_id":20182}	9007	{"dunId":205102}	1	{500005:18,500001:1200}		16	1		1	-1
20184	1	1	1	184	1310184	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章1-2	1330001	10001	{"pre_task_id":20183}	9007	{"dunId":205103}	1	{500005:18,500001:1200}		16	1		1	-1
