id	商品名称	所属商店	格子编号	权重	开启条件（1.玩家等级。2.需要达到的关卡）	开启值	出售时间类型（1.任意时间。2.每日固定时刻。3.每周固定时刻。）	出售时间（分钟）	限购（0.不限购。1.刷新时间内限购。2.服务器时间本天内限购。3.永久限购。5.全服限购且刷新时间重置。6.全服限购夸天重置。7.全服永久限购 8.本周限购 9.本月限购）	限购值	是否可以批量购买	全服时个人限购值	限购描述	道具（id:数量）	价格类型	价格数量	描述	折扣	自动刷新时间（分钟）
150214	薄荷抹茶4星	150000	2	200	1	1	1		1	1	0		r2003	{534164:1}	500002	15			
150215	绿色妖姬3星	150000	2	400	1	1	1		1	1	0		r2003	{534173:1}	500018	100			
150216	绿色妖姬4星	150000	2	200	1	1	1		1	1	0		r2003	{534174:1}	500002	15			
150217	薄荷奶茶3星	150000	2	400	1	1	1		1	1	0		r2003	{534183:1}	500018	100			
150218	薄荷奶茶4星	150000	2	200	1	1	1		1	1	0		r2003	{534184:1}	500002	15			
150301	水果寿司1星	150000	3	1200	1	1	1		1	1	0		r2003	{534191:1}	500018	30			
150302	水果寿司2星	150000	3	600	1	1	1		1	1	0		r2003	{534192:1}	500002	6			
150303	蔬菜蛋卷1星	150000	3	1200	1	1	1		1	1	0		r2003	{534201:1}	500018	30			
150304	蔬菜蛋卷2星	150000	3	600	1	1	1		1	1	0		r2003	{534202:1}	500002	6			
150305	水果披萨1星	150000	3	1200	1	1	1		1	1	0		r2003	{534211:1}	500018	30			
150306	水果披萨2星	150000	3	600	1	1	1		1	1	0		r2003	{534212:1}	500002	6			
150307	果蔬拼盘2星	150000	3	625	1	1	1		1	1	0		r2003	{534222:1}	500018	60			
150308	果蔬拼盘3星	150000	3	305	1	1	1		1	1	0		r2003	{534223:1}	500002	10			
150309	多层汉堡2星	150000	3	625	1	1	1		1	1	0		r2003	{534232:1}	500018	60			
150310	多层汉堡3星	150000	3	305	1	1	1		1	1	0		r2003	{534233:1}	500002	10			
150311	百味拉面2星	150000	3	630	1	1	1		1	1	0		r2003	{534242:1}	500018	60			
150312	百味拉面3星	150000	3	310	1	1	1		1	1	0		r2003	{534243:1}	500002	10			
150313	意式热狗3星	150000	3	400	1	1	1		1	1	0		r2003	{534253:1}	500018	100			
150314	意式热狗4星	150000	3	200	1	1	1		1	1	0		r2003	{534254:1}	500002	15			
150315	海鲜刺身3星	150000	3	400	1	1	1		1	1	0		r2003	{534263:1}	500018	100			
150316	海鲜刺身4星	150000	3	200	1	1	1		1	1	0		r2003	{534264:1}	500002	15			
150317	鲜果拼盘3星	150000	3	400	1	1	1		1	1	0		r2003	{534273:1}	500018	100			
150318	鲜果拼盘4星	150000	3	200	1	1	1		1	1	0		r2003	{534274:1}	500002	15			
150401	幸运头绳1星	150000	4	1200	1	1	1		1	1	0		r2003	{535011:1}	500018	30			
150402	幸运头绳2星	150000	4	600	1	1	1		1	1	0		r2003	{535012:1}	500002	6			
150403	白色发带1星	150000	4	1200	1	1	1		1	1	0		r2003	{535021:1}	500018	30			
150404	白色发带2星	150000	4	600	1	1	1		1	1	0		r2003	{535022:1}	500002	6			
150405	蝴蝶结发带1星	150000	4	1200	1	1	1		1	1	0		r2003	{535031:1}	500018	30			
150406	蝴蝶结发带2星	150000	4	600	1	1	1		1	1	0		r2003	{535032:1}	500002	6			
150407	小雏菊项圈2星	150000	4	625	1	1	1		1	1	0		r2003	{535042:1}	500018	60			
150408	小雏菊项圈3星	150000	4	305	1	1	1		1	1	0		r2003	{535043:1}	500002	10			
150409	兔耳发卡2星	150000	4	625	1	1	1		1	1	0		r2003	{535052:1}	500018	60			
150410	兔耳发卡3星	150000	4	305	1	1	1		1	1	0		r2003	{535053:1}	500002	10			
150411	猫咪发带2星	150000	4	630	1	1	1		1	1	0		r2003	{535062:1}	500018	60			
150412	猫咪发带3星	150000	4	310	1	1	1		1	1	0		r2003	{535063:1}	500002	10			
150413	樱花头绳3星	150000	4	400	1	1	1		1	1	0		r2003	{535073:1}	500018	100			
150414	樱花头绳4星	150000	4	200	1	1	1		1	1	0		r2003	{535074:1}	500002	15			
150415	命运手绳3星	150000	4	400	1	1	1		1	1	0		r2003	{535083:1}	500018	100			
150416	命运手绳4星	150000	4	200	1	1	1		1	1	0		r2003	{535084:1}	500002	15			
150417	爱心发带3星	150000	4	400	1	1	1		1	1	0		r2003	{535093:1}	500018	100			
150418	爱心发带4星	150000	4	200	1	1	1		1	1	0		r2003	{535094:1}	500002	15			
150501	萌兔玩偶1星	150000	5	1200	1	1	1		1	1	0		r2003	{535101:1}	500018	30			
150502	萌兔玩偶2星	150000	5	600	1	1	1		1	1	0		r2003	{535102:1}	500002	6			
150503	呆萌小马1星	150000	5	1200	1	1	1		1	1	0		r2003	{535111:1}	500018	30			
150504	呆萌小马2星	150000	5	600	1	1	1		1	1	0		r2003	{535112:1}	500002	6			
150505	心形抱枕1星	150000	5	1200	1	1	1		1	1	0		r2003	{535121:1}	500018	30			
150506	心形抱枕2星	150000	5	600	1	1	1		1	1	0		r2003	{535122:1}	500002	6			
150507	狐狸宝宝2星	150000	5	625	1	1	1		1	1	0		r2003	{535132:1}	500018	60			
150508	狐狸宝宝3星	150000	5	305	1	1	1		1	1	0		r2003	{535133:1}	500002	10			
150509	小海豚2星	150000	5	625	1	1	1		1	1	0		r2003	{535142:1}	500018	60			
150510	小海豚3星	150000	5	305	1	1	1		1	1	0		r2003	{535143:1}	500002	10			
150511	小狗挂件2星	150000	5	630	1	1	1		1	1	0		r2003	{535152:1}	500018	60			
150512	小狗挂件3星	150000	5	310	1	1	1		1	1	0		r2003	{535153:1}	500002	10			
150513	萌兔眼罩3星	150000	5	400	1	1	1		1	1	0		r2003	{535163:1}	500018	100			
150514	萌兔眼罩4星	150000	5	200	1	1	1		1	1	0		r2003	{535164:1}	500002	15			
150515	胡萝卜抱枕3星	150000	5	400	1	1	1		1	1	0		r2003	{535173:1}	500018	100			
150516	胡萝卜抱枕4星	150000	5	200	1	1	1		1	1	0		r2003	{535174:1}	500002	15			
150517	小羊钥匙扣3星	150000	5	400	1	1	1		1	1	0		r2003	{535183:1}	500018	100			
150518	小羊钥匙扣4星	150000	5	200	1	1	1		1	1	0		r2003	{535184:1}	500002	15			
150601	米兰挂饰1星	150000	6	1200	1	1	1		1	1	0		r2003	{535191:1}	500018	30			
150602	米兰挂饰2星	150000	6	600	1	1	1		1	1	0		r2003	{535192:1}	500002	6			
150603	糖果永生花1星	150000	6	1200	1	1	1		1	1	0		r2003	{535201:1}	500018	30			
150604	糖果永生花2星	150000	6	600	1	1	1		1	1	0		r2003	{535202:1}	500002	6			
150605	绿萝摆件1星	150000	6	1200	1	1	1		1	1	0		r2003	{535211:1}	500018	30			
150606	绿萝摆件2星	150000	6	600	1	1	1		1	1	0		r2003	{535212:1}	500002	6			
150607	蓝色妖姬2星	150000	6	625	1	1	1		1	1	0		r2003	{535222:1}	500018	60			
150608	蓝色妖姬3星	150000	6	305	1	1	1		1	1	0		r2003	{535223:1}	500002	10			
150609	满天星摆件2星	150000	6	625	1	1	1		1	1	0		r2003	{535232:1}	500018	60			
150610	满天星摆件3星	150000	6	305	1	1	1		1	1	0		r2003	{535233:1}	500002	10			
150611	花语花环2星	150000	6	630	1	1	1		1	1	0		r2003	{535242:1}	500018	60			
150612	花语花环3星	150000	6	310	1	1	1		1	1	0		r2003	{535243:1}	500002	10			
150613	蔷薇手捧花3星	150000	6	400	1	1	1		1	1	0		r2003	{535253:1}	500018	100			
150614	蔷薇手捧花4星	150000	6	200	1	1	1		1	1	0		r2003	{535254:1}	500002	15			
150615	太阳花摆件3星	150000	6	400	1	1	1		1	1	0		r2003	{535263:1}	500018	100			
150616	太阳花摆件4星	150000	6	200	1	1	1		1	1	0		r2003	{535264:1}	500002	15			
150617	玫瑰摆件3星	150000	6	400	1	1	1		1	1	0		r2003	{535273:1}	500018	100			
150618	玫瑰摆件4星	150000	6	200	1	1	1		1	1	0		r2003	{535274:1}	500002	15			
