特效ID	技能ID	技能名字	伤害类型（1普攻、2技能1、3技能2、4出场、6大招、7觉醒）	1=物理伤害,2=冰属性,3=火属性,4=风属性,5=电属性,6=毒素,7=光属性,8=暗属性,9=精神	是否计算伤害命中	伤害比例	觉醒值获得	角色能量获得	命中停顿	命中音效（配置hitMusic中的ID）	不需要命中的触发BUFF	触发BUFF	受击角色抖动次数	屏幕震动选择（0或不填为无视是否命中都会抖动。1为命中抖动）	屏幕震动(0不抖动1三角抖动2缩放)	屏幕抖动强度	抖动次数	震屏缓动（1开启缓动）	模糊时间（毫秒）	模糊程度（0为关闭，强度范围1~100）	非倒地状态是否受击	倒地目标是否受击	可否伤害倒地目标	buffer事件触发	位移方式（1角度更替位移，2平移叠加位移）	浮空角度	X轴平移距离	浮空平移速度	命中僵直	暴击率	暴击伤害	穿透率	对普通怪伤害加成	对精英怪伤害加成	对boss怪伤害加成	对人类伤害加成	对能量怪伤害加成	对机械怪伤害加成	对精灵伤害加成	命中率	目标减伤率	目标抗暴率	目标格挡率
7104	100510	琴里-技能2-必杀-1级-斩	1	1	1	0.8			150	1050102			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7105	100510	琴里-技能2-必杀-1级-劈1	1	1	1	1.3			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7106	100510	琴里-技能2-必杀-1级-劈2	1	1	1	1.4			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7107	100510	琴里-技能2-必杀-1级-劈3	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7108	100510	琴里-技能2-必杀-2级-踩	1	1	1	0.5			150	1050106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7109	100510	琴里-技能2-必杀-2级-斩	1	1	1	0.8			150	1050102			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7110	100510	琴里-技能2-必杀-2级-劈1	1	1	1	1			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7111	100510	琴里-技能2-必杀-2级-劈2	1	1	1	1.3			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7112	100510	琴里-技能2-必杀-2级-劈3	1	1	1	1.6			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7113	100510	琴里-技能2-必杀-2级-劈4	1	1	1	1.8			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7114	100510	琴里-技能2-必杀-2级-劈5	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7115	100510	琴里-技能2-必杀-3级-踩	1	1	1	0.5			150	1050106			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7116	100510	琴里-技能2-必杀-3级-斩	1	1	1	0.8			150	1050102			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7117	100510	琴里-技能2-必杀-3级-劈1	1	1	1	1			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7118	100510	琴里-技能2-必杀-3级-劈2	1	1	1	1.3			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7119	100510	琴里-技能2-必杀-3级-劈3	1	1	1	1.6			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7120	100510	琴里-技能2-必杀-3级-劈4	1	1	1	1.8			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7121	100510	琴里-技能2-必杀-3级-劈5	1	1	1	2			150	1050103			1	1	1	12	1				1	0	1	0	2		60	400	-5000														
7160	100510	琴里—火焰爆炸	1	3	1	1			150	1050105			1	1	1	12	1				1	0	1	0	2		50	100	-5000														
7201	100510	琴里-炮—普攻1	1	3	1	0.8			150	1050110			1	1	1	15	1				1	0	1	0	2		50	100	-3000														
7202	100510	琴里-炮—普攻2	1	3	1	1.2			150	1050110			1	1	1	15	1				1	0	1	0	2		50	100	-3000														
7203	100510	琴里-炮—普攻3	1	3	1	1.5			250	1050111			1	1	1	18	1		1000	40	1	0	1	0	2		30	100	-3000														
7204	100510	琴里-炮—普攻爆炸1	1	3	1	1			250	1050104			1	1	1	18	1		1000	40	1	0	1	0	2		30	100	-3000														
7205	100510	琴里-炮—普攻爆炸2	1	3	1	1			250	1050105			1	1	1	18	1		1000	40	1	0	1	0	2		30	100	-3000														
7211	100510	琴里-炮-技能1-火焰光束-0级	1	3	1	3			250	1050107			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7212	100510	琴里-炮-技能1-火焰光束-1级	1	3	1	1.25			250	1050107			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7213	100510	琴里-炮-技能1-火焰光束-2级	1	3	1	0.9			250	1050107			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7214	100510	琴里-炮-技能1-火焰光束-3级	1	3	1	0.75			250	1050107			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7215	100510	琴里-炮-技能1-火焰光束-3级-爆炸	1	3	1	2			250	1050105			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7231	100510	琴里-炮-技能2-聚能火球-0级	1	3	1	0.3			250	1050110			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7232	100510	琴里-炮-技能2-聚能火球-0级-循环	1	3	1	0.5			250	1050109			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7233	100510	琴里-炮-技能2-聚能火球-0级-爆炸	1	3	1	0.7			250	1050104			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7234	100510	琴里-炮-技能2-聚能火球-1级	1	3	1	0.3			250	1050110			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7235	100510	琴里-炮-技能2-聚能火球-1级-循环	1	3	1	0.5			250	1050109			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7236	100510	琴里-炮-技能2-聚能火球-1级-爆炸	1	3	1	0.7			250	1050104			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7237	100510	琴里-炮-技能2-聚能火球-2级	1	3	1	0.3			250	1050110			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7238	100510	琴里-炮-技能2-聚能火球-2级-循环	1	3	1	0.7			250	1050109			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7239	100510	琴里-炮-技能2-聚能火球-2级-爆炸	1	3	1	1.3			250	1050104			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7240	100510	琴里-炮-技能2-聚能火球-3级	1	3	1	0.3			250	1050110			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7241	100510	琴里-炮-技能2-聚能火球-3级-循环	1	3	1	0.7			250	1050109			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7242	100510	琴里-炮-技能2-聚能火球-3级-爆炸	1	3	1	1.8			250	1050104			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7250	100510	琴里-炮-必杀-0级-发射	1	3	1	5			250	1050111			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7251	100510	琴里-炮-必杀-1级-发射	1	3	1	5			250	1050111			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7252	100510	琴里-炮-必杀-1级-地面火焰	1	3	1	0.6			250	1020106			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7253	100510	琴里-炮-必杀-2级-发射	1	3	1	5			250	1050111			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7254	100510	琴里-炮-必杀-2级-地面火焰	1	3	1	0.6			250	1020106			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7255	100510	琴里-炮-必杀-3级-发射1	1	3	1	3			250	1050111			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7256	100510	琴里-炮-必杀-3级-发射2	1	3	1	4			250	1050111			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7257	100510	琴里-炮-必杀-3级-地面火焰	1	3	1	0.6			250	1020106			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
7260	100510	琴里-炮-觉醒-恢复变身	1	3	1	1			250	1050104			1	1	1	10	1		1000	40	1	0	1	0	2		30	100	-3000														
																																											
																																											
8001	100410	狂三-普攻1	1	8	1	0.5	1		150	1040101			1	1	1	12	1				1	0	1	0	2		10	400															
8002	100410	狂三-普攻2	1	8	1	0.8	1		150	1040101			1	1	1	14	1				1	0	1	0	2		30	400															
8003	100410	狂三-普攻3	1	8	1	1.2	2		150	1040102			1	1	1	15	1				1	0	1	0	2		110	600															
8004	100410	狂三-普攻4	1	8	1	0.5	1		150	1040101			1	1	1	15	1				1	1	1	0	1	90		700															
8005	100410	狂三-普攻4	1	8	1	1.5	2		150	1040102			1	1	1	15	1				1	1	1	0	1	90		700															
8006	100410	狂三-普攻5	1	8	1	2	4		150	1040105			1	1	1	10	1		1000	40	1	0	1	0	1	90		100															
8021	100420	狂三-出场技-触发buff加攻	6	8	0	0			250	1040101	402		1		1	10	2				1	0	0	0	1	80		800															
8022	100420	狂三-出场技-触发buff召唤残影	6	8	0	0			250	1040101			1		1	10	2				1	0	0	0	1	80		800															
8023	100410	狂三-出场技-残影攻击	3	8	1	0.5			150	1040101			1	1	1	12	1				1	0	1	0	2		10	400															
8030	100430	狂三-觉醒	7	8	1	1.4			100	1040103			1		1	15	1		2500	30	1	1	1	0	1	80		400															
8050	100410	狂三-技能1-0级-滑铲	1	8	1	0.67			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8051	100410	狂三-技能1-1级-滑铲	1	8	1	0.67			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8052	100410	狂三-技能1-1级-转圈	1	8	1	0.75			150	1040101			1	1	1	8	1				1	0	1	0	2		10	100															
8053	100410	狂三-技能1-2级-滑铲	1	8	1	0.67			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8054	100410	狂三-技能1-2级-转圈	1	8	1	0.5			150	1040101			1	1	1	8	1				1	0	1	0	2		10	100															
8055	100410	狂三-技能1-3级-滑铲	1	8	1	0.67			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8056	100410	狂三-技能1-3级-转圈	1	8	1	0.5			150	1040101			1	1	1	8	1				1	0	1	0	2		10	100															
8060	100410	狂三-技能2-0级-空中射击	1	8	1	0.75			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8061	100410	狂三-技能2-1级-空中射击	1	8	1	0.66			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8062	100410	狂三-技能2-2级-击飞	1	8	1	0.5			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8063	100410	狂三-技能2-2级-空中射击	1	8	1	0.44			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8064	100410	狂三-技能2-3级-击飞	1	8	1	0.5			150	1040105			1	1	1	8	1				1	0	1	0	2		10	100															
8065	100410	狂三-技能2-3级-空中射击	1	8	1	0.66			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8070	100410	狂三-必杀-0级	1	8	1	0.9			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8071	100410	狂三-必杀-1级	1	8	1	0.75			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8072	100410	狂三-必杀-2级	1	8	1	0.7			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8073	100410	狂三-必杀-3级	1	8	1	0.7			150	1040102			1	1	1	8	1				1	0	1	0	2		10	100															
8074	100410	狂三-必杀-3级	1	8	1	2.5			150	1040104			1	1	1	8	1				1	0	1	0	2		10	100															
																																											
																																											
																																											
																																											
9001	100710	耶俱矢—普攻1	1	4	1	0.6	1		150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9002	100710	耶俱矢—普攻2	1	4	1	0.6	1		150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9003	100710	耶俱矢—普攻3	1	4	1	0.6	2		250	1010101			1	1	1	15	1				1	0	1	0	2		60	800															
9004	100710	耶俱矢—普攻4	1	4	1	0.8	3		250	1010101			1	1	1	8	1				1	0	1	0	2		0	200															
9005	100710	耶俱矢—普攻5	1	4	1	2	5		250	1010101			1	1	2	8	2	1	1000	40	1	1	1	0	1	70		800															
9010	100710	八舞耶俱矢-技能1-直接发射	2	4	1	1			150	1010101			1	1	1	15	1				1	0	1	0	2		100	600															
9011	100710	八舞耶俱矢-技能1-0段	2	4	1	1.2			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		20	400															
9012	100710	八舞耶俱矢-技能1-1段	2	4	1	1.4			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		10	400															
9013	100710	八舞耶俱矢-技能1-2段	2	4	1	1.6			150	1010101			1	1	1	15	1				1	0	1	0	2		100	600															
9014	100710	八舞耶俱矢-技能1-3段	2	4	1	1.8			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		20	400															
9015	100710	八舞耶俱矢-技能1-3段+	2	4	1	2			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		10	400															
9019	100710	耶俱矢—大招0	6	4	1	3			150	1010101			1		1	15	1				1	0	1	0	2		100	600															
9020	100710	耶俱矢—大招1	6	4	1	3.5			150	1010101			1		1	15	1				1	0	1	0	1	89		800															
9021	100710	耶俱矢—大招2	6	4	1	4			150	1010101			1		1	8	1				1	0	1	0	2		10	300															
9022	100710	耶俱矢—大招3	6	4	1	4.5			150	1010101			1		2	10	2	1	2000	50	1	0	1	0	1	60		1200															
9023	100710	耶俱矢—大招风箭	6	4	1	0.1			150	1010101			1		2	10	2	1	2000	50	1	0	1	0	1	60		1200															
9030	100710	耶俱矢—觉醒终结1	7	4	1	8			150	1010101			1		2	15	3	1	3000	60	1	0	1	0	1	60		800															
9031	100710	耶俱矢—觉醒穿刺1	7	4	1	0.6			150	1010101			1		1	18	1				1	0	1	0																			
9040	100710	耶俱矢—闪避-突刺	1	4	1	1			150	1010101			1	1	1	15	1				1	0	1	0	2		50	800															
9050	100710	耶俱矢—出场	4	4	1	2			150	1010101			1	1	2	5	2	1	1500	40	1	0	1	0	1	60		800															
9060	100710	耶俱矢—大招-最后一击旋风	6	4	1	0.5			150	1010101			1	1	1	8	1				1	0	1	0																			
9070	100710	八舞耶俱矢-技能2-旋风-轻	2	4	1	1.2			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		20	400															
9071	100710	八舞耶俱矢-技能2-旋风-中	2	4	1	1.4			150	1010101			1	1	1	8	1		1000	20	1	0	1	0	2		10	400															
9072	100710	八舞耶俱矢-技能2-旋风-重	2	4	1	1.6			150	1010101			1	1	1	15	1				1	0	1	0	2		100	600															
																																											
9101	100710	夕弦—普攻1	1	4	1	0.3	1		150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9102	100710	夕弦—普攻2	1	4	1	0.35	1		150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9103	100710	夕弦—普攻3	1	4	1	0.4	2		250	1010101			1	1	1	15	1				1	0	1	0	2		60	800															
9104	100710	夕弦—普攻4	1	4	1	0.5	1		250	1010101			1	1	1	10	1				1	0	1	0	2		0	200															
9105	100710	夕弦—普攻5	1	4	1	0.6	2		250	1010101			1	1	2	5	2	1	1000	40	1	1	1	0	1	70		800															
9110	100710	夕弦—分支	1	4	1	0.35			150	1010101			1	1	1	13	1				1	0	1	0	2		30	500															
9120	100710	夕弦—大招1	1	4	1	0.7			150	1010101			1	0	1	15	1				1	0	1	0																			
9121	100710	夕弦—大招2	1	4	1	0.7			150	1010101			1	0	2	8	2	1	1500	50	1	0	1	0	1	60		600															
9122	100710	夕弦—大招3风刃	1	4	1	1			250	1010101			1	0	1	18	1				1	0	1	0	1	60		800															
9130	100710	夕弦—觉醒1	1	4	1	15			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
9131	100710	夕弦—觉醒1	1	4	1	18.75			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
9132	100710	夕弦—觉醒1	1	4	1	22.5			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
9133	100710	夕弦—觉醒1	1	4	1	26.25			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
9134	100710	夕弦—觉醒1	1	4	1	30			250	1010101			1	0	2	13	2	1	2000	60	1	1	1	0	1	60		600															
9140	100710	夕弦—出场1	1	4	1	1			250	1010101			1	0	1	12	1				1	0	1	0	1	90		600															
9141	100710	夕弦—出场2	1	4	1	1			250	1010101			1	0	1	15	1				1	0	1	0	1	90		300															
9142	100710	夕弦—流血旋风	1	4	1	0.12			150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9143	100710	夕弦—击杀爆炸	1	4	1	1			150	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
																																											
9501	100710	艾伦-普攻1	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9502	100710	艾伦-普攻2	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9503	100710	艾伦-普攻3	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9504	100710	艾伦-普攻4	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9505	100710	艾伦-普攻5	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9511	100710	艾伦-技能1-1招平斩	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9512	100710	艾伦-技能1-2招连刺3次	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9513	100710	艾伦-技能1-2招连刺5次	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9514	100710	艾伦-技能1-3招上挑	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9515	100710	艾伦-技能1-1招平斩+	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9516	100710	艾伦-技能1-2招连刺5次+	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9517	100710	艾伦-技能1-3招上挑+	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9520	100710	艾伦-技能2-0级-一闪	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9521	100710	艾伦-技能2-1级-连斩	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9522	100710	艾伦-技能2-1级-斩一闪	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9523	100710	艾伦-技能2-3级-连斩	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9524	100710	艾伦-技能2-3级-斩一闪	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9525	100710	艾伦-技能2-3级-收招	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9530	100710	艾伦-0级-穿刺3次	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9531	100710	艾伦-1级-穿刺5次	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9532	100710	艾伦-2级-闪回	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9533	100710	艾伦-3级-闪回x3	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9540	100710	艾伦-觉醒1-小激光束	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9541	100710	艾伦-觉醒2-激光炮	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
9550	100710	艾伦-登场技能	1	4	1	1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
																																											
																																											
10011	100710	美九-普攻1	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10012	100710	美九-普攻2	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10013	100710	美九-普攻3	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10014	100710	美九-普攻4	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10021	100710	美九-技能1	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10031	100710	美九-技能2	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10041	100710	美九-必杀	1	4	1	0.1	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
10061	100710	美九-觉醒	1	4	1	5	1		0	1010101			1	1	1	12	1				1	0	1	0	2		30	500															
																																											
																																											
																																											
																																											
																						0																					
																						0																					
30010	200110	近战AST—平砍	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30020	200120	近战AST—蓄力斩	1	1	1	1.5	0		150	1010101			1	1	1	15	1				1	0	0	0	2		50	600															
30030	200210	远程AST—机枪	1	1	1	0.4	0		0	1010101			1	1	0	0	0				0	0	0	0																			
30040	200220	远程AST—导弹	1	3	1	1.5	0		0	1010101			1	1	1	10	1				0	0	1	0																			
30050	200310	综合AST—狙击枪	1	1	1	2	0		0	1010101			1	1	1	15	1				1	0	0	0	2		50	600															
30051	200320	综合AST—护盾	1	1	0	0	0		0	1010101			1	1	0	0	0				1	0	0	0	2		50	600															
30060	200410	高阶近战AST—平砍	1	1	1	1.2	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30070	200420	高阶近战AST—蓄力斩	1	1	1	2	0		150	1010101			1	1	1	15	2				1	0	0	0	2		50	600															
30071	200430	高阶近战AST—霸体减伤	1	1	1	2	0		150	1010101			1	1	1	15	2				1	0	0	0	2		50	600															
30080	200510	高阶远程AST—机枪	1	1	1	0.6	0		0	1010101			1	1	1	10	1				0	0	0	0																			
30090	200520	高阶远程AST—导弹	1	3	1	1.8	0		0	1010101			1	1	0	0	0				0	0	1	0																			
30091	200531	高阶远程AST—地雷爆炸	1	3	1	1.8	0		0	1010101			1	1	0	0	0				0	0	1	0																			
30100	200610	高阶综合AST—狙击枪	1	1	1	2.5	0		0	1010101			1	1	1	15	1				1	0	0	0	2		50	600															
30110	200620	高阶综合AST—随意领域	1	1	0	1	0		0	1010101	301		1	1	0	0	0				0	0	0	0																			
30111	200640	高阶综合AST—捕获网	1	1	1	0.5	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30120	200120	近战AST—霸体	1	1	0	1	0		0	1010101	305		1	1	0	0	0				0	0	0	0																			
30130	200420	高阶近战AST—霸体	1	1	0	1	0		0	1010101	306		1	1	0	0	0				0	0	0	0																			
30140	200610	高阶综合AST—定点导弹	1	3	1	1.5	0		0	1010101			1	1	1	10	1				1	0	0	0	1	60		600															
30150	310040	DEM近战爪击	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30160	310050	DEM近战飞扑	1	1	1	1	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30170	310060	低阶远程DEM—激光枪	1	5	1	0.4	0		0	1010101			1	1	0	0	0				0	0	0	0																			
30180	310070	低阶综合DEM—激光枪	1	5	1	0.4	0		0	1010101			1	1	0	0	0				0	0	0	0																			
30190	310080	低阶综合DEM—随意领域	1	1	0	0	0		0	1010101	301		1	1	0	0	0				0	0	0	0																			
30191	260061	低阶综合DEM—加速力场	1	1	0	0	0		0	1010101	301		1	1	0	0	0				0	0	0	0																			
30200	310090	高阶远程DEM激光枪	1	1	1	1	0		150	1010101			1	1	1	10	1				0	0	0	0																			
30210	310100	高阶远程DEM激光柱	1	1	1	0.5	0		150	1010101			1	1	1	15	1				1	0	0	0	2		50	600															
30211	260081	高阶远程DEM喷火器	1	1	1	0.1	0		150	1010101			1	1	1	15	1				1	0	0	0																			
30220	310110	高阶综合DEM激光枪	1	1	1	1	0		150	1010101			1	1	1	10	1				0	0	0	0																			
30230	310130	高阶综合DEM光线手雷	1	1	1	0.5	0		150	1010101			1	1	1	8	1				0	0	0	0																			
30231	260111	高阶综合DEM干扰声波	1	1	1	0	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30240	200420	通用伤害-气浪震飞	1	1	1	0.01	0		150	1010101			1	0	1	8	1				1	0	0	0	1	75		800															
30250	200420	通用伤害-自爆	1	1	1	2	0		150	1010101			1	0	1	8	1				1	0	1	0	1	60		600															
30260	200420	通用伤害-自爆	1	1	1	5	0		150	1010101			1	0	1	8	1				1	0	1	0	1	60		600															
30270	200410	机械文字-俯冲	1	1	1	1.2	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30280	200420	机械文字-自爆	1	3	1	2	0		150	1010101			1	0	1	8	1				1	1	1	0	1	60		500															
30290	200430	高阶机械文字-俯冲	1	1	1	1.2	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30300	200440	高阶机械文字-反向俯冲	1	1	1	1.2	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30310	200450	高阶机械文字-自爆	1	3	1	2	0		150	1010101			1	1	1	8	1				1	1	1	0	1	60		500															
30320	200510	机械远程—子弹	1	1	1	0.6	0		0	1010101			1	1	0	0	0				0	0	0	0																			
30330	200520	机械远程—导弹1	1	3	1	0.5	0		0	1010101			1	1	1	10	1				1	0	0	0																			
30340	200420	机械远程—后跃炮	1	3	1	2	0		150	1010101			1	1	1	12	1				1	0	0	0	2		50	600															
30350	200420	机械猩猩-锤	1	1	1	2	0		150	1010101			1		1	15	1				1	1	0	0	1	50		600															
30360	200420	机械猩猩-重锤	1	1	1	2	0		150	1010101			1		2	10	2	1	2000	50	1	1	0	0	1	50		600															
30370	200420	机械猩猩-冲撞	1	1	1	2	0		150	1010101			1		1	8	1				1	1	0	0	1	50		600															
30380	231010	高阶机械盾兵穿刺	1	1	1	1.2	0		150	1010101			1	1	1	8	1				1	0	0	0	2		100	600															
30390	231020	高阶机械盾兵防御霸体	1	1	0	0	0		0	1010101	903		1	1	1	12	1				0	0	1	0																			
30391	231040	高阶机械盾兵群体防御	1	1	0	0	0		0	1010101	903		1	1	1	12	1				0	0	1	0																			
30400	231030	高阶机械盾兵冲锋	1	1	1	0.1	0		150	1010101			1	1	1	10	1				1	0	0	0	2		140	800															
30410	241010	高阶机械远程—子弹	1	1	1	0.6	0		0	1010101			1	1	0	0	0				0	0	0	0																			
30420	241020	高阶机械远程—导弹	1	1	1	0.5	0		0	1010101			1	1	1	8	2				0	0	0	0																			
30430	241030	高阶机械远程—后跃炮	1	1	1	2	0		150	1010101			1	1	1	12	1				1	0	0	0	2		50	600															
30440	241040	高阶机械远程—激光炮	1	1	1	0.2	0		0	1010101			1	1	1	8	1				0	0	0	0																			
30450	200510	日下部燎子—格林机枪	1	1	1	0.3	0		0	1010101			1	1	1	3	1				0	0	0	0																			
30460	200520	日下部燎子—导弹	1	3	1	0.5	0		0	1010101			1		1	8	2				1	0	0	0	1	60		600															
30470	270110	低阶近战能量拳头攻击	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30480	270120	低阶近战能量震飞	1	1	1	0.5	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30490	270210	低阶远程能量慢电球	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30500	270220	低阶远程能量落雷	1	1	1	0.5	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30510	270310	低阶近战能量能量手	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
30520	270320	低阶近战能量减速立场	1	1	1	0	0		150	1010101			1	1	1	15	1				0	0	0	0																			
30530	270310	高阶近战能量拳头攻击	1	1	1	1	0		150	1010101			1	1	0	0	0				0	0	0	0																			
