buffid	名称	描述	覆盖标记	buff强度	是否可以在场下触发	触发对象	事件类型	次要触发条件类型	循环时间	调用属性	调用事件	调用状态	属性对比类型	属性值	属性对比结果（1高于 2低于）	对象状态	对象属性id	对象属性对比类型	属性值	属性对比结果	调用技能	使用的技能类型	触发概率	cd时间	效果id
9009	怪物词缀buff	每隔25s，获得50%最大生命值的护盾			0	1	4		25000														10000	0	
9010	怪物词缀buff	每隔16s，释放引力场技能			0	1	4		16000														10000	0	
9011	怪物词缀buff	每隔12s，为全体敌人释放邪恶净化，清除全部buff效果			0	1	4		12000														10000	0	
9012	怪物词缀buff	每隔25s，释放分身技能			0	1	4		25000														10000	0	
9013	怪物词缀buff	每隔30s，为全体友军（不含自己）施加霸体状态，持续10s			0	1	4		30000														10000	0	
9014	怪物词缀buff	每隔18s，获得火盾效果			0	1	4		18000														10000	0	
9015	怪物词缀buff	触碰到火盾的敌人每秒减少3%生命值，持续3s			0	1	5		0												-1		10000	0	
9016	怪物词缀buff	每隔6s，在脚下释放地狱火焰			0	1	4		6000														10000	0	
9017	怪物词缀buff	受到攻击时，有10%概率发射电磁箭。被击飞或击倒是无法触发。			0	1	3		0		350												10000	0	
9018	怪物词缀buff	生命值低于30%时，攻击提升100%			0	1	2		0	2007			1	3000	2								10000	0	
9019	怪物词缀buff	自己死亡时，强化全体友军（除boss类型外）20%的攻击力，效果可叠加5次。			0	1	3		0		4												10000	0	
9020	怪物词缀buff	每隔1s。给500范围内的友军（除自己外）施加免死状态，持续1s			0	1	4		1000														10000	0	
9021	怪物词缀buff	自己获得免死破坏状态，持续永久			0	1	1		0														10000	0	
9022	怪物词缀buff	增加20%移动速度，增加20%攻击速度。			0	1	1		0														10000	0	
9023	怪物词缀buff	500范围内的敌人每秒减少1点能量值（sp、时间值等）			0	1	4		1000														10000	0	
9024	怪物词缀buff	500%的吸血			0	1	3		0		400												10000	0	
9025	怪物词缀buff	死亡时，给500范围内的友军增加10%生命值的护盾效果			0	1	3		0		4												10000	0	
9026	怪物词缀buff	攻击时对敌人造成持续伤害，每秒减少3%生命值，持续4s			0	1	3		0		400												10000	0	
9027	怪物词缀buff	生命值低于30%时，每秒回复3%的血量			0	1	2		0	2007			1	3000	2								10000	0	
9028	怪物词缀buff	每秒增加5%攻击力，最多叠加20次			0	1	1		0														10000	0	
9029	怪物词缀buff	死亡时，对400范围内的敌人造成200%攻击力的伤害			0	1	3		0		4												10000	0	
10110111	天使buff-十香-普攻-位置1-buff1-等级1	普攻命中后，增加自己3%的移动速度，持续3s			0	1	3		0		301												10000	0	20110111
10110112	天使buff-十香-普攻-位置1-buff1-等级2	普攻命中后，增加自己5%的移动速度，持续3s			0	1	3		0		301												10000	0	20110112
10110113	天使buff-十香-普攻-位置1-buff1-等级3	普攻命中后，增加自己8%的移动速度，持续3s			0	1	3		0		301												10000	0	20110113
10110411	天使buff-十香-普攻-位置4-buff1-等级1	普攻命中后，增加自己6%的受伤减免，持续5s			0	1	3		0		301												10000	0	20110411
10110412	天使buff-十香-普攻-位置4-buff1-等级2	普攻命中后，增加自己9%的受伤减免，持续5s			0	1	3		0		301												10000	0	20110412
10110413	天使buff-十香-普攻-位置4-buff1-等级3	普攻命中后，增加自己12%的受伤减免，持续5s			0	1	3		0		301												10000	0	20110413
10110414	天使buff-十香-普攻-位置4-buff1-等级4	普攻命中后，增加自己15%的受伤减免，持续5s			0	1	3		0		301												10000	0	20110414
10120911	天使buff-十香-F技能-位置9-buff1-等级1	F技能命中目标后，有5%几率减少敌人30%防御力，持续5秒			0	1	3		0		302												500	0	20120911
10120912	天使buff-十香-F技能-位置9-buff1-等级2	F技能命中目标后，有10%几率减少敌人30%防御力，持续5秒			0	1	3		0		302												1000	0	20120911
10120913	天使buff-十香-F技能-位置9-buff1-等级3	F技能命中目标后，有15%几率减少敌人30%防御力，持续5秒			0	1	3		0		302												1500	0	20120911
10120914	天使buff-十香-F技能-位置9-buff1-等级4	F技能命中目标后，有20%几率减少敌人30%防御力，持续5秒			0	1	3		0		302												2000	0	20120911
10130611	天使buff-十香-S技能-位置6-buff1-等级1	S技能暴击后，受击敌人将受到相当于我方攻击力20%的每秒持续伤害，持续5s			0	1	3		0		503												10000	0	20130611
10130612	天使buff-十香-S技能-位置6-buff1-等级2	S技能暴击后，受击敌人将受到相当于我方攻击力35%的每秒持续伤害，持续5s			0	1	3		0		503												10000	0	20130612
10130613	天使buff-十香-S技能-位置6-buff1-等级3	S技能暴击后，受击敌人将受到相当于我方攻击力50%的每秒持续伤害，持续5s			0	1	3		0		503												10000	0	20130613
10130711	天使buff-十香-S技能-位置7-buff1-等级1	使用S技能后，增加自己3%的格挡率，持续5s			0	1	3		0		203												10000	0	20130711
10130712	天使buff-十香-S技能-位置7-buff1-等级2	使用S技能后，增加自己6%的格挡率，持续5s			0	1	3		0		203												10000	0	20130712
10130713	天使buff-十香-S技能-位置7-buff1-等级3	使用S技能后，增加自己9%的格挡率，持续5s			0	1	3		0		203												10000	0	20130713
10130714	天使buff-十香-S技能-位置7-buff1-等级4	使用S技能后，增加自己12%的格挡率，持续5s			0	1	3		0		203												10000	0	20130714
10140711	天使buff-十香-必杀技-位置7-buff1-等级1	必杀技造成伤害后，减少目标5%的伤害减免，持续5s，可叠加5次。			0	1	3		0		301												10000	0	20140711
10140712	天使buff-十香-必杀技-位置7-buff1-等级2	必杀技造成伤害后，减少目标10%的伤害减免，持续5s，可叠加5次。			0	1	3		0		301												10000	0	20140712
10140713	天使buff-十香-必杀技-位置7-buff1-等级3	必杀技造成伤害后，减少目标15%的伤害减免，持续5s，可叠加5次。			0	1	3		0		301												10000	0	20140713
10140714	天使buff-十香-必杀技-位置7-buff1-等级4	必杀技造成伤害后，减少目标20%的伤害减免，持续5s，可叠加5次。			0	1	3		0		301												10000	0	20140714
10150111	天使buff-十香-出场技-位置1-buff1-等级1	使用出场技后，使全体敌人眩晕3s			0	1	3		0		204												10000	0	20150111
10170111	天使buff-十香-被动-位置1-buff1-等级1	普攻伤害+50%			1	1	1		0														10000	0	20170111
10170211	天使buff-十香-被动-位置2-buff1-等级1	普攻命中后，增加自己10%伤害加成，持续5s，可叠加5次。			0	1	3		0		301												10000	0	20170211
10170311	天使buff-十香-被动-位置3-buff1-等级1	连击数10-19时，伤害加成+10%			0	1	2		0	2004			1	9	1								10000	0	20170311
10170321	天使buff-十香-被动-位置3-buff2-等级1	连击数20-29时，伤害加成+10%			0	1	2		0	2004			1	19	1								10000	0	20170312
10170331	天使buff-十香-被动-位置3-buff3-等级1	连击数30-39时，伤害加成+10%			0	1	2		0	2004			1	29	1								10000	0	20170313
10170341	天使buff-十香-被动-位置3-buff4-等级1	连击数>40时，伤害加成+10%			0	1	2		0	2004			1	39	1								10000	0	20170314
10170411	天使buff-十香-被动-位置4-buff1-等级1	生命值越低防御越高，每降低1%生命提高1%的防御			1	1	1		0														10000	0	20170411
10170511	天使buff-十香-被动-位置5-buff1-等级1	格挡率+10%			1	1	1		0														10000	0	20170511
10170521	天使buff-十香-被动-位置5-buff2-等级1	每次格挡时恢复2%生命。			0	1	3		0		391												10000	0	20170521
10170611	天使buff-十香-被动-位置6-buff1-等级1	生命值大于70%时，攻击力+30%			1	1	2		0	2007			1	7000	1								10000	0	20170611
10170811	天使buff-十香-被动-位置8-buff1-等级1	S技能的伤害+20%			1	1	1		0														10000	0	20170811
10170821	天使buff-十香-被动-位置8-buff2-等级1	攻击处于负面状态的敌人时造成50%的额外伤害。			0	1	3		0		400					37							10000	0	20170821
10170911	天使buff-十香-被动-位置9-buff1-等级1	必杀技命中目标后，自己的伤害加成+5%，持续5s，可叠加10次。			0	1	3		0		306												10000	0	20170911
10171011	天使buff-十香-被动-位置10-buff1-等级1	必杀技命中目标后，目标的移动速度-30%，持续6s			0	1	3		0		306												10000	0	20171011-20171021
10171021	天使buff-十香-被动-位置10-buff2-等级1	F技能命中目标后，目标的移动速度-30%，持续6s			0	1	3		0		302												10000	0	20171011-20171021
10171211	天使buff-十香-被动-位置12-buff1-等级1	必杀技造成伤害时，对生命值高于70%的目标造成50%的额外伤害			0	1	3		0		406						2007	1	7000	1			10000	0	20171211
10171311	天使buff-十香-被动-位置13-buff1-等级1	受到超过超过15%生命值的单次伤害时，获得相当于30%生命值的护盾，触发间隔30s			0	1	2		0	2009			1	1500	1								10000	30000	20171311
10171411	天使buff-十香-被动-位置14-buff1-等级1	上阵后增加50%攻击力和30%防御力，持续15s			0	1	3		0		7												10000	0	20171411-20171421
10171511	天使buff-十香-被动-位置15-buff1-等级1	击杀敌人后恢复20%生命			0	1	3		0		9												10000	0	20171511
10210311	天使buff-反转十香-普攻-位置3-buff1-等级1	处于1形态且普攻命中目标时，有20%几率恢复1点能量			0	1	3	6	0		301	62											2000	0	20210311
10210611	天使buff-反转十香-普攻-位置6-buff1-等级1	处于1形态且普攻暴击后，提升下条buff（10210621）的概率为100%，持续3s			0	1	3	6	0		501	62											10000	0	20210611
10210621	天使buff-反转十香-普攻-位置6-buff2-等级1	处于1形态且每次命中目标，自身生命值都将恢复2%			0	1	3	6	0		300	62											10000	0	20210621
10211311	天使buff-反转十香-普攻-位置13-buff1-等级1	处于2形态且普攻命中后，自己的暴击率+3%，暴击后移除。			0	1	3	6	0		301	63											10000	0	20211311
10211611	天使buff-反转十香-普攻-位置16-buff1-等级1	处于2形态且普攻暴击后，对目标造成30%的额外伤害			0	1	3	6	0		501	63											10000	0	20211611
10221111	天使buff-反转十香-F技能-位置11-buff1-等级1	处于2形态且F技能造成伤害时，如果目标生命值高于60%，将受到30%的额外伤害。			0	1	3	6	0		402	63					2007	1	6000	1			10000	0	20221111
10221411	天使buff-反转十香-F技能-位置14-buff1-等级1	处于2形态且F技能暴击后，暴击伤害提高10%，持续3s			0	1	3	6	0		502	63											10000	0	20221411
10230511	天使buff-反转十香-S技能-位置5-buff1-等级1	处于1形态且S技能命中后，目标防御力-20%，持续4s			0	1	3	6	0		303	62											10000	0	20230511
10231811	天使buff-反转十香-S技能-位置18-buff1-等级1	处于2形态且S技能命中后，会追加一次20%的额外伤害			0	1	3	6	0		303	63											10000	0	20231811
10240311	天使buff-反转十香-必杀技-位置03-buff1-等级1	处于1形态且使用必杀技击杀敌人时，恢复5%生命值			0	1	3	6	0		9	62										4	10000	0	20240311
10240611	天使buff-反转十香-必杀技-位置06-buff1-等级1	处于1形态且使用必杀技后，获得相当于10%生命值的护盾，持续9s			0	1	3	6	0		206	62											10000	0	20240611
10241311	天使buff-反转十香-必杀技-位置13-buff1-等级1	处于2形态时，根据场上的敌人数量增加必杀技伤害，每隔敌人增加5%			0	1	6		0			63											10000	0	20241311
10270311	天使buff-反转十香-被动-位置3-buff1-等级1	使用F技能后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害+30%。持续3秒			0	1	3		0		202												10000	0	20270311-20270321-20270331-20270341-20270351
10270321	天使buff-反转十香-被动-位置3-buff2-等级1	使用S技能后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害+30%。持续3秒			0	1	3		0		203												10000	0	20270311-20270321-20270331-20270341-20270351
10270331	天使buff-反转十香-被动-位置3-buff3-等级1	使用出场技能后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害+30%。持续3秒			0	1	3		0		204												10000	0	20270311-20270321-20270331-20270341-20270351
10270341	天使buff-反转十香-被动-位置3-buff4-等级1	使用必杀技后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害+30%。持续3秒			0	1	3		0		206												10000	0	20270311-20270321-20270331-20270341-20270351
10270351	天使buff-反转十香-被动-位置3-buff5-等级1	使用觉醒后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害+30%。持续3秒			0	1	3		0		207												10000	0	20270311-20270321-20270331-20270341-20270351
10270411	天使buff-反转十香-被动-位置4-buff1-等级1	对浮空的敌人造成伤害时，额外追加30%伤害			0	1	3		0		400					11							10000	0	20270411
10270611	天使buff-反转十香-被动-位置6-buff1-等级1	处于形态1且使用F技能后，普攻伤害+20%，持续5s			0	1	3	6	0		202	62											10000	0	20270611
10270621	天使buff-反转十香-被动-位置6-buff2-等级1	处于形态1且使用S技能后，普攻伤害+20%，持续5s			0	1	3	6	0		203	62											10000	0	20270611
10270631	天使buff-反转十香-被动-位置6-buff3-等级1	处于形态1且使用出场技能后，普攻伤害+20%，持续5s			0	1	3	6	0		204	62											10000	0	20270611
10270641	天使buff-反转十香-被动-位置6-buff4-等级1	处于形态1且使用必杀技后，普攻伤害+20%，持续5s			0	1	3	6	0		206	62											10000	0	20270611
10270651	天使buff-反转十香-被动-位置6-buff5-等级1	处于形态1且使用觉醒后，普攻伤害+20%，持续5s			0	1	3	6	0		207	62											10000	0	20270611
10270711	天使buff-反转十香-被动-位置7-buff1-等级1	瞄准生命值高于50%的单位时，伤害加成+30%			0	1	3		0		250												10000	0	20270711
10270811	天使buff-反转十香-被动-位置8-buff1-等级1	击杀敌人后，伤害加成+10%，持续5秒，最多叠加5次			0	1	3		0		9												10000	0	20270811
10270911	天使buff-反转十香-被动-位置9-buff1-等级1	处于2形态时，攻击力+25%			0	1	6		0			63											10000	0	20270911
10271011	天使buff-反转十香-被动-位置10-buff1-等级1	处于2形态时，每次造成伤害将恢复1点能量			0	1	6		0			63											10000	0	20271011
10271111	天使buff-反转十香-被动-位置11-buff1-等级1	处于2形态时，每秒减少3点能量（覆盖6001）	1	2	0	1	6		0			63											10000	0	20271111
10271211	天使buff-反转十香-被动-位置12-buff1-等级1	处于2形态时，能量值上限+50，当前能量+50			0	1	6		0			63											10000	0	20271211-20271221
10271411	天使buff-反转十香-被动-位置14-buff1-等级1	处于1形态时，每2秒恢复5点能量（覆盖6002）	2	2	1	1	6		0			62											10000	0	20271411
10271611	天使buff-反转十香-被动-位置16-buff1-等级1	能量值上限+30			1	1	1		0														10000	0	20271611
10310611	天使buff-折纸-普攻-位置6-buff1-等级1	普攻暴击后，自己的暴击率+2%，持续5s，不可叠加			0	1	3		0		501												10000	0	20310611
10310612	天使buff-折纸-普攻-位置6-buff1-等级2	普攻暴击后，自己的暴击率+4%，持续5s，不可叠加			0	1	3		0		501												10000	0	20310612
10310613	天使buff-折纸-普攻-位置6-buff1-等级3	普攻暴击后，自己的暴击率+6%，持续5s，不可叠加			0	1	3		0		501												10000	0	20310613
10320611	天使buff-折纸-F技能-位置6-buff1-等级1	使用F技能后，闪避率+10%，持续5s			0	1	3		0		202												10000	0	20320611
10320612	天使buff-折纸-F技能-位置6-buff1-等级2	使用F技能后，闪避率+15%，持续5s			0	1	3		0		202												10000	0	20320612
10320613	天使buff-折纸-F技能-位置6-buff1-等级3	使用F技能后，闪避率+20%，持续5s			0	1	3		0		202												10000	0	20320613
10320614	天使buff-折纸-F技能-位置6-buff1-等级4	使用F技能后，闪避率+25%，持续5s			0	1	3		0		202												10000	0	20320614
10320911	天使buff-折纸-F技能-位置9-buff1-等级1	F技能暴击时，额外附加相当于攻击10%的1次伤害			0	1	3		0		502												10000	0	20320911
10320912	天使buff-折纸-F技能-位置9-buff1-等级2	F技能暴击时，额外附加相当于攻击15%的1次伤害			0	1	3		0		502												10000	0	20320912
10320913	天使buff-折纸-F技能-位置9-buff1-等级3	F技能暴击时，额外附加相当于攻击20%的1次伤害			0	1	3		0		502												10000	0	20320913
10320914	天使buff-折纸-F技能-位置9-buff1-等级4	F技能暴击时，额外附加相当于攻击25%的1次伤害			0	1	3		0		502												10000	0	20320914
10330811	天使buff-折纸-S技能-位置8-buff1-等级1	S技能命中时，减少敌人10%防御力，持续5s			0	1	3		0		303												10000	0	20330811
10330812	天使buff-折纸-S技能-位置8-buff1-等级2	S技能命中时，减少敌人15%防御力，持续5s			0	1	3		0		303												10000	0	20330812
10330813	天使buff-折纸-S技能-位置8-buff1-等级3	S技能命中时，减少敌人20%防御力，持续5s			0	1	3		0		303												10000	0	20330813
10330814	天使buff-折纸-S技能-位置8-buff1-等级4	S技能命中时，减少敌人25%防御力，持续5s			0	1	3		0		303												10000	0	20330814
10370111	天使buff-折纸-被动-位置1-buff1-等级1	普攻暴击后，物理伤害加成+15%，持续5s			0	1	3		0		501												10000	0	20370111
10370121	天使buff-折纸-被动-位置1-buff2-等级1	F技能暴击后，物理伤害加成+15%，持续5s			0	1	3		0		502												10000	0	20370111
10370211	天使buff-折纸-被动-位置2-buff1-等级1	普攻暴击后，有10%几率对目标追加1次相当于目标10%生命值的伤害。			0	1	3		0		501												1000	0	20370211
10370221	天使buff-折纸-被动-位置2-buff2-等级1	F技能暴击后，有10%几率对目标追加1次相当于目标10%生命值的伤害。			0	1	3		0		502												1000	0	20370211
10370411	天使buff-折纸-被动-位置4-buff1-等级1	普通攻击造成伤害后，对目标追加一次30%的火属性伤害。			0	1	3		0		401												10000	0	20370411
10370421	天使buff-折纸-被动-位置4-buff2-等级1	F技能造成伤害后，对目标追加一次30%的火焰伤害。			0	1	3		0		402												10000	0	20370411
10370511	天使buff-折纸-被动-位置5-buff1-等级1	攻击造成伤害时，有25%概率给目标附加灼烧效果，每秒造成相当于折纸20%攻击力的火属性伤害，持续5s，可叠加5次			0	1	3		0		400												2500	0	20370511
10370611	天使buff-折纸-被动-位置6-buff1-等级1	火属性伤害加成+20%			1	1	1		0														10000	0	20370611
10370711	天使buff-折纸-被动-位置7-buff1-等级1	使用S技能后，S技能伤害加成+15%，必杀技伤害加成+15%，持续4s			0	1	3		0		203												10000	0	20370711-20370721
10370721	天使buff-折纸-被动-位置7-buff2-等级1	使用必杀技后，S技能伤害加成+15%，必杀技伤害加成+15%，持续4s			0	1	3		0		206												10000	0	20370711-20370721
10370811	天使buff-折纸-被动-位置8-buff1-等级1	S技能伤害加成+10%，必杀技伤害加成+10%			0	1	1		0														10000	0	20370811-20370821
10371011	天使buff-折纸-被动-位置10-buff1-等级1	击杀敌人后恢复20%能量			0	1	3		0		9												10000	0	20371011
10371111	天使buff-折纸-被动-位置11-buff1-等级1	每1秒恢复3点能量			1	1	1		0														10000	0	20371111
10371311	天使buff-折纸-被动-位置13-buff1-等级1	能量上限+30			1	1	1		0														10000	0	20371311
10371411	天使buff-折纸-被动-位置14-buff1-等级1	每1点攻击速度会增加0.25移动速度			1	1	1		0														10000	0	20371411
10371511	天使buff-折纸-被动-位置15-buff1-等级1	自身生命值低于25%时，会产生一个相当于15%生命值的护盾，并立即恢复10%生命，触发间隔60s			0	1	2		0	2007			1	2500	2								10000	60000	20371511-20371521
10371611	天使buff-折纸-被动-位置16-buff1-等级1	对精灵类型目标伤害加成+30%			1	1	1		0														10000	0	20371611
10410811	天使buff-四糸乃-普攻-位置8-buff1-等级1	普通攻击命中时，有5%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		301												500	0	60005-60006-60011
10410812	天使buff-四糸乃-普攻-位置8-buff1-等级2	普通攻击命中时，有10%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		301												100	0	60005-60006-60011
10410813	天使buff-四糸乃-普攻-位置8-buff1-等级3	普通攻击命中时，有15%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		301												1500	0	60005-60006-60011
10410814	天使buff-四糸乃-普攻-位置8-buff1-等级4	普通攻击命中时，有20%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		301												2000	0	60005-60006-60011
10430111	天使buff-四糸乃-S技能-位置1-buff1-等级1	极寒领域特效减少效果增加到25%	8	2	0	1	5		0														10000	0	20430111-60010
10430112	天使buff-四糸乃-S技能-位置1-buff1-等级2	极寒领域特效减少效果增加到30%	8	3	0	1	5		0														10000	0	20430112-60010
10430113	天使buff-四糸乃-S技能-位置1-buff1-等级3	极寒领域特效减少效果增加到35%	8	4	0	1	5		0														10000	0	20430113-60010
10430114	天使buff-四糸乃-S技能-位置1-buff1-等级4	极寒领域特效减少效果增加到40%	8	5	0	1	5		0														10000	0	20430114-60010
10430311	天使buff-四糸乃-S技能-位置3-buff1-等级1	S技能造成伤害后，减少目标6%防御力，持续5s			0	1	3		0		403												10000	0	20430311
10430312	天使buff-四糸乃-S技能-位置3-buff1-等级2	S技能造成伤害后，减少目标9%防御力，持续5s			0	1	3		0		403												10000	0	20430312
10430313	天使buff-四糸乃-S技能-位置3-buff1-等级3	S技能造成伤害后，减少目标12%防御力，持续5s			0	1	3		0		403												10000	0	20430313
10430314	天使buff-四糸乃-S技能-位置3-buff1-等级4	S技能造成伤害后，减少目标15%防御力，持续5s			0	1	3		0		403												10000	0	20430314
10430711	天使buff-四糸乃-S技能-位置7-buff1-等级1	陨石攻击会冰冻目标			0	1	5		0														10000	0	20430711
10470111	天使buff-四糸乃-被动-位置1-buff1-等级1	受到攻击时，有20%概率为敌人施加寒颤			0	1	3		0		350												2000	0	60005-60006-60011
10470211	天使buff-四糸乃-被动-位置2-buff1-等级1	普攻施加寒颤的概率+30%			1	1	1		0														10000	0	20470211
10470221	天使buff-四糸乃-被动-位置2-buff2-等级1	F技能命中时，有30%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		302												3000	0	60005-60006-60011
10470231	天使buff-四糸乃-被动-位置2-buff3-等级1	S技能命中时，有30%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		303												3000	0	60005-60006-60011
10470241	天使buff-四糸乃-被动-位置2-buff4-等级1	出场技能命中时，有30%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		304												3000	0	60005-60006-60011
10470251	天使buff-四糸乃-被动-位置2-buff5-等级1	必杀技命中时，有30%概率为目标施加寒颤效果，移动速度-10%，持续6s。寒颤叠加到5次后触发冻结			0	1	3		0		306												3000	0	60005-60006-60011
10470261	天使buff-四糸乃-被动-位置2-buff6-等级1	觉醒命中时，有30%概率为目标施加寒颤效果，移动速度-10%，持续。寒颤叠加到5次后触发冻结6s			0	1	3		0		307												3000	0	60005-60006-60011
10470311	天使buff-四糸乃-被动-位置3-buff1-等级1	击杀处于冻结状态的敌人时，在敌人位置释放爆炸特效			0	1	3		0		9					2							10000	0	20470311
10470411	天使buff-四糸乃-被动-位置4-buff1-等级1	普通攻击造成伤害时，对处于寒颤和冻结状态的敌人额外追加30%的伤害			0	1	3		0		401					31							10000	0	20470411
10470421	天使buff-四糸乃-被动-位置4-buff2-等级1	普通攻击造成伤害时，对处于寒颤和冻结状态的敌人额外追加50%的伤害			0	1	3		0		401					2							10000	0	20470421
10470511	天使buff-四糸乃-被动-位置5-buff1-等级1	F技能瞄准处于冻结的敌人时，增加35%的暴击率和60%的暴击伤害。			0	1	3		0		252					2							10000	0	20470511-20470521
10470521	天使buff-四糸乃-被动-位置5-buff2-等级1	S技能瞄准处于冻结的敌人时，增加35%的暴击率和60%的暴击伤害。			0	1	3		0		253					2							10000	0	20470511-20470521
10470531	天使buff-四糸乃-被动-位置5-buff3-等级1	出场技瞄准处于冻结的敌人时，增加35%的暴击率和60%的暴击伤害。			0	1	3		0		254					2							10000	0	20470511-20470521
10470541	天使buff-四糸乃-被动-位置5-buff4-等级1	必杀技瞄准处于冻结的敌人时，增加35%的暴击率和60%的暴击伤害。			0	1	3		0		256					2							10000	0	20470511-20470521
10470551	天使buff-四糸乃-被动-位置5-buff5-等级1	觉醒瞄准处于冻结的敌人时，增加35%的暴击率和60%的暴击伤害。			0	1	3		0		257					2							10000	0	20470511-20470521
10470611	天使buff-四糸乃-被动-位置6-buff1-等级1	冰属性伤害加成+30%			1	1	1		0														10000	0	20470611
10470711	天使buff-四糸乃-被动-位置7-buff1-等级1	击杀敌人时有50%的概率立即恢复10%生命。			0	1	3		0		9												5000	0	20470711
10470811	天使buff-四糸乃-被动-位置8-buff1-等级1	能量大于99且使用F技能后，每秒恢复5%生命值，持续5s	3	1	0	1	3		0		202												10000	0	20470811
10470821	天使buff-四糸乃-被动-位置8-buff2-等级1	能量大于99且使用S技能后，每秒恢复5%生命值，持续5s	4	1	0	1	3		0		203												10000	0	20470811
10470831	天使buff-四糸乃-被动-位置8-buff3-等级1	能量大于99且使用必杀技后，每秒恢复5%生命值，持续5s	5	1	0	1	3		0		206												10000	0	20470811
10470841	天使buff-四糸乃-被动-位置8-buff4-等级1	能量大于99且使用觉醒后，每秒恢复5%生命值，持续5s	6	1	0	1	3		0		207												10000	0	20470811
10470911	天使buff-四糸乃-被动-位置9-buff1-等级1	全体队友和自己增加100%生命恢复效率			1	1	1		0														10000	0	20470911
10471011	天使buff-四糸乃-被动-位置10-buff1-等级1	受到致命伤害时，释放冰冻自己的技能，并每0.5秒恢复10%生命值，持续3s。触发间隔60s			0	1	3		0		5												10000	60000	20471011-20471021
10471111	天使buff-四糸乃-被动-位置11-buff1-等级1	全体队友和自己增加15%攻击和15%防御			1	1	1		0														10000	0	20471111-20471121
10471211	天使buff-四糸乃-被动-位置12-buff1-等级1	将每个精灵自带的登场有0%概率获得30%护盾值的概率增加到100%			1	1	1		0														10000	0	20471211
10471311	天使buff-四糸乃-被动-位置13-buff1-等级1	能量大于99且使用F技能后，每秒恢复3%生命值，持续8s（覆盖10470811）	3	2	0	1	3		0		202												10000	0	20471311
10471321	天使buff-四糸乃-被动-位置13-buff2-等级1	能量大于99且使用F技能后，每秒恢复3%生命值，持续8s（覆盖10470821）	4	2	0	1	3		0		203												10000	0	20471311
10471331	天使buff-四糸乃-被动-位置13-buff3-等级1	能量大于99且使用F技能后，每秒恢复3%生命值，持续8s（覆盖10470831）	5	2	0	1	3		0		206												10000	0	20471311
10471341	天使buff-四糸乃-被动-位置13-buff4-等级1	能量大于99且使用F技能后，每秒恢复3%生命值，持续8s（覆盖10470841）	6	2	0	1	3		0		207												10000	0	20471311
10471511	天使buff-四糸乃-被动-位置15-buff1-等级1	每5秒恢复3点能量			0	1	1		0														10000	0	20471511
10510411	天使buff-狂三-普攻-位置4-buff1-等级1	普通攻击造成伤害时，有5%几率将伤害值的10%转化为生命值。			0	1	3		0		401												500	0	20510411
10510412	天使buff-狂三-普攻-位置4-buff1-等级2	普通攻击造成伤害时，有10%几率将伤害值的10%转化为生命值。			0	1	3		0		401												1000	0	20510411
10510413	天使buff-狂三-普攻-位置4-buff1-等级3	普通攻击造成伤害时，有15%几率将伤害值的10%转化为生命值。			0	1	3		0		401												1500	0	20510411
10510414	天使buff-狂三-普攻-位置4-buff1-等级4	普通攻击造成伤害时，有20%几率将伤害值的10%转化为生命值。			0	1	3		0		401												2000	0	20510411
10510911	天使buff-狂三-普攻-位置9-buff1-等级1	普通攻击命中时有10%几率恢复1点能量			0	1	3		0		301												1000	0	20510911
10510912	天使buff-狂三-普攻-位置9-buff1-等级2	普通攻击命中时有20%几率恢复1点能量			0	1	3		0		301												2000	0	20510911
10510913	天使buff-狂三-普攻-位置9-buff1-等级3	普通攻击命中时有30%几率恢复1点能量			0	1	3		0		301												3000	0	20510911
10520111	天使buff-狂三-F技能-位置1-buff1-等级1	使用F技能后，移动速度+10%，持续5s，不可叠加			0	1	3		0		202												10000	0	20520111
10520112	天使buff-狂三-F技能-位置1-buff1-等级2	使用F技能后，移动速度+20%，持续5s，不可叠加			0	1	3		0		202												10000	0	20520112
10520113	天使buff-狂三-F技能-位置1-buff1-等级3	使用F技能后，移动速度+30%，持续5s，不可叠加			0	1	3		0		202												10000	0	20520113
10520311	天使buff-狂三-F技能-位置3-buff1-等级1	使用F技能后，闪避率+20%，持续3s，不可叠加			0	1	3		0		202												10000	0	20520311
10520312	天使buff-狂三-F技能-位置3-buff1-等级2	使用F技能后，闪避率+40%，持续3s，不可叠加																							20520312
