id	对应精灵id	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
230	110401	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+6	{3:600}	{510206:1}	10
231	110401	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+31	{1:3100}	{510207:1}	15
232	110401	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+18	{2:1800}	{510208:1}	15
233	110401	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+38	{1:3800}	{510201:1,510202:1}	10
234	110401	10		2			32	icon/attribute/70x70/503.png	9-11	[9]	穿透率+4%	{503:400}	{510203:1,510204:1}	15
235	110401	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+18	{2:1800}	{510205:1,510206:1}	10
236	110401	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+8	{3:800}	{510207:1,510208:1}	15
237	110401	13		3			10	icon/attribute/70x70/514.png	12-15	[12]	减益时间减少+10%	{514:1000}	{510201:1,510202:1,510203:1}	15
238	110401	14		3			14	icon/attribute/70x70/1.png	12-16	[12]	生命+38	{1:3800}	{510204:1,510205:1,510206:1}	15
239	110401	15		3			21	icon/attribute/70x70/2.png	13-16	[13,16]	攻击+21	{2:2100}	{510207:2,510208:2}	15
240	110401	16		3			25	icon/attribute/70x70/1.png	14-15-17-18	[14,15]	生命+46	{1:4600}	{510209:2,510210:2}	15
241	110401	17		3			29	icon/attribute/70x70/502.png	16-18	[16]	受伤减免+3%	{502:300}	{510211:2,510212:2}	15
242	110401	18		3			36	icon/attribute/70x70/2.png	16-17-19	[16]	攻击+21	{2:2100}	{510213:1,510214:1,510215:1}	15
243	110401	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+46	{1:4600}	{510213:1,510214:1,510215:1}	15
244	110401	20		4			10	icon/attribute/70x70/3.png	19-23	[19]	防御+8	{3:800}	{510207:2,510208:2,510209:2}	15
245	110401	21		4			14	icon/attribute/70x70/3.png	19-22-23	[19]	防御+9	{3:900}	{510207:3,510208:3,510209:3}	15
246	110401	22		4			18	icon/attribute/70x70/2.png	21-24-25	[21]	攻击+25	{2:2500}	{510216:1}	15
247	110401	23		4			21	icon/attribute/70x70/501.png	20-21	[20,21]	伤害加成+4%	{501:400}	{510217:1}	15
248	110401	24		4			25	icon/attribute/70x70/2.png	22-26	[22]	攻击+25	{2:2500}	{510218:1}	20
249	110401	25		4			29	icon/attribute/70x70/2.png	22-26	[22]	攻击力+6%	{1002:600}	{510219:1}	20
250	110401	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+54	{1:5400}	{510220:1}	20
251	110401	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+9	{3:900}	{510221:1}	20
252	110401	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+54	{1:5400}	{510222:1}	20
253	110401	29		5			10	icon/attribute/70x70/507.png	32	[32]	暴击率+3%	{507:300}	{510223:1}	20
254	110401	30		5			14	icon/attribute/70x70/2.png	27-31-32-35	[27]	攻击+28	{2:2800}	{510224:1}	20
255	110401	31		5			18	icon/attribute/70x70/2.png	28-30-33	[28,30]	攻击+32	{2:3200}	{510225:1}	20
256	110401	32		5			21	icon/attribute/70x70/1.png	29-30-34	[30]	生命+61	{1:6100}	{510226:1}	20
257	110401	33		5			29	icon/attribute/70x70/506.png	31	[31]	闪避率+6%	{506:600}	{510227:1}	20
258	110401	34		5			32	icon/attribute/70x70/3.png	32-35	[32]	防御+11	{3:1100}	{510228:1}	20
259	110401	35		5			36	icon/attribute/70x70/1.png	30-34-36	[30]	生命+69	{1:6900}	{510229:1}	20
260	110401	36		6			3	icon/attribute/70x70/3.png	35-39-40	[35]	防御+11	{3:1100}	{510230:1}	20
261	110401	37		6			6	icon/attribute/70x70/3.png	39-41	[39,41]	防御+12	{3:1200}	{510231:1}	25
262	110401	38		6			11	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+32	{2:3200}	{510232:1}	25
263	110401	39		6			13	icon/attribute/70x70/1.png	36-37-43	[36]	生命+69	{1:6900}	{510233:1}	25
264	110401	40		6			15	icon/attribute/70x70/1.png	36-38-44	[36]	生命+77	{1:7700}	{510234:1}	25
265	110401	41		6			17	icon/attribute/70x70/501.png	37-43	[37,43]	伤害加成+5%	{501:500}	{510235:1}	25
266	110401	42		6			22	icon/attribute/70x70/503.png	38-44	[38,44]	穿透率+5%	{503:500}	{510236:1}	25
267	110401	43		6			24	icon/attribute/70x70/2.png	39-41-45	[39,45]	攻击+35	{2:3500}	{510237:1}	25
268	110401	44		6			26	icon/attribute/70x70/3.png	40-42-45	[40,45]	防御+14	{3:1400}	{510238:1}	30
269	110401	45		6			36	icon/attribute/70x70/514.png	43-44-46	[43,44]	减益时间减少+15%	{514:1500}	{510239:1}	30
270	110401	46		7			3	icon/attribute/70x70/3.png	45-49-50	[45]	防御+14	{3:1400}	{510240:1}	30
271	110401	47		7			6	icon/attribute/70x70/502.png	49-51	[49,51]	受伤减免+4%	{502:400}	{510232:2}	30
272	110401	48		7			11	icon/attribute/70x70/511.png	50-52	[50,52]	控制时间+15%	{511:1500}	{510233:2}	30
273	110401	49		7			13	icon/attribute/70x70/1.png	46-47	[46]	生命+77	{1:7700}	{510234:2}	30
274	110401	50		7			15	icon/attribute/70x70/2.png	46-48	[46]	攻击+35	{2:3500}	{510235:2}	30
275	110401	51		7			17	icon/attribute/70x70/3.png	47-53	[47,53]	防御+15	{3:1500}	{510236:2}	30
276	110401	52		7			22	icon/attribute/70x70/3.png	48-54	[48,54]	防御+15	{3:1500}	{510237:2}	35
277	110401	53		7			24	icon/attribute/70x70/2.png	51-54-55	[51,54]	攻击+35	{2:3500}	{510238:2}	35
278	110401	54		7			26	icon/attribute/70x70/1.png	52-53-56	[52,53]	生命+77	{1:7700}	{510239:2}	35
279	110401	55		7			35	icon/attribute/70x70/2.png	53-56	[53,56]	攻击力+8%	{1002:800}	{510240:2}	35
280	110401	56		7			37	icon/attribute/70x70/3.png	54-55	[54,55]	防御+15	{3:1500}	{510239:2}	35
281	110501	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/2.png	2-3		攻击+10	{2:1000}	{510201:1}	10
282	110501	2		1			13	icon/attribute/70x70/1.png	1-4	[1]	生命+38	{1:3800}	{510202:1}	10
283	110501	3		1			15	icon/attribute/70x70/3.png	1-4	[1]	防御+7	{3:700}	{510203:1}	15
284	110501	4		1			25	icon/attribute/70x70/508.png	2-3	[2,3]	抗暴率+5%	{508:500}	{510204:1}	10
285	110501	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+10	{2:1000}	{510205:1}	10
286	110501	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+7	{3:700}	{510206:1}	10
287	110501	7		2			7	icon/attribute/70x70/2.png	6-9	[6]	攻击+13	{2:1300}	{510207:1}	15
288	110501	8		2			10	icon/attribute/70x70/507.png	6-9	[6]	暴击率+3%	{507:300}	{510208:1}	15
289	110501	9		2			14	icon/attribute/70x70/1.png	7-8	[7,8]	生命+38	{1:3800}	{510201:1,510202:1}	10
290	110501	10		2			25	icon/attribute/70x70/2.png	9-11	[9]	攻击+13	{2:1300}	{510203:1,510204:1}	15
291	110501	11		2			36	icon/attribute/70x70/3.png	10-12	[10]	防御+9	{3:900}	{510205:1,510206:1}	10
292	110501	12		3			3	icon/attribute/70x70/3.png	11-13-14-17	[11]	防御+9	{3:900}	{510207:1,510208:1}	15
293	110501	13		3			7	icon/attribute/70x70/1.png	12-15	[12]	生命+48	{1:4800}	{510201:1,510202:1,510203:1}	15
294	110501	14		3			10	icon/attribute/70x70/2.png	12-16	[12]	攻击+15	{2:1500}	{510204:1,510205:1,510206:1}	15
295	110501	15		3			18	icon/attribute/70x70/1.png	13-17	[13,17]	生命值+6%	{1001:600}	{510207:2,510208:2}	15
296	110501	16		3			21	icon/attribute/70x70/509.png	14-17	[14,17]	暴击伤害+10%	{509:1000}	{510209:2,510210:2}	15
297	110501	17		3			25	icon/attribute/70x70/2.png	12-15-16-18	[12]	攻击+15	{2:1500}	{510211:2,510212:2}	15
298	110501	18		3			36	icon/attribute/70x70/1.png	17-19	[17,19]	生命+48	{1:4800}	{510213:1,510214:1,510215:1}	15
299	110501	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+10	{3:1000}	{510213:1,510214:1,510215:1}	15
300	110501	20		4			7	icon/attribute/70x70/2.png	19-22-24	[19]	攻击+18	{2:1800}	{510207:2,510208:2,510209:2}	15
301	110501	21		4			10	icon/attribute/70x70/2.png	19-22-25	[19]	攻击+18	{2:1800}	{510207:3,510208:3,510209:3}	15
302	110501	22		4			14	icon/attribute/70x70/1.png	20-21-23	[20,21]	生命+58	{1:5800}	{510216:1}	15
303	110501	23		4			25	icon/attribute/70x70/3.png	22-24-25	[22,24,25]	防御+10	{3:1000}	{510217:1}	15
304	110501	24		4			29	icon/attribute/70x70/510.png	20-23-26	[20,23,26]	暴伤减免+10%	{510:1000}	{510218:1}	20
305	110501	25		4			32	icon/attribute/70x70/512.png	21-23-26	[21,23,26]	受控时间减少+15%	{512:1500}	{510219:1}	20
306	110501	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+58	{1:5800}	{510220:1}	20
307	110501	27		5			3	icon/attribute/70x70/3.png	26-28-29	[26]	防御+12	{3:1200}	{510221:1}	20
308	110501	28		5			7	icon/attribute/70x70/1.png	27-30-33	[27]	生命+67	{1:6700}	{510222:1}	20
309	110501	29		5			10	icon/attribute/70x70/2.png	27-31	[27]	攻击+21	{2:2100}	{510223:1}	20
310	110501	30		5			14	icon/attribute/70x70/515.png	28-31	[28,31]	恢复效率+20%	{515:2000}	{510224:1}	20
311	110501	31		5			21	icon/attribute/70x70/1.png	29-30-32-34	[29,30,32,34]	生命+67	{1:6700}	{510225:1}	20
312	110501	32		5			25	icon/attribute/70x70/510.png	31-33	[31,33]	暴伤减免+15%	{510:1500}	{510226:1}	20
313	110501	33		5			29	icon/attribute/70x70/2.png	28-32-35	[28,32,35]	攻击+23	{2:2300}	{510227:1}	20
314	110501	34		5			32	icon/attribute/70x70/3.png	31-35	[31,35]	防御+12	{3:1200}	{510228:1}	20
315	110501	35		5			36	icon/attribute/70x70/3.png	33-34-36	[33,34]	防御+14	{3:1400}	{510229:1}	20
316	110501	36		6			3	icon/attribute/70x70/1.png	35-38-39	[35]	生命+77	{1:7700}	{510230:1}	20
317	110501	37		6			7	icon/attribute/70x70/507.png	39	[39]	暴击率+4%	{507:400}	{510231:1}	25
318	110501	38		6			10	icon/attribute/70x70/2.png	36-41	[36]	攻击+23	{2:2300}	{510232:1}	25
319	110501	39		6			14	icon/attribute/70x70/3.png	36-37-41	[36]	防御+15	{3:1500}	{510233:1}	25
320	110501	40		6			18	icon/attribute/70x70/1.png	42-43	[42]	生命值+8%	{1001:800}	{510234:1}	25
321	110501	41		6			21	icon/attribute/70x70/1.png	38-39-42	[38,39]	生命+86	{1:8600}	{510235:1}	25
322	110501	42		6			25	icon/attribute/70x70/1.png	40-41-44-45	[41]	生命+86	{1:8600}	{510236:1}	25
323	110501	43		6			29	icon/attribute/70x70/2.png	40-45	[40,45]	攻击+26	{2:2600}	{510237:1}	25
324	110501	44		6			32	icon/attribute/70x70/508.png	42	[42]	抗暴率+5%	{508:500}	{510238:1}	30
325	110501	45		6			36	icon/attribute/70x70/3.png	42-43-46	[42]	防御+15	{3:1500}	{510239:1}	30
326	110501	46		7			3	icon/attribute/70x70/2.png	45-47	[45]	攻击+26	{2:2600}	{510240:1}	30
327	110501	47		7			7	icon/attribute/70x70/3.png	46-50	[46]	防御+17	{3:1700}	{510232:2}	30
328	110501	48		7			10	icon/attribute/70x70/1.png	49-51	[49,51]	生命+96	{1:9600}	{510233:2}	30
329	110501	49		7			14	icon/attribute/70x70/1.png	48-50	[50]	生命+96	{1:9600}	{510234:2}	30
330	110501	50		7			18	icon/attribute/70x70/2.png	47-49-52-53	[47]	攻击+26	{2:2600}	{510235:2}	30
331	110501	51		7			21	icon/attribute/70x70/3.png	48-52-54	[48,52]	防御+17	{3:1700}	{510236:2}	30
332	110501	52		7			25	icon/attribute/70x70/502.png	50-51-55-56	[50]	受伤减免+6%	{502:600}	{510237:2}	35
333	110501	53		7			28	icon/attribute/70x70/1.png	50-55	[50]	生命+96	{1:9600}	{510238:2}	35
334	110501	54		7			33	icon/attribute/70x70/3.png	51-56	[51,56]	防御+17	{3:1700}	{510239:2}	35
335	110501	55		7			35	icon/attribute/70x70/512.png	52-53	[52,53]	受控时间减少+10%	{512:1000}	{510240:2}	35
336	110501	56		7			37	icon/attribute/70x70/515.png	52-54	[52,54]	恢复效率+20%	{515:2000}	{510239:2}	35
337	110601	1		1	ui/jiejin01.png	ui/tu01.png	14	icon/attribute/70x70/2.png	2		攻击+8	{2:800}	{510201:1}	10
338	110601	2		1			25	icon/attribute/70x70/1.png	1-3-4	[1]	生命+26	{1:2600}	{510202:1}	10
339	110601	3		1			29	icon/attribute/70x70/2.png	2-5	[2]	攻击+8	{2:800}	{510203:1}	15
340	110601	4		1			32	icon/attribute/70x70/3.png	2-5	[2]	防御+5	{3:500}	{510204:1}	10
341	110601	5		1			36	icon/attribute/70x70/501.png	3-4-6	[3,4]	伤害加成+3%	{501:300}	{510205:1}	10
342	110601	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{510206:1}	10
343	110601	7		2			10	icon/attribute/70x70/2.png	6-8	[6]	攻击+10	{2:1000}	{510207:1}	15
344	110601	8		2			14	icon/attribute/70x70/1.png	6-7-9	[6]	生命+26	{1:2600}	{510208:1}	15
345	110601	9		2			25	icon/attribute/70x70/3.png	8-10-11	[8]	防御+6	{3:600}	{510201:1,510202:1}	10
346	110601	10		2			29	icon/attribute/70x70/6.png	9-11	[9]	攻击速度+6	{6:600}	{510203:1,510204:1}	15
347	110601	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{510205:1,510206:1}	10
348	110601	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+6	{3:600}	{510207:1,510208:1}	15
349	110601	13		3			7	icon/attribute/70x70/509.png	12-15	[12]	暴击伤害+6%	{509:600}	{510201:1,510202:1,510203:1}	15
350	110601	14		3			14	icon/attribute/70x70/1.png	12-15-16	[12]	生命+33	{1:3300}	{510204:1,510205:1,510206:1}	15
351	110601	15		3			18	icon/attribute/70x70/2.png	13-14	[13,14]	攻击+12	{2:1200}	{510207:2,510208:2}	15
352	110601	16		3			25	icon/attribute/70x70/2.png	14-17-18	[14]	攻击+12	{2:1200}	{510209:2,510210:2}	15
353	110601	17		3			32	icon/attribute/70x70/11.png	16-18	[16]	移动速度+6	{11:600}	{510211:2,510212:2}	15
354	110601	18		3			36	icon/attribute/70x70/3.png	16-17-19	[16]	防御+7	{3:700}	{510213:1,510214:1,510215:1}	15
355	110601	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+33	{1:3300}	{510213:1,510214:1,510215:1}	15
356	110601	20		4			7	icon/attribute/70x70/3.png	19-22	[19]	防御+7	{3:700}	{510207:2,510208:2,510209:2}	15
357	110601	21		4			14	icon/attribute/70x70/2.png	19-22-23	[19]	攻击+14	{2:1400}	{510207:3,510208:3,510209:3}	15
358	110601	22		4			18	icon/attribute/70x70/501.png	20-21-24-25	[20,21]	伤害加成+4%	{501:400}	{510216:1}	15
359	110601	23		4			21	icon/attribute/70x70/513.png	21-24	[21,24]	增益时间+10%	{513:1000}	{510217:1}	15
360	110601	24		4			25	icon/attribute/70x70/1.png	22-23-26	[22,23]	生命+39	{1:3900}	{510218:1}	20
361	110601	25		4			29	icon/attribute/70x70/2.png	22-26	[22,26]	攻击+14	{2:1400}	{510219:1}	20
362	110601	26		4			36	icon/attribute/70x70/3.png	24-25-27	[24,25]	防御+9	{3:900}	{510220:1}	20
363	110601	27		5			3	icon/attribute/70x70/2.png	26-28-29-32	[26]	攻击+16	{2:1600}	{510221:1}	20
364	110601	28		5			7	icon/attribute/70x70/1.png	27-30	[27]	生命+39	{1:3900}	{510222:1}	20
365	110601	29		5			10	icon/attribute/70x70/3.png	27-31	[27]	防御+9	{3:900}	{510223:1}	20
366	110601	30		5			18	icon/attribute/70x70/509.png	28-32-33	[28,32,33]	暴击伤害+7%	{509:700}	{510224:1}	20
367	110601	31		5			21	icon/attribute/70x70/6.png	29-32-34	[29,32,34]	攻击速度+8	{6:800}	{510225:1}	20
368	110601	32		5			25	icon/attribute/70x70/1.png	27-30-31-35	[27]	生命+46	{1:4600}	{510226:1}	20
369	110601	33		5			29	icon/attribute/70x70/3.png	30-35	[30,35]	防御+10	{3:1000}	{510227:1}	20
370	110601	34		5			32	icon/attribute/70x70/2.png	31-35	[31,35]	攻击+18	{2:1800}	{510228:1}	20
371	110601	35		5			36	icon/attribute/70x70/2.png	32-33-34	[32,33,34]	攻击+18	{2:1800}	{510229:1}	20
372	110601	36		6			3	icon/attribute/70x70/1.png	35-37-38	[35]	生命+46	{1:4600}	{510230:1}	20
373	110601	37		6			13	icon/attribute/70x70/2.png	36-39-41	[36]	攻击+20	{2:2000}	{510231:1}	25
374	110601	38		6			15	icon/attribute/70x70/3.png	36-40-42	[36]	防御+11	{3:1100}	{510232:1}	25
375	110601	39		6			17	icon/attribute/70x70/11.png	37-43	[37,43]	移动速度+9	{11:900}	{510233:1}	25
376	110601	40		6			22	icon/attribute/70x70/509.png	38-44	[38,44]	暴击伤害+7%	{509:700}	{510234:1}	25
377	110601	41		6			24	icon/attribute/70x70/3.png	37-43-45	[37,45]	防御+11	{3:1100}	{510235:1}	25
378	110601	42		6			26	icon/attribute/70x70/1.png	38-44-45	[38,45]	生命+52	{1:5200}	{510236:1}	25
379	110601	43		6			28	icon/attribute/70x70/1.png	39-41	[39,41]	生命+59	{1:5900}	{510237:1}	25
380	110601	44		6			33	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+20	{2:2000}	{510238:1}	30
381	110601	45		6			36	icon/attribute/70x70/6.png	41-42-46	[41,42]	攻击速度+8	{6:800}	{510239:1}	30
382	110601	46		7			3	icon/attribute/70x70/3.png	45-47-48-49	[45]	防御+12	{3:1200}	{510240:1}	30
383	110601	47		7			7	icon/attribute/70x70/1.png	46-50	[46]	生命+59	{1:5900}	{510232:2}	30
384	110601	48		7			10	icon/attribute/70x70/1.png	46-51	[46]	生命+66	{1:6600}	{510233:2}	30
385	110601	49		7			14	icon/attribute/70x70/2.png	46-52-53	[46]	攻击+20	{2:2000}	{510234:2}	30
386	110601	50		7			17	icon/attribute/70x70/3.png	47-52-54	[47,52]	防御+12	{3:1200}	{510235:2}	30
387	110601	51		7			22	icon/attribute/70x70/3.png	48-53-55	[48,53]	防御+12	{3:1200}	{510236:2}	30
388	110601	52		7			24	icon/attribute/70x70/503.png	49-50-54-56	[49,50,56]	穿透率+4%	{503:400}	{510237:2}	35
389	110601	53		7			26	icon/attribute/70x70/513.png	49-51-55-56	[49,51,56]	增益时间+15%	{513:1500}	{510238:2}	35
390	110601	54		7			28	icon/attribute/70x70/1.png	50-52	[50,52]	生命+66	{1:6600}	{510239:2}	35
391	110601	55		7			33	icon/attribute/70x70/1.png	51-53	[51,53]	生命+66	{1:6600}	{510240:2}	35
392	110601	56		7			36	icon/attribute/70x70/504.png	52-53	[52,53]	格挡率+6%	{504:600}	{510239:2}	35
393	110701	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+30	{1:3000}	{510201:1}	10
394	110701	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+11	{2:1100}	{510202:1}	10
395	110701	3		1			21	icon/attribute/70x70/504.png	2-4	[2]	格挡率+3%	{504:300}	{510203:1}	15
396	110701	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+6	{3:600}	{510204:1}	10
397	110701	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+11	{2:1100}	{510205:1}	10
398	110701	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+6	{3:600}	{510206:1}	10
399	110701	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+30	{1:3000}	{510207:1}	15
400	110701	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+14	{2:1400}	{510208:1}	15
401	110701	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+38	{1:3800}	{510201:1,510202:1}	10
402	110701	10		2			32	icon/attribute/70x70/509.png	9-11	[9]	暴击伤害+10%	{509:1000}	{510203:1,510204:1}	15
403	110701	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+14	{2:1400}	{510205:1,510206:1}	10
404	110701	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+7	{3:700}	{510207:1,510208:1}	15
405	110701	13		3			10	icon/attribute/70x70/503.png	12-15	[12]	穿透率+3%	{503:300}	{510201:1,510202:1,510203:1}	15
406	110701	14		3			14	icon/attribute/70x70/1.png	12-16	[12]	生命+38	{1:3800}	{510204:1,510205:1,510206:1}	15
407	110701	15		3			21	icon/attribute/70x70/2.png	13-16	[13,16]	攻击+17	{2:1700}	{510207:2,510208:2}	15
408	110701	16		3			25	icon/attribute/70x70/1.png	14-15-17-18	[14,15]	生命+45	{1:4500}	{510209:2,510210:2}	15
409	110701	17		3			29	icon/attribute/70x70/509.png	16-18	[16]	暴击伤害+15%	{509:1500}	{510211:2,510212:2}	15
410	110701	18		3			36	icon/attribute/70x70/2.png	16-17-19	[16]	攻击+17	{2:1700}	{510213:1,510214:1,510215:1}	15
411	110701	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+45	{1:4500}	{510213:1,510214:1,510215:1}	15
412	110701	20		4			10	icon/attribute/70x70/3.png	19-23	[19]	防御+7	{3:700}	{510207:2,510208:2,510209:2}	15
413	110701	21		4			14	icon/attribute/70x70/3.png	19-22-23	[19]	防御+9	{3:900}	{510207:3,510208:3,510209:3}	15
414	110701	22		4			18	icon/attribute/70x70/2.png	21-24-25	[21]	攻击+19	{2:1900}	{510216:1}	15
415	110701	23		4			21	icon/attribute/70x70/3.png	20-21	[20,21]	防御+3%	{1003:300}	{510217:1}	15
416	110701	24		4			25	icon/attribute/70x70/2.png	22-26	[22]	攻击+19	{2:1900}	{510218:1}	20
417	110701	25		4			29	icon/attribute/70x70/1.png	22-26	[22]	生命+3%	{1001:300}	{510219:1}	20
418	110701	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+53	{1:5300}	{510220:1}	20
419	110701	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+9	{3:900}	{510221:1}	20
420	110701	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+53	{1:5300}	{510222:1}	20
421	110701	29		5			10	icon/attribute/70x70/510.png	32	[32]	暴伤减免+5%	{510:500}	{510223:1}	20
422	110701	30		5			14	icon/attribute/70x70/2.png	27-31-32-35	[27]	攻击+22	{2:2200}	{510224:1}	20
423	110701	31		5			18	icon/attribute/70x70/2.png	28-30-33	[28,30]	攻击+25	{2:2500}	{510225:1}	20
424	110701	32		5			21	icon/attribute/70x70/1.png	29-30-34	[30]	生命+60	{1:6000}	{510226:1}	20
425	110701	33		5			29	icon/attribute/70x70/504.png	31	[31]	格挡率+3%	{504:300}	{510227:1}	20
426	110701	34		5			32	icon/attribute/70x70/3.png	32-35	[32]	防御+10	{3:1000}	{510228:1}	20
427	110701	35		5			36	icon/attribute/70x70/1.png	30-34-36	[30]	生命+68	{1:6800}	{510229:1}	20
428	110701	36		6			3	icon/attribute/70x70/3.png	35-39-40	[35]	防御+10	{3:1000}	{510230:1}	20
429	110701	37		6			6	icon/attribute/70x70/3.png	39-41	[39,41]	防御+11	{3:1100}	{510231:1}	25
430	110701	38		6			11	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+25	{2:2500}	{510232:1}	25
431	110701	39		6			13	icon/attribute/70x70/1.png	36-37-43	[36]	生命+68	{1:6800}	{510233:1}	25
432	110701	40		6			15	icon/attribute/70x70/1.png	36-38-44	[36]	生命+75	{1:7500}	{510234:1}	25
433	110701	41		6			17	icon/attribute/70x70/3.png	37-43	[37,43]	防御+3%	{1003:300}	{510235:1}	25
434	110701	42		6			22	icon/attribute/70x70/503.png	38-44	[38,44]	穿透率+3%	{503:300}	{510236:1}	25
435	110701	43		6			24	icon/attribute/70x70/2.png	39-41-45	[39,45]	攻击+28	{2:2800}	{510237:1}	25
436	110701	44		6			26	icon/attribute/70x70/3.png	40-42-45	[40,45]	防御+13	{3:1300}	{510238:1}	30
437	110701	45		6			36	icon/attribute/70x70/509.png	43-44-46	[43,44]	暴击伤害+15%	{509:1500}	{510239:1}	30
438	110701	46		7			3	icon/attribute/70x70/3.png	45-49-50	[45]	防御+13	{3:1300}	{510240:1}	30
439	110701	47		7			6	icon/attribute/70x70/510.png	49-51	[49,51]	暴伤减免+5%	{510:500}	{510232:2}	30
440	110701	48		7			11	icon/attribute/70x70/1.png	50-52	[50,52]	生命+4%	{1001:400}	{510233:2}	30
441	110701	49		7			13	icon/attribute/70x70/1.png	46-47	[46]	生命+75	{1:7500}	{510234:2}	30
442	110701	50		7			15	icon/attribute/70x70/2.png	46-48	[46]	攻击+28	{2:2800}	{510235:2}	30
443	110701	51		7			17	icon/attribute/70x70/3.png	47-53	[47,53]	防御+14	{3:1400}	{510236:2}	30
444	110701	52		7			22	icon/attribute/70x70/3.png	48-54	[48,54]	防御+14	{3:1400}	{510237:2}	35
445	110701	53		7			24	icon/attribute/70x70/2.png	51-54-55	[51,54]	攻击+28	{2:2800}	{510238:2}	35
446	110701	54		7			26	icon/attribute/70x70/1.png	52-53-56	[52,53]	生命+75	{1:7500}	{510239:2}	35
447	110701	55		7			35	icon/attribute/70x70/509.png	53-56	[53,56]	暴击伤害+20%	{509:2000}	{510240:2}	35
448	110701	56		7			37	icon/attribute/70x70/3.png	54-55	[54,55]	防御+14	{3:1400}	{510239:2}	35
449	110801	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+28	{1:2800}	{510201:1}	10
450	110801	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+10	{2:1000}	{510202:1}	10
451	110801	3		1			21	icon/attribute/70x70/507.png	2-4	[2]	暴击率+5%	{507:500}	{510203:1}	15
452	110801	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+5	{3:500}	{510204:1}	10
453	110801	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+10	{2:1000}	{510205:1}	10
454	110801	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{510206:1}	10
455	110801	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+28	{1:2800}	{510207:1}	15
456	110801	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+13	{2:1300}	{510208:1}	15
457	110801	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+34	{1:3400}	{510201:1,510202:1}	10
458	110801	10		2			32	icon/attribute/70x70/6.png	9-11	[9]	攻击速度+9	{6:900}	{510203:1,510204:1}	15
459	110801	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+13	{2:1300}	{510205:1,510206:1}	10
