音效ID	动画类型（1角色，2特效）	动画资源	动画ID	动作名字	音效事件	音量	音效资源
219	1	fight_10603	skillD	崇宫真那-觉醒	music1	100	sound/battle_sound/10601/skillmusic/10601_skillD_1.mp3
220	1	fight_10603	skillD	崇宫真那-觉醒	music2	100	sound/battle_sound/10601/skillmusic/10601_skillD_2.mp3
221	1	fight_10603	dodge	崇宫真那-闪避	music1	100	sound/battle_sound/10601/skillmusic/10601_dodge.mp3
222	1	fight_10603	dodge2	崇宫真那-闪避2	music1	100	sound/battle_sound/10601/skillmusic/10601_dodge2.mp3
223	1	fight_10603	skillF	崇宫真那-出场-挑空穿刺	music1	100	sound/battle_sound/10601/skillmusic/10601_chuchang.mp3
224	1	fight_10701	skillC_2	耶俱矢-大招-语音1	music1	100	sound/battle_sound/10701/voice/KAGUYA_22.mp3
225	1	fight_10701	skillD	耶俱矢-觉醒-语音	music1	100	sound/battle_sound/10701/voice/KAGUYA_24.mp3
226	1	fight_10701	skillA_1a	耶俱矢-普攻1	music1	100	sound/battle_sound/10701/skillmusic10701_skillA_1.mp3
227	1	fight_10701	skillA_2a	耶俱矢-普攻2	music1	100	sound/battle_sound/10701/skillmusic10701_skillA_2.mp3
228	1	fight_10701	skillA_3a	耶俱矢-普攻3	music1	100	sound/battle_sound/10701/skillmusic10701_skillA_3.mp3
229	1	fight_10701	skillA_4a	耶俱矢-普攻4	music1	100	sound/battle_sound/10701/skillmusic10701_skillA_4.mp3
230	1	fight_10701	skillA_5a	耶俱矢-普攻5	music1	100	sound/battle_sound/10701/skillmusic10701_skillA_5.mp3
231	1	fight_10701	skillB	耶俱矢-分支	music1	100	sound/battle_sound/10701/skillmusic10701_skillB.mp3
232	1	fight_10701	skillC_2	耶俱矢-大招1	music1	100	sound/battle_sound/10701/skillmusic10701_skillC_1.mp3
233	1	fight_10701	skillC_3	耶俱矢-大招2	music1	100	sound/battle_sound/10701/skillmusic10701_skillC_2.mp3
234	1	fight_10701	skillC_4	耶俱矢-大招3	music2	100	sound/battle_sound/10701/skillmusic10701_skillC_3.mp3
235	1	fight_10701	skillD	耶俱矢-觉醒	music1	100	sound/battle_sound/10701/skillmusic10701_skillD.mp3
236	1	fight_10701	skillD	耶俱矢-觉醒2	music2	100	sound/battle_sound/10701/skillmusic10701_skillD1.mp3
237	1	fight_10701	skillF	耶俱矢-换人	music1	100	sound/battle_sound/10701/skillmusic10701_skillF.mp3
238	1	fight_10701	born	耶俱矢-出场	music1	100	sound/battle_sound/10701/skillmusic10701_born.mp3
239	1	fight_10701	dodge_1	耶俱矢-闪避	music1	100	sound/battle_sound/10701/skillmusic10701_dodge.mp3
240	1	fight_10701	dodge_2	耶俱矢-闪避攻击	music1	100	sound/battle_sound/10701/skillmusic10701_dodge2.mp3
241	1	fight_10801	skillD	夕弦-觉醒	music1	100	sound/battle_sound/10801/voice/YUZURU_23.mp3
242	1	fight_10801	skillD	夕弦-大招	music1	100	sound/battle_sound/10801/voice/YUZURU_20.mp3
243	1	fight_10801	skillA_1	夕弦-普攻1	music1	100	sound/battle_sound/10801/skillmusic/10801_skillA_1.mp3
244	1	fight_10801	skillA_2	夕弦-普攻2	music1	100	sound/battle_sound/10801/skillmusic/10801_skillA_2.mp3
245	1	fight_10801	skillA_3	夕弦-普攻3	music1	100	sound/battle_sound/10801/skillmusic/10801_skillA_3.mp3
246	1	fight_10801	skillA_4	夕弦-普攻4	music1	100	sound/battle_sound/10801/skillmusic/10801_skillA_4.mp3
247	1	fight_10801	skillA_5	夕弦-普攻5	music1	100	sound/battle_sound/10801/skillmusic/10801_skillA_5.mp3
248	1	fight_10801	skillBzzzz	夕弦-分支	music1	100	sound/battle_sound/10801/skillmusic/10801_skillB.mp3
249	1	fight_10801	dodge	夕弦-闪避	music1	100	sound/battle_sound/10801/skillmusic/10801_dodge.mp3
250	1	effects_10801_xiaoxuanfeng	xiaoxuanfeng	夕弦-小旋风	music1	100	sound/battle_sound/10801/skillmusic/10801_xiaoxuanfeng.mp3
251	1	fight_10801	skillC	夕弦-大招	music1	100	sound/battle_sound/10801/skillmusic/10801_skillC.mp3
252	1	fight_10801	skillC	夕弦-大招风	music2	100	sound/battle_sound/10801/skillmusic/10801_skillC_1.mp3
253	1	fight_10801	skillF	夕弦-出场技	music1	100	sound/battle_sound/10801/skillmusic/10801_skillF.mp3
254	1	fight_10801	skillD	夕弦-觉醒	music1	100	sound/battle_sound/10801/skillmusic/10801_skillD.mp3
255	1	fight_20101	skillA	近战AST—平砍	music1	100	sound/battle_sound/monster/xiaoguai_dianji.mp3
256	1	fight_20101	skillA	近战AST—平砍	music2	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
257	1	fight_20101	skillB	近战AST—蓄力斩	music2	100	sound/battle_sound/monster/xiaoguai_xulizhan.mp3
258	1	fight_20201	skillA	远程AST—机枪	music1	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
259	1	fight_20201	skillA	远程AST—机枪	music2	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
260	1	fight_20201	skillA	远程AST—机枪	music3	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
261	1	fight_20201	skillB	远程AST—导弹	music2	100	sound/battle_sound/monster/xiaoguai_daodan.mp3
262	1	fight_20301	skillA	综合AST—狙击枪	music1	100	sound/battle_sound/monster/xiaoguai_jujiqiang.mp3
263	1	fight_20401	skillA	高阶近战AST—平砍	music1	100	sound/battle_sound/monster/xiaoguai_dianji.mp3
264	1	fight_20401	skillA	高阶近战AST—平砍	music2	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
265	1	fight_20401	skillB	高阶近战AST—蓄力斩	music2	100	sound/battle_sound/monster/xiaoguai_xulizhan.mp3
266	1	fight_20501	skillA	高阶远程AST—机枪	music1	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
267	1	fight_20501	skillA	高阶远程AST—机枪	music2	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
268	1	fight_20501	skillA	高阶远程AST—机枪	music3	100	sound/battle_sound/monster/xiaoguai_jiqiang.mp3
269	1	fight_20501	skillB	高阶远程AST—导弹	music2	100	sound/battle_sound/monster/xiaoguai_daodan.mp3
270	1	fight_20601	skillA	高阶综合AST—狙击枪	music2	100	sound/battle_sound/monster/xiaoguai_jujiqiang.mp3
271	1	fight_20601	skillB	高阶综合AST—随意领域		100	
272	1	fight_30201	skillA	日下部燎子（敌人）—格林枪	music1	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
273	1	fight_30201	skillA	日下部燎子（敌人）—格林枪	music1	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
274	1	fight_30201	skillA	日下部燎子（敌人）—格林枪	music1	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
275	1	fight_30201	skillA	日下部燎子（敌人）—格林枪	music2	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
276	1	fight_30201	skillA	日下部燎子（敌人）—格林枪	music3	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
277	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music1	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
278	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music2	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
279	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music3	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
280	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music1	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
281	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music2	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
282	1	fight_30201	skillC	日下部燎子（敌人）—飞弹	music3	100	sound/battle_sound/monster/xiaoguai_dianji2.mp3
283	1	fight_10104	skillA_1	普攻1-语音	music1	100	
284	1	fight_10104	skillA_2	普攻2-语音	music1	100	
285	1	fight_10104	skillA_3	普攻3-语音	music1	100	
286	1	fight_10104	skillA_4	普攻4-语音	music1	100	
287	1	fight_10104	skillA_5	普攻5-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42.mp3
288	1	fight_10104	skillA_1	普攻1	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_1.mp3
289	1	fight_10104	skillA_2	普攻2	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_2.mp3
290	1	fight_10104	skillA_3	普攻3	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_3.mp3
291	1	fight_10104	skillA_4	普攻4	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_4.mp3
292	1	fight_10104	skillA_5	普攻5	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_5.mp3
293	1	fight_10104	skillC_1	分支—挑空连斩-语音	music1	100	
294	1	fight_10104	skillC_2	分支—挑空连斩-语音	music1	100	
295	1	fight_10104	skillC_3	分支—挑空连斩-语音	music1	100	
296	1	fight_10104	skillC_4	分支—挑空连斩-语音	music1	100	
297	1	fight_10104	skillC_5	分支—挑空连斩-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42_1.mp3
298	1	fight_10104	skillC_1	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_1.mp3
299	1	fight_10104	skillC_2	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_2.mp3
300	1	fight_10104	skillC_3	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_3.mp3
301	1	fight_10104	skillC_4	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_4.mp3
302	1	fight_10104	skillC_5	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_5.mp3
303	1	fight_10104	skillC	出场—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC.mp3
304	1	fight_10104	skillB_1	剑刃乱舞-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_45.mp3
305	1	fight_10104	skillB_1	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_1.mp3
306	1	fight_10104	skillB_2	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
307	1	fight_10104	skillB_3	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
308	1	fight_10104	skillB_4	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
309	1	fight_10104	skillB_5	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
310	1	fight_10104	skillB_6	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
311	1	fight_10104	skillB_7	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
312	1	fight_10104	skillB_11	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
313	1	fight_10104	skillB_8	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_5.mp3
314	1	fight_10104	skillD11	最终之剑-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_48.mp3
315	1	fight_10104	skillD11	普攻1-语音	music2	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
316	1	fight_10104	skillD11	普攻2-语音	music3	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
317	1	fight_10104	skillD11	普攻3-语音	music4	100	sound/battle_sound/10101/voice/TOUKA_42_2.mp3
318	1	fight_10104	skillD11	最终之剑	music1	100	sound/battle_sound/10101/skillmusic/10101_skillD_1.mp3
319	1	fight_10104	skillD11	最终之剑	music2	100	sound/battle_sound/10101/skillmusic/10101_skillD_2.mp3
320	1	fight_10104	skillD11	最终之剑	music4	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_1.mp3
321	1	fight_10104	skillD11	最终之剑	music5	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_2.mp3
322	1	fight_10104	skillD11	最终之剑	music6	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_3.mp3
323	1	fight_10104	skillD11	最终之剑	music7	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_4.mp3
324	1	fight_10104	dodge	闪避	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge.mp3
325	1	fight_10104	dodge2	闪避斩击-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_41.mp3
326	1	fight_10104	dodge2	闪避斩击临时资源	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge2.mp3
327	1	fight_10104	skillF	出场	music1	100	sound/battle_sound/10101/skillmusic/10101_chuchang.mp3
328	2	effects_20201_skillB2	effects_skillB3	AST导弹爆炸	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
329	2	effects_20201_skillB2	effects_skillB2	高阶AST导弹爆炸	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
330	2	effects_30201_skillC	effects_30201_skillC_up	高阶综合AST—定点导弹	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
331	2	effects_21301_skillAB	skillB_up	机械文字-自爆	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
332	2	effects_21501	skillC_up	机械远程—后跃炮	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
333	2	effects_21701_skillAB	skillB_up	高阶机械文字-自爆	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
334	2	effects_fight_21901	skillC	高阶机械远程—后跃炮	music2	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
335	2	effects_fight_21901	skillB3	高阶机械远程—导弹爆炸	music1	100	sound/battle_sound/monster/xiaoguai_baozha.mp3
336	1	fight_20801	skillA	低阶DEM远程激光1	music2	60	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
337	1	fight_20801	skillA	低阶DEM远程激光2	music3	60	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
338	1	fight_20801	skillA	低阶DEM远程激光3	music4	60	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
339	1	fight_20901	skillA	低阶DEM综合激光1	music1	60	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
340	1	fight_20901	skillA	低阶DEM综合激光2	music2	60	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
341	1	fight_21501	skillA	低阶机械远程激光1	music2	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
342	1	fight_21501	skillA	低阶机械远程激光2	music3	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
343	1	fight_21501	skillA	低阶机械远程激光3	music4	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
344	1	fight_21901	skillA	高阶机械远程激光1	music1	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
345	1	fight_21901	skillA	高阶机械远程激光2	music2	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
346	1	fight_21901	skillA	高阶机械远程激光3	music3	100	sound/battle_sound/monster/xiaoguai_jiguangfashe.mp3
347	1	fight_21601	skillA	猩猩砸地1	music1	100	sound/battle_sound/monster/jixie_xingxing_chuidi.mp3
348	1	fight_21601	skillB	猩猩砸地2	music1	100	sound/battle_sound/monster/jixie_xingxing_zhongchui.mp3
349	1	fight_21601	skillC	猩猩冲锋	music1	100	sound/battle_sound/monster/jixie_xingxing_chongzhuang.mp3
350	1	fight_21801	skillA	高阶机械盾攻击	music1	100	sound/battle_sound/monster/jixie_dunbing_chuanci.mp3
351	1	fight_21801	skillB	高阶机械盾防御	music1	100	sound/battle_sound/monster/jixie_dunbing_fangyu.mp3
352	1	fight_21801	skillC	高阶机械盾冲锋	music1	100	sound/battle_sound/monster/jixie_dunbing_chonngfeng.mp3
353	1	fight_21301	skillA	低阶蚊子冲锋	music1	100	
354	1	fight_21301	die1	低阶蚊子自爆前	music1	80	sound/battle_sound/monster/jixie_wenzi_zibao.mp3
355	1	fight_21301	die3	低阶蚊子自爆前	music1	80	sound/battle_sound/monster/jixie_wenzi_zibao.mp3
356	1	fight_21701	skillA	高阶蚊子冲锋	music1	100	
357	1	fight_21701	die1	高阶蚊子自爆前	music1	80	sound/battle_sound/monster/jixie_wenzi_zibao.mp3
358	1	fight_21701	die3	高阶蚊子自爆前	music1	80	sound/battle_sound/monster/jixie_wenzi_zibao.mp3
359	1	fight_10108	skillA_1	普攻1-语音	music1	100	
360	1	fight_10108	skillA_2	普攻2-语音	music1	100	
361	1	fight_10108	skillA_3	普攻3-语音	music1	100	
362	1	fight_10108	skillA_4	普攻4-语音	music1	100	
363	1	fight_10108	skillA_5	普攻5-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42.mp3
364	1	fight_10108	skillA_1	普攻1	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_1.mp3
365	1	fight_10108	skillA_2	普攻2	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_2.mp3
366	1	fight_10108	skillA_3	普攻3	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_3.mp3
367	1	fight_10108	skillA_4	普攻4	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_4.mp3
368	1	fight_10108	skillA_5	普攻5	music1	100	sound/battle_sound/10101/skillmusic/10101_skillA_5.mp3
369	1	fight_10108	skillC_1	分支—挑空连斩-语音	music1	100	
370	1	fight_10108	skillC_2	分支—挑空连斩-语音	music1	100	
371	1	fight_10108	skillC_3	分支—挑空连斩-语音	music1	100	
372	1	fight_10108	skillC_4	分支—挑空连斩-语音	music1	100	
373	1	fight_10108	skillC_5	分支—挑空连斩-语音	music1	60	sound/battle_sound/10101/voice/TOUKA_42_1.mp3
374	1	fight_10108	skillC_1	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_1.mp3
375	1	fight_10108	skillC_2	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_2.mp3
376	1	fight_10108	skillC_3	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_3.mp3
377	1	fight_10108	skillC_4	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_4.mp3
378	1	fight_10108	skillC_5	分支—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC_5.mp3
379	1	fight_10108	skillC	出场—挑空连斩	music1	100	sound/battle_sound/10101/skillmusic/10101_skillC.mp3
380	1	fight_10108	skillB_1	剑刃乱舞-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_45.mp3
381	1	fight_10108	skillB_1	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_1.mp3
382	1	fight_10108	skillB_2	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
383	1	fight_10108	skillB_3	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
384	1	fight_10108	skillB_4	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
385	1	fight_10108	skillB_5	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
386	1	fight_10108	skillB_6	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_3.mp3
387	1	fight_10108	skillB_7	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_4.mp3
388	1	fight_10108	skillB_11	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_2.mp3
389	1	fight_10108	skillB_8	剑刃乱舞	music1	100	sound/battle_sound/10101/skillmusic/10101_skillB_5.mp3
390	1	fight_10108	skillD11	最终之剑-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_48.mp3
391	1	fight_10108	skillD11	普攻1-语音	music2	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
392	1	fight_10108	skillD11	普攻2-语音	music3	100	sound/battle_sound/10101/voice/TOUKA_40.mp3
393	1	fight_10108	skillD11	普攻3-语音	music4	100	sound/battle_sound/10101/voice/TOUKA_42_2.mp3
394	1	fight_10108	skillD11	最终之剑	music1	100	sound/battle_sound/10101/skillmusic/10101_skillD_1.mp3
395	1	fight_10108	skillD11	最终之剑	music2	100	sound/battle_sound/10101/skillmusic/10101_skillD_2.mp3
396	1	fight_10108	skillD11	最终之剑	music4	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_1.mp3
397	1	fight_10108	skillD11	最终之剑	music5	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_2.mp3
398	1	fight_10108	skillD11	最终之剑	music6	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_3.mp3
399	1	fight_10108	skillD11	最终之剑	music7	100	sound/battle_sound/10101/skillmusic/10101_skillD_3_4.mp3
400	1	fight_10108	dodge	闪避	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge.mp3
401	1	fight_10108	dodge2	闪避斩击-语音	music1	100	sound/battle_sound/10101/voice/TOUKA_41.mp3
402	1	fight_10108	dodge2	闪避斩击临时资源	music1	100	sound/battle_sound/10101/skillmusic/10101_dodge2.mp3
403	1	fight_10108	skillF	出场	music1	100	sound/battle_sound/10101/skillmusic/10101_chuchang.mp3
