	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	奖励指定精灵游戏资源 格式：精灵id-资源id-数量  目前只支持添加好感度，若后期有其他资源奖励，再做调整 
1023048	10023	7	{}		100	十香	竟然是的这样吗？	1	{}				{}					1023049				1			id_normal_2		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka67.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023049	10023	7	{}		100	1	是真的啦，如果你喜欢可以常来这边吃。	1	{}				{}					1023050				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023050	10023	7	{}		100	十香	真的可以吗？！	1	{}				{}					1023051				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka68.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1023051	10023	7	{}		100	1	哈哈~当然可以啊，反正也不贵啦，现在来开拓新口味怎么样？	1	{}				{}					1023052				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1023052	10023	7	{}		100	十香	唔呣！~我同意！	1	{}				{}				1	1024001				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka69.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
1024001	10023	7	{}		100		 	1	{}				{}					1024002													{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1024002	10023	7	{}		100		 	1	{}				{}					1024003				10104	3							2	{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1024003	10023	7	{}		100	十香	那是什么啊？	1	{}				{}					1024004				1			id_pose_10		id_look_7				{}											{}											{}												{}	sound/bgm/date_006.mp3	70	modle/bust/sounds/DP_01_Tohka70.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024004	10023	7	{}		100		十香被游乐场里造型可爱的夹娃娃机吸引了目光。	1	{}				{}					1024005				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024005	10023	7	{}		100	1	原来会对夹娃娃机感兴趣啊……十香，要去那边么？	1	{}				{}					1024006				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024006	10023	7	{}		100	十香	唔……看起来没有危险的样子，一起去吧！	1	{}				{}					1024007				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka71.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024007	10023	7	{}		100		十香正打算跑去抽奖，旁边不远处的旋转木马突然开始运转。	1	{}				{}					1024008				1									{}											{}											{}												{}						sound/dating_sound/FB_eff09.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1024008	10023	7	{}		100	十香	唔啊啊啊！那是什么？！敌人开始行动了吗？！	1	{}				{}				1	1024009-1024010-1024011				1			id_normal_13		0				{}											{}											{}		0.1-7-9-5-0.024	4									{}			modle/bust/sounds/DP_01_Tohka72.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024009	10023	7	{}		100		嗯~是邪恶的敌军！	1	{}				{}					1024012	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024010	10023	7	{}		100		那边的只是游乐设施而已啦~	1	{}				{}					1024015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024011	10023	7	{}		100		那是可以乘坐的玩具哦。	1	{}				{}					1024017	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024012	10023	7	{}		100	十香	你退后，那些家伙，看起来很难缠。	1	{}				{}					1024013				1			id_pose_10		id_look_6				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka73.mp3	1		sound/dating_sound/FB_eff11.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1024013	10023	7	{}		100		十香瞬间进入了战斗姿态，我立刻制止她。	1	{}				{}					1024014				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024014	10023	7	{}		100	1	十香！对不起，我开玩笑的，那是游乐场里的娱乐设施啦！	1	{}				{}					1024015				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024015	10023	7	{}		100	十香	嗯……？娱乐设施……是什么？有危险吗？会爆炸吗？	1	{}				{}					1024016				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka74.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024016	10023	7	{}		100	1	当然……不会爆炸啊！就是可以让人们乘坐的玩具而已啦。	1	{}				{}					1024017				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024017	10023	7	{}		100	十香	唔，原来是人类的坐骑……看起来好奇怪啊。真的不会发动攻击吗？	1	{}				{}					1024018				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka75.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024018	10023	7	{}		100	1	不会……啊啊，十香不是要去夹娃娃吗？我们快过去吧！不要管那些东西了！	1	{}				{}					1024019				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024019	10023	7	{}		100		十香看着排在前面的客人夹娃娃，好奇地晃了晃脑袋。	1	{}				{}				1	1024020-1024021	5			1			id_pose_10	1	id_look_7				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024020	10023	7	{}		100		我的十香真可爱啊！	1	{}				{}					1024022	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024021	10023	7	{}		100		十香看起来对什么都很好奇的样子呢	1	{}				{}					1024023	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024022	10023	7	{}		100	十香	唔呣？可爱……才没有。	1	{}				{}					1024023				1			id_pose_10		id_look_7				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka76.mp3	1		sound/dating_sound/FB_eff06.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1024023	10023	7	{}		100	十香	我只是想知道，那个东西会不会对我构成威胁。	1	{}				{}					1024024				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka77.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024024	10023	7	{}		100	1	啊哈哈……哇，到我们了。	1	{}				{}					1024025				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024025	10023	7	{}		100	十香	嗯，嗯？！你看！有一个超大的黄豆粉面包！！！	1	{}				{}					1024026				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka78.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024026	10023	7	{}		100	1	那个啊，那是夹娃娃的奖励，夹中三个就可以兑换了呢。	1	{}				{}					1024027				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024027	10023	7	{}		100	十香	唔……我想要那个！想要！	1	{}				{}					1024028				1			id_normal_6		0				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka79.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1024028	10023	7	{}		100		 	1	{}				{}					1024029						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1024029	10023	7	{}		100		我在夹娃娃机面前努力了二十分钟，终于成功夹出了十香喜欢的“黄豆粉面包”。	1	{}				{}					1024030													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024030	10023	7	{}		100		 	1	{}				{}					1024031				10104	3		id_pose_2		id_look_1			2	{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1024031	10023	7	{}		100	1	呜哇……终于成功了，真是不容易……十香，要好好保护黄豆粉面包哦。	1	{}				{}					1024032				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1024032	10023	7	{}		100	十香	唔呣，我一定会的！软软的~好可爱啊~~呼呼~~	1	{}				{}				1					1									{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka80.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
1021001	1002	7	{}		100		 	1	{}				{}					1021002													{}											{}											{}							scene/bg/bg_tiantai.png	1		1	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1021002	1002	7	{}		100	1	今天过得怎么样？没有遇到想要杀掉你的家伙吧？	1	{}				{}					1021003													{}											{}											{}												{}	sound/bgm/date_013.mp3	70															{}	{}					{}	{}		{}					{}	{}	{}	
1021003	1002	7	{}		100		 	1	{}				{}					1021004				10104	3		id_baozhen		id_look_3			2	{}	1.3										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1021004	1002	7	{}		100	十香	唔……大家都很温柔。但是……我还是有些不敢相信。	1	{}				{}					1021005				1			id_baozhen		id_look_1				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka83.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021005	1002	7	{}		100	十香	那么多的人类……没有拒绝我，没有否定我，对我绽开笑容……不过，那个机械团那个，怎么说来着？阿咿？	1	{}				{}					1021006				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka84.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021006	1002	7	{}		100	1	是说AST么？	1	{}				{}					1021007				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021007	1002	7	{}		100	十香	对，就是那个！也许，街上的人类都是他们的手下……只是为了欺骗我，这才是真相……也说不定。	1	{}				{}					1021008				1			id_baozhen		id_look_6				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka85.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021008	1002	7	{}		100	1	那么，连我也变成了AST的手下了么？	1	{}				{}					1021009				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021009	1002	7	{}		100	十香	不是！你，你是无辜的。对了！肯定是敌人抓住了你重视的人做为人质，威胁你！嗯！	1	{}				{}				1	1021010-1021011-1021012	6 随机选项			1			id_baozhen	1	id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka86.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021010	1002	7	{}	1	100		噗嗤，这是什么奇怪的猜想啊？	1	{}				{}					1021015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021011	1002	7	{}	1	100		十香想象力，真是太厉害了！	1	{}				{}					1021015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021012	1002	7	{}	1	100		唔……果然还是不相信我吗？	1	{}				{}					1021015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021013	1002	7	{}	1	100		十香，我并不是你的敌人！	1	{}				{}					1021015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021014	1002	7	{}	1	100		真的没有这种事！相信我吧！	1	{}				{}					1021015	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021015	1002	7	{}		100	十香	我……不认为你是我的敌人。	1	{}				{}					1021016				1			id_baozhen		id_look_3				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka87.mp3	1		sound/dating_sound/FB_eff11.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
1021016	1002	7	{}		100	十香	今天对我来说，是非常有意义的一天，第一次见到，这个世界是如此美丽，如此温柔……	1	{}				{}					1021017				1			id_baozhen		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka88.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021017	1002	7	{}		100	十香	那些家伙——AST的想法，我似乎有些明白了。	1	{}				{}					1021018				1			id_baozhen		id_look_6				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka89.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021018	1002	7	{}		100	1	嗯？十香……是明白了哪部分？	1	{}				{}					1021019				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021019	1002	7	{}		100	十香	因为，我每次出现的时候，就会破坏如此美丽的世界啊。	1	{}				{}					1021020				1			id_baozhen		id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka90.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021020	1002	7	{}		100	十香	我果然，还是应该消失掉才对吧……	1	{}				{}					1021021				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka91.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021021	1002	7	{}		100	1	没有那种事！	1	{}				{}					1021022				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021022	1002	7	{}		100	1	你看，今天就没有发生空间震！肯定和平时有什么不一样，所以一定有办法……让十香存在于这个世界的办法……	1	{}				{}					1021023				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021023	1002	7	{}		100	十香	……不会的，无法阻止我不定期被送来这个世界，现界的次数，并不会减少。	1	{}				{}					1021024				1			id_baozhen		id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka92.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021024	1002	7	{}		100	1	那么！只要你不回去那里就可以了吧！	1	{}				{}					1021025				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021025	1002	7	{}		100	十香	哎？那种事情……应该不可能吧……	1	{}				{}				1	1021026-1021027-1021028	6 随机选项			1			id_baozhen	1	id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka93.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021026	1002	7	{}	1	100	1	试试吧！就算一次也好！	1	{}				{}					1021031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021027	1002	7	{}	1	100		拜托了，为了我留下来吧！	1	{}				{}					1021031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021028	1002	7	{}	1	100		先试试吧，万一能留下来呢？	1	{}				{}					1021031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021029	1002	7	{}	1	100		我一定会让你爱上这个世界的！	1	{}				{}					1021031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021030	1002	7	{}	1	100		十香喜欢这里的吧？那就留下来吧！	1	{}				{}					1021031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021031	1002	7	{}		100	十香	可是……我要怎么留下来呢？我的力量可能会伤害你，伤害你们……	1	{}				{}					1021032				1			id_baozhen		id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka94.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021032	1002	7	{}		100	五河琴里	好机会！还记得怎么封印的吧！	1	{}				{}					1021033				1									{}											{}											{}				effect/dianhua/dianhua	dianhua							{}			modle/bust/sounds/DP_01_Kotori60.mp3														{}	{}					{}	{}		{}					{}	{}	{}	
1021033	1002	7	{}		100	1	如果十香和我接吻，那种事情就不会再发生了。	1	{}				{}					1021034				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021034	1002	7	{}		100	十香	接吻？那又是什么？和约会一样吗？	1	{}				{}					1021035				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka95.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021035	1002	7	{}		100	1	不……不一样，但是如果这种方法有效，十香就不用担心力量失控了。	1	{}				{}					1021036				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021036	1002	7	{}		100	十香	真的？有那种方法吗？我……真的可以在这个世界上生存下去吗……	1	{}				{}					1021037				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka96.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021037	1002	7	{}		100	十香	我对这个世界，完全不了解啊……	1	{}				{}					1021038				1			id_baozhen		id_look_2				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka97.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021038	1002	7	{}		100	1	这些就交给我吧！这个世界相关的事情，全都由我来教给你！	1	{}				{}					1021039				1			id_baozhen		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021039	1002	7	{}		100	十香	我睡觉的地方，吃的东西……	1	{}				{}					1021040				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka98.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021040	1002	7	{}		100	1	我会想办法的！	1	{}				{}					1021041				1			id_baozhen		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021041	1002	7	{}		100	十香	也许会发生预料之外的事也说不定。	1	{}				{}					1021042				1			id_baozhen		id_look_12				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka99.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021042	1002	7	{}		100	1	那种事等发生了再去考虑它！	1	{}				{}					1021043				1			id_baozhen		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021043	1002	7	{}		100	十香	我真的，可以活下去吗？	1	{}				{}					1021044				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka100.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021044	1002	7	{}		100	1	当然！	1	{}				{}					1021045				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021045	1002	7	{}		100	十香	真的可以待在这个世界？	1	{}				{}					1021046				1			id_baozhen		id_look_11				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka101.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021046	1002	7	{}		100	1	没错！	1	{}				{}					1021047				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021047	1002	7	{}		100		 	1	{}				{}					1021048						2							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1021048	1002	7	{}		100		 	1	{}				{}					1021049													{}											{}											{}										1	1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1021049	1002	7	{}		100		 	1	{}				{}					1021050				10104	2		id_baozhen		id_look_6			2	{}	1.6										{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
1021050	1002	7	{}		100	十香	肯定我的人，只有你而已。AST不会这么说，其他的人类也是。	1	{}				{}					1021051				1			id_baozhen		id_look_3				{}											{}											{}												{}			modle/bust/sounds/DP_01_Tohka102.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
1021051	1002	7	{}		100	1	谁管那么多啊！！如果那些家伙否定你，我会加倍肯定你！	1	{}				{}					1021052				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021052	1002	7	{}		100	1	十香，相信我！现在，握住我的手吧！	1	{}				{}					1021053				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
1021053	1002	7	{}		100		 	1	{}				{}				1							3							{}											{}											{}												{}												1	1				{}	{}		video/cg_main_shidaozhongqiang.mp4			{}	{}		{}			1		{}	{}	{}	101-500007-10
																																																																																																			
3003001	3003	7	{}		100		 	1	{}				{}					3003002	4		0										{}											{}											{}							scene/bg/bg_chezhan.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
3003002	3003	7	{}		100	1	呼——哈——	1	{}				{}					3003003													{}											{}											{}												{}	sound/bgm/date_011.mp3	70															{}	{}					{}	{}		{}					{}	{}	{}	
3003003	3003	7	{}		100		深深吸了一口气，再慢慢吐出来。	1	{}				{}					3003004													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003004	3003	7	{}		100		今天要面对的，是地狱一般恐怖的约会行程。	1	{}				{}					3003005													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003005	3003	7	{}		100	五河琴里	时间差不多了，准备开始我们的战争吧！	1	{}				{}					3003006													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}			modle/bust/sounds/DP_03_Kotori29.mp3														{}	{}					{}	{}		{}					{}	{}	{}	
3003006	3003	7	{}		100	1	哈……接下来只能走一步看一步了。	1	{}				{}					3003007													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003007	3003	7	{}		100		 	1	{}				{}					3003008													{}											{}											{}							scene/bg/bg_chezhan.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
3003008	3003	7	{}		100	夜刀神十香	呜~等了很久吗？我没有来晚吧？	1	{}				{}				1	3003009-3003010-3003011	5		0	10107	3		id_normal_1	1	0			2	{}	1.3										{}											{}												{}	sound/bgm/date_015.mp3	70	modle/bust/sounds/DP_03_Tohka6.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003009	3003	7	{}		100		我也是刚刚到呢。	1	{}				{}					3003016	1		0	1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003010	3003	7	{}		100		十香很准时哦，等会儿有奖励给你~	1	{}				{}					3003014	1		0	1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003011	3003	7	{}		100		十香的新衣服，真是超好看！	1	{}				{}					3003012	1		0	1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003012	3003	7	{}		100	夜刀神十香	呜呣，真的吗？你喜欢这件衣服吗？	1	{}				{}					3003013				1			id_pose_12		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka7.mp3	1		sound/dating_sound/FB_eff06.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
3003013	3003	7	{}		100	1	喜欢啊，衣服很适合你，很可爱哦~	1	{}				{}					3003016				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003014	3003	7	{}		100	夜刀神十香	呜呣，奖励？！什么奖励啊？是黄豆粉面包吗？	1	{}				{}					3003015				1									{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka8.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003015	3003	7	{}		100	1	不是黄豆粉面包啦，等会儿你就知道了。	1	{}				{}					3003016				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003016	3003	7	{}		100	夜刀神十香	太好了，我们开始约会吧~约会~今天要去哪里呢？	1	{}				{}					3003017				1			id_pose_5		id_look_4				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka9.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003017	3003	7	{}		100	1	诶？不是水族馆吗？	1	{}				{}					3003018				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003018	3003	7	{}		100	夜刀神十香	对哦！但是……水族馆到底是什么啊？	1	{}				{}					3003019				1			id_normal_13		0				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka10.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003019	3003	7	{}		100	1	什么！十香没有去过吗！？	1	{}				{}					3003020				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003020	3003	7	{}		100	夜刀神十香	没有啊，我只想和你一起约会而已。	1	{}				{}				1	3003021-3003022	5		0	1			id_pose_11	1	id_look_3				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka11.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003021	3003	7	{}		100		水族馆就是有很多鱼的地方哦。	1	{}				{}					3003023	1		0	1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003022	3003	7	{}		100		水族馆是情侣约会的地方呢~	1	{}				{}					3003029	1		0	1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003023	3003	7	{}		100	夜刀神十香	什么！鱼？是盐烧吗？还是生鱼片？	1	{}				{}					3003024				1			id_normal_13		0				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka12.mp3	1		sound/dating_sound/FB_eff06.mp3											{}	{}					{}	{}		{}					{}	{}	{}	
3003024	3003	7	{}		100	1	不是、不是啦。	1	{}				{}					3003025				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003025	3003	7	{}		100	夜刀神十香	唔……那是干烧吗？	1	{}				{}					3003026				1			id_pose_12		id_look_3				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka13.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003026	3003	7	{}		100	1	我说啊……不是吃的方向啦！话说为什么对于吃的东西知道得那么详细啊！？	1	{}				{}					3003027				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003027	3003	7	{}		100	夜刀神十香	呣唔……不对吗？？	1	{}				{}					3003028				1									{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka14.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003028	3003	7	{}		100	1	水族馆是欣赏鱼类的地方哦——是活着的鱼类！	1	{}				{}					3003029				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003029	3003	7	{}		100	夜刀神十香	哎？那为什么情侣要去水族馆约会呢？	1	{}				{}					3003030				1			id_normal_13		0				{}											{}											{}												{}			modle/bust/sounds/DP_03_Tohka15.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
3003030	3003	7	{}		100	1	因为……那里灯光很灰暗……然后……	1	{}				{}					3003031				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003031	3003	7	{}		100		十香红了脸，有些兴奋地小声询问我。	1	{}				{}					3003032				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
3003032	3003	7	{}		100	夜刀神十香	然后？……	1	{}				{}					3003033				1			id_normal_13		0				{}	1.6										{}											{}												{}			modle/bust/sounds/DP_03_Tohka16.mp3	1													{}	{}					{}	{}		{}					{}	{}	{}	
