效果ID	描述（策划看）	表名(1skill,2skillAction,3skillEffect,4skillHurt)	字段名	数据ID	改变方式（1加减，2替换,3乘除）	参数类型	参数1(字符串)	参数2(字符串数组)	参数3(布尔值)	参数4(数值)	参数5(数值数组)	帧事件触发（skillAction表中动作连招字段）
1043057	狂三-技能2-技能伤-2级	4	hurtScale	8062	1	4				0.1		
1043058	狂三-技能2-技能伤-2级	4	hurtScale	8063	1	4				0.1		
1043059	狂三-技能2-技能伤-2级	4	hurtScale	8064	1	4				0.1		
1043060	狂三-技能2-技能伤-2级	4	hurtScale	8065	1	4				0.1		
1043061	狂三-技能2-技能伤-3级	4	hurtScale	8060	1	4				0.15		
1043062	狂三-技能2-技能伤-3级	4	hurtScale	8061	1	4				0.15		
1043063	狂三-技能2-技能伤-3级	4	hurtScale	8062	1	4				0.15		
1043064	狂三-技能2-技能伤-3级	4	hurtScale	8063	1	4				0.15		
1043065	狂三-技能2-技能伤-3级	4	hurtScale	8064	1	4				0.15		
1043066	狂三-技能2-技能伤-3级	4	hurtScale	8065	1	4				0.15		
1043067	狂三-技能2-技能伤-4级	4	hurtScale	8060	1	4				0.2		
1043068	狂三-技能2-技能伤-4级	4	hurtScale	8061	1	4				0.2		
1043069	狂三-技能2-技能伤-4级	4	hurtScale	8062	1	4				0.2		
1043070	狂三-技能2-技能伤-4级	4	hurtScale	8063	1	4				0.2		
1043071	狂三-技能2-技能伤-4级	4	hurtScale	8064	1	4				0.2		
1043072	狂三-技能2-技能伤-4级	4	hurtScale	8065	1	4				0.2		
1043073	狂三-技能2-消耗-1级	1	costEnergy	100480	1	4				-1		
1043074	狂三-技能2-消耗-2级	1	costEnergy	100480	1	4				-2		
1043075	狂三-技能2-消耗-3级	1	costEnergy	100480	1	4				-3		
1043076	狂三-技能2-暴击率-1级	4	hurtValue509	8060	1	4				200		
1043077	狂三-技能2-暴击率-1级	4	hurtValue509	8061	1	4				200		
1043078	狂三-技能2-暴击率-1级	4	hurtValue509	8062	1	4				200		
1043079	狂三-技能2-暴击率-1级	4	hurtValue509	8063	1	4				200		
1043080	狂三-技能2-暴击率-1级	4	hurtValue509	8064	1	4				200		
1043081	狂三-技能2-暴击率-1级	4	hurtValue509	8065	1	4				200		
1043082	狂三-技能2-暴击率-2级	4	hurtValue509	8060	1	4				400		
1043083	狂三-技能2-暴击率-2级	4	hurtValue509	8061	1	4				400		
1043084	狂三-技能2-暴击率-2级	4	hurtValue509	8062	1	4				400		
1043085	狂三-技能2-暴击率-2级	4	hurtValue509	8063	1	4				400		
1043086	狂三-技能2-暴击率-2级	4	hurtValue509	8064	1	4				400		
1043087	狂三-技能2-暴击率-2级	4	hurtValue509	8065	1	4				400		
1043088	狂三-技能2-暴击率-3级	4	hurtValue509	8060	1	4				600		
1043089	狂三-技能2-暴击率-3级	4	hurtValue509	8061	1	4				600		
1043090	狂三-技能2-暴击率-3级	4	hurtValue509	8062	1	4				600		
1043091	狂三-技能2-暴击率-3级	4	hurtValue509	8063	1	4				600		
1043092	狂三-技能2-暴击率-3级	4	hurtValue509	8064	1	4				600		
1043093	狂三-技能2-暴击率-3级	4	hurtValue509	8065	1	4				600		
1043801	狂三-技能2-技能效果-1级	1	first	100480	2	4				4081		
1043802	狂三-技能2-技能效果-2级	1	first	100480	2	4				4082		
1043803	狂三-技能2-技能效果-3级	1	first	100480	2	4				4084		
1044001	狂三-必杀-暴击率-1级	4	hurtValue509	8070	1	4				200		
1044002	狂三-必杀-暴击率-1级	4	hurtValue509	8071	1	4				200		
1044003	狂三-必杀-暴击率-1级	4	hurtValue509	8072	1	4				200		
1044004	狂三-必杀-暴击率-1级	4	hurtValue509	8073	1	4				200		
1044005	狂三-必杀-暴击率-1级	4	hurtValue509	8074	1	4				200		
1044006	狂三-必杀-暴击率-2级	4	hurtValue509	8070	1	4				400		
1044007	狂三-必杀-暴击率-2级	4	hurtValue509	8071	1	4				400		
1044008	狂三-必杀-暴击率-2级	4	hurtValue509	8072	1	4				400		
1044009	狂三-必杀-暴击率-2级	4	hurtValue509	8073	1	4				400		
1044010	狂三-必杀-暴击率-2级	4	hurtValue509	8074	1	4				400		
1044011	狂三-必杀-暴击率-3级	4	hurtValue509	8070	1	4				600		
1044012	狂三-必杀-暴击率-3级	4	hurtValue509	8071	1	4				600		
1044013	狂三-必杀-暴击率-3级	4	hurtValue509	8072	1	4				600		
1044014	狂三-必杀-暴击率-3级	4	hurtValue509	8073	1	4				600		
1044015	狂三-必杀-暴击率-3级	4	hurtValue509	8074	1	4				600		
1044016	狂三-必杀-消耗-1级	1	costEnergy	100420	1	4				-1		
1044017	狂三-必杀-消耗-2级	1	costEnergy	100420	1	4				-2		
1044018	狂三-必杀-消耗-3级	1	costEnergy	100420	1	4				-3		
1044019	狂三-必杀-穿透率-1级	4	hurtValue503	8070	1	4				300		
1044020	狂三-必杀-穿透率-1级	4	hurtValue503	8071	1	4				300		
1044021	狂三-必杀-穿透率-1级	4	hurtValue503	8072	1	4				300		
1044022	狂三-必杀-穿透率-1级	4	hurtValue503	8073	1	4				300		
1044023	狂三-必杀-穿透率-1级	4	hurtValue503	8074	1	4				300		
1044024	狂三-必杀-穿透率-2级	4	hurtValue503	8070	1	4				500		
1044025	狂三-必杀-穿透率-2级	4	hurtValue503	8071	1	4				500		
1044026	狂三-必杀-穿透率-2级	4	hurtValue503	8072	1	4				500		
1044027	狂三-必杀-穿透率-2级	4	hurtValue503	8073	1	4				500		
1044028	狂三-必杀-穿透率-2级	4	hurtValue503	8074	1	4				500		
1044029	狂三-必杀-穿透率-3级	4	hurtValue503	8070	1	4				700		
1044030	狂三-必杀-穿透率-3级	4	hurtValue503	8071	1	4				700		
1044031	狂三-必杀-穿透率-3级	4	hurtValue503	8072	1	4				700		
1044032	狂三-必杀-穿透率-3级	4	hurtValue503	8073	1	4				700		
1044033	狂三-必杀-穿透率-3级	4	hurtValue503	8074	1	4				700		
1044034	狂三-必杀-穿透率-4级	4	hurtValue503	8070	1	4				1000		
1044035	狂三-必杀-穿透率-4级	4	hurtValue503	8071	1	4				1000		
1044036	狂三-必杀-穿透率-4级	4	hurtValue503	8072	1	4				1000		
1044037	狂三-必杀-穿透率-4级	4	hurtValue503	8073	1	4				1000		
1044038	狂三-必杀-穿透率-4级	4	hurtValue503	8074	1	4				1000		
1044039	狂三-必杀-Boss伤-1级	4	hurtValue656	8070	1	4				200		
1044040	狂三-必杀-Boss伤-1级	4	hurtValue656	8071	1	4				200		
1044041	狂三-必杀-Boss伤-1级	4	hurtValue656	8072	1	4				200		
1044042	狂三-必杀-Boss伤-1级	4	hurtValue656	8073	1	4				200		
1044043	狂三-必杀-Boss伤-1级	4	hurtValue656	8074	1	4				200		
1044044	狂三-必杀-Boss伤-2级	4	hurtValue656	8070	1	4				400		
1044045	狂三-必杀-Boss伤-2级	4	hurtValue656	8071	1	4				400		
1044046	狂三-必杀-Boss伤-2级	4	hurtValue656	8072	1	4				400		
1044047	狂三-必杀-Boss伤-2级	4	hurtValue656	8073	1	4				400		
1044048	狂三-必杀-Boss伤-2级	4	hurtValue656	8074	1	4				400		
1044049	狂三-必杀-Boss伤-3级	4	hurtValue656	8070	1	4				700		
1044050	狂三-必杀-Boss伤-3级	4	hurtValue656	8071	1	4				700		
1044051	狂三-必杀-Boss伤-3级	4	hurtValue656	8072	1	4				700		
1044052	狂三-必杀-Boss伤-3级	4	hurtValue656	8073	1	4				700		
1044053	狂三-必杀-Boss伤-3级	4	hurtValue656	8074	1	4				700		
1044054	狂三-必杀-Boss伤-4级	4	hurtValue656	8070	1	4				1000		
1044055	狂三-必杀-Boss伤-4级	4	hurtValue656	8071	1	4				1000		
1044056	狂三-必杀-Boss伤-4级	4	hurtValue656	8072	1	4				1000		
1044057	狂三-必杀-Boss伤-4级	4	hurtValue656	8073	1	4				1000		
1044058	狂三-必杀-Boss伤-4级	4	hurtValue656	8074	1	4				1000		
1044801	狂三-必杀-技能效果-1级	1	first	100420	2	4				4093		
1044802	狂三-必杀-技能效果-2级	1	first	100420	2	4				4096		
1044803	狂三-必杀-技能效果-3级	1	first	100420	2	4				4099		
1045001	狂三-被动6-消耗	1	costEnergy	100420	1	4				-3		
1045002	狂三-被动6-消耗	1	costEnergy	100470	1	4				-3		
1045003	狂三-被动6-消耗	1	costEnergy	100480	1	4				-3		
1045004	狂三-被动7-消耗	1	costEnergy	100420	1	4				7		
1045005	狂三-被动7-消耗	1	costEnergy	100470	1	4				7		
1045006	狂三-被动7-消耗	1	costEnergy	100480	1	4				7		
1045007	狂三-被动7-技能伤害	4	hurtScale	8021	1	4				0.2		
1045008	狂三-被动7-技能伤害	4	hurtScale	8022	1	4				0.2		
1045009	狂三-被动7-技能伤害	4	hurtScale	8023	1	4				0.2		
1045010	狂三-被动7-技能伤害	4	hurtScale	8030	1	4				0.2		
1045011	狂三-被动7-技能伤害	4	hurtScale	8031	1	4				0.2		
1045012	狂三-被动7-技能伤害	4	hurtScale	8032	1	4				0.2		
1045013	狂三-被动7-技能伤害	4	hurtScale	8033	1	4				0.2		
1045014	狂三-被动7-技能伤害	4	hurtScale	8034	1	4				0.2		
1045015	狂三-被动7-技能伤害	4	hurtScale	8040	1	4				0.2		
1045016	狂三-被动7-技能伤害	4	hurtScale	8050	1	4				0.2		
1045017	狂三-被动7-技能伤害	4	hurtScale	8051	1	4				0.2		
1045018	狂三-被动7-技能伤害	4	hurtScale	8052	1	4				0.2		
1045019	狂三-被动7-技能伤害	4	hurtScale	8053	1	4				0.2		
1045020	狂三-被动7-技能伤害	4	hurtScale	8054	1	4				0.2		
1045021	狂三-被动7-技能伤害	4	hurtScale	8055	1	4				0.2		
1045022	狂三-被动7-技能伤害	4	hurtScale	8056	1	4				0.2		
1045023	狂三-被动7-技能伤害	4	hurtScale	8060	1	4				0.2		
1045024	狂三-被动7-技能伤害	4	hurtScale	8061	1	4				0.2		
1045025	狂三-被动7-技能伤害	4	hurtScale	8062	1	4				0.2		
1045026	狂三-被动7-技能伤害	4	hurtScale	8063	1	4				0.2		
1045027	狂三-被动7-技能伤害	4	hurtScale	8064	1	4				0.2		
1045028	狂三-被动7-技能伤害	4	hurtScale	8065	1	4				0.2		
1045029	狂三-被动7-技能伤害	4	hurtScale	8070	1	4				0.2		
1045030	狂三-被动7-技能伤害	4	hurtScale	8071	1	4				0.2		
1045031	狂三-被动7-技能伤害	4	hurtScale	8072	1	4				0.2		
1045032	狂三-被动7-技能伤害	4	hurtScale	8073	1	4				0.2		
1045033	狂三-被动7-技能伤害	4	hurtScale	8074	1	4				0.2		
1051001	琴里-普攻-普攻伤害1级	4	hurtScale	7001	1	4				0.05		
1051002	琴里-普攻-普攻伤害1级	4	hurtScale	7002	1	4				0.05		
1051003	琴里-普攻-普攻伤害1级	4	hurtScale	7003	1	4				0.05		
1051004	琴里-普攻-普攻伤害1级	4	hurtScale	7004	1	4				0.05		
1051005	琴里-普攻-普攻伤害1级	4	hurtScale	7005	1	4				0.05		
1051006	琴里-普攻-普攻伤害1级	4	hurtScale	7160	1	4				0.05		
1051007	琴里-普攻-普攻伤害1级	4	hurtScale	7201	1	4				0.05		
1051008	琴里-普攻-普攻伤害1级	4	hurtScale	7202	1	4				0.05		
1051009	琴里-普攻-普攻伤害1级	4	hurtScale	7203	1	4				0.05		
1051010	琴里-普攻-普攻伤害2级	4	hurtScale	7001	1	4				0.1		
1051011	琴里-普攻-普攻伤害2级	4	hurtScale	7002	1	4				0.1		
1051012	琴里-普攻-普攻伤害2级	4	hurtScale	7003	1	4				0.1		
1051013	琴里-普攻-普攻伤害2级	4	hurtScale	7004	1	4				0.1		
1051014	琴里-普攻-普攻伤害2级	4	hurtScale	7005	1	4				0.1		
1051015	琴里-普攻-普攻伤害2级	4	hurtScale	7160	1	4				0.1		
1051016	琴里-普攻-普攻伤害2级	4	hurtScale	7201	1	4				0.1		
1051017	琴里-普攻-普攻伤害2级	4	hurtScale	7202	1	4				0.1		
1051018	琴里-普攻-普攻伤害2级	4	hurtScale	7203	1	4				0.1		
1051019	琴里-普攻-普攻伤害3级	4	hurtScale	7001	1	4				0.15		
1051020	琴里-普攻-普攻伤害3级	4	hurtScale	7002	1	4				0.15		
1051021	琴里-普攻-普攻伤害3级	4	hurtScale	7003	1	4				0.15		
1051022	琴里-普攻-普攻伤害3级	4	hurtScale	7004	1	4				0.15		
1051023	琴里-普攻-普攻伤害3级	4	hurtScale	7005	1	4				0.15		
1051024	琴里-普攻-普攻伤害3级	4	hurtScale	7160	1	4				0.15		
1051025	琴里-普攻-普攻伤害3级	4	hurtScale	7201	1	4				0.15		
1051026	琴里-普攻-普攻伤害3级	4	hurtScale	7202	1	4				0.15		
1051027	琴里-普攻-普攻伤害3级	4	hurtScale	7203	1	4				0.15		
1051028	琴里-普攻-普攻伤害4级	4	hurtScale	7001	1	4				0.2		
1051029	琴里-普攻-普攻伤害4级	4	hurtScale	7002	1	4				0.2		
1051030	琴里-普攻-普攻伤害4级	4	hurtScale	7003	1	4				0.2		
1051031	琴里-普攻-普攻伤害4级	4	hurtScale	7004	1	4				0.2		
1051032	琴里-普攻-普攻伤害4级	4	hurtScale	7005	1	4				0.2		
1051033	琴里-普攻-普攻伤害4级	4	hurtScale	7160	1	4				0.2		
1051034	琴里-普攻-普攻伤害4级	4	hurtScale	7201	1	4				0.2		
1051035	琴里-普攻-普攻伤害4级	4	hurtScale	7202	1	4				0.2		
1051036	琴里-普攻-普攻伤害4级	4	hurtScale	7203	1	4				0.2		
1051037	琴里-普攻-消耗1级	1	costEnergy	100510	1	4				-1		
1051038	琴里-普攻-消耗1级	1	costEnergy	100570	1	4				-1		
1051039	琴里-普攻-消耗2级	1	costEnergy	100510	1	4				-2		
1051040	琴里-普攻-消耗2级	1	costEnergy	100570	1	4				-2		
1051041	琴里-普攻-消耗3级	1	costEnergy	100510	1	4				-3		
1051042	琴里-普攻-消耗3级	1	costEnergy	100570	1	4				-3		
1051043	琴里-普攻-普怪伤1级	4	hurtValue654	7001	1	4				400		
1051044	琴里-普攻-普怪伤1级	4	hurtValue654	7002	1	4				400		
1051045	琴里-普攻-普怪伤1级	4	hurtValue654	7003	1	4				400		
1051046	琴里-普攻-普怪伤1级	4	hurtValue654	7004	1	4				400		
1051047	琴里-普攻-普怪伤1级	4	hurtValue654	7005	1	4				400		
1051048	琴里-普攻-普怪伤1级	4	hurtValue654	7160	1	4				400		
1051049	琴里-普攻-普怪伤1级	4	hurtValue654	7201	1	4				400		
1051050	琴里-普攻-普怪伤1级	4	hurtValue654	7202	1	4				400		
1051051	琴里-普攻-普怪伤1级	4	hurtValue654	7203	1	4				400		
1051052	琴里-普攻-普怪伤2级	4	hurtValue654	7001	1	4				800		
1051053	琴里-普攻-普怪伤2级	4	hurtValue654	7002	1	4				800		
1051054	琴里-普攻-普怪伤2级	4	hurtValue654	7003	1	4				800		
1051055	琴里-普攻-普怪伤2级	4	hurtValue654	7004	1	4				800		
1051056	琴里-普攻-普怪伤2级	4	hurtValue654	7005	1	4				800		
1051057	琴里-普攻-普怪伤2级	4	hurtValue654	7160	1	4				800		
1051058	琴里-普攻-普怪伤2级	4	hurtValue654	7201	1	4				800		
1051059	琴里-普攻-普怪伤2级	4	hurtValue654	7202	1	4				800		
1051060	琴里-普攻-普怪伤2级	4	hurtValue654	7203	1	4				800		
1051061	琴里-普攻-普怪伤3级	4	hurtValue654	7001	1	4				1200		
1051062	琴里-普攻-普怪伤3级	4	hurtValue654	7002	1	4				1200		
1051063	琴里-普攻-普怪伤3级	4	hurtValue654	7003	1	4				1200		
1051064	琴里-普攻-普怪伤3级	4	hurtValue654	7004	1	4				1200		
1051065	琴里-普攻-普怪伤3级	4	hurtValue654	7005	1	4				1200		
1051066	琴里-普攻-普怪伤3级	4	hurtValue654	7160	1	4				1200		
1051067	琴里-普攻-普怪伤3级	4	hurtValue654	7201	1	4				1200		
1051068	琴里-普攻-普怪伤3级	4	hurtValue654	7202	1	4				1200		
1051069	琴里-普攻-普怪伤3级	4	hurtValue654	7203	1	4				1200		
1051070	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7001	1	4				200		
1051071	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7002	1	4				200		
1051072	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7003	1	4				200		
1051073	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7004	1	4				200		
1051074	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7005	1	4				200		
1051075	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7160	1	4				200		
1051076	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7201	1	4				200		
1051077	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7202	1	4				200		
1051078	琴里-普攻-人形怪物伤害1级	4	hurtValue650	7203	1	4				200		
1051079	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7001	1	4				400		
1051080	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7002	1	4				400		
1051081	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7003	1	4				400		
1051082	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7004	1	4				400		
1051083	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7005	1	4				400		
1051084	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7160	1	4				400		
1051085	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7201	1	4				400		
1051086	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7202	1	4				400		
1051087	琴里-普攻-人形怪物伤害2级	4	hurtValue650	7203	1	4				400		
1051088	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7001	1	4				600		
1051089	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7002	1	4				600		
1051090	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7003	1	4				600		
1051091	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7004	1	4				600		
1051092	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7005	1	4				600		
1051093	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7160	1	4				600		
1051094	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7201	1	4				600		
1051095	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7202	1	4				600		
1051096	琴里-普攻-人形怪物伤害3级	4	hurtValue650	7203	1	4				600		
1051097	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7001	1	4				800		
1051098	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7002	1	4				800		
1051099	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7003	1	4				800		
1051100	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7004	1	4				800		
1051101	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7005	1	4				800		
1051102	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7160	1	4				800		
1051103	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7201	1	4				800		
1051104	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7202	1	4				800		
1051105	琴里-普攻-人形怪物伤害4级	4	hurtValue650	7203	1	4				800		
1051106	琴里-普攻-暴击率1级	4	hurtValue507	7001	1	4				200		
1051107	琴里-普攻-暴击率1级	4	hurtValue507	7002	1	4				200		
1051108	琴里-普攻-暴击率1级	4	hurtValue507	7003	1	4				200		
1051109	琴里-普攻-暴击率1级	4	hurtValue507	7004	1	4				200		
1051110	琴里-普攻-暴击率1级	4	hurtValue507	7005	1	4				200		
1051111	琴里-普攻-暴击率1级	4	hurtValue507	7160	1	4				200		
1051112	琴里-普攻-暴击率1级	4	hurtValue507	7201	1	4				200		
1051113	琴里-普攻-暴击率1级	4	hurtValue507	7202	1	4				200		
1051114	琴里-普攻-暴击率1级	4	hurtValue507	7203	1	4				200		
1051115	琴里-普攻-暴击率2级	4	hurtValue507	7001	1	4				400		
1051116	琴里-普攻-暴击率2级	4	hurtValue507	7002	1	4				400		
1051117	琴里-普攻-暴击率2级	4	hurtValue507	7003	1	4				400		
1051118	琴里-普攻-暴击率2级	4	hurtValue507	7004	1	4				400		
1051119	琴里-普攻-暴击率2级	4	hurtValue507	7005	1	4				400		
1051120	琴里-普攻-暴击率2级	4	hurtValue507	7160	1	4				400		
1051121	琴里-普攻-暴击率2级	4	hurtValue507	7201	1	4				400		
1051122	琴里-普攻-暴击率2级	4	hurtValue507	7202	1	4				400		
1051123	琴里-普攻-暴击率2级	4	hurtValue507	7203	1	4				400		
1051124	琴里-普攻-暴击率3级	4	hurtValue507	7001	1	4				600		
1051125	琴里-普攻-暴击率3级	4	hurtValue507	7002	1	4				600		
1051126	琴里-普攻-暴击率3级	4	hurtValue507	7003	1	4				600		
1051127	琴里-普攻-暴击率3级	4	hurtValue507	7004	1	4				600		
1051128	琴里-普攻-暴击率3级	4	hurtValue507	7005	1	4				600		
1051129	琴里-普攻-暴击率3级	4	hurtValue507	7160	1	4				600		
1051130	琴里-普攻-暴击率3级	4	hurtValue507	7201	1	4				600		
1051131	琴里-普攻-暴击率3级	4	hurtValue507	7202	1	4				600		
1051132	琴里-普攻-暴击率3级	4	hurtValue507	7203	1	4				600		
1051801	琴里-普攻-技能效果1级	2	frameEvents	5003	2	6						next1_down_5004
1051802	琴里-普攻-技能效果2级	2	frameEvents	5004	2	6						next1_down_5005
1051803	琴里-普攻-技能效果3级	1	first	100510	2	4				5006		
1051804	琴里-普攻-炮-技能效果1级	1	first	100570	2	4				5153		
1051805	琴里-普攻-炮-技能效果2级	1	first	100570	2	4				5156		
1051806	琴里-普攻-炮-技能效果3级	1	first	100570	2	4				5159		
1052001	琴里-技能1-技能伤害1级	4	hurtScale	7060	1	4				0.05		
1052002	琴里-技能1-技能伤害1级	4	hurtScale	7061	1	4				0.05		
1052003	琴里-技能1-技能伤害1级	4	hurtScale	7062	1	4				0.05		
1052004	琴里-技能1-技能伤害1级	4	hurtScale	7063	1	4				0.05		
1052005	琴里-技能1-技能伤害1级	4	hurtScale	7064	1	4				0.05		
1052006	琴里-技能1-技能伤害1级	4	hurtScale	7065	1	4				0.05		
1052007	琴里-技能1-技能伤害1级	4	hurtScale	7066	1	4				0.05		
1052008	琴里-技能1-技能伤害1级	4	hurtScale	7067	1	4				0.05		
1052009	琴里-技能1-技能伤害1级	4	hurtScale	7068	1	4				0.05		
1052010	琴里-技能1-技能伤害1级	4	hurtScale	7211	1	4				0.05		
1052011	琴里-技能1-技能伤害1级	4	hurtScale	7212	1	4				0.05		
1052012	琴里-技能1-技能伤害1级	4	hurtScale	7213	1	4				0.05		
1052013	琴里-技能1-技能伤害1级	4	hurtScale	7214	1	4				0.05		
1052014	琴里-技能1-技能伤害1级	4	hurtScale	7215	1	4				0.05		
1052015	琴里-技能1-技能伤害1级	4	hurtScale	7221	1	4				0.05		
1052016	琴里-技能1-技能伤害1级	4	hurtScale	7222	1	4				0.05		
1052017	琴里-技能1-技能伤害1级	4	hurtScale	7223	1	4				0.05		
1052018	琴里-技能1-技能伤害1级	4	hurtScale	7224	1	4				0.05		
1052019	琴里-技能1-技能伤害1级	4	hurtScale	7225	1	4				0.05		
1052020	琴里-技能1-技能伤害2级	4	hurtScale	7060	1	4				0.1		
1052021	琴里-技能1-技能伤害2级	4	hurtScale	7061	1	4				0.1		
1052022	琴里-技能1-技能伤害2级	4	hurtScale	7062	1	4				0.1		
1052023	琴里-技能1-技能伤害2级	4	hurtScale	7063	1	4				0.1		
1052024	琴里-技能1-技能伤害2级	4	hurtScale	7064	1	4				0.1		
1052025	琴里-技能1-技能伤害2级	4	hurtScale	7065	1	4				0.1		
1052026	琴里-技能1-技能伤害2级	4	hurtScale	7066	1	4				0.1		
1052027	琴里-技能1-技能伤害2级	4	hurtScale	7067	1	4				0.1		
1052028	琴里-技能1-技能伤害2级	4	hurtScale	7068	1	4				0.1		
1052029	琴里-技能1-技能伤害2级	4	hurtScale	7211	1	4				0.1		
1052030	琴里-技能1-技能伤害2级	4	hurtScale	7212	1	4				0.1		
1052031	琴里-技能1-技能伤害2级	4	hurtScale	7213	1	4				0.1		
1052032	琴里-技能1-技能伤害2级	4	hurtScale	7214	1	4				0.1		
1052033	琴里-技能1-技能伤害2级	4	hurtScale	7215	1	4				0.1		
1052034	琴里-技能1-技能伤害2级	4	hurtScale	7221	1	4				0.1		
1052035	琴里-技能1-技能伤害2级	4	hurtScale	7222	1	4				0.1		
1052036	琴里-技能1-技能伤害2级	4	hurtScale	7223	1	4				0.1		
1052037	琴里-技能1-技能伤害2级	4	hurtScale	7224	1	4				0.1		
1052038	琴里-技能1-技能伤害2级	4	hurtScale	7225	1	4				0.1		
1052039	琴里-技能1-技能伤害3级	4	hurtScale	7060	1	4				0.15		
1052040	琴里-技能1-技能伤害3级	4	hurtScale	7061	1	4				0.15		
1052041	琴里-技能1-技能伤害3级	4	hurtScale	7062	1	4				0.15		
1052042	琴里-技能1-技能伤害3级	4	hurtScale	7063	1	4				0.15		
1052043	琴里-技能1-技能伤害3级	4	hurtScale	7064	1	4				0.15		
1052044	琴里-技能1-技能伤害3级	4	hurtScale	7065	1	4				0.15		
1052045	琴里-技能1-技能伤害3级	4	hurtScale	7066	1	4				0.15		
1052046	琴里-技能1-技能伤害3级	4	hurtScale	7067	1	4				0.15		
1052047	琴里-技能1-技能伤害3级	4	hurtScale	7068	1	4				0.15		
1052048	琴里-技能1-技能伤害3级	4	hurtScale	7211	1	4				0.15		
1052049	琴里-技能1-技能伤害3级	4	hurtScale	7212	1	4				0.15		
1052050	琴里-技能1-技能伤害3级	4	hurtScale	7213	1	4				0.15		
1052051	琴里-技能1-技能伤害3级	4	hurtScale	7214	1	4				0.15		
1052052	琴里-技能1-技能伤害3级	4	hurtScale	7215	1	4				0.15		
1052053	琴里-技能1-技能伤害3级	4	hurtScale	7221	1	4				0.15		
1052054	琴里-技能1-技能伤害3级	4	hurtScale	7222	1	4				0.15		
1052055	琴里-技能1-技能伤害3级	4	hurtScale	7223	1	4				0.15		
1052056	琴里-技能1-技能伤害3级	4	hurtScale	7224	1	4				0.15		
1052057	琴里-技能1-技能伤害3级	4	hurtScale	7225	1	4				0.15		
1052058	琴里-技能1-技能伤害4级	4	hurtScale	7060	1	4				0.2		
1052059	琴里-技能1-技能伤害4级	4	hurtScale	7061	1	4				0.2		
1052060	琴里-技能1-技能伤害4级	4	hurtScale	7062	1	4				0.2		
1052061	琴里-技能1-技能伤害4级	4	hurtScale	7063	1	4				0.2		
1052062	琴里-技能1-技能伤害4级	4	hurtScale	7064	1	4				0.2		
1052063	琴里-技能1-技能伤害4级	4	hurtScale	7065	1	4				0.2		
1052064	琴里-技能1-技能伤害4级	4	hurtScale	7066	1	4				0.2		
1052065	琴里-技能1-技能伤害4级	4	hurtScale	7067	1	4				0.2		
1052066	琴里-技能1-技能伤害4级	4	hurtScale	7068	1	4				0.2		
1052067	琴里-技能1-技能伤害4级	4	hurtScale	7211	1	4				0.2		
1052068	琴里-技能1-技能伤害4级	4	hurtScale	7212	1	4				0.2		
1052069	琴里-技能1-技能伤害4级	4	hurtScale	7213	1	4				0.2		
1052070	琴里-技能1-技能伤害4级	4	hurtScale	7214	1	4				0.2		
1052071	琴里-技能1-技能伤害4级	4	hurtScale	7215	1	4				0.2		
1052072	琴里-技能1-技能伤害4级	4	hurtScale	7221	1	4				0.2		
1052073	琴里-技能1-技能伤害4级	4	hurtScale	7222	1	4				0.2		
1052074	琴里-技能1-技能伤害4级	4	hurtScale	7223	1	4				0.2		
1052075	琴里-技能1-技能伤害4级	4	hurtScale	7224	1	4				0.2		
1052076	琴里-技能1-技能伤害4级	4	hurtScale	7225	1	4				0.2		
1052077	琴里-技能1-消耗1级	1	costEnergy	100521	1	4				-1		
1052078	琴里-技能1-消耗1级	1	costEnergy	100581	1	4				-1		
