id	名称(策划用,ID=(heroId-1)*1000+type*1000+pos*10+1)	效果描述(策划用,51字内)	效果名称	效果图标	图标边框	所属英雄	技能ID(不同皮肤技能用数组形式)	技能类型(1普攻,2技能一,3小技能二,4必杀,5闪避技能,6觉醒技能,7,出场技能,8.下落技能,9起身震飞,0被动)	效果编号(1-9)	效果等级	基本描述	效果简述	被动技能补充描述	加成效果显示	消耗天赋点	前置效果要求	后置技能	主技能连线标识(连主技能=1,不连不填)	英雄等级要求	天使星级要求	附加效果	附带buff	展示视频	服务器位置（警告:不可修改）
110301064	四糸乃普攻-寒冷	普攻命中有20%几率给目标附加1层寒冷效果,使其移动速度降低10%,持续6s。当寒冷效果叠加到5层时,将使目标被冻结。	10301024	icon/angleskill/30006_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	6	4	10302024	10303024			5	[[110301024]]	[110301081,110301131,110301132,110301133]		1	1		10410814		6
110301121	四糸乃普攻-额外释放3个大冰锥	普攻最后一段将连续释放3个大冰锥	10301025	icon/angleskill/30011_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	12	1	10302025	10303025			10	[[110301181]]			1	1	1031809		video/ssn_1_3.mp4	12
110301171	四糸乃普攻-弱者之灾	普攻对普通怪物造成5%的额外伤害	10301026	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	17	1	10302026	10303026			5	[[110301133]]			1	1	1031075-1031076-1031077-1031078-1031079			17
110301172	四糸乃普攻-弱者之灾	普攻对普通怪物造成8%的额外伤害	10301027	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	17	2	10302027	10303027			5	[[110301133]]			1	1	1031080-1031081-1031082-1031083-1031084			17
110301173	四糸乃普攻-弱者之灾	普攻对普通怪物造成12%的额外伤害	10301028	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	17	3	10302028	10303028			5	[[110301133]]			1	1	1031085-1031086-1031087-1031088-1031089			17
110301174	四糸乃普攻-弱者之灾	普攻对普通怪物造成15%的额外伤害	10301029	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/024.png	110301	100310	1	17	4	10302029	10303029			5	[[110301133]]			1	1	1031090-1031091-1031092-1031093-1031094			17
110302081	四糸乃技能1-强化	[极寒冰刺]技能伤害+6%	10301030	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	8	1	10302030	10303030			5				1	1	1032001-1032002-1032003-1032004-1032005-1032006-1032007-1032008-1032009			8
110302082	四糸乃技能1-强化	[极寒冰刺]技能伤害+9%	10301031	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	8	2	10302031	10303031			5				1	1	1032010-1032011-1032012-1032013-1032014-1032015-1032016-1032017-1032018			8
110302083	四糸乃技能1-强化	[极寒冰刺]技能伤害+12%	10301032	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	8	3	10302032	10303032			5				1	1	1032019-1032020-1032021-1032022-1032023-1032024-1032025-1032026-1032027			8
110302084	四糸乃技能1-强化	[极寒冰刺]技能伤害+15%	10301033	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	8	4	10302033	10303033			5				1	1	1032028-1032029-1032030-1032031-1032032-1032033-1032034-1032035-1032036			8
110302251	四糸乃技能1-1级	[极寒冰刺]将连续释放3个向前的冰刺	10301034	icon/angleskill/30012_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	25	1	10302034	10303034			10	[[110302244]]	[110302161]		1	1	1032801		video/ssn_2_1.mp4	25
110302061	四糸乃技能1-冷却	[极寒冰刺]技能冷却时间-0.5秒	10301035	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	6	1	10302035	10303035			5	[[110302014]]			1	1	1032037			6
110302062	四糸乃技能1-冷却	[极寒冰刺]技能冷却时间-1秒	10301036	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	6	2	10302036	10303036			5	[[110302014]]			1	1	1032038			6
110302063	四糸乃技能1-冷却	[极寒冰刺]技能冷却时间-1.5秒	10301037	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	6	3	10302037	10303037			5	[[110302014]]			1	1	1032039			6
110302011	四糸乃技能1-机械之灾	[极寒冰刺]对机械类怪物伤害+2%	10301038	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	1	1	10302038	10303038			5			1	1	1	1032040-1032041-1032042-1032043-1032044-1032045-1032046-1032047-1032048			1
110302012	四糸乃技能1-机械之灾	[极寒冰刺]对机械类怪物伤害+4%	10301039	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	1	2	10302039	10303039			5			1	1	1	1032049-1032050-1032051-1032052-1032053-1032054-1032055-1032056-1032057			1
110302013	四糸乃技能1-机械之灾	[极寒冰刺]对机械类怪物伤害+6%	10301040	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	1	3	10302040	10303040			5			1	1	1	1032058-1032059-1032060-1032061-1032062-1032063-1032064-1032065-1032066			1
110302014	四糸乃技能1-机械之灾	[极寒冰刺]对机械类怪物伤害+8%	10301041	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	1	4	10302041	10303041			5		[110302061,110302062,110302063,110302021,110302022,110302023,110302024]	1	1	1	1032067-1032068-1032069-1032070-1032071-1032072-1032073-1032074-1032075			1
110302161	四糸乃技能1-2级	[极寒冰刺]将向前方释放扇形范围的冰刺	10301042	icon/angleskill/30012_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	16	1	10302042	10303042			10	[[110302251]]	[110302201]		1	1	1032802		video/ssn_2_2.mp4	16
110302021	四糸乃技能1-穿透	[极寒冰刺]技能穿透率+3%	10301043	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	2	1	10302043	10303043			5	[[110302014]]			1	1	1032076-1032077-1032078-1032079-1032080-1032081-1032082-1032083-1032084			2
110302022	四糸乃技能1-穿透	[极寒冰刺]技能穿透率+5%	10301044	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	2	2	10302044	10303044			5	[[110302014]]			1	1	1032085-1032086-1032087-1032088-1032089-1032090-1032091-1032092-1032093			2
110302023	四糸乃技能1-穿透	[极寒冰刺]技能穿透率+7%	10301045	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	2	3	10302045	10303045			5	[[110302014]]			1	1	1032094-1032095-1032096-1032097-1032098-1032099-1032100-1032101-1032102			2
110302024	四糸乃技能1-穿透	[极寒冰刺]技能穿透率+10%	10301046	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	2	4	10302046	10303046			5	[[110302014]]	[110302031,110302032,110302033]		1	1	1032103-1032104-1032105-1032106-1032107-1032108-1032109-1032110-1032111			2
110302031	四糸乃技能1-狂暴	[极寒冰刺]技能暴击伤害+10%	10301047	icon/angleskill/10105_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	3	1	10302047	10303047			5	[[110302024]]			1	1	1032112-1032113-1032114-1032115-1032116-1032117-1032118-1032119-1032120			3
110302032	四糸乃技能1-狂暴	[极寒冰刺]技能暴击伤害+15%	10301048	icon/angleskill/10105_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	3	2	10302048	10303048			5	[[110302024]]			1	1	1032121-1032122-1032123-1032124-1032125-1032126-1032127-1032128-1032129			3
110302033	四糸乃技能1-狂暴	[极寒冰刺]技能暴击伤害+20%	10301049	icon/angleskill/10105_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	3	3	10302049	10303049			5	[[110302024]]			1	1	1032130-1032131-1032132-1032133-1032134-1032135-1032136-1032137-1032138			3
110302201	四糸乃技能1-3级	[极寒冰刺]还会产生一次爆炸,对目标造成215%的伤害	10301050	icon/angleskill/30012_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	20	1	10302050	10303050			10	[[110302161]]			1	1	1032803		video/ssn_2_3.mp4	20
110302241	四糸乃技能1-弱者之灾	[极寒冰刺]对普通怪物造成5%的额外伤害	10301051	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	24	1	10302051	10303051			5			1	1	1	1032139-1032140-1032141-1032142-1032143-1032144-1032145-1032146-1032147			24
110302242	四糸乃技能1-弱者之灾	[极寒冰刺]对普通怪物造成8%的额外伤害	10301052	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	24	2	10302052	10303052			5			1	1	1	1032148-1032149-1032150-1032151-1032152-1032153-1032154-1032155-1032156			24
110302243	四糸乃技能1-弱者之灾	[极寒冰刺]对普通怪物造成12%的额外伤害	10301053	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	24	3	10302053	10303053			5			1	1	1	1032157-1032158-1032159-1032160-1032161-1032162-1032163-1032164-1032165			24
110302244	四糸乃技能1-弱者之灾	[极寒冰刺]对普通怪物造成15%的额外伤害	10301054	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/026.png	110301	100320	2	24	4	10302054	10303054			5		[110302251]	1	1	1	1032166-1032167-1032168-1032169-1032170-1032171-1032172-1032173-1032174			24
110303071	四糸乃技能2-缓速	[极寒领域]减速效果提高到25%	10301055	icon/angleskill/10129_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	7	1	10302055	10303055			5			1	1	1		10430111		7
110303072	四糸乃技能2-缓速	[极寒领域]减速效果提高到30%	10301056	icon/angleskill/10129_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	7	2	10302056	10303056			5			1	1	1		10430112		7
110303073	四糸乃技能2-缓速	[极寒领域]减速效果提高到35%	10301057	icon/angleskill/10129_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	7	3	10302057	10303057			5			1	1	1		10430113		7
110303074	四糸乃技能2-缓速	[极寒领域]减速效果提高到40%	10301058	icon/angleskill/10129_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	7	4	10302058	10303058			5		[110303081,110303021,110303022,110303023]	1	1	1		10430114		7
110303081	四糸乃技能2-1级	[极寒领域]将持续召唤冰雨对领域内的目标造成伤害,每次造成65%的伤害。	10301059	icon/angleskill/30013_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	8	1	10302059	10303059			10	[[110303074]]	[110303131]		1	1	1033801		video/ssn_3_1.mp4	8
110303011	四糸乃技能2-减防	受到[极寒领域]伤害的敌人,防御减少6%,持续5秒	10301060	icon/angleskill/10125_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	1	1	10302060	10303060			5				1	1		10430311		1
110303012	四糸乃技能2-减防	受到[极寒领域]伤害的敌人,防御减少9%,持续5秒	10301061	icon/angleskill/10125_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	1	2	10302061	10303061			5				1	1		10430312		1
110303013	四糸乃技能2-减防	受到[极寒领域]伤害的敌人,防御减少12%,持续5秒	10301062	icon/angleskill/10125_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	1	3	10302062	10303062			5				1	1		10430313		1
110303014	四糸乃技能2-减防	受到[极寒领域]伤害的敌人,防御减少15%,持续5秒	10301063	icon/angleskill/10125_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	1	4	10302063	10303063			5				1	1		10430314		1
110303021	四糸乃技能2-冷却	[极寒领域]技能冷却时间-0.5秒	10301064	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	2	1	10302064	10303064			5	[[110303074]]			1	1	1033080			2
110303022	四糸乃技能2-冷却	[极寒领域]技能冷却时间-1秒	10301065	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	2	2	10302065	10303065			5	[[110303074]]			1	1	1033081			2
110303023	四糸乃技能2-冷却	[极寒领域]技能冷却时间-1.5秒	10301066	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	2	3	10302066	10303066			5	[[110303074]]			1	1	1033082			2
110303131	四糸乃技能2-2级	[极寒领域]将持续召唤冰锥对领域内的目标造成伤害,每次造成70%的伤害。	10301067	icon/angleskill/30013_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	13	1	10302067	10303067			10	[[110303081]]	[110303091]		1	1	1033802		video/ssn_3_2.mp4	13
110303031	四糸乃技能2-强化	[极寒领域]技能伤害+6%	10301068	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	3	1	10302068	10303068			5				1	1	1033083-1033084-1033085			3
110303032	四糸乃技能2-强化	[极寒领域]技能伤害+9%	10301069	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	3	2	10302069	10303069			5				1	1	1033086-1033087-1033088			3
110303033	四糸乃技能2-强化	[极寒领域]技能伤害+12%	10301070	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	3	3	10302070	10303070			5				1	1	1033089-1033090-1033091			3
110303034	四糸乃技能2-强化	[极寒领域]技能伤害+15%	10301071	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	3	4	10302071	10303071			5				1	1	1033092-1033093-1033094			3
110303101	四糸乃技能2-时间延缓	[极寒领域]持续时间+1秒	10301072	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	10	1	10302072	10303072			5	[[110303091]]			1	1	1033095-1033096-1033097-1033098-1033099-1033100-1033101-1033102			10
110303102	四糸乃技能2-时间延缓	[极寒领域]持续时间+2秒	10301073	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	10	2	10302073	10303073			5	[[110303091]]			1	1	1033103-1033104-1033105-1033106-1033107-1033108-1033109-1033110			10
110303103	四糸乃技能2-时间延缓	[极寒领域]持续时间+3秒	10301074	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	10	3	10302074	10303074			5	[[110303091]]			1	1	1033111-1033112-1033113-1033114-1033115-1033116-1033117-1033118			10
110303091	四糸乃技能2-3级	[极寒领域]将持续召唤冰陨石对领域内的目标造成伤害,每次造成80%的伤害。	10301075	icon/angleskill/30013_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	9	1	10302075	10303075			10	[[110303131]]	[110303101,110303102,110303103]		1	1	1033803		video/ssn_3_3.mp4	9
110303121	四糸乃技能2-机械之灾	[极寒领域]对机械类怪物怪伤害+2%	10301076	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	12	1	10302076	10303076			5				1	1	1033119-1033120-1033121			12
110303122	四糸乃技能2-机械之灾	[极寒领域]对机械类怪物怪伤害+4%	10301077	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	12	2	10302077	10303077			5				1	1	1033124-1033122-1033123			12
110303123	四糸乃技能2-机械之灾	[极寒领域]对机械类怪物怪伤害+6%	10301078	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	12	3	10302078	10303078			5				1	1	1033127-1033125-1033126			12
110303124	四糸乃技能2-机械之灾	[极寒领域]对机械类怪物怪伤害+8%	10301079	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/027.png	110301	100370	3	12	4	10302079	10303079			5				1	1	1033130-1033128-1033129			12
110304171	四糸乃必杀-冷却	[极寒风暴]技能冷却时间-0.5秒	10301080	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	17	1	10302080	10303080			5				1	1	1034001			17
110304172	四糸乃必杀-冷却	[极寒风暴]技能冷却时间-1秒	10301081	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	17	2	10302081	10303081			5				1	1	1034002			17
110304173	四糸乃必杀-冷却	[极寒风暴]技能冷却时间-1.5秒	10301082	icon/angleskill/10106_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	17	3	10302082	10303082			5				1	1	1034003			17
110304111	四糸乃必杀-1级	[极寒风暴]将不再移动,而是会在原地持续牵引敌人	10301083	icon/angleskill/30014_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	11	1	10302083	10303083			10	[[110304024]]	[110304121]		1	1	1034801		video/ssn_4_1.mp4	11
110304011	四糸乃必杀-弱者之灾	[极寒风暴]对普通怪物伤害+X%	10301084	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	1	1	10302084	10303084			5			1	1	1	1034004-1034005-1034006-1034007-1034008-1034009-1034010-1034011			1
110304012	四糸乃必杀-弱者之灾	[极寒风暴]对普通怪物伤害+X%	10301085	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	1	2	10302085	10303085			5			1	1	1	1034012-1034013-1034014-1034015-1034016-1034017-1034018-1034019			1
110304013	四糸乃必杀-弱者之灾	[极寒风暴]对普通怪物伤害+X%	10301086	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	1	3	10302086	10303086			5			1	1	1	1034020-1034021-1034022-1034023-1034024-1034025-1034026-1034027			1
110304014	四糸乃必杀-弱者之灾	[极寒风暴]对普通怪物伤害+X%	10301087	icon/angleskill/10133_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	1	4	10302087	10303087			5			1	1	1	1034028-1034029-1034030-1034031-1034032-1034033-1034034-1034035			1
110304021	四糸乃必杀-强化	[极寒风暴]技能伤害+6%	10301088	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	2	1	10302088	10303088			5				1	1	1034036-1034037-1034038-1034039-1034040-1034041-1034042-1034043			2
110304022	四糸乃必杀-强化	[极寒风暴]技能伤害+9%	10301089	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	2	2	10302089	10303089			5				1	1	1034044-1034045-1034046-1034047-1034048-1034049-1034050-1034051			2
110304023	四糸乃必杀-强化	[极寒风暴]技能伤害+12%	10301090	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	2	3	10302090	10303090			5				1	1	1034052-1034053-1034054-1034055-1034056-1034057-1034058-1034059			2
110304024	四糸乃必杀-强化	[极寒风暴]技能伤害+15%	10301091	icon/angleskill/10101_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	2	4	10302091	10303091			5		[110304111]		1	1	1034060-1034061-1034062-1034063-1034064-1034065-1034066-1034067			2
110304121	四糸乃必杀-2级	[极寒风暴]范围+20%	10301092	icon/angleskill/30014_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	12	1	10302092	10303092			10	[[110304111]]	[110304041]		1	1	1034802		video/ssn_4_2.mp4	12
110304251	四糸乃必杀-穿透	[极寒风暴]技能穿透率+3%	10301093	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	25	1	10302093	10303093			5				1	1	1034068-1034069-1034070-1034071-1034072-1034073-1034074-1034075			25
110304252	四糸乃必杀-穿透	[极寒风暴]技能穿透率+5%	10301094	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	25	2	10302094	10303094			5				1	1	1034076-1034077-1034078-1034079-1034080-1034081-1034082-1034083			25
110304253	四糸乃必杀-穿透	[极寒风暴]技能穿透率+7%	10301095	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	25	3	10302095	10303095			5				1	1	1034084-1034085-1034086-1034087-1034088-1034089-1034090-1034091			25
110304254	四糸乃必杀-穿透	[极寒风暴]技能穿透率+10%	10301096	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	25	4	10302096	10303096			5				1	1	1034092-1034093-1034094-1034095-1034096-1034097-1034098-1034099			25
110304261	四糸乃必杀-机械伤	[极寒风暴]对机械类怪物伤害+2%	10301097	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	26	1	10302097	10303097			5				1	1	1034118-1034119-1034120-1034121-1034122-1034123-1034124-1034125			26
110304262	四糸乃必杀-机械伤	[极寒风暴]对机械类怪物伤害+4%	10301098	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	26	2	10302098	10303098			5				1	1	1034126-1034127-1034128-1034129-1034130-1034131-1034132-1034133			26
110304263	四糸乃必杀-机械伤	[极寒风暴]对机械类怪物伤害+6%	10301099	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	26	3	10302099	10303099			5				1	1	1034134-1034135-1034136-1034137-1034138-1034139-1034140-1034141			26
110304264	四糸乃必杀-机械伤	[极寒风暴]对机械类怪物伤害+8%	10301100	icon/angleskill/10124_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	26	4	10302100	10303100			5				1	1	1034142-1034143-1034144-1034145-1034146-1034147-1034148-1034149			26
110304041	四糸乃必杀-3级	[极寒风暴]持续的同时将持续召唤冰锥对目标造成伤害。	10301101	icon/angleskill/30014_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	4	1	10302101	10303101			10	[[110304121]]			1	1	1034803		video/ssn_4_3.mp4	4
110304071	四糸乃必杀-时间延缓	[极寒风暴]持续时间+1秒	10301102	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	7	1	10302102	10303102			5	[[110304041]]			1	1	1034052-1034053-1034054-1034055-1034056-1034057			7
110304072	四糸乃必杀-时间延缓	[极寒风暴]持续时间+2秒	10301103	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	7	2	10302103	10303103			5	[[110304041]]			1	1	1034058-1034059-1034060-1034061-1034062-1034063			7
110304073	四糸乃必杀-时间延缓	[极寒风暴]持续时间+3秒	10301104	icon/angleskill/10120_angleskillA.png	ui/fairy_angle/025.png	110301	100380	4	7	3	10302104	10303104			5	[[110304041]]			1	1	1034064-1034065-1034066-1034067-1034068-1034069			7
110310011	四糸乃被动-寒冰惩戒	普攻对目标叠加的寒冷效果,同时也将对目标周围3米范围内的敌人生效	10301105	icon/angleskill/130001_angleskillA.png		110301		10	1	1	10302105	10303105							1			10470111		1
110310021	四糸乃被动-寒冷之刑	目标被命中时有30%几率被附加寒冷效果	10301106	icon/angleskill/30006_angleskillA.png		110301		10	2	1	10302106	10303106							1			10470211-10470221-10470231-10470241-10470251-10470261		2
110310031	四糸乃被动-寒冰复仇	目标冰冻状态消失后(死亡或清除),将对范围3米内的敌人附加1层寒冷	10301107	icon/angleskill/120001_angleskillA.png		110301		10	3	1	10302107	10303107							1			10470311		3
110310041	四糸乃被动-冰霜预言	普攻对“减速”和“冰冻”的目标分别造成30%和50%的额外伤害	10301108	icon/angleskill/10104_angleskillA.png		110301		10	4	1	10302108	10303108							1			10470411-10470421		4
110310051	四糸乃被动-极速打击	技能对“冰冻”目标造成暴击的几率+35%,且暴击伤害+60%	10301109	icon/angleskill/10130_angleskillA.png		110301		10	5	1	10302109	10303109							1			10470511-10470521-10470531-10470541-10470551		5
110310061	四糸乃被动-寒冰庇佑	寒冰伤害+30%	10301110	icon/angleskill/10101_angleskillA.png		110301		10	6	1	10302110	10303110							1			10470611		6
110310071	四糸乃被动-寒冰荣耀	击杀目标有50%几率恢复2%点最大生命值	10301111	icon/angleskill/10119_angleskillA.png		110301		10	7	1	10302111	10303111							1			10470711		7
110310081	四糸乃被动-极寒光辉	在[极寒领域]中,每秒恢复5%点最大生命值	10301112	icon/angleskill/10121_angleskillA.png		110301		10	8	1	10302112	10303112							1			10470811-10470821-10470831-10470841		8
110310091	四糸乃被动-庇护之光	当自己和队友受到治疗时,将额外获得100%的治疗值	10301113	icon/angleskill/30007_angleskillA.png		110301		10	9	1	10302113	10303113							1			10470911		9
110310101	四糸乃被动-寒冰不死	当受到致命伤害时,将[极寒领域]冰冻自己,持续3秒,每秒恢复20%生命值,冷却时间60秒	10301114	icon/angleskill/30008_angleskillA.png		110301		10	10	1	10302114	10303114							1			10471011		10
110310111	四糸乃被动-神佑之光	自己和队友攻击+15%,防御+15%	10301115	icon/angleskill/30009_angleskillA.png		110301		10	11	1	10302115	10303115							1			10471111		11
110310121	四糸乃被动-预言之环	己方队友登场将获得一个最大生命值30%的伤害吸收盾	10301116	icon/angleskill/70003_angleskillA.png		110301		10	12	1	10302116	10303116							1			10471211		12
110310131	四糸乃被动-时间领域	[极寒领域]持续时间增加3秒	10301117	icon/angleskill/10120_angleskillA.png		110301		10	13	1	10302117	10303117							1			10471311-10471321-10471331-10471341		13
110310141	四糸乃被动-寒冰怒焰	每次使用冰霜伤害技能都将为自己额外获得30%的极冻值	10301118	icon/angleskill/10116_angleskillA.png		110301		10	14	1	10302118	10303118							1		1035006-1035007-1035008-1035009			14
110310151	四糸乃被动-极寒附体	极冻值上限降低20%	10301119	icon/angleskill/120005_angleskillA.png		110301		10	15	1	10302119	10303119							1			10471511		15
110310161	四糸乃被动-光辉庇护	普攻每次命中目标都将恢复1点极冻值	10301120	icon/angleskill/30010_angleskillA.png		110301		10	16	1	10302120	10303120							1		1035001-1035002-1035003-1035004-1035005			16
110406011	狂三觉醒-1级	狂三觉醒-1级	10401001	icon/angleskill/10101_angleskillA.png		110401	100430	6	1	1	10402001	10403001			5				1	1				1
110406012	狂三觉醒-2级	狂三觉醒-2级	10401002	icon/angleskill/10101_angleskillA.png		110401	100430	6	1	2	10402002	10403002			5				1	1				1
110406013	狂三觉醒-3级	狂三觉醒-3级	10401003	icon/angleskill/10101_angleskillA.png		110401	100430	6	1	3	10402003	10403003			5				1	1				1
110406014	狂三觉醒-4级	狂三觉醒-4级	10401004	icon/angleskill/10101_angleskillA.png		110401	100430	6	1	4	10402004	10403004			5				1	1				1
110401021	狂三普攻-能量怪伤害	普攻对能量怪伤害+2%	10401005	icon/angleskill/10126_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	2	1	10402005	10403005			5			1	1	1	1041001-1041002-1041003-1041004-1041005			2
110401022	狂三普攻-能量怪伤害	普攻对能量怪伤害+4%	10401006	icon/angleskill/10126_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	2	2	10402006	10403006			5			1	1	1	1041006-1041007-1041008-1041009-1041010			2
110401023	狂三普攻-能量怪伤害	普攻对能量怪伤害+6%	10401007	icon/angleskill/10126_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	2	3	10402007	10403007			5			1	1	1	1041011-1041012-1041013-1041014-1041015			2
110401024	狂三普攻-能量怪伤害	普攻对能量怪伤害+8%	10401008	icon/angleskill/10126_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	2	4	10402008	10403008			5		[110401071]	1	1	1	1041016-1041017-1041018-1041019-1041020			2
110401071	狂三普攻-狂三4段	普攻可以连续释放4段伤害	10401009	icon/angleskill/50006_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	7	1	10402009	10403009			10	[[110401024]]	[110401081,110401082,110401083,110401084]		1	1	1041801		video/ks_1_1.mp4	7
110401051	狂三普攻-穿透率	普攻穿透率+3%	10401010	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	5	1	10402010	10403010			5	[[110401131]]			1	1	1041021-1041022-1041023-1041024-1041025			5
110401052	狂三普攻-穿透率	普攻穿透率+5%	10401011	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	5	2	10402011	10403011			5	[[110401131]]			1	1	1041026-1041027-1041028-1041029-1041030			5
110401053	狂三普攻-穿透率	普攻穿透率+7%	10401012	icon/angleskill/10118_angleskillA.png	ui/fairy_angle/024.png	110401	100410	1	5	3	10402012	10403012			5	[[110401131]]			1	1	1041031-1041032-1041033-1041034-1041035			5
