效果id	名称	效果描述	能够对场下的生效	增减益类型	作用类型	范围中心点	范围	作用对象	单位数量	特效强制设定位置	效果类型	属性id	属性计算参照对象	参照属性	参照属性类型	转化比例	效果值	伤害类型（1.普通 2.纯粹）	伤害属性（1-9：物理，冰，火，风，电，毒，光，暗，精神）	状态id	特效id	（概率）改变的buffid	概率改变值	技能类型（减少技能cd用的）	时间（减少技能cd用的）	buff生效方式	生效条件	延迟时间	buff持续时间	buff生效次数	间隔时间	叠加方式	最大叠加次数	叠加到一定层数后是否触发新效果	新效果需要叠加层数	新效果触发概率	新效果id	作用对象死亡是否终止	终止效果	额外终止方式	减少叠加数	检测属性id	检测标准	配置值	事件次数	事件类型	检测的移除状态	额外终止效果	特效资源	特效动画	挂点	位置1（下层为负数，上层为正数）	特效资源	特效动画	挂点	位置2（下层为负数，上层为正数）	是否显示icon	icon资源
20055		伤害减免提高10%	0	3	1			1	1		1	502	1				1000									1			-1	-1	0	3	-1					1	1																			
20056		命中提高2%	0	3	1			1	1		1	505	1				200									1			-1	-1	0	3	-1					1	1																			
20057		命中提高4%	0	3	1			1	1		1	505	1				400									1			-1	-1	0	3	-1					1	1																			
20058		命中提高6%	0	3	1			1	1		1	505	1				600									1			-1	-1	0	3	-1					1	1																			
20059		命中提高8%	0	3	1			1	1		1	505	1				800									1			-1	-1	0	3	-1					1	1																			
20060		命中提高10%	0	3	1			1	1		1	505	1				1000									1			-1	-1	0	3	-1					1	1																			
20061		伤害增加提高2%	0	3	1			1	1		1	501	1				200									1			-1	-1	0	3	-1					1	1																			
20062		伤害增加提高4%	0	3	1			1	1		1	501	1				400									1			-1	-1	0	3	-1					1	1																			
20063		伤害增加提高6%	0	3	1			1	1		1	501	1				600									1			-1	-1	0	3	-1					1	1																			
20064		伤害增加提高8%	0	3	1			1	1		1	501	1				800									1			-1	-1	0	3	-1					1	1																			
20065		伤害增加提高10%	0	3	1			1	1		1	501	1				1000									1			-1	-1	0	3	-1					1	1																			
20066		造成伤害的1%转换为生命	0	3	1			1	1		1	52	3	2002	2	100										1			-1	-1	0	3	-1					1	2																			
20067		造成伤害的2%转换为生命	0	3	1			1	1		1	52	3	2002	2	200										1			-1	-1	0	3	-1					1	2																			
20068		造成伤害的3%转换为生命	0	3	1			1	1		1	52	3	2002	2	300										1			-1	-1	0	3	-1					1	2																			
20069		造成伤害的4%转换为生命	0	3	1			1	1		1	52	3	2002	2	400										1			-1	-1	0	3	-1					1	2																			
20070		造成伤害的5%转换为生命	0	3	1			1	1		1	52	3	2002	2	500										1			-1	-1	0	3	-1					1	2																			
20071		能量上限+5	0	3	1			1	1		1	8	1				5									1			-1	-1	0	3	-1					1	1																			
20072		能量上限+10	0	3	1			1	1		1	8	1				10									1			-1	-1	0	3	-1					1	1																			
20073		能量上限+15	0	3	1			1	1		1	8	1				15									1			-1	-1	0	3	-1					1	1																			
20074		能量上限+20	0	3	1			1	1		1	8	1				20									1			-1	-1	0	3	-1					1	1																			
20075		能量上限+25	0	3	1			1	1		1	8	1				25									1			-1	-1	0	3	-1					1	1																			
20076		暴击伤害增加10%	0	3	1			1	1		1	509	1				1000									1			-1	-1	0	3	-1					1	1																			
20077		暴击伤害增加20%	0	3	1			1	1		1	509	1				2000									1			-1	-1	0	3	-1					1	1																			
20078		暴击伤害增加30%	0	3	1			1	1		1	509	1				3000									1			-1	-1	0	3	-1					1	1																			
20079		暴击伤害增加40%	0	3	1			1	1		1	509	1				4000									1			-1	-1	0	3	-1					1	1																			
20080		暴击伤害增加50%	0	3	1			1	1		1	509	1				5000									1			-1	-1	0	3	-1					1	1																			
20081		受到攻击的5%反弹给敌人	0	3	1			4	1		1	52	2	2003	2	-500		1	1							1			-1	-1	0	3	-1					1	2																			
20082		受到攻击的10%反弹给敌人	0	3	1			4	1		1	52	2	2003	2	-1000		1	1							1			-1	-1	0	3	-1					1	2																			
20083		受到攻击的15%反弹给敌人	0	3	1			4	1		1	52	2	2003	2	-1500		1	1							1			-1	-1	0	3	-1					1	2																			
20084		受到攻击的20%反弹给敌人	0	3	1			4	1		1	52	2	2003	2	-2000		1	1							1			-1	-1	0	3	-1					1	2																			
20085		受到攻击的25%反弹给敌人	0	3	1			4	1		1	52	2	2003	2	-2500		1	1							1			-1	-1	0	3	-1					1	2																			
20086		受到控制的时间缩短5%	0	3	1			1	1		1	512	1				500									1			-1	-1	0	3	-1					1	1																			
20087		受到控制的时间缩短10%	0	3	1			1	1		1	512	1				1000									1			-1	-1	0	3	-1					1	1																			
20088		受到控制的时间缩短15%	0	3	1			1	1		1	512	1				1500									1			-1	-1	0	3	-1					1	1																			
20089		受到控制的时间缩短20%	0	3	1			1	1		1	512	1				2000									1			-1	-1	0	3	-1					1	1																			
20090		受到控制的时间缩短25%	0	3	1			1	1		1	512	1				2500									1			-1	-1	0	3	-1					1	1																			
20091		减益时间缩短5%	0	3	1			1	1		1	514	1				500									1			-1	-1	0	3	-1					1	1																			
20092		减益时间缩短10%	0	3	1			1	1		1	514	1				1000									1			-1	-1	0	3	-1					1	1																			
20093		减益时间缩短15%	0	3	1			1	1		1	514	1				1500									1			-1	-1	0	3	-1					1	1																			
20094		减益时间缩短20%	0	3	1			1	1		1	514	1				2000									1			-1	-1	0	3	-1					1	1																			
20095		减益时间缩短25%	0	3	1			1	1		1	514	1				2500									1			-1	-1	0	3	-1					1	1																			
20096		控制的时间增加5%	0	3	1			1	1		1	511	1				500									1			-1	-1	0	3	-1					1	1																			
20097		控制的时间增加10%	0	3	1			1	1		1	511	1				1000									1			-1	-1	0	3	-1					1	1																			
20098		控制的时间增加15%	0	3	1			1	1		1	511	1				1500									1			-1	-1	0	3	-1					1	1																			
20099		控制的时间增加20%	0	3	1			1	1		1	511	1				2000									1			-1	-1	0	3	-1					1	1																			
20100		控制的时间增加25%	0	3	1			1	1		1	511	1				2500									1			-1	-1	0	3	-1					1	1																			
20101		增益buff时间延长5%	0	3	1			1	1		1	513	1				500									1			-1	-1	0	3	-1					1	1																			
20102		增益buff时间延长10%	0	3	1			1	1		1	513	1				1000									1			-1	-1	0	3	-1					1	1																			
20103		增益buff时间延长15%	0	3	1			1	1		1	513	1				1500									1			-1	-1	0	3	-1					1	1																			
20104		增益buff时间延长20%	0	3	1			1	1		1	513	1				2000									1			-1	-1	0	3	-1					1	1																			
20105		增益buff时间延长25%	0	3	1			1	1		1	513	1				2500									1			-1	-1	0	3	-1					1	1																			
20106		移动速度提升5%	0	3	1			1	1		1	1011	1				500									1			-1	-1	0	3	-1					1	1																			
20107		移动速度提升10%	0	3	1			1	1		1	1011	1				1000									1			-1	-1	0	3	-1					1	1																			
20108		移动速度提升15%	0	3	1			1	1		1	1011	1				1500									1			-1	-1	0	3	-1					1	1																			
20109		移动速度提升20%	0	3	1			1	1		1	1011	1				2000									1			-1	-1	0	3	-1					1	1																			
20110		移动速度提升25%	0	3	1			1	1		1	1011	1				2500									1			-1	-1	0	3	-1					1	1																			
30001		连击达到20，伤害增加5%	0	3	1			1	1		1	501	1				500									1			-1	-1	0	2	1					1	1	4		2004	2	19				1										
30002		连击达到30，伤害增加5%	0	3	1			1	1		1	501	1				500									1			-1	-1	0	2	1					1	1	4		2004	2	29				1										
30003		连击达到40，伤害增加5%	0	3	1			1	1		1	501	1				500									1			-1	-1	0	2	1					1	1	4		2004	2	39				1										
30004		连击达到50，伤害增加5%	0	3	1			1	1		1	501	1				500									1			-1	-1	0	2	1					1	1	4		2004	2	49				1										
30005		开局携带30%最大生命值的护盾	1	3	1			1	1		1	53	2	1	1	3000										1			0	1	0	3	-1					1	2																			
30006		每5秒恢复2%最大生命的护盾值	0	3	1			1	1		1	53	2	1	1	200										2			-1	-1	5000	2	1					1	2																			
30007		生命恢复效果提升50%	1	3	1			1	1		1	515	1				5000									1			-1	-1	0	3	-1					1	1																			
30008		每5秒恢复1%最大生命值	1	3	1			1	1		1	52	2	1	1	100										2			-1	-1	5000	2	1					1	2																			
30009		使用xx技能后，攻速提高10%，持续3秒，冷却10秒	1	3	1			1	1		1	6	2	6	1	1000										1			3000	-1	0	2	1					1	1																			
30010	英勇冲锋1	F技能伤害+20%	1	3	1			1	1		1	802	1				2000									1			-1	-1	0	3	-1					1	1																			
30011	英勇冲锋1	S技能伤害+20%	1	3	1			1	1		1	803	1				2000									1			-1	-1	0	3	-1					1	1																			
30012	英勇冲锋1	大招伤害提高20%	1	3	1			1	1		1	806	1				2000									1			-1	-1	0	3	-1					1	1																			
30013	英勇冲锋1	觉醒伤害提高20%	1	3	1			1	1		1	807	1				2000									1			-1	-1	0	3	-1					1	1																			
30014	英勇冲锋2-5	每次使用xx后获得5点觉醒值	0	3	1			1	1		1	51	1				5									1			0	1	0	3	-1					1	2																			
40001		击杀怪物时，会在敌人死亡位置释放爆炸效果，伤害周围的敌人	0	3	1			4	1	1	4										2280					1			0	1	0	3	1					1	2																			
50001		特殊buff，护盾吸收率	0	1	1			1	1		1	516	1				10000									1			-1	-1	0	2	-1					1	1																			
60001	角色自带buff—反转十香—2形态自动消耗能量	处于2形态时，每秒减少5点能量	0	3	1			1	1		1	56	1				-5									2			-1	-1	1000	3	-1					1	2	6							63	2										
60002	角色自带buff—反转十香—1形态自动恢复能量	处于1形态时，每2秒恢复3点能量	0	3	1			1	1		1	56	1				3									2			-1	-1	2000	3	-1					1	2	6							62	2										
60003	角色自带buff—全体精灵	每个精灵自带的登场有0%概率获得30%护盾值	1	1	1			1	1		1	53	3	1	1	3000										1			0	1	0	3	-1					1	2																			
60004	角色自带buff—四糸乃—寒颤变为冻结	自己受到冻结，持续3s	1	5	1			1	1		2									2						1			3000	-1	0	2	1					1	1																		1	icon/buff/4.png
60005	角色自带buff—四糸乃—寒颤	普通攻击命中时，有15%概率为目标施加寒颤效果，持续6s	0	2	1			4	1		2									31						1			6000	-1		4	5	1	5	10000	60004	1	1																			
60006	角色自带buff—四糸乃—寒颤减速	普通攻击命中时，有15%概率是目标移动速度-10%，持续6s。寒颤叠加到5次后触发冻结	0	2	1			4	1		1	11	3	11	1	-1000										1			6000	-1		4	5	1	5	10000	60004	1	1																		1	icon/buff/4.png
60007	角色自带buff—狂三—领域中攻击吸血	造成伤害时，吸血5%	0	3	1			1	1		1	52	3	2002	2	500										1			0	1	0	3	-1					1	2																			
60008	角色自带buff—四糸乃—能量满之后提升6005的概率	四糸乃能量值满之后，自动触发，提升6005的概率为100%，持续5s	0	3	1			1	1		3											6005	10000			1			5000	-1	0	2	1					1	1																			
60009	角色自带buff—四糸乃—极寒领域特效减速	极寒领域使碰到的敌人减少20%移动速度，持续1s	0	2	1			4	1		1	11	3	11	1	-2000										1			1000	-1	0	2	1					1	1																			
60010	角色自带buff—四糸乃—极寒领域特效减速	极寒领域使碰到的敌人附加减速状态，持续1s	0	2	1			4	1		2									40						1			1000	-1	0	2	1					1	1																			
60011	角色自带buff—四糸乃—寒颤附带减速状态	普通攻击命中时，有15%概率为目标施加减速状态，持续6s	0	2	1			4	1		2									40						1			6000	-1	0	4	5	1	5	10000	60004	1	1																			
60012	角色自带buff—四糸乃—通过技能释放技能	释放技能	0	3	1			1	1		4										30900					1			0	1	0	3	1					1	1																			
60013	角色自带buff—四糸乃—通过技能释放技能	释放技能	0	3	1			1	1		4										30903					1			0	1	0	3	1					1	1																			
60014	角色自带buff—琴里—燃烧掉血	为攻击对象附加相当于琴里攻击力10%的持续伤害，持续8s，可叠加5次	0	2	1			4	1		1	52	2	2	1	-1000										2			8000	-1	1000	4	5					1	2																			
60015	角色自带buff—琴里—燃烧状态	为攻击对象附加燃烧状态，持续8s	0	2	1			4	1		2									33						1			8000	-1	0	2	1					1	1																			
60016	角色自带buff—狂三—加自带buff的触发概率	增加buff6013-6014-6015概率为100%，持续10s	1	3	1			1	1		3											6013-6014-6015	10000			1			10000	-1	0	2	1					1	1																			
60017	角色自带buff—狂三—自动恢复能量	每秒恢复3点能量	0	3	1			1	1		1	56	1				3									2			-1	-1	1000	3	-1					1	2																			
60018	角色自带buff—狂三—领域中增加攻击力	生命值大于1时，有0的概率增加自己15%攻击力	0	3	1			1	1		1	2	2	2	1	1500										1			-1	-1	0	2	1					1	1																			
60019	角色自带buff—狂三—领域中每2秒恢复能量	每2秒有0的概率根据场上敌人数量恢复能量，每个敌人恢复1点能量	0	3	1			1	1		1	56	2	2013	2	10000										1			0	1	0	3	-1					1	2																			
60020	角色自带buff—真那—减少敌人雷抗性	能量值>1时触发，减少全体敌人的雷属性抗性，每点能量减少0.6%	0	3	1			6	10		1	705	2	56	2	-60										1			-1	-1	0	2	1					1	1																			
60021	角色自带buff—真那—附加感电状态	xx命中时，有0%概率为敌人附加感电状态持续5s	0	2	1			4	1		2									34						1			6000	-1	0	2	1					1	1																			
60022	角色自带buff—真那—改变敌人感电伤害值	xx命中时，有0%概率使敌人的感电伤害值增加相当于真那攻击力的30%，持续5s	0	2	1			4	1		1	2016	2	2	1	3000										1			6000	-1	0	2	1					1	1																			
60023	角色自带buff—全体精灵—感电额外伤害	攻击感电状态的敌人时，额外造成感电伤害值的伤害	0	3	1			4	1		1	52	3	2016		-10000										1			0	1	0	3	-1					1	2																			
60024	角色自带buff—耶俱矢—自动恢复能量	每秒恢复5点能量	0	3	1			1	1		1	56	1				5									2			-1	-1	1000	3	1					1	2																			
60025	角色自带buff—耶俱矢—易伤buff	xx命中时，有0%的概率减少敌人20%受伤减免，持续6s	0	2	1			4	1		1	502	1				-2000									1			6000	-1	0	2	1					1	1																			
60026	角色自带buff—耶俱矢—易伤buff	xx命中时，有0%的概率附加易伤状态，持续6s	0	2	1			4	1		2									41						1			6000	-1	0	2	1					1	1																			
60027	角色自带buff—夕弦—回能量	每秒恢复4点能量	0	3	1			1	1		1	56	1				4									2			-1	-1	1000	3	1					1	2																			
60028	角色自带buff—爱莲—减少能量	每秒减少3点能量	0	3	1			1	1		1	56	1				-1									2			-1	-1	1000	3	1					1	2																			
60029	角色自带buff—美久—减少能量	技能触发，每秒减少1点能量	0	3	1			1	1		1	56	1				-1									2			-1	-1	1000	3	1					1	2																			
60031	角色自带buff—美久—（假技能）通过技能释放技能	释放技能	0	3	1			1	1		4										100100					1			0	1	0	3	1					1	1																			
61001		十香专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61002		折纸专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61003		四糸乃专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61004		真辣专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61005		狂三专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61006		琴里专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	dun	up	body	1	dun	down	body	-1		
61007		耶俱矢专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
61008		夕弦专用护盾特效	1	3	1			1	1		1	2	1				1									1			-1	-1	0	1	1					1	1	4		53	2	1				1	effects_10101_skillE1	effects_skillE1	body	1						
70001		攻击+10%	0	1	1			1	1		1	1002	1				1000									1			-1	-1	0	3	-1					1	1																			
70002		防御+10%	0	1	1			1	1		1	1003	1				1000									1			-1	-1	0	3	-1					1	1																			
70003		暴击率+10%	0	1	1			1	1		1	507	1				1000									1			-1	-1	0	3	-1					1	1																			
70004		攻击速度+10%	0	1	1			1	1		1	1006	1				1000									1			-1	-1	0	3	-1					1	1																			
70005		受伤减免+10%	0	1	1			1	1		1	502	1				1000									1			-1	-1	0	3	-1					1	1																			
70006		闪避率+10%	0	1	1			1	1		1	506	1				1000									1			-1	-1	0	3	-1					1	1																			
70007		伤害加成+10%	0	1	1			1	1		1	501	1				1000									1			-1	-1	0	3	-1					1	1																			
70008		hp上限+10%	0	1	1			1	1		1	1001	1				1000									1			-1	-1	0	3	-1					1	1																			
70009		暴击伤害倍率+10%	0	1	1			1	1		1	509	1				1000									1			-1	-1	0	3	-1					1	1																			
70010		每2秒恢复1点觉醒值	0	1	1			1	1		1	51	1				1									2			-1	-1	2000	3	-1					1	2																			
70011		攻击-5%	0	1	1			1	1		1	1002	1				-500									1			-1	-1	0	3	-1					1	1																			
70012		防御-5%	0	1	1			1	1		1	1003	1				-500									1			-1	-1	0	3	-1					1	1																			
70013		暴击率-5%	0	1	1			1	1		1	507	1				-500									1			-1	-1	0	3	-1					1	1																			
70014		攻击速度-5%	0	1	1			1	1		1	1006	1				-500									1			-1	-1	0	3	-1					1	1																			
70015		受伤减免-5%	0	1	1			1	1		1	502	1				-500									1			-1	-1	0	3	-1					1	1																			
70016		闪避率-5%	0	1	1			1	1		1	506	1				-500									1			-1	-1	0	3	-1					1	1																			
70017		伤害加成-5%	0	1	1			1	1		1	501	1				-500									1			-1	-1	0	3	-1					1	1																			
70018		hp上限-5%	0	1	1			1	1		1	1001	1				-500									1			-1	-1	0	3	-1					1	1																			
70019		暴击伤害倍率-5%	0	1	1			1	1		1	509	1				-500									1			-1	-1	0	3	-1					1	1																			
70020		攻击-10%	0	1	1			1	1		1	1002	1				-1000									1			-1	-1	0	3	-1					1	1																			
70021		防御-10%	0	1	1			1	1		1	1003	1				-1000									1			-1	-1	0	3	-1					1	1																			
70022		暴击率-10%	0	1	1			1	1		1	507	1				-1000									1			-1	-1	0	3	-1					1	1																			
70023		攻击速度-10%	0	1	1			1	1		1	1006	1				-1000									1			-1	-1	0	3	-1					1	1																			
70024		受伤减免-10%	0	1	1			1	1		1	502	1				-1000									1			-1	-1	0	3	-1					1	1																			
70025		闪避率-10%	0	1	1			1	1		1	506	1				-1000									1			-1	-1	0	3	-1					1	1																			
70026		伤害加成-10%	0	1	1			1	1		1	501	1				-1000									1			-1	-1	0	3	-1					1	1																			
70027		hp上限-10%	0	1	1			1	1		1	1001	1				-1000									1			-1	-1	0	3	-1					1	1																			
70028		暴击伤害倍率-10%	0	1	1			1	1		1	509	1				-1000									1			-1	-1	0	3	-1					1	1																			
80001		每2秒减少1点sp	0	2	1			1	1		1	51	1				-1									2			-1	-1	2000	2	1					1	2																			
80002		每1秒减少0.5%最大生命值的护盾	0	2	1			1	1		1	53	2	1	1	-50										2			-1	-1	1000	2	1					1	2																			
80003		怪物死亡后自爆	0	3	1			1	1		4										901					1			0	1	0	3	-1					1	1																			
80004		玩家每10秒减少1%最大生命值	0	2	1			1	1		1	52	2	1	1	-100		2								2			-1	-1	10000	2	1					1	2																			
80005		怪物最大生命值+20%	0	1	1			1	1		1	1001	1				2000									1			-1	-1	0	2	1					1	1																			
80006		抵抗值上限+10%（生命值计算）	0	1	1			1	1		1	15	2	1	1	1000										1			-1	-1	0	2	1					1	1																			
80007		抵抗值+10%（生命值计算）	0	1	1			1	1		1	54	2	1	1	1000										1			-1	-1	0	2	1					1	1																			
80008		每10秒恢复1次霸体状态(怪物),恢复值为1%最大生命值	0	1	1			1	1		1	54	2	1	1	100										2			-1	-1	10000	2	1					1	2																			
80009		怪物移动速度+10%	0	1	1			1	1		1	1011	1				1000									1			-1	-1	0	2	1					1	1																			
80010		怪物攻击速度+10%	0	1	1			1	1		1	1006	1				1000									1			-1	-1	0	2	1					1	1																			
80011		怪物每10秒恢复1%生命值	0	1	1			1	1		1	52	2	1	1	100										2			-1	-1	10000	2	1					1	2																			
80012		普通攻击伤害+30%	0	1	1			1	1		1	801	1				3000									1			-1	-1	0	2	1					1	1																			
80013		分支伤害-30%	0	1	1			1	1		1	802	1				-3000									1			-1	-1	0	2	1					1	1																			
80014		大招伤害-30%	0	1	1			1	1		1	806	1				-3000									1			-1	-1	0	2	1					1	1																			
80015		出场技伤害-30%	0	1	1			1	1		1	804	1				-3000									1			-1	-1	0	2	1					1	1																			
80016		觉醒伤害-30%	0	1	1			1	1		1	807	1				-3000									1			-1	-1	0	2	1					1	1																			
80017		蓄力伤害-30%	0	1	1			1	1		1	803	1				-3000									1			-1	-1	0	2	1					1	1																			
80018		qte技伤害-30%	0	1	1			1	1		1	805	1				-3000									1			-1	-1	0	2	1					1	1																			
80019		普通攻击伤害-30%	0	1	1			1	1		1	801	1				-3000									1			-1	-1	0	2	1					1	1																			
80020		分支伤害+30%	0	1	1			1	1		1	802	1				3000									1			-1	-1	0	2	1					1	1																			
80021		大招伤害+30%	0	1	1			1	1		1	806	1				3000									1			-1	-1	0	2	1					1	1																			
80022		出场技伤害+30%	0	1	1			1	1		1	804	1				3000									1			-1	-1	0	2	1					1	1																			
80023		觉醒伤害+30%	0	1	1			1	1		1	807	1				3000									1			-1	-1	0	2	1					1	1																			
80024		蓄力伤害+30%	0	1	1			1	1		1	803	1				3000									1			-1	-1	0	2	1					1	1																			
80025		qte技伤害+30%	0	1	1			1	1		1	805	1				3000									1			-1	-1	0	2	1					1	1																			
80026		自爆预警	0	3	1			1	1		4										902					1			0	1	0	3	-1					1	1																			
80027		怪物霸体上限为20%生命值	0	3	1			1	1		1	15	2	1	1	2000										1			-1	-1	0	2	-1					1	1																			
80028		生命值低于70%时立即恢复100%生命值	0	3	1			1	1		1	52	2	1	1	10000										1			0	1	0	3	-1					1	2																			
81001		每1秒减少2点sp	0	2	1			1	1		1	51	1				-2									2			-1	-1	1000	2	1					1	2																			
81002		每1秒减少2%最大生命值的护盾	0	2	1			1	1		1	53	2	1	1	-200										2			-1	-1	1000	2	1					1	2																			
81003		怪物死亡后自爆,500%攻击力伤害	0	3	1			1	1		4										903					1			0	1	0	3	-1					1	1																			
81004		玩家每3秒减少1%最大生命值	0	2	1			1	1		1	52	2	1	1	-100		2								2			-1	-1	3000	2	1					1	2																			
81005		怪物最大生命值+30%	0	1	1			1	1		1	1001	1				3000									1			-1	-1	0	2	1					1	1																			
81006		抵抗值上限+10%（生命值计算）	0	1	1			1	1		1	15	2	1	1	1000										1			-1	-1	0	2	1					1	1																			
81007		抵抗值+10%（生命值计算）	0	1	1			1	1		1	54	2	1	1	1000										1			-1	-1	0	2	1					1	1																			
81008		每3秒恢复1次霸体状态(怪物),恢复值为1%最大生命值	0	1	1			1	1		1	54	2	1	1	100										2			-1	-1	3000	2	1					1	2																			
81009		怪物移动速度+10%	0	1	1			1	1		1	1011	1				1000									1			-1	-1	0	2	1					1	1																			
81010		怪物攻击速度+20%	0	1	1			1	1		1	1006	1				2000									1			-1	-1	0	2	1					1	1																			
81011		怪物每3秒恢复1%生命值	0	1	1			1	1		1	52	2	1	1	100										2			-1	-1	3000	2	1					1	2																			
90001	怪物词缀buff	每隔1s，使周围500范围内的敌人减少50%的攻击速度,持续1s	0	2	2	1	400	6	1		1	6	3	6	1	-3000										1			1000	-1	0	2	1					1	1																			
90002	怪物词缀buff	每隔1s，使周围500范围内的敌人减少30%的移动速度,持续1s	0	2	2	1	400	6	1		1	11	3	11	1	-5000										1			1000	-1	0	2	1					1	1																			
90003	怪物词缀buff	每隔16s，召唤导弹进行攻击	0	3	1			1	1		4										9020					1			0	1	0	3	-1					1	2																			
90004	怪物词缀buff	每隔15s，释放激光陷阱技能	0	3	1			1	1		4										9030					1			0	1	0	3	-1					1	2																			
90005	怪物词缀buff	每隔15s，释放电磁陷阱技能	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90006	怪物词缀buff	每隔18s，释放召唤电球技能	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90007	怪物词缀buff	每隔15s，静止敌人3s	0	6	1			6	1		2									3						1			3000	-1	0	2	1					1	1										effects_extra_seven	effects_extra_seven_02	root	1	effects_extra_seven	effects_extra_seven_01	root	-1		
90008	怪物词缀buff	每隔20s，释放光墙技能	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90009	怪物词缀buff	受到伤害时，反弹20%的伤害给攻击者	0	3	1			4	1		1	52	2	2003	2	-2000		1	1							1			0	1	0	3	-1					1	2										effects_extra_nine	effects_extra_nine_2	root	1						
90010	怪物词缀buff	每隔25s，获得50%最大生命值的护盾	0	3	1			1	1		1	53	2	1	1	5000										1			0	1	0	3	-1					1	2										effects_extra_ten	effects_extra_ten_1	root	1						
90011	怪物词缀buff	每隔16s，释放引力场技能	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90012	怪物词缀buff	每隔12s，为全体敌人释放邪恶净化，清除全部buff效果																																															effects_extra_twelve	effects_extra_twelve	root	1						
90013	怪物词缀buff	每隔25s，释放分身技能	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90014	怪物词缀buff	每隔30s，为全体友军（不含自己）施加霸体状态，持续10s	0	1	1			5	10		2									163						1			10000	-1	0	2	1					1	1																			
90015	怪物词缀buff	每隔18s，获得火盾效果	0	3	1			1	1		4															1			0	1	0	2	1					1	2																			
90016	怪物词缀buff	触碰到火盾的敌人每秒减少3%生命值，持续3s	0	3	1			3	1		1	52	3	1	1	-300		1	1							1			3000	-1	0	2	1					1	2																			
90017	怪物词缀buff	每隔6s，在脚下释放地狱火焰	0	3	1			1	1		4															1			0	1	0	2	1					1	2																			
90018	怪物词缀buff	受到攻击时，有10%概率发射电磁箭。被击飞或击倒是无法触发。	0	3	1			1	1		4															1			0	1	0	3	-1					1	2																			
90019	怪物词缀buff	生命值低于30%时，攻击提升100%	0	3	1			1	1		1	2	2	2	1	10000										1			-1	-1	0	2	1					1	1	4		2007	1	3000				1	effects_extra_eighteen	effects_extra_eighteen	root	1						
90020	怪物词缀buff	自己死亡时，强化全体友军（除boss类型外）20%的攻击力，效果可叠加5次。	0	3	1			5	10		1	2	2	2	1	2000										1			-1	-1	0	4	5					1	1																			
90021	怪物词缀buff	每隔1s。给500范围内的友军（除自己外）施加免死状态，持续1s																																																								
90022	怪物词缀buff	自己获得免死破坏状态，持续永久																																																								
90023	怪物词缀buff	增加20%移动速度。	0	3	1			1	1		1	11	2	11	1	2000										1			-1	-1	0	2	1					1	1																			
90024	怪物词缀buff	增加20%攻击速度。	0	3	1			1	1		1	6	2	6	1	2000										1			-1	-1	0	2	1					1	1																			
90025	怪物词缀buff	500范围内的敌人每秒减少1点能量值（sp、时间值等）	0	3	2	1	500	6	1		1	56	1				-1									1			0	1	0	3	1					1	2																			
90026	怪物词缀buff	500%的吸血	0	3	1			1	1		1	52	2	2002	2	50000										1			0	1	0	3	1					1	2										effects_extra_nineteen	effects_extra_nineteen	root	1						
90027	怪物词缀buff	死亡时，给500范围内的友军增加10%生命值的护盾效果	0	3	2	1	500	5	10		1	53	2	3	1	1000										1			0	1	0	3	1					1	2																			
90028	怪物词缀buff	攻击时对敌人造成持续伤害，每秒减少3%生命值，持续4s	0	2	1			3	1		1	52	3	1	1	-300										2			4000	-1	1000	2	1					1	2																			
90029	怪物词缀buff	生命值低于30%时，每秒回复3%的血量	0	3	1			1	1		1	52	2	1	1	300										2			-1	-1	1000	2	1					1	2	4		2007	1	3000				2										
90030	怪物词缀buff	每秒增加5%攻击力，最多叠加20次	0	3	1			1	1		1	2	2	2	1	500										1			-1	-1	0	4	20					1	1																			
90031	怪物词缀buff	死亡时，对400范围内的敌人造成200%攻击力的伤害	0	3	2	1	400	6	1		1	52	2	2	1	-20000		1	1							1			0	1	0	3	1					1	2																			
100001	决斗模式buff	永久霸体	1	3	1			1	1		2									163						1			-1	-1	0	2	1					1	1																			
