	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
201810	101010218	1	{}		100	工作人员	“没有父母哦，他只是从孤儿院里逃了出来。”	1	{}				{}				201811													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201811	101010218	1	{}		100		孤儿院……我的心像是被刺了一下。	1	{}				{}				201812													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201812	101010218	1	{}		100	1	“既然如此，他才更需要帮助吧？”	1	{}				{}				201813													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201813	101010218	1	{}		100	工作人员	“好吧，那就麻烦你了，这边正好忙不过来呢。”	1	{}				{}				201814													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201814	101010218	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"sign":[110]}	{}	{}	{}
201901	101010219	1	{}		100			1	{}				{}				201902	4												{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
201902	101010219	1	{}		100		在车站工作人员那里得到了男孩的详细资料后，我打算就近寻找看看。	1	{}				{}				201903													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201903	101010219	1	{}		100	1	“虽然已经十二岁，但毕竟只是小孩，去玩偶店的话……”	1	{}				{}				201904													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201904	101010219	1	{}		100			1	{}				{}				201905													{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
201905	101010219	1	{}		100		哇！这里面的小孩还真不少啊。	1	{}				{}				201906													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201906	101010219	1	{}		100	1	“怎么办啊？十二三岁的男孩就有七八个……”	1	{}				{}				201907													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201907	101010219	1	{}		100			1	{}				{}				201908													{}											{}											{}							scene/bg/bg_wanoudian1.png			1.5	-1	{"x":284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
201908	101010219	1	{}		100	1	“嗯，那边的孩子好像……”	1	{}				{}				201909													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201909	101010219	1	{}		100		在看到我手里的寻人资料后，有个孩子第一时间就像兔子一般窜了出去。	1	{}				{}				201910													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201910	101010219	1	{}		100	1	“站住！”	1	{}				{}				201911													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}							{}	{}	{}	{}
201911	101010219	1	{}		100			1	{}				{}				201912													{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
201912	101010219	1	{}		100		当我推开店门追出去时，已经失去了他的踪影。	1	{}				{}				201913													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
201913	101010219	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"sign":[111]}	{}	{}	{}
202001	101010201	1	{}		100			1	{}				{}				202002	4												{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202002	101010201	1	{}		100		整整一个上午，十香都在与宠物们玩闹。	1	{}				{}				202003													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202003	101010201	1	{}		100			1	{}				{}				202004													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202004	101010201	1	{}		100		当我们离开宠物店时，已经到了午饭时间。	1	{}				{}				202005													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202005	101010201	1	{}		100		豪华餐厅看起来是个不错的选择，但是我带的钱不够……	1	{}				{}				202006													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}							{}	{}	{}	{}
202006	101010201	1	{}		100		就在我犹豫不决的时候，耳机里传来了琴里的声音。	1	{}				{}				202007													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202007	101010201	1	{}		100	五河琴里	“午饭就在豪华餐厅进行吧。”	1	{}				{}				202008													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202008	101010201	1	{}		100	1	“哎？！我今天带的钱可不多啊！”	1	{}				{}				202009													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}							{}	{}	{}	{}
202009	101010201	1	{}		100	五河琴里	“点稍微普通的菜式，应该够了吧。”	1	{}				{}				202010													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}	sound/bgm/date_002.mp3																{}	{}					{}	{}							{}	{}	{}	{}
202010	101010201	1	{}		100	1	“什么够了啊！把钱花光了，以后怎么办啊？”	1	{}				{}				202011													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202011	101010201	1	{}		100	五河琴里	“这种小事别在意了，既然是约会，去豪华餐厅不是笨蛋哥哥应该做的吗？”	1	{}				{}				202012													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202012	101010201	1	{}		100	1	“话虽然这么说，但是……”	1	{}				{}				202013													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202013	101010201	1	{}		100	五河琴里	“好了，别发牢骚了，完成任务后我会补偿你的！”	1	{}				{}				202014													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202014	101010201	1	{}		100		哎……没办法，既然是作战，那么只能听琴里的指挥了。	1	{}				{}				202015													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202015	101010201	1	{}		100			1	{}				{}				202016													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202016	101010201	1	{}		100		拉着十香走进餐厅，我们找了靠窗的座位坐下。	1	{}				{}				202017													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202017	101010201	1	{}		100			1	{}				{}				202018													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.5	-1	{"x":-284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202018	101010201	1	{}		100	服务生	“请问两位要点什么呢？”	1	{}				{}				202019													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202019	101010201	1	{}		100		十香四处打量着餐厅的装饰，就像婴儿般好奇。	1	{}				{}				202020													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202020	101010201	1	{}		100		拿起桌上的菜单，我看到最近海鲜套餐在打折中，于是快速做出了就决定。	1	{}				{}				202021													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202021	101010201	1	{}		100		与十香闲聊了几句，不一会儿，两份热气腾腾的海鲜套餐端了上来。	1	{}				{}				202022													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202022	101010201	1	{}		100		1	1	{}				{}				202023													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202023	101010201	1	{}		100	夜刀神十香	“呜哇，好香啊！这是什么！”	1	{}				{}				202024				10104	3		id_pose_10		id_look_11			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202024	101010201	1	{}		100		十香一边将盘里的天妇罗塞进嘴里，一边指着香气诱人的鳕鱼汤，用含糊的语调问我。	1	{}				{}				202025				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202025	101010201	1	{}		100	1	“十香，你知道这么鲜嫩的鳕鱼是怎么制作出来的吗？”	1	{}				{}				202026				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202026	101010201	1	{}		100	夜刀神十香	“哎？不知道呢……”	1	{}				{}				202027				1			id_normal_13						{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}							{}	{}	{}	{}
202027	101010201	1	{}		100	1	“是将刚刚剖开，还在活蹦乱跳的鳕鱼丢进滚烫的热水里哦。”	1	{}				{}				202028				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202028	101010201	1	{}		100		十香……会觉得害怕吗？	1	{}				{}				202029				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202029	101010201	1	{}		100	夜刀神十香	“姆……总之鱼的价值就只是食物而已啊。”	1	{}				{}				202030				1			id_normal_6						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202030	101010201	1	{}		100		听到她的话，我差点把刚刚喝下去的鱼汤喷出来。	1	{}				{}				202031				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202031	101010201	1	{}		100		1	1	{}				{}				202032						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202032	101010201	1	{}		100		原来在十香眼里，只要是能吃的活物，也会被算作食物的范畴！	1	{}				{}				202033													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202033	101010201	1	{}		100		不愧是精灵的想法啊……我深深叹了口气。	1	{}				{}				202034													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202034	101010201	1			100		1	1	{}				{}																	{}											{}											{}												{}	sound/bgm/date_009.mp3											1	1				{}	{}					{}	{}							{"sign":[112,113],"items":{543106:1}}	{}	{}	{}
202101	101010202	1	{}		100			1	{}				{}				202102	4												{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202102	101010202	1	{}		100		整整一个上午，十香都在与宠物们玩闹。	1	{}				{}				202103													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202103	101010202	1	{}		100		当我们离开宠物店时，已经到了午饭时间。	1	{}				{}				202104													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202104	101010202	1	{}		100			1	{}				{}				202105													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202105	101010202	1	{}		100		而距离最近的吃饭去处竟然是豪华餐厅……	1	{}				{}				202106													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202106	101010202	1	{}		100		就在我犹豫不决的时候，耳机里传来了琴里的声音。	1	{}				{}				202107													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202107	101010202	1	{}		100	五河琴里	“午饭就在豪华餐进行吧。”	1	{}				{}				202108													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202108	101010202	1	{}		100	1	“不是吧？！我今天带的钱可不多啊！”	1	{}				{}				202109													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202109	101010202	1	{}		100	五河琴里	“点稍微普通的菜式，应该够了吧。”	1	{}				{}				202110													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202110	101010202	1	{}		100	1	“什么够了啊！把钱花光了，以后怎么办啊。”	1	{}				{}				202111													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202111	101010202	1	{}		100	五河琴里	“这种小事别在意了，既然在宠物店作战无果，去豪华餐厅继续调查不是笨蛋哥哥应该做的吗？”	1	{}				{}				202112													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202112	101010202	1	{}		100	1	“话虽然这么说，但是……”	1	{}				{}				202113													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202113	101010202	1	{}		100	五河琴里	“好了，别发牢骚了，完成任务后我会补偿你的！”	1	{}				{}				202114													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202114	101010202	1	{}		100		哎……没办法，既然是作战，那么只能听琴里的指挥了。	1	{}				{}				202115													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202115	101010202	1	{}		100			1	{}				{}				202116													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.3	-1	{}	sound/bgm/date_009.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
202116	101010202	1	{}		100		拉着十香走进餐厅，我们找了靠窗的座位坐下。	1	{}				{}				202117													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202117	101010202	1	{}		100			1	{}				{}				202118													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.5	-1	{"x":-284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202118	101010202	1	{}		100	服务生	“请问两位要点什么呢？”	1	{}				{}				202119													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202119	101010202	1	{}		100		十香四处打量着餐厅的装饰，就像婴儿般好奇。	1	{}				{}				202120													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202120	101010202	1	{}		100		拿起桌上的菜单，我看到最近海鲜套餐在打折中，于是快速做出了就决定。	1	{}				{}				202121													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202121	101010202	1	{}		100		与十香闲聊了几句，不一会儿，两份热气腾腾的海鲜套餐端了上来。	1	{}				{}				202122													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202122	101010202	1	{}		100	夜刀神十香	“呜哇，好香啊！”	1	{}				{}				202123													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202123	101010202	1	{}		100		因为实在是饿了，我和十香迅速解决了食物，但十香还是意犹未尽的样子。	1	{}				{}				202124													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202124	101010202	1	{}		100		没办法，我只好再点了一份餐后点心。	1	{}				{}				202125													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202125	101010202	1	{}		100		当十香拿起冰淇淋时，我想起之前在饮品店学到的技巧。	1	{}				{}				202126													{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}							{}	{}	{}	{}
202126	101010202	1	{}		100		将色彩缤纷的巧克力豆撒在普普通通的牛奶冰淇淋上，瞬间就让它看起来豪华了不少。	1	{}				{}				202127													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202127	101010202	1	{}		100		1	1	{}				{}				202128													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202128	101010202	1	{}		100	夜刀神十香	“呜啊！真不愧是%s，看起来美味多了。”	1	{}				{}				202129				10104	3		id_pose_12		id_look_4			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202129	101010202	1	{}		100		十香开心地拍拍手，随口几口将冰淇淋吃了个精光。	1	{}				{}				202130													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202130	101010202	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"sign":[112,113],"items":{543106:1}}	{}	{}	{}
202201	101010203	1	{}		100			1	{}				{}				202202	4												{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202202	101010203	1	{}		100		整整一个上午，十香都在与宠物们玩闹。	1	{}				{}				202203													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202203	101010203	1	{}		100		当我们离开宠物店时，已经到了午饭时间。	1	{}				{}				202204													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202204	101010203	1	{}		100			1	{}				{}				202205													{}											{}											{}							scene/bg/bg_meishijie.png	1		1.3	-1	{}	sound/bgm/date_008.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
202205	101010203	1	{}		100		而距离最近的吃饭去处竟然是豪华餐厅……	1	{}				{}				202206													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202206	101010203	1	{}		100		就在我犹豫不决的时候，耳机里传来了琴里的声音。	1	{}				{}				202207													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202207	101010203	1	{}		100	五河琴里	“午饭就在豪华餐进行吧。”	1	{}				{}				202208													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202208	101010203	1	{}		100	1	“不是吧？！我今天带的钱可不多啊！”	1	{}				{}				202209													{}											{}											{}		0.1-7-9-5-0.024	对话框									{}																	{}	{}					{}	{}							{}	{}	{}	{}
202209	101010203	1	{}		100	五河琴里	“点稍微普通的菜式，应该够了吧。”	1	{}				{}				202210													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202210	101010203	1	{}		100	1	“什么够了啊！把钱花光了，以后怎么办啊。”	1	{}				{}				202211													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202211	101010203	1	{}		100	五河琴里	“这种小事别在意了，既然是约会，去豪华餐厅不是笨蛋哥哥应该做的吗？”	1	{}				{}				202212													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202212	101010203	1	{}		100	1	“话虽然这么说，但是……”	1	{}				{}				202213													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202213	101010203	1	{}		100	五河琴里	“好了，别发牢骚了，完成任务后我会补偿你的！”	1	{}				{}				202214													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
202214	101010203	1	{}		100		哎……没办法，既然是作战，那么只能听琴里的指挥了。	1	{}				{}				202215													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202215	101010203	1	{}		100			1	{}				{}				202216													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202216	101010203	1	{}		100		拉着十香走进餐厅，我们找了靠窗的座位坐下。	1	{}				{}				202217													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202217	101010203	1	{}		100			1	{}				{}				202218													{}											{}											{}							scene/bg/bg_xicanting.png	1		1.5	-1	{"x":-284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202218	101010203	1	{}		100	服务生	“请问两位要点什么呢？”	1	{}				{}				202219													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202219	101010203	1	{}		100		十香四处打量着餐厅的装饰，就像婴儿般好奇。	1	{}				{}				202220													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}							{}	{}	{}	{}
202220	101010203	1	{}		100		拿起桌上的菜单，我看到最近海鲜套餐在打折中，于是快速做出了就决定。	1	{}				{}				202221													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202221	101010203	1	{}		100	服务生	“两份海鲜套餐是吗？好的。要提醒一下，因为客人比较多，今天上菜会比较慢哦。”	1	{}				{}				202222													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202222	101010203	1	{}		100		1	1	{}				{}				202223													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
202223	101010203	1	{}		100	夜刀神十香	“姆？可是我已经很饿了，能不能先做我们的？”	1	{}				{}				202224				10104	3		id_pose_10		id_look_11			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202224	101010203	1	{}		100	服务生	“这位小姐，不好意思哦，前面的客人也很着急，所以请耐心等待吧。”	1	{}				{}				202225				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202225	101010203	1	{}		100	夜刀神十香	“姆……”	1	{}				{}				202226				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202226	101010203	1	{}		100		十香就像泄了气的皮球，看上去很不开心。	1	{}				{}				202227				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202227	101010203	1	{}		100		看来，是时候把面包拿出来了。	1	{}				{}				202228				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202228	101010203	1	{}		100		我拿出纸袋放在桌上，里面黄豆粉面包的香气掩饰不住地散发了出来。	1	{}				{}				202229				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202229	101010203	1	{}		100	夜刀神十香	“这个是！！”	1	{}				{}				202230				1			id_normal_2						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202230	101010203	1	{}		100	1	“是黄豆粉面包哦，而且是双层夹心的新品。”	1	{}				{}				202231				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202231	101010203	1	{}		100	夜刀神十香	“呜哇！%s，我可以吃吗？！”	1	{}				{}				202232				1			id_pose_12		id_look_4				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202232	101010203	1	{}		100	1	“可以哦。”	1	{}				{}				202233				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202233	101010203	1	{}		100	夜刀神十香	“真的、真的可以吃吗？”	1	{}				{}				202234				1									{}	1.6										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202234	101010203	1	{}		100	1	“真的、真的、真的可以吃。”	1	{}				{}				202235				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202235	101010203	1	{}		100	夜刀神十香	“呜哇！%s是世界上最好的人！”	1	{}				{}				202236				1			id_pose_12		id_look_3				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202236	101010203	1	{}		100		十香打开纸袋，大口地开始吃面包，水晶般的大眼睛里全是幸福的笑意。	1	{}				{}				202237				1			id_normal_6						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
202237	101010203	1			100		看着她开心的样子，我也十分满足地笑了。	1	{}				{}										3							{}											{}											{}												{}																	{}	{}					{}	{}							{"quality":{101101:1,101102:3,101103:-1},"sign":[112,113],"items":{543106:1}}	{}	{}	{}
																																																																																																		
301101	101010311	1	{}		100			1	{}				{}				301102	4												{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{"x":0,"y":0}	sound/bgm/date_005.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
301102	101010311	1	{}		100		吃过午饭后还没来得及休息，我就被琴里催着继续寻找线索。	1	{}				{}				301103													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301103	101010311	1	{}		100		没办法，按照之前的思路，我开始继续排查周围的建筑。	1	{}				{}				301104													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301104	101010311	1	{}		100			1	{}				{}				301105													{}											{}											{}							scene/bg/bg_shangchang.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
301105	101010311	1	{}		100		刚刚走到商场入口前，迎面走来一个行色匆匆的身影……那不是殿町吗？	1	{}				{}				301106													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301106	101010311	1	{}		100			1	{}				{}				301107													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
301107	101010311	1	{}		100	殿町宏人	“哟！%s君！你也来购物？”	1	{}				{}				301108													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301108	101010311	1	{}		100	殿町宏人	“哇呀！这位是谁啊！怎么会有这么漂亮的女孩！”	1	{}				{}				301109													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301109	101010311	1	{}		100	殿町宏人	“什么啊！%s君你在和这么漂亮的女孩约会？！没天理啊！”	1	{}				{}				301110													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301110	101010311	1	{}		100		不等我说话，殿町就发出了夺命三连问，这到底是什么语速啊！	1	{}				{}				301111													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301111	101010311	1	{}		100	1	“那、那个，说来话长……”	1	{}				{}				301112													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301112	101010311	1	{}		100	殿町宏人	“算了！下次再问你，我要赶快回家一趟。”	1	{}				{}				301113													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301113	101010311	1	{}		100	殿町宏人	“对了，因为有急事，双人4D电影票就送给你了！”	1	{}				{}				301114													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301114	101010311	1	{}		100			1	{}				{}				301115													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
301115	101010311	1	{}		100		殿町把电影票塞进我的手里，然后宛如旋风般地小跑着消失在人群中。	1	{}				{}				301116													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301116	101010311	1	{}		100		虽然不知道殿町为什么要买双人票，但已经不重要了。	1	{}				{}				301117													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301117	101010311	1			100		以声效和真实体验著称的4D电影，说不定会让十香恐惧吧？	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{"sign":[202]}	{}	{}	{}
301201	101010312	1	{}		100			1	{}				{}				301202	4												{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
301202	101010312	1	{}		100		现金已经所剩不多，接下来只能去游乐园这种花费很便宜的地方调查了。	1	{}				{}				301203													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301203	101010312	1	{}		100		周末的游乐园，完全就是孩子的天堂啊。	1	{}				{}				301205													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
301205	101010312	1	{}		100		走了没几步，我注意到亚衣、美衣、麻衣正坐在不远处的长凳上休息。	1	{}				{}				100301205													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100301205	101010312	1	{}		100			1	{}				{}				301206													{}											{}											{}							scene/bg/bg_youlechang.png	1		1.5	-1	{"x":284,"y":-160}																	{}	{}					{}	{}							{}	{}	{}	{}
