特效ID	技能ID	技能名字	伤害类型（1普攻、2技能1、3技能2、4出场、6大招、7觉醒）	1=物理伤害,2=冰属性,3=火属性,4=风属性,5=电属性,6=毒素,7=光属性,8=暗属性,9=精神	是否计算伤害命中	伤害比例	觉醒值获得	角色能量获得	命中停顿	命中音效（配置hitMusic中的ID）	不需要命中的触发BUFF	伤害触发触发BUFF	受击角色抖动次数	屏幕震动选择（0或不填为无视是否命中都会抖动。1为命中抖动）	屏幕震动(0不抖动1三角抖动2缩放)	屏幕抖动强度	屏幕抖动时间（三角抖动：单次移动的时间。缩放抖动：单次收缩的时间。单位毫秒）	抖动次数	震屏缓动（1开启缓动）	模糊时间（毫秒）	模糊程度（0为关闭，强度范围1~100）	非倒地状态是否受击	倒地目标是否受击	可否伤害倒地目标	buffer事件触发	位移方式（1角度更替位移，2平移叠加位移）	浮空角度	X轴平移距离	浮空平移速度	命中僵直	暴击率	暴击伤害	穿透率	对普通怪伤害加成	对精英怪伤害加成	对boss怪伤害加成	对人类伤害加成	对能量怪伤害加成	对机械怪伤害加成	对精灵伤害加成	命中率	目标减伤率	目标抗暴率	目标格挡率
7083	100510	琴里-技能2-跳跃重劈-2级-跳劈	3	3	1	1.5			90	1050103			0	1	2	18	40	3				1	0	1	0	1	85		300	-5000														
7084	100510	琴里-技能2-跳跃重劈-2级-火浪	3	3	1	0.5			20	1050104			1	1	1	13	30	2				1	0	1	0	1	85		450	-5000														
7085	100510	琴里-技能2-跳跃重劈-2级-地面火焰	3	3	1	0.45			0	1020106			1	1	1	6	30	2				0	0	1	0					-5000														
7086	100510	琴里-技能2-跳跃重劈-3级-跳劈	3	3	1	1.5			90	1050103			0	1	2	20	40	4				1	0	1	0	1	85		300	-5000														
7087	100510	琴里-技能2-跳跃重劈-3级-火浪	3	3	1	0.6			20	1050104			1	1	1	13	30	2				1	0	1	0	1	85		450	-5000														
7088	100510	琴里-技能2-跳跃重劈-3级-地面火焰	3	3	1	0.45			0	1020106			1	1	1	6	30	2				0	0	1	0					-5000														
7100	100510	琴里-技能2-必杀-0级-踩	3	3	1	0.3			60	1050106			1	0	2	15	40	2				1	0	1	0	1	85		650	-5000														
7101	100510	琴里-技能2-必杀-0级-斩	3	3	1	1			30	1050102			1	1	1	15	30	2				1	0	1	0	2		30	300	-5000														
7102	100510	琴里-技能2-必杀-0级-劈1	3	1	1	1.5			90	1050103			0	0	1	18	30	2				1	0	1	0	1	80		600	-5000														
7103	100510	琴里-技能2-必杀-1级-踩	3	1	1	0.5			60	1050106			1	0	2	15	30	2				1	0	1	0	1	85		650	-5000														
7104	100510	琴里-技能2-必杀-1级-斩	3	1	1	0.8			30	1050102			1	1	1	15	30	2				1	0	1	0	2		30	300	-5000														
7105	100510	琴里-技能2-必杀-1级-劈1	3	1	1	0.9			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7106	100510	琴里-技能2-必杀-1级-劈2	3	1	1	1			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7107	100510	琴里-技能2-必杀-1级-劈3	3	1	1	1.6			90	1050103			0	0	2	20	40	4	1			1	0	1	0	1	80		600	-5000														
7108	100510	琴里-技能2-必杀-2级-踩	3	1	1	0.5			60	1050106			1	0	2	15	30	2				1	0	1	0	1	85		650	-5000														
7109	100510	琴里-技能2-必杀-2级-斩	3	1	1	0.8			30	1050102			1	1	1	15	30	2				1	0	1	0	2		30	300	-5000														
7110	100510	琴里-技能2-必杀-2级-劈1	3	1	1	0.9			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7111	100510	琴里-技能2-必杀-2级-劈2	3	1	1	1			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7112	100510	琴里-技能2-必杀-2级-劈3	3	1	1	1.2			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7113	100510	琴里-技能2-必杀-2级-劈4	3	1	1	1.4			60	1050103			1	1	1	14	30	2				1	0	1	0	1	80		300	-5000														
7114	100510	琴里-技能2-必杀-2级-劈5	3	1	1	1.9			90	1050103			0	0	2	20	30	4	1			1	0	1	0	1	80		600	-5000														
7115	100510	琴里-技能2-必杀-3级-踩	3	1	1	0.5			60	1050106			1	0	2	15	30	2				1	0	1	0	1	85		650	-5000														
7116	100510	琴里-技能2-必杀-3级-斩	3	1	1	0.8			30	1050102			1	1	1	15	30	2				1	0	1	0	2		30	300	-5000														
7117	100510	琴里-技能2-必杀-3级-劈1	3	1	1	0.9			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7118	100510	琴里-技能2-必杀-3级-劈2	3	1	1	1			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7119	100510	琴里-技能2-必杀-3级-劈3	3	1	1	1.4			60	1050103			1	1	1	16	30	2				1	0	1	0	1	80		300	-5000														
7120	100510	琴里-技能2-必杀-3级-劈4	3	1	1	1.6			60	1050103			1	1	1	14	30	2				1	0	1	0	1	80		300	-5000														
7121	100510	琴里-技能2-必杀-3级-劈5	3	1	1	2			90	1050103			0	0	2	22	30	4				1	0	1	0	1	80		600	-5000														
7160	100510	琴里—火焰爆炸	1	3	1	1			60	1050105			1	1	1	12	30	2				1	0	1	0	1	85		600	-5000														
7201	100510	琴里-炮—普攻1	1	3	1	1			60	1050110			1	0	1	15	30	2				1	0	1	0	2		55	400	-3000														
7202	100510	琴里-炮—普攻2	1	3	1	1			60	1050110			1	0	1	15	30	2				1	0	1	0	2		70	400	-3000														
7203	100510	琴里-炮—普攻3	1	3	1	1			60	1050111			1	0	2	16	30	2		1000	40	1	0	1	0	1	85		650	-3000														
7204	100510	琴里-炮—普攻爆炸1	1	3	1	1			60	1050104			1	1	1	16	30	2		1000	40	1	0	1	0	1	85		650	-3000														
7205	100510	琴里-炮—普攻爆炸2	1	3	1	1			60	1050105			1	1	1	16	30	2		1000	40	1	0	1	0	1	85		650	-3000														
7211	100510	琴里-炮-技能1-火焰光束-0级	2	3	1	2			30	1050107			1	1	1	15	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7212	100510	琴里-炮-技能1-火焰光束-1级	2	3	1	0.75			30	1050107			1	1	1	15	30	2		1000	40	1	0	1	0	1	80		300	-3000														
7213	100510	琴里-炮-技能1-火焰光束-2级	2	3	1	0.5			30	1050107			1	1	1	15	30	2		1000	40	1	0	1	0	1	80		300	-3000														
7214	100510	琴里-炮-技能1-火焰光束-3级	2	3	1	0.4			30	1050107			1	1	1	15	30	2		1000	40	1	0	1	0	1	80		150	-3000														
7215	100510	琴里-炮-技能1-火焰光束-3级-爆炸	2	3	1	1.3			90	1050105			1	0	2	16	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7231	100510	琴里-炮-技能2-聚能火球-0级	3	3	1	0.3			30	1050110			1	1	1	15	30	2		1000	40	1	0	1	0	2		30	100	-3000														
7232	100510	琴里-炮-技能2-聚能火球-0级-循环	3	3	1	0.5			0	1050109			1	1	1	6	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7233	100510	琴里-炮-技能2-聚能火球-0级-爆炸	3	3	1	0.7			90	1050104			1	0	2	12	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7234	100510	琴里-炮-技能2-聚能火球-1级	3	3	1	0.3			30	1050110			1	1	1	15	30	2		1000	40	1	0	1	0	2		30	100	-3000														
7235	100510	琴里-炮-技能2-聚能火球-1级-循环	3	3	1	0.5			0	1050109			1	1	1	6	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7236	100510	琴里-炮-技能2-聚能火球-1级-爆炸	3	3	1	0.7			90	1050104			1	0	2	12	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7237	100510	琴里-炮-技能2-聚能火球-2级	3	3	1	0.3			30	1050110			1	1	1	15	30	2		1000	40	1	0	1	0	2		30	100	-3000														
7238	100510	琴里-炮-技能2-聚能火球-2级-循环	3	3	1	0.5			0	1050109			1	1	1	6	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7239	100510	琴里-炮-技能2-聚能火球-2级-爆炸	3	3	1	0.7			90	1050104			1	0	2	12	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7240	100510	琴里-炮-技能2-聚能火球-3级	3	3	1	0.3			30	1050110			1	1	1	15	30	2		1000	40	1	0	1	0	2		30	100	-3000														
7241	100510	琴里-炮-技能2-聚能火球-3级-循环	3	3	1	0.5			0	1050109			1	1	1	6	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7242	100510	琴里-炮-技能2-聚能火球-3级-爆炸	3	3	1	0.7			90	1050104			1	0	2	14	30	2		1000	40	1	0	1	0	1	80		600	-3000														
7250	100510	琴里-炮-必杀-0级-发射	6	3	1	3			60	1050111			1	0	2	18	30	4	1	1000	40	1	0	1	0	1	80		500	-3000														
7251	100510	琴里-炮-必杀-1级-发射	6	3	1	2.7			60	1050111			1	0	2	18	30	4	1	1000	40	1	0	1	0	1	80		500	-3000														
7252	100510	琴里-炮-必杀-1级-地面火焰	6	3	1	0.1			0	1020106			1	1	1	8	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7253	100510	琴里-炮-必杀-2级-发射	6	3	1	2.9			60	1050111			1	0	2	18	30	4	1	1000	40	1	0	1	0	1	80		500	-3000														
7254	100510	琴里-炮-必杀-2级-地面火焰	6	3	1	0.1			0	1020106			1	1	1	8	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7255	100510	琴里-炮-必杀-3级-发射1	6	3	1	1.5			60	1050111			1	0	2	18	30	4	1	1000	40	1	0	1	0	1	80		300	-3000														
7256	100510	琴里-炮-必杀-3级-发射2	6	3	1	2			90	1050111			1	0	2	18	30	4	1	1000	40	1	0	1	0	1	80		500	-3000														
7257	100510	琴里-炮-必杀-3级-地面火焰	6	3	1	0.1			0	1020106			1	1	1	8	30	2		1000	40	0	0	1	0	2		30	100	-3000														
7260	100510	琴里-炮-觉醒-恢复变身	7	3	1	1			50	1050104			1	1	1	16	30	2		1000	40	1	0	1	0	1	80		600	-3000														
8001	100410	狂三-普攻1	1	8	1	0.6	2		30	1040101			1	1	1	14	30	2				1	0	1	0	2		20	400	-2000														
8002	100410	狂三-普攻2	1	8	1	0.7	2		30	1040101			1	1	1	16	30	2				1	0	1	0	2		30	400	-2000														
8003	100410	狂三-普攻3	1	8	1	0.8	2		60	1040102			1	1	2	13	30	2				1	0	1	0	1	80		680	-2000														
8004	100410	狂三-普攻4	1	8	1	0.8	2		20	1040101			1	1	1	15	30	2				1	0	1	0	2		30	400	-2000														
8005	100410	狂三-普攻4	1	8	1	0.7	2		50	1040102			1	1	1	15	30	2				1	0	1	0	1	80		730	-2000														
8006	100410	狂三-普攻5	1	8	1	1.6	3		60	1040105			1	1	2	16	30	2		1000	40	1	0	1	0	1	85		730	-2000														
8020	100420	狂三-出场技-全屏伤害	4	8	0	0.35			0	1040101		10570911-10570921-10570931-10570941-10570951	1	0	1	10	30	2				0	0	0	0	0			800	-2000														
8021	100420	狂三-出场技-触发buff加攻	4	8	0	0			0	1040101	402		1	0	1	10	30	2				0	0	0	0	1			800	-2000														
8022	100420	狂三-出场技-触发buff召唤残影	4	8	0	0			0	1040101			1	0	1	10	30	2				0	0	0	0	1			800	-2000														
8023	100410	狂三-出场技-残影攻击	4	8	1	0.5			60	1040101			1	1	1	12	30	2				1	0	1	0	2		10	400	-2000														
8030	100430	狂三-觉醒	7	8	1	0.9			60	1040103			1	0	1	16	30	2		2500	30	1	1	1	0	1	85		300	-2000														
8050	100410	狂三-技能1-0级-滑铲	2	8	1	0.45			30	1040105			1	1	1	12	30	2				1	1	1	0	1	70		550	-2000														
8051	100410	狂三-技能1-1级-滑铲	2	8	1	0.45			30	1040105			1	1	1	12	30	2				1	1	1	0	1	70		550	-2000														
8052	100410	狂三-技能1-1级-转圈	2	8	1	0.56			30	1040101			1	1	1	10	30	2				1	0	1	0	1	85		300	-2000														
8053	100410	狂三-技能1-2级-滑铲	2	8	1	0.45			30	1040105			1	1	1	12	30	2				1	1	1	0	1	70		550	-2000														
8054	100410	狂三-技能1-2级-转圈	2	8	1	0.45			30	1040101			1	1	1	10	30	2				1	0	1	0	1	85		300	-2000														
8055	100410	狂三-技能1-3级-滑铲	2	8	1	0.45			30	1040105			1	1	1	12	30	2				1	1	1	0	1	70		550	-2000														
8056	100410	狂三-技能1-3级-转圈	2	8	1	0.45			30	1040101			1	1	1	10	30	2				1	0	1	0	1	85		300	-2000														
8060	100410	狂三-技能2-0级-空中射击	3	8	1	0.6			30	1040102			1	1	1	14	30	2				1	0	1	0	1	85		500	-2000														
8061	100410	狂三-技能2-1级-空中射击	3	8	1	0.56			30	1040102			1	1	1	16	30	2				1	0	1	0	1	85		500	-2000														
8062	100410	狂三-技能2-2级-击飞	3	8	1	0.4			10	1040105			1	1	1	14	30	2				1	0	1	0	1	88		100	-2000														
8063	100410	狂三-技能2-2级-空中射击	3	8	1	0.52			30	1040102			1	1	1	16	30	2				1	0	1	0	1	85		750	-2000														
8064	100410	狂三-技能2-3级-击飞	3	8	1	0.4			10	1040105			1	1	1	16	30	2				1	0	1	0	1	85		750	-2000														
8065	100410	狂三-技能2-3级-空中射击	3	8	1	0.52			30	1040102			1	1	1	18	30	2				1	0	1	0	1	85		500	-2000														
8070	100410	狂三-必杀-0级	6	8	1	0.72			60	1040102			1	1	1	17	30	2				1	1	1	0	1	85		450	-2000														
8071	100410	狂三-必杀-1级	6	8	1	0.575			60	1040102			1	1	1	19	30	2				1	1	1	0	1	85		450	-2000														
8072	100410	狂三-必杀-2级	6	8	1	0.55			60	1040102			1	1	1	20	30	2				1	1	1	0	1	85		450	-2000														
8073	100410	狂三-必杀-3级	6	8	1	0.6			60	1040102			1	1	1	20	30	2				1	1	1	0	1	85		300	-2000														
8074	100410	狂三-必杀-3级	6	8	1	3.2			90	1040104			1	1	2	18	30	4	1			1	1	1	0	1	85		700	-2000														
9001	100710	八舞耶俱矢—普攻1	1	1	1	0.6	1		10	1070101			1	1	1	14	30	2				1	0	1	0	2		30	400															
9002	100710	八舞耶俱矢—普攻2	1	1	1	0.7	2		15	1070101			1	1	1	16	30	2				1	0	1	0	2		30	400															
9003	100710	八舞耶俱矢—普攻3	1	1	1	0.9	2		30	1070102			1	1	2	14	30	3	1			1	0	1	0	1	85		700															
9004	100710	八舞耶俱矢—普攻4	1	1	1	0.5	2		30	1070101			1	1	1	16	30	2				1	0	1	0	2		10	400															
9005	100710	八舞耶俱矢—普攻5	1	1	1	1.4	4		60	1070103			1	1	2	16	30	3	1			1	0	1	0	1	85		700															
9010	100710	八舞耶俱矢-技能1-直接发射	2	4	1	0.8			20	1070106			1	1	1	14	30	2				1	0	1	0	2		30	400															
9011	100710	八舞耶俱矢-技能1-0段	2	4	1	1			20	1070106			1	1	1	15	30	2				1	0	1	0	2		30	400															
9012	100710	八舞耶俱矢-技能1-1段	2	4	1	1.4			20	1070106			1	1	1	17	30	2				1	0	1	0	2		30	400															
9013	100710	八舞耶俱矢-技能1-2段	2	4	1	1.86			20	1070107			1	1	1	18	30	2				1	0	1	0	2		30	400															
9014	100710	八舞耶俱矢-技能1-3段	2	4	1	1.85			20	1070107			1	1	1	15	30	2				1	0	1	0	1	85		300															
9015	100710	八舞耶俱矢-技能1-3段+	2	4	1	1.86			20	1070108			1	1	1	15	30	2	1			1	0	1	0	1	85		200															
9016	100710	八舞耶俱矢-技能1-3段+箭头	2	4	1	3			80	1070109			1	1	2	20	40	3	1			1	0	1	0	1	85		650															
9019	100710	八舞耶俱矢—大招0级	6	4	1	2.8			80	1070104			1	0	2	20	40	3				1	0	1	0	1	85		700															
9020	100710	八舞耶俱矢—大招1级	6	4	1	3			80	1070104			1	0	2	22	40	3				1	0	1	0	1	85		700															
9021	100710	八舞耶俱矢—大招2级	6	4	1	3			80	1070104			1	0	2	24	40	3	1			1	0	1	0	1	85		700															
9022	100710	八舞耶俱矢—大招3级	6	4	1	3			20	1070104			1	0	2	26	40	3				1	0	1	0	1	85		700															
9023	100710	八舞耶俱矢—大招3级风箭	6	4	1	0.2			30	1070105			1	1	1	10	30	2				1	0	1	0	2		30	500															
9030	100710	八舞耶俱矢—觉醒终结	7	4	1	2.5			100	1070110			1	0	2	30	40	4	1			1	0	1	0	1	85		800															
9031	100710	八舞耶俱矢—觉醒穿刺	7	4	1	0.8			40	1070109			1	0	1	25	30	2				1	0	1	0	1	85		300															
9050	100710	八舞耶俱矢—出场	4	4	1	2			30	1070101			1	1	1	15	30	2	1			1	0	1	0	1	85		300															
9051	100710	八舞耶俱矢—出场爆开	4	4	1	2			30	1070102			1	1	2	16	30	2	1			1	0	1	0	1	85		650															
9070	100710	八舞耶俱矢-技能2-旋风-0级	3	4	1	0.2			0	1080108			1	1	1	8	30	2				1	1	1	0	1	60		350															
9071	100710	八舞耶俱矢-技能2-旋风-1级	3	4	1	0.2			0	1080108			1	1	1	8	30	2				1	1	1	0	1	60		350															
9072	100710	八舞耶俱矢-技能2-旋风-1级-爆炸	3	4	1	0.5			90	1050104			1	1	2	12	30	2	1			1	1	1	0	1	85		600															
9073	100710	八舞耶俱矢-技能2-旋风-2级	3	4	1	0.2			0	1080108			1	1	1	8	30	2				1	1	1	0	1	60		200															
9074	100710	八舞耶俱矢-技能2-旋风-2级-爆炸	3	4	1	0.5			90	1050104			1	1	2	14	30	2	1			1	1	1	0	1	85		600															
9075	100710	八舞耶俱矢-技能2-旋风-3级	3	4	1	0.2			0	1080108			1	1	1	8	30	2				1	1	1	0	1	60		200															
9076	100710	八舞耶俱矢-技能2-旋风-3级-爆炸	3	4	1	0.6			90	1050104			1	1	2	16	30	2	1			1	1	1	0	1	85		600															
8810	100710	夕弦—普攻1	1	1	1	0.6	1		10	1080101			1	1	1	14	30	2				1	0	1	0	2		30	500															
8820	100710	夕弦—普攻2	1	1	1	0.7	2		10	1080102			1	1	1	16	30	2				1	0	1	0	2		30	500															
8830	100710	夕弦—普攻3	1	1	1	0.8	2		30	1080103			1	1	2	15	30	2	1			1	0	1	0	1	85		800															
8840	100710	夕弦—普攻4	1	1	1	0.6	2		20	1080102			1	1	1	18	30	2				1	0	1	0	1	85		500															
8850	100710	夕弦—普攻5	1	1	1	0.9	2		30	1080103			1	1	2	16	30	3	1			1	0	1	0	1	85		700															
8855	100710	夕弦—旋风-3级	1	4	1	0.1			60	1080108			1	1	1	15	30	2				1	0	1	0	1	85		600															
8870	100710	夕弦-技能1-0级	2	4	1	0.5			30	1080104			1	1	1	16	30	2				1	1	1	0	1	85		400															
8871	100710	夕弦-技能1-1级	2	4	1	0.35			30	1080104			1	1	1	18	30	2				1	1	1	0	1	85		400															
8872	100710	夕弦-技能1-2级	2	4	1	0.25			30	1080104			1	1	1	18	30	2				1	1	1	0	1	85		400															
8873	100710	夕弦-技能1-2级	2	4	1	0.25			30	1080104			1	1	2	16	30	2				1	1	1	0	1	85		400															
8874	100710	夕弦-技能1-3级	2	4	1	0.2			30	1080104			1	1	1	13	30	2				1	1	1	0	1	85		400															
8875	100710	夕弦-技能1-3级	2	4	1	0.2			30	1080105			1	1	2	18	30	3				1	1	1	0	1	85		200															
8876	100710	夕弦-技能1-3级	2	4	1	0.17			30	1050104			1	1	1	16	30	2				1	1	1	0	1	85		500															
8881	100710	夕弦-技能2-0级-出现	3	4	1	0.16			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8882	100710	夕弦-技能2-0级-循环	3	4	1	0.16			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8883	100710	夕弦-技能2-0级-消失	3	4	1	0.16			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8884	100710	夕弦-技能2-1级-出现	3	4	1	0.161			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8885	100710	夕弦-技能2-1级-循环	3	4	1	0.161			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8886	100710	夕弦-技能2-1级-消失	3	4	1	0.161			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8887	100710	夕弦-技能2-2级-旋风出现	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8888	100710	夕弦-技能2-2级-旋风移动	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8889	100710	夕弦-技能2-2级-旋风循环	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8890	100710	夕弦-技能2-2级-电球循环	3	4	1	0.17			0	1060106			1	1	1	6	30	2				0	0	1	0	2		0	0															
8891	100710	夕弦-技能2-2级-旋风消失	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8892	100710	夕弦-技能2-2级-电球消失	3	4	1	0.17			30	1060106			1	1	1	18	30	2				1	1	1	0	1	85	0	700															
8893	100710	夕弦-技能2-3级-旋风出现	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8894	100710	夕弦-技能2-3级-旋风移动	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8895	100710	夕弦-技能2-3级-旋风循环	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8896	100710	夕弦-技能2-3级-电球循环	3	4	1	0.17			0	1060106			1	1	1	6	30	2				0	0	1	0	2		0	0															
8897	100710	夕弦-技能2-3级-旋风消失	3	4	1	0.17			0	1080108			0	1	1	6	30	2				0	0	1	0	2		0	0															
8898	100710	夕弦-技能2-3级-电球消失	3	4	1	0.17			30	1060106			1	1	1	18	30	2				1	1	1	0	1	85	0	700															
8821	100710	夕弦-大招-0级-出现	6	4	1	0.8			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8822	100710	夕弦-大招-0级-循环	6	4	1	0.8			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8823	100710	夕弦-大招-1级-出现	6	4	1	0.7			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8824	100710	夕弦-大招-1级-循环	6	4	1	0.7			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8825	100710	夕弦-大招-2级-出现	6	4	1	0.73			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8826	100710	夕弦-大招-2级-循环	6	4	1	0.73			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8827	100710	夕弦-大招-3级-出现	6	4	1	0.7			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8828	100710	夕弦-大招-3级-循环	6	4	1	0.7			35	1080104			1	0	1	20	30	2				1	0	1	0																			
8829	100710	夕弦-大招-3级-旋风循环	6	4	1	0.2			0	1080108			1	1	1	5	30	2				1	0	1	0																			
8831	100710	夕弦—觉醒1	7	4	1	9			100	1070109			1	0	2	30	40	4	1	2000	60	1	1	1	0	1	85		850															
8850	100710	夕弦—出场1	4	4	1	0.5			30	1080108			1	0	1	15	30	2				1	0	1	0	1	85		600															
8851	100710	夕弦—出场2	4	4	1	1			30	1080108			1	0	1	16	30	2				1	0	1	0	1	85		300															
8860	100710	夕弦—流血旋风	1	4	1	0.1			30	1080108			1	1	1	15	30	2				1	0	1	0	2		30	500															
8861	100710	夕弦—击杀爆炸	1	4	1	1			30	1080108			1	1	1	15	30	2				1	0	1	0	2		30	500															
9501	100710	艾伦-普攻1	1	1	1	0.5	1	1	20	1020101			1	1	1	14	30	2				1	0	1	0	2		30	500															
9502	100710	艾伦-普攻2	1	1	1	0.5	2	2	20	1020101			1	1	1	16	30	2				1	0	1	0	2		30	500															
9503	100710	艾伦-普攻3	1	1	1	1	3	3	40	1020102			1	1	2	16	30	2				1	0	1	0	1	85		700															
9504	100710	艾伦-普攻4	1	1	1	0.8	2	2	30	1020101			1	1	1	16	30	2				1	0	1	0	1	85		350															
9505	100710	艾伦-普攻5	1	1	1	1.2	3	3	60	1020103			1	1	2	17	40	2				1	0	1	0	1	85		650															
9511	100710	艾伦-技能1-1招平斩	2	1	1	0.4			30	1020102			1	1	1	16	30	2				1	0	1	0	2		10	500															
9512	100710	艾伦-技能1-2招连刺3次	2	1	1	0.3			30	1020101			1	1	1	14	30	2				1	0	1	0	1	85		300															
9513	100710	艾伦-技能1-2招连刺5次	2	1	1	0.35			30	1020101			1	1	1	14	30	2				1	0	1	0	1	85		300															
9514	100710	艾伦-技能1-3招上挑	2	1	1	0.6			60	1020103			1	1	2	15	30	2				1	0	1	0	1	85		700															
9515	100710	艾伦-技能1-1招平斩+	2	1	1	0.4			30	1020102			1	1	1	14	30	2				1	0	1	0	2		10	500															
9516	100710	艾伦-技能1-2招连刺5次+	2	1	1	0.35			30	1020101			1	1	1	14	30	2				1	0	1	0	1	85		300															
9517	100710	艾伦-技能1-3招上挑+	2	1	1	0.6			60	1020103			1	1	2	15	30	2				1	0	1	0	1	85		700															
9520	100710	艾伦-技能2-0级-一闪	3	5	1	1.5			40	1020107			1	0	2	15	30	2				1	0	1	0	1	85		800															
9521	100710	艾伦-技能2-1级-连斩	3	5	1	0.32			10	1020102			1	1	1	12	30	2				1	0	1	0																			
9522	100710	艾伦-技能2-1级-斩一闪	3	5	1	1.5			40	1020107			1	0	2	15	30	2				1	0	1	0	1	85		800															
9523	100710	艾伦-技能2-3级-连斩	3	5	1	0.28			10	1020102			1	1	1	12	30	2				1	0	1	0																			
9524	100710	艾伦-技能2-3级-斩一闪	3	5	1	1.5			40	1020107			1	0	2	15	30	2				1	0	1	0	1	85		400															
9525	100710	艾伦-技能2-3级-收招	3	5	1	0.5			90	1020103			1	0	1	18	30	2				1	0	1	0	1	85		800															
9530	100710	艾伦-0级-穿刺3次	6	5	1	0.83			60	1020101			1	0	1	16	30	2				1	0	1	0	2		30	300	-5000														
9531	100710	艾伦-1级-穿刺5次	6	5	1	0.5			60	1020102			1	0	1	16	30	2				1	0	1	0	2		30	300	-5000														
9532	100710	艾伦-2级-闪回	6	5	1	1			90	1020103			1	0	2	15	30	3	1			1	0	1	0	1	85		650															
9533	100710	艾伦-3级-闪回x3	6	5	1	1.4			90	1020103			1	0	2	16	30	3	1			1	0	1	0	1	85		650															
9540	100710	艾伦-觉醒1-小激光束	7	5	1	0.5			30	1020107			1	0	1	16	30	2				1	0	1	0	1	85		500															
9541	100710	艾伦-觉醒2-激光炮	7	5	1	3			30	1020107			1	0	2	14	30	2				1	1	1	0	1	85		400															
9550	100710	艾伦-登场技能	4	5	1	3			60	1020103			1	1	1	15	30	2				1	0	1	0	1	85		400															
10011	100710	美九-普攻1	1	9	1	0.6	1		20	1030101			1	1	1	14	30	2				1	0	1	0	2		30	500															
10012	100710	美九-普攻2	1	9	1	0.6	2		20	1030101			1	1	1	16	30	2				1	0	1	0	2		30	500															
10013	100710	美九-普攻3	1	9	1	0.9	2		20	1030102			1	1	2	14	30	2				1	0	1	0	1	85		650															
10014	100710	美九-普攻4	1	9	1	1.2	2		40	1030103			1	1	1	17	30	2				1	0	1	0	1	85		650															
10021	100710	美九-技能1-0级-子弹	2	9	1	0.5			0	1030104			1	1	1	10	30	2				1	0	1	0	2		30	500															
10022	100710	美九-技能1-0级-循环	2	9	1	0.5			0	1030104			1	1	1	6	30	2				0	0	1	0	2		30	500															
10023	100710	美九-技能1-1级-子弹	2	9	1	0.4			0	1030104			1	1	1	6	30	2				1	0	1	0	2		30	500															
10024	100710	美九-技能1-1级-循环	2	9	1	0.4			0	1030104			1	1	1	6	30	2				0	0	1	0	2		30	500															
10025	100710	美九-技能1-1级-消失爆炸	2	9	1	0.6			0	1030106			1	1	1	14	30	2				1	0	1	0	1	85		650															
10026	100710	美九-技能1-2级-子弹	2	9	1	0.4			0	1030104			1	1	1	10	30	2				1	0	1	0	2		30	500															
10027	100710	美九-技能1-2级-循环	2	9	1	0.4			0	1030104			1	1	1	6	30	2				0	0	1	0	2		30	500															
