ID	节点类型(1.条件类型节点，2.行为类型节点，3.条件节点，4.行为节点，5.根节点)	节点描述	子节点	循环时间间隔	条件节点优先级	触发条件具体类型	触发条件并且关系	触发条件参数	行为类型节点	行为权重	脚本名	是否可以打断
5040208	2	行为并且关系	5040209-5040234				0					
5040209	4	释放技能						[410430,100,[-400,-200,800,400]]		100	act_useSkill	
5040234	4	释放技能						[410490,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040210	1	条件类型节点：1S循环	5040211	3000	3				5040212			0
5040211	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5040212	2	行为并且关系	5040213				1					
5040213	4	释放闪避技能						[410450,10,[-160,-25,300,50]]		100	act_useSkill	
												
5040229	1	条件类型节点：1S循环	5040230	0	1				5040231			0
5040230	3	判断条件：进入战斗时间				1		[0]				
5040231	2	行为并且关系	5040232				1					
5040232	4	释放技能								100	act_patrol	
												
												
5040301	5	根节点	5040302-5040306-5040310-5040333-5040329									
												
5040302	1	条件类型节点：1S循环	5040303	1500	2				5040304			0
5040303	3	判断条件：进入战斗时间				1		[0]				
5040304	2	行为并且关系	5040305-5040337				0					
5040305	4	释放技能						[420480,200,[-400,-15,800,30]]		100	act_useSkill	
5040337	4	释放技能						[420410,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040306	1	条件类型节点：1S循环	5040307	15000	4				5040308			0
5040307	3	判断条件：进入战斗时间				1		[15000]				
5040308	2	行为并且关系	5040309-5040338				0					
5040309	4	释放技能						[420430,100,[-400,-200,800,400]]		100	act_useSkill	
5040338	4	释放技能						[420490,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040310	1	条件类型节点：1S循环	5040311	3000	3				5040312			0
5040311	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5040312	2	行为并且关系	5040313				1					
5040313	4	释放闪避技能						[420450,10,[-160,-25,300,50]]		100	act_useSkill	
												
5040333	1	条件类型节点：1S循环	5040334	70000	5				5040335			0
5040334	3	判断条件：与敌人的距离				1		[70000]				
5040335	2	行为并且关系	5040336				1					
5040336	4	释放闪避技能						[420440,200,[-400,-100,800,200]]		100	act_useSkill	
												
												
5040329	1	条件类型节点：1S循环	5040330	0	1				5040331			0
5040330	3	判断条件：进入战斗时间				1		[0]				
5040331	2	行为并且关系	5040332				1					
5040332	4	释放技能								100	act_patrol	
												
												
5040401	5	根节点	5040402-5040406-5040410-5040433-5040429									
												
5040402	1	条件类型节点：1S循环	5040403	1500	2				5040404			0
5040403	3	判断条件：进入战斗时间				1		[0]				
5040404	2	行为并且关系	5040405-5040437				0					
5040405	4	释放技能						[430480,200,[-400,-15,800,30]]		100	act_useSkill	
5040437	4	释放技能						[430410,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040406	1	条件类型节点：1S循环	5040407	15000	4				5040408			0
5040407	3	判断条件：进入战斗时间				1		[15000]				
5040408	2	行为并且关系	5040409-5040438				0					
5040409	4	释放技能						[430430,100,[-400,-200,800,400]]		100	act_useSkill	
5040438	4	释放技能						[430490,200,[-400,-15,800,30]]		100	act_useSkill	
												
5040410	1	条件类型节点：1S循环	5040411	3000	3				5040412			0
5040411	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5040412	2	行为并且关系	5040413				1					
5040413	4	释放闪避技能						[430450,10,[-160,-25,300,50]]		100	act_useSkill	
												
5040433	1	条件类型节点：1S循环	5040434	70000	5				5040435			0
5040434	3	判断条件：与敌人的距离				1		[70000]				
5040435	2	行为并且关系	5040436				1					
5040436	4	释放闪避技能						[430440,200,[-400,-100,800,200]]		100	act_useSkill	
												
												
5040429	1	条件类型节点：1S循环	5040430	0	1				5040431			0
5040430	3	判断条件：进入战斗时间				1		[0]				
5040431	2	行为并且关系	5040432				1					
5040432	4	释放技能								100	act_patrol	
												
							sf					
5020101	5	根节点	5020102-5020106-5020129									
												
5020102	1	条件类型节点：1S循环	5020103	3000	2				5020104			0
5020103	3	判断条件：进入战斗时间				1		[0]				
5020104	2	行为并且关系	5020105				0					
5020105	4	释放技能						[400210,100,[-300,-15,600,30]]		10	act_useSkill	
5020133	4	释放技能						[400270,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020106	1	条件类型节点：1S循环	5020107	15000	4				5020108			0
5020107	3	判断条件：进入战斗时间				1		[15000]				
5020108	2	行为并且关系	5020109				0					
5020109	4	释放技能						[400220,100,[-300,-15,600,30]]		6	act_useSkill	
5020134	4	释放技能						[400270,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020110	1	条件类型节点：1S循环	5020111	1000	3				5020112			0
5020111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5020112	2	行为并且关系	5020113				1					
5020113	4	释放闪避技能						[400240,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5020129	1	条件类型节点：1S循环	5020130	0	1				5020131			0
5020130	3	判断条件：进入战斗时间				1		[0]				
5020131	2	行为并且关系	5020132				1					
5020132	4	释放技能								100	act_patrol	
												
												
5020201	5	根节点	5020202-5020206-5020229									
												
5020202	1	条件类型节点：1S循环	5020203	3000	2				5020204			0
5020203	3	判断条件：进入战斗时间				1		[0]				
5020204	2	行为并且关系	5020205				1					
5020205	4	释放技能						[410210,100,[-300,-15,600,30]]		10	act_useSkill	
5020233	4	释放技能						[410210,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020206	1	条件类型节点：1S循环	5020207	15000	4				5020208			0
5020207	3	判断条件：进入战斗时间				1		[15000]				
5020208	2	行为并且关系	5020209				1					
5020209	4	释放技能						[410220,100,[-300,-15,600,30]]		6	act_useSkill	
5020234	4	释放技能						[410270,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020210	1	条件类型节点：1S循环	5020211	1000	3				5020212			0
5020211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5020212	2	行为并且关系	5020213				1					
5020213	4	释放闪避技能						[410240,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5020229	1	条件类型节点：1S循环	5020230	0	1				5020231			0
5020230	3	判断条件：进入战斗时间				1		[0]				
5020231	2	行为并且关系	5020232				1					
5020232	4	释放技能								100	act_patrol	
												
												
5020301	5	根节点	5020302-5020306-5020329-5020333									
												
5020302	1	条件类型节点：1S循环	5020303	3000	2				5020304			0
5020303	3	判断条件：进入战斗时间				1		[0]				
5020304	2	行为并且关系	5020305				1					
5020305	4	释放技能						[420210,100,[-300,-15,600,30]]		10	act_useSkill	
5020337	4	释放技能						[420210,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020306	1	条件类型节点：1S循环	5020307	15000	4				5020308			0
5020307	3	判断条件：进入战斗时间				1		[15000]				
5020308	2	行为并且关系	5020309				1					
5020309	4	释放技能						[420220,100,[-300,-15,600,30]]		6	act_useSkill	
5020338	4	释放技能						[420270,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020310	1	条件类型节点：1S循环	5020311	1000	3				5020312			0
5020311	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5020312	2	行为并且关系	5020313				1					
5020313	4	释放闪避技能						[420240,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5020333	1	条件类型节点：1S循环	5020334	70000	5				5020335			0
5020334	3	判断条件：与敌人的距离				1		[70000]				
5020335	2	行为并且关系	5020336				1					
5020336	4	释放闪避技能						[420230,100,[-300,-15,600,30]]		100	act_useSkill	
												
												
5020329	1	条件类型节点：1S循环	5020330	0	1				5020331			0
5020330	3	判断条件：进入战斗时间				1		[0]				
5020331	2	行为并且关系	5020332				1					
5020332	4	释放技能								100	act_patrol	
												
												
5020401	5	根节点	5020402-5020406-5020429-5020433									
												
5020402	1	条件类型节点：1S循环	5020403	3000	2				5020404			0
5020403	3	判断条件：进入战斗时间				1		[0]				
5020404	2	行为并且关系	5020405				1					
5020405	4	释放技能						[430210,100,[-300,-15,600,30]]		10	act_useSkill	
5020437	4	释放技能						[430210,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020406	1	条件类型节点：1S循环	5020407	15000	4				5020408			0
5020407	3	判断条件：进入战斗时间				1		[15000]				
5020408	2	行为并且关系	5020409				1					
5020409	4	释放技能						[430220,100,[-300,-15,600,30]]		6	act_useSkill	
5020438	4	释放技能						[430270,100,[-300,-15,600,30]]		4	act_useSkill	
												
5020410	1	条件类型节点：1S循环	5020411	1000	3				5020412			0
5020411	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5020412	2	行为并且关系	5020413				1					
5020413	4	释放闪避技能						[430240,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5020433	1	条件类型节点：1S循环	5020434	70000	5				5020435			0
5020434	3	判断条件：与敌人的距离				1		[70000]				
5020435	2	行为并且关系	5020436				1					
5020436	4	释放闪避技能						[430230,100,[-300,-15,600,30]]		100	act_useSkill	
												
												
5020429	1	条件类型节点：1S循环	5020430	0	1				5020431			0
5020430	3	判断条件：进入战斗时间				1		[0]				
5020431	2	行为并且关系	5020432				1					
5020432	4	释放技能								100	act_patrol	
												
												
												
5010101	5	根节点	5010102-5010106-5010129									
												
5010102	1	条件类型节点：1S循环	5010103	3000	2				5010104			0
5010103	3	判断条件：进入战斗时间				1		[0]				
5010104	2	行为并且关系	5010105-5010133				0					
5010105	4	释放技能						[400180,50,[-160,-15,320,30]]		7	act_useSkill	
5010133	4	释放技能						[400110,50,[-160,-15,320,30]]		4	act_useSkill	
												
5010106	1	条件类型节点：1S循环	5010107	15000	3				5010108			0
5010107	3	判断条件：进入战斗时间				1		[15000]				
5010108	2	行为并且关系	5010109-5010134				0					
5010109	4	释放技能						[400120,100,[-600,-50,1200,100]]		100	act_useSkill	
5010134	4	释放技能						[400190,50,[-160,-15,320,30]]		100	act_useSkill	
												
5010110	1	条件类型节点：1S循环	5010111	5000	4				5010112			0
5010111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5010112	2	行为并且关系	5010113				1					
5010113	4	释放闪避技能						[400140,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5010129	1	条件类型节点：1S循环	5010130	0	1				5010131			0
5010130	3	判断条件：进入战斗时间				1		[0]				
5010131	2	行为并且关系	5010132				1					
5010132	4	释放技能								100	act_patrol	
												
												
5010201	5	根节点	5010202-5010206-5010229									
												
5010202	1	条件类型节点：1S循环	5010203	3000	2				5010204			0
5010203	3	判断条件：进入战斗时间				1		[0]				
5010204	2	行为并且关系	5010205-5010233				0					
5010205	4	释放技能						[410180,50,[-160,-15,320,30]]		7	act_useSkill	
5010233	4	释放技能						[410110,50,[-160,-15,320,30]]		4	act_useSkill	
												
5010206	1	条件类型节点：1S循环	5010207	15000	3				5010208			0
5010207	3	判断条件：进入战斗时间				1		[15000]				
5010208	2	行为并且关系	5010209-5010234				0					
5010209	4	释放技能						[410120,100,[-600,-50,1200,100]]		100	act_useSkill	
5010234	4	释放技能						[410190,50,[-160,-15,320,30]]		100	act_useSkill	
												
5010210	1	条件类型节点：1S循环	5010211	1000	4				5010212			0
5010211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5010212	2	行为并且关系	5010213				1					
5010213	4	释放闪避技能						[410140,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5010229	1	条件类型节点：1S循环	5010230	0	1				5010231			0
5010230	3	判断条件：进入战斗时间				1		[0]				
5010231	2	行为并且关系	5010232				1					
5010232	4	释放技能								100	act_patrol	
												
												
5010301	5	根节点	5010302-5010306-5010329-5010333									
												
5010302	1	条件类型节点：1S循环	5010303	3000	2				5010304			0
5010303	3	判断条件：进入战斗时间				1		[0]				
5010304	2	行为并且关系	5010305-5010337				0					
5010305	4	释放技能						[420180,50,[-160,-15,320,30]]		7	act_useSkill	
5010337	4	释放技能						[420110,50,[-160,-15,320,30]]		4	act_useSkill	
												
5010306	1	条件类型节点：1S循环	5010307	15000	3				5010308			0
5010307	3	判断条件：进入战斗时间				1		[15000]				
5010308	2	行为并且关系	5010309-5010338				0					
5010309	4	释放技能						[420120,100,[-600,-50,1200,100]]		100	act_useSkill	
5010338	4	释放技能						[420190,50,[-160,-15,320,30]]		100	act_useSkill	
												
5010310	1	条件类型节点：1S循环	5010311	1000	4				5010312			0
5010311	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5010312	2	行为并且关系	5010313				1					
5010313	4	释放闪避技能						[420140,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5010333	1	条件类型节点：1S循环	5010334	70000	5				5010335			0
5010334	3	判断条件：与敌人的距离				1		[70000]				
5010335	2	行为并且关系	5010336				1					
5010336	4	释放闪避技能						[420130,100,[-600,-50,1200,100]]		100	act_useSkill	
												
												
5010329	1	条件类型节点：1S循环	5010330	0	1				5010331			0
5010330	3	判断条件：进入战斗时间				1		[0]				
5010331	2	行为并且关系	5010332				1					
5010332	4	释放技能								100	act_patrol	
												
												
5010401	5	根节点	5010402-5010406-5010429-5010433									
												
5010402	1	条件类型节点：1S循环	5010403	3000	2				5010404			0
5010403	3	判断条件：进入战斗时间				1		[0]				
5010404	2	行为并且关系	5010405-5010437				0					
5010405	4	释放技能						[430180,50,[-160,-15,320,30]]		7	act_useSkill	
5010437	4	释放技能						[430110,50,[-160,-15,320,30]]		4	act_useSkill	
												
5010406	1	条件类型节点：1S循环	5010407	15000	3				5010408			0
5010407	3	判断条件：进入战斗时间				1		[15000]				
5010408	2	行为并且关系	5010409-5010438				0					
5010409	4	释放技能						[430120,100,[-600,-50,1200,100]]		100	act_useSkill	
5010438	4	释放技能						[430190,50,[-160,-15,320,30]]		4	act_useSkill	
												
5010410	1	条件类型节点：1S循环	5010411	1000	4				5010412			0
5010411	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5010412	2	行为并且关系	5010413				1					
5010413	4	释放闪避技能						[430140,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5010433	1	条件类型节点：1S循环	5010434	70000	5				5010435			0
5010434	3	判断条件：与敌人的距离				1		[70000]				
5010435	2	行为并且关系	5010436				1					
5010436	4	释放闪避技能						[430130,100,[-600,-50,1200,100]]		100	act_useSkill	
												
												
5010429	1	条件类型节点：1S循环	5010430	0	1				5010431			0
5010430	3	判断条件：进入战斗时间				1		[0]				
5010431	2	行为并且关系	5010432				1					
5010432	4	释放技能								100	act_patrol	
												
5060101	5	根节点	5060102-5060106-5060129									
												
5060102	1	条件类型节点：1S循环	5060103	3000	2				5060104			0
5060103	3	判断条件：进入战斗时间				1		[0]				
5060104	2	行为并且关系	5060105-5060133				0					
5060105	4	释放技能						[400570,50,[-160,-15,320,30]]		100	act_useSkill	
5060133	4	释放技能						[400510,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060106	1	条件类型节点：1S循环	5060107	12000	4				5060108			0
5060107	3	判断条件：进入战斗时间				1		[12000]				
5060108	2	行为并且关系	5060109-5060134				0					
5060109	4	释放技能						[400520,130,[-200,-20,400,40]]		100	act_useSkill	
5060134	4	释放技能						[400580,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060110	1	条件类型节点：1S循环	5060111	5000	3				5060112			0
5060111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5060112	2	行为并且关系	5060113				1					
5060113	4	释放闪避技能						[400540,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5060129	1	条件类型节点：1S循环	5060130	0	1				5060131			0
5060130	3	判断条件：进入战斗时间				1		[0]				
5060131	2	行为并且关系	5060132				1					
5060132	4	释放技能								100	act_patrol	
												
												
5060201	5	根节点	5060202-5060206-5060229									
												
5060202	1	条件类型节点：1S循环	5060203	3000	2				5060204			0
5060203	3	判断条件：进入战斗时间				1		[0]				
5060204	2	行为并且关系	5060205-5060233				0					
5060205	4	释放技能						[410570,50,[-160,-15,320,30]]		100	act_useSkill	
5060233	4	释放技能						[410510,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060206	1	条件类型节点：1S循环	5060207	12000	4				5060208			0
5060207	3	判断条件：进入战斗时间				1		[12000]				
5060208	2	行为并且关系	5060209-5060234				0					
5060209	4	释放技能						[410520,130,[-200,-20,400,40]]		100	act_useSkill	
5060234	4	释放技能						[410580,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060210	1	条件类型节点：1S循环	5060211	5000	3				5060212			0
5060211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5060212	2	行为并且关系	5060213				1					
5060213	4	释放闪避技能						[410540,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5060229	1	条件类型节点：1S循环	5060230	0	1				5060231			0
5060230	3	判断条件：进入战斗时间				1		[0]				
5060231	2	行为并且关系	5060232				1					
5060232	4	释放技能								100	act_patrol	
												
												
5060301	5	根节点	5060302-5060306-5060329-5060333									
												
5060302	1	条件类型节点：1S循环	5060303	3000	2				5060304			0
5060303	3	判断条件：进入战斗时间				1		[0]				
5060304	2	行为并且关系	5060305-5060337				0					
5060305	4	释放技能						[420570,50,[-160,-15,320,30]]		100	act_useSkill	
5060337	4	释放技能						[420510,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060306	1	条件类型节点：1S循环	5060307	12000	4				5060308			0
5060307	3	判断条件：进入战斗时间				1		[12000]				
5060308	2	行为并且关系	5060309-5060338				0					
5060309	4	释放技能						[420520,130,[-200,-20,400,40]]		100	act_useSkill	
5060338	4	释放技能						[420580,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060310	1	条件类型节点：1S循环	5060311	5000	3				5060312			0
5060311	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5060312	2	行为并且关系	5060313				1					
5060313	4	释放闪避技能						[420540,220,[-600,-100,1200,200]]		100	act_useSkill	
												
												
5060333	1	条件类型节点：1S循环	5060334	70000	5				5060335			0
5060334	3	判断条件：与敌人的距离				1		[70000]				
5060335	2	行为并且关系	5060336				1					
5060336	4	释放闪避技能						[420530,50,[-160,-15,320,30]]		100	act_useSkill	
												
												
5060329	1	条件类型节点：1S循环	5060330	0	1				5060331			0
5060330	3	判断条件：进入战斗时间				1		[0]				
5060331	2	行为并且关系	5060332				1					
5060332	4	释放技能								100	act_patrol	
												
												
5060401	5	根节点	5060402-5060406-5060429-5060433									
												
5060402	1	条件类型节点：1S循环	5060403	3000	2				5060404			0
5060403	3	判断条件：进入战斗时间				1		[0]				
5060404	2	行为并且关系	5060405-5060437				0					
5060405	4	释放技能						[430570,50,[-160,-15,320,30]]		100	act_useSkill	
5060437	4	释放技能						[430510,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060406	1	条件类型节点：1S循环	5060407	12000	4				5060408			0
5060407	3	判断条件：进入战斗时间				1		[12000]				
5060408	2	行为并且关系	5060409-5060438				0					
5060409	4	释放技能						[430520,130,[-200,-20,400,40]]		100	act_useSkill	
5060438	4	释放技能						[430580,50,[-160,-15,320,30]]		100	act_useSkill	
												
5060410	1	条件类型节点：1S循环	5060411	5000	3				5060412			0
5060411	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5060412	2	行为并且关系	5060413				1					
5060413	4	释放闪避技能						[430540,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5060433	1	条件类型节点：1S循环	5060434	70000	5				5060435			0
5060434	3	判断条件：与敌人的距离				1		[70000]				
5060435	2	行为并且关系	5060436				1					
5060436	4	释放闪避技能						[430530,50,[-160,-15,320,30]]		100	act_useSkill	
												
												
5060429	1	条件类型节点：1S循环	5060430	0	1				5060431			0
5060430	3	判断条件：进入战斗时间				1		[0]				
5060431	2	行为并且关系	5060432				1					
5060432	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
												
5030101	5	根节点	5030102-5030106-5030110-5030129									
												
5030102	1	条件类型节点：1S循环	5030103	2500	2				5030104			0
5030103	3	判断条件：进入战斗时间				1		[0]				
5030104	2	行为并且关系	5030105-5030133				0					
5030105	4	释放技能						[400360,150,[-500,-15,1000,30]]		7	act_useSkill	
5030133	4	释放技能						[400310,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030106	1	条件类型节点：1S循环	5030107	15000	4		 		5030108			0
5030107	3	判断条件：进入战斗时间				1		[15000]				
5030108	2	行为并且关系	5030109-5030134				0					
5030109	4	释放技能						[400320,100,[-500,-20,1000,40]]		6	act_useSkill	
5030134	4	释放技能						[400370,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030110	1	条件类型节点：1S循环	5030111	3000	3				5030112			0
5030111	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5030112	2	行为并且关系	5030113				1					
5030113	4	释放闪避技能						[400340,10,[-160,-25,300,50]]		100	act_useSkill	
												
5030129	1	条件类型节点：1S循环	5030130	0	1				5030131			0
5030130	3	判断条件：进入战斗时间				1		[0]				
5030131	2	行为并且关系	5030132				1					
5030132	4	释放技能								100	act_patrol	
												
												
5030201	5	根节点	5030202-5030206-5030210-5030229									
												
5030202	1	条件类型节点：1S循环	5030203	2500	2				5030204			0
5030203	3	判断条件：进入战斗时间				1		[0]				
5030204	2	行为并且关系	5030205-5030233				0					
5030205	4	释放技能						[410360,150,[-500,-15,1000,30]]		7	act_useSkill	
5030233	4	释放技能						[410310,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030206	1	条件类型节点：1S循环	5030207	15000	4		 		5030208			0
5030207	3	判断条件：进入战斗时间				1		[15000]				
5030208	2	行为并且关系	5030209-5030234				0					
5030209	4	释放技能						[410320,100,[-500,-20,1000,40]]		6	act_useSkill	
5030234	4	释放技能						[410370,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030210	1	条件类型节点：1S循环	5030211	3000	3				5030212			0
5030211	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5030212	2	行为并且关系	5030213				1					
5030213	4	释放闪避技能						[410340,10,[-160,-25,300,50]]		100	act_useSkill	
												
5030229	1	条件类型节点：1S循环	5030230	0	1				5030231			0
5030230	3	判断条件：进入战斗时间				1		[0]				
5030231	2	行为并且关系	5030232				1					
5030232	4	释放技能								100	act_patrol	
												
												
5030301	5	根节点	5030302-5030306-5030310-5030333-5030329									
												
5030302	1	条件类型节点：1S循环	5030303	2500	2				5030304			0
5030303	3	判断条件：进入战斗时间				1		[0]				
5030304	2	行为并且关系	5030305-5030337				0					
5030305	4	释放技能						[420360,150,[-500,-15,1000,30]]		7	act_useSkill	
5030337	4	释放技能						[420310,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030306	1	条件类型节点：1S循环	5030307	15000	4		 		5030308			0
5030307	3	判断条件：进入战斗时间				1		[15000]				
5030308	2	行为并且关系	5030309-5030338				0					
5030309	4	释放技能						[420320,100,[-500,-20,1000,40]]		6	act_useSkill	
5030338	4	释放技能						[420370,100,[-500,-20,1000,40]]		4	act_useSkill	
												
5030310	1	条件类型节点：1S循环	5030311	3000	3				5030312			0
5030311	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5030312	2	行为并且关系	5030313				1					
5030313	4	释放闪避技能						[420340,10,[-160,-25,300,50]]		100	act_useSkill	
												
5030333	1	条件类型节点：1S循环	5030334	70000	5				5030335			0
5030334	3	判断条件：与敌人的距离				1		[70000]				
5030335	2	行为并且关系	5030336				1					
5030336	4	释放闪避技能						[420330,200,[-500,-30,1000,60]]		100	act_useSkill	
												
												
5030329	1	条件类型节点：1S循环	5030330	0	1				5030331			0
5030330	3	判断条件：进入战斗时间				1		[0]				
5030331	2	行为并且关系	5030332				1					
5030332	4	释放技能								100	act_patrol	
												
												
5030401	5	根节点	5030402-5030406-5030410-5030433-5030429									
												
5030402	1	条件类型节点：1S循环	5030403	2500	2				5030404			0
5030403	3	判断条件：进入战斗时间				1		[0]				
5030404	2	行为并且关系	5030405-5030437				0					
5030405	4	释放技能						[430360,150,[-500,-15,1000,30]]		7	act_useSkill	
5030437	4	释放技能						[430310,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030406	1	条件类型节点：1S循环	5030407	15000	3		 		5030408			0
5030407	3	判断条件：进入战斗时间				1		[15000]				
5030408	2	行为并且关系	5030409-5030438				0					
5030409	4	释放技能						[430320,100,[-500,-20,1000,40]]		6	act_useSkill	
5030438	4	释放技能						[430370,150,[-500,-15,1000,30]]		4	act_useSkill	
												
5030410	1	条件类型节点：1S循环	5030411	3000	4				5030412			0
5030411	3	判断条件：与敌人的距离				5		[10,160,0,50]				
5030412	2	行为并且关系	5030413				1					
5030413	4	释放闪避技能						[430340,10,[-160,-25,300,50]]		100	act_useSkill	
												
5030433	1	条件类型节点：1S循环	5030434	70000	5				5030435			0
5030434	3	判断条件：与敌人的距离				1		[70000]				
5030435	2	行为并且关系	5030436				1					
5030436	4	释放闪避技能						[430330,200,[-500,-30,1000,60]]		100	act_useSkill	
												
												
5030429	1	条件类型节点：1S循环	5030430	0	1				5030431			0
5030430	3	判断条件：进入战斗时间				1		[0]				
5030431	2	行为并且关系	5030432				1					
5030432	4	释放技能								100	act_patrol	
												
												
5050101	5	根节点	5050102-5050106-5050129									
												
5050102	1	条件类型节点：1S循环	5050103	3000	2				5050104			0
5050103	3	判断条件：进入战斗时间				1		[0]				
5050104	2	行为并且关系	5050105-5050133				0					
5050105	4	释放技能						[400690,50,[-160,-50,320,100]]		100	act_useSkill	
5050133	4	释放技能						[400610,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050106	1	条件类型节点：1S循环	5050107	15000	4				5050108			0
5050107	3	判断条件：进入战斗时间				4		[15000]				
5050108	2	行为并且关系	5050109-5050134				0					
5050109	4	释放技能						[400620,100,[-500,-50,1000,100]]		100	act_useSkill	
5050134	4	释放技能						[400700,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050110	1	条件类型节点：1S循环	5050111	1000	3				5050112			0
5050111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5050112	2	行为并且关系	5050113				1					
5050113	4	释放闪避技能						[400640,220,[-600,-10,1200,200]]		100	act_useSkill	
												
5050129	1	条件类型节点：1S循环	5050130	0	1				5050131			0
5050130	3	判断条件：进入战斗时间				1		[0]				
5050131	2	行为并且关系	5050132				1					
5050132	4	释放技能								100	act_patrol	
												
												
5050201	5	根节点	5050202-5050206-5050229									
												
5050202	1	条件类型节点：1S循环	5050203	3000	2				5050204			0
5050203	3	判断条件：进入战斗时间				1		[0]				
5050204	2	行为并且关系	5050205-5050233				0					
5050205	4	释放技能						[410690,50,[-160,-50,320,100]]		100	act_useSkill	
5050233	4	释放技能						[410610,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050206	1	条件类型节点：1S循环	5050207	15000	4				5050208			0
5050207	3	判断条件：进入战斗时间				4		[15000]				
5050208	2	行为并且关系	5050209-5050234				0					
5050209	4	释放技能						[410620,100,[-500,-50,1000,100]]		100	act_useSkill	
5050234	4	释放技能						[410700,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050210	1	条件类型节点：1S循环	5050211	1000	3				5050212			0
5050211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5050212	2	行为并且关系	5050213				1					
5050213	4	释放闪避技能						[410640,220,[-600,-10,1200,200]]		100	act_useSkill	
												
5050229	1	条件类型节点：1S循环	5050230	0	1				5050231			0
5050230	3	判断条件：进入战斗时间				1		[0]				
5050231	2	行为并且关系	5050232				1					
5050232	4	释放技能								100	act_patrol	
												
												
5050301	5	根节点	5050302-5050306-5050329-5050333									
												
5050302	1	条件类型节点：1S循环	5050303	3000	2				5050304			0
5050303	3	判断条件：进入战斗时间				1		[0]				
5050304	2	行为并且关系	5050305-5050337				0					
5050305	4	释放技能						[420610,50,[-160,-50,320,100]]		100	act_useSkill	
5050337	4	释放技能						[420690,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050306	1	条件类型节点：1S循环	5050307	15000	3				5050308			0
5050307	3	判断条件：进入战斗时间				4		[15000]				
5050308	2	行为并且关系	5050309-5050338				0					
5050309	4	释放技能						[420620,100,[-500,-50,1000,100]]		100	act_useSkill	
5050338	4	释放技能						[420700,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050310	1	条件类型节点：1S循环	5050311	1000	4				5050312			0
