id	对应精灵id	精灵名称	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
175	110301	四糸乃	7		2			7	icon/attribute/70x70/2.png	6-9	[6]	攻击+8	{2:800}	{500001:5000,510205:3,510202:3,510216:1}	5
176	110301	四糸乃	8		2			10	icon/attribute/70x70/506.png	6-9	[6]	生命值+0.5%	{1001:50}	{500001:10000,510205:3,510206:3,510209:1}	5
177	110301	四糸乃	9		2			14	icon/attribute/70x70/1.png	7-8	[7,8]	生命+29	{1:2900}	{500001:5000,510203:3,510205:3,510210:1}	5
178	110301	四糸乃	10		2			25	icon/attribute/70x70/2.png	9-11	[9]	攻击+8	{2:800}	{500001:10000,510207:3,510204:3,510216:1}	6
179	110301	四糸乃	11		2			36	icon/attribute/70x70/3.png	10-12	[10]	防御+6	{3:600}	{500001:10000,510207:3,510208:3,510210:1}	6
180	110301	四糸乃	12		3			3	icon/attribute/70x70/3.png	11-13-14-17	[11]	防御+6	{3:600}	{500001:10000,510202:4,510207:4,510210:2}	6
181	110301	四糸乃	13		3			7	icon/attribute/70x70/1.png	12-15	[12]	生命+36	{1:3600}	{500001:10000,510206:4,510209:2,510215:2}	6
182	110301	四糸乃	14		3			10	icon/attribute/70x70/2.png	12-16	[12]	攻击+9	{2:900}	{500001:10000,510202:4,510214:2,510216:2}	6
183	110301	四糸乃	15		3			18	icon/attribute/70x70/515.png	13-17	[13,17]	生命值+0.5%	{1001:50}	{500001:20000,510207:4,510209:2,510211:2}	6
184	110301	四糸乃	16		3			21	icon/attribute/70x70/507.png	14-17	[14,17]	防御力+0.5%	{1003:50}	{500001:20000,510204:4,510215:2,510211:2}	6
185	110301	四糸乃	17		3			25	icon/attribute/70x70/2.png	12-15-16-18	[12]	攻击+9	{2:900}	{500001:10000,510206:4,510216:2,510209:2}	7
186	110301	四糸乃	18		3			36	icon/attribute/70x70/1.png	17-19	[17,19]	生命+36	{1:3600}	{500001:10000,510201:3,510216:3,510212:3}	7
187	110301	四糸乃	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+7	{3:700}	{500001:15000,510213:3,510209:3,510215:3}	6
188	110301	四糸乃	20		4			7	icon/attribute/70x70/2.png	19-22-24	[19]	攻击+11	{2:1100}	{500001:15000,510210:3,510214:3,510211:3}	6
189	110301	四糸乃	21		4			10	icon/attribute/70x70/2.png	19-22-25	[19]	攻击+11	{2:1100}	{500001:15000,510209:3,510212:3,510214:3}	6
190	110301	四糸乃	22		4			14	icon/attribute/70x70/1.png	20-21-23	[20,21]	生命+43	{1:4300}	{500001:15000,510214:3,510211:3,510213:3}	6
191	110301	四糸乃	23		4			25	icon/attribute/70x70/3.png	22-24-25	[22,24,25]	防御+7	{3:700}	{500001:15000,510212:4,510215:4,510216:1}	6
192	110301	四糸乃	24		4			29	icon/attribute/70x70/1.png	20-23-26	[20,23,26]	闪避率+0.5%	{506:50}	{500001:30000,510213:4,510215:4,510218:1}	6
193	110301	四糸乃	25		4			32	icon/attribute/70x70/511.png	21-23-26	[21,23,26]	闪避率+0.5%	{506:50}	{500001:30000,510211:4,510212:4,510219:1}	8
194	110301	四糸乃	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+43	{1:4300}	{500001:15000,510214:4,510211:4,510217:1}	8
195	110301	四糸乃	27		5			3	icon/attribute/70x70/3.png	26-28-29	[26]	防御+8	{3:800}	{500001:20000,510213:4,510215:4,510218:1}	7
196	110301	四糸乃	28		5			7	icon/attribute/70x70/1.png	27-30-33	[27]	生命+50	{1:5000}	{500001:20000,510210:5,510212:2,510224:2}	7
197	110301	四糸乃	29		5			10	icon/attribute/70x70/2.png	27-31	[27]	攻击+12	{2:1200}	{500001:20000,510212:5,510218:2,510219:2}	7
198	110301	四糸乃	30		5			14	icon/attribute/70x70/513.png	28-31	[28,31]	生命值+1.0%	{1001:100}	{500001:40000,510213:5,510217:2,510222:2}	7
199	110301	四糸乃	31		5			21	icon/attribute/70x70/1.png	29-30-32-34	[29,30,32,34]	生命+50	{1:5000}	{500001:20000,510213:5,510222:2,510223:2}	7
200	110301	四糸乃	32		5			25	icon/attribute/70x70/6.png	31-33	[31,33]	防御力+1.0%	{1003:100}	{500001:40000,510214:5,510223:2,510217:2}	7
201	110301	四糸乃	33		5			29	icon/attribute/70x70/2.png	28-32-35	[28,32,35]	攻击+14	{2:1400}	{500001:20000,510210:6,510219:3,510223:3}	7
202	110301	四糸乃	34		5			32	icon/attribute/70x70/3.png	31-35	[31,35]	防御+8	{3:800}	{500001:20000,510221:3,510223:3,510222:3}	9
203	110301	四糸乃	35		5			36	icon/attribute/70x70/3.png	33-34-36	[33,34]	防御+9	{3:900}	{500001:20000,510218:3,510224:3,510220:3}	9
204	110301	四糸乃	36		6			3	icon/attribute/70x70/1.png	35-38-39	[35]	生命+57	{1:5700}	{500001:30000,510217:3,510220:3,510221:3}	8
205	110301	四糸乃	37		6			7	icon/attribute/70x70/506.png	39	[39]	闪避率+0.5%	{506:50}	{500001:60000,510221:4,510218:4,510222:4}	8
206	110301	四糸乃	38		6			10	icon/attribute/70x70/2.png	36-41	[36]	攻击+14	{2:1400}	{500001:30000,510223:4,510224:4,510226:1}	8
207	110301	四糸乃	39		6			14	icon/attribute/70x70/3.png	36-37-41	[36]	防御+10	{3:1000}	{500001:30000,510222:4,510217:4,510232:1}	8
208	110301	四糸乃	40		6			18	icon/attribute/70x70/507.png	42-43	[42]	生命值+1.0%	{1001:100}	{500001:60000,510220:4,510219:4,510230:1}	8
209	110301	四糸乃	41		6			21	icon/attribute/70x70/1.png	38-39-42	[38,39]	生命+65	{1:6500}	{500001:30000,510219:5,510221:2,510228:2}	8
210	110301	四糸乃	42		6			25	icon/attribute/70x70/1.png	40-41-44-45	[41]	生命+65	{1:6500}	{500001:30000,510221:5,510232:2,510227:2}	8
211	110301	四糸乃	43		6			29	icon/attribute/70x70/2.png	40-45	[40,45]	攻击+15	{2:1500}	{500001:30000,510220:5,510226:2,510230:2}	8
212	110301	四糸乃	44		6			32	icon/attribute/70x70/513.png	42	[42]	防御力+1.0%	{1003:100}	{500001:60000,510220:5,510232:2,510231:2}	10
213	110301	四糸乃	45		6			36	icon/attribute/70x70/3.png	42-43-46	[42]	防御+10	{3:1000}	{500001:30000,510224:6,510228:3,510227:3}	10
214	110301	四糸乃	46		7			3	icon/attribute/70x70/2.png	45-47	[45]	攻击+15	{2:1500}	{500001:50000,510230:3,510231:3,510229:3}	10
215	110301	四糸乃	47		7			7	icon/attribute/70x70/3.png	46-50	[46]	防御+11	{3:1100}	{500001:50000,510227:3,510225:3,510231:3}	10
216	110301	四糸乃	48		7			10	icon/attribute/70x70/1.png	49-51	[49,51]	生命+72	{1:7200}	{500001:50000,510231:4,510232:4,510225:4}	10
217	110301	四糸乃	49		7			14	icon/attribute/70x70/1.png	48-50	[50]	生命+72	{1:7200}	{500001:50000,510226:4,510228:4,510239:3}	10
218	110301	四糸乃	50		7			18	icon/attribute/70x70/2.png	47-49-52-53	[47]	攻击+15	{2:1500}	{500001:50000,510227:4,510229:4,510240:3}	10
219	110301	四糸乃	51		7			21	icon/attribute/70x70/3.png	48-52-54	[48,52]	防御+11	{3:1100}	{500001:50000,510229:5,510225:5,510239:4}	10
220	110301	四糸乃	52		7			25	icon/attribute/70x70/503.png	50-51-55-56	[50]	闪避率+1.0%	{506:100}	{500001:100000,510226:5,510238:4,510237:4}	10
221	110301	四糸乃	53		7			28	icon/attribute/70x70/1.png	50-55	[50]	生命+72	{1:7200}	{500001:50000,510229:5,510240:4,510236:4}	10
222	110301	四糸乃	54		7			33	icon/attribute/70x70/3.png	51-56	[51,56]	防御+11	{3:1100}	{500001:50000,510225:6,510235:5,510235:5}	12
223	110301	四糸乃	55		7			35	icon/attribute/70x70/508.png	52-53	[52,53]	生命值+1.0%	{1001:100}	{500001:100000,510238:5,510237:5,510234:5}	12
224	110301	四糸乃	56		7			37	icon/attribute/70x70/511.png	52-54	[52,54]	防御力+1.5%	{1003:150}	{500001:100000,510233:5,510236:5,510237:5}	12
225	110401	狂三	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+33	{1:3300}	{500001:2000,510206:1,510204:1,510202:1}	4
226	110401	狂三	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+8	{2:800}	{500001:2000,510201:2,510202:2,510206:2}	4
227	110401	狂三	3		1			21	icon/attribute/70x70/507.png	2-4	[2]	穿透率+0.5%	{503:50}	{500001:4000,510204:2,510208:2,510207:2}	4
228	110401	狂三	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+5	{3:500}	{500001:2000,510203:2,510206:2,510203:2}	4
229	110401	狂三	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+8	{2:800}	{500001:2000,510204:2,510202:2,510205:2}	4
230	110401	狂三	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{500001:5000,510208:3,510207:3,510205:3}	5
231	110401	狂三	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+33	{1:3300}	{500001:5000,510201:3,510203:3,510209:1}	5
232	110401	狂三	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+10	{2:1000}	{500001:5000,510208:3,510205:3,510211:1}	5
233	110401	狂三	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+41	{1:4100}	{500001:5000,510202:3,510201:3,510213:1}	5
234	110401	狂三	10		2			32	icon/attribute/70x70/503.png	9-11	[9]	攻击力+0.5%	{1002:50}	{500001:10000,510205:3,510207:3,510210:1}	6
235	110401	狂三	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{500001:5000,510201:3,510203:3,510215:1}	6
236	110401	狂三	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+6	{3:600}	{500001:10000,510207:4,510204:4,510209:2}	6
237	110401	狂三	13		3			10	icon/attribute/70x70/514.png	12-15	[12]	穿透率+0.5%	{503:50}	{500001:20000,510205:4,510209:2,510215:2}	6
238	110401	狂三	14		3			14	icon/attribute/70x70/1.png	12-16	[12]	生命+41	{1:4100}	{500001:10000,510208:4,510211:2,510210:2}	6
239	110401	狂三	15		3			21	icon/attribute/70x70/2.png	13-16	[13,16]	攻击+12	{2:1200}	{500001:10000,510201:4,510215:2,510213:2}	6
240	110401	狂三	16		3			25	icon/attribute/70x70/1.png	14-15-17-18	[14,15]	生命+49	{1:4900}	{500001:10000,510205:4,510209:2,510212:2}	6
241	110401	狂三	17		3			29	icon/attribute/70x70/502.png	16-18	[16]	穿透率+1.0%	{503:100}	{500001:20000,510206:4,510211:2,510210:2}	7
242	110401	狂三	18		3			36	icon/attribute/70x70/2.png	16-17-19	[16]	攻击+12	{2:1200}	{500001:10000,510208:3,510209:3,510216:3}	7
243	110401	狂三	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+49	{1:4900}	{500001:15000,510210:3,510213:3,510214:3}	6
244	110401	狂三	20		4			10	icon/attribute/70x70/3.png	19-23	[19]	防御+6	{3:600}	{500001:15000,510215:3,510210:3,510211:3}	6
245	110401	狂三	21		4			14	icon/attribute/70x70/3.png	19-22-23	[19]	防御+7	{3:700}	{500001:15000,510214:3,510211:3,510212:3}	6
246	110401	狂三	22		4			18	icon/attribute/70x70/2.png	21-24-25	[21]	攻击+14	{2:1400}	{500001:15000,510213:3,510210:3,510216:3}	6
247	110401	狂三	23		4			21	icon/attribute/70x70/501.png	20-21	[20,21]	受伤减免+0.5%	{502:50}	{500001:30000,510209:4,510212:4,510214:1}	6
248	110401	狂三	24		4			25	icon/attribute/70x70/2.png	22-26	[22]	攻击+14	{2:1400}	{500001:15000,510216:4,510213:4,510219:1}	6
249	110401	狂三	25		4			29	icon/attribute/70x70/2.png	22-26	[22]	受伤减免+1.0%	{502:100}	{500001:30000,510212:4,510215:4,510224:1}	8
250	110401	狂三	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+57	{1:5700}	{500001:15000,510212:4,510211:4,510220:1}	8
251	110401	狂三	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+7	{3:700}	{500001:20000,510214:4,510216:4,510223:1}	7
252	110401	狂三	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+57	{1:5700}	{500001:20000,510215:5,510214:2,510217:2}	7
253	110401	狂三	29		5			10	icon/attribute/70x70/507.png	32	[32]	攻击力+1.0%	{1002:100}	{500001:40000,510216:5,510219:2,510223:2}	7
254	110401	狂三	30		5			14	icon/attribute/70x70/2.png	27-31-32-35	[27]	攻击+16	{2:1600}	{500001:20000,510213:5,510223:2,510221:2}	7
255	110401	狂三	31		5			18	icon/attribute/70x70/2.png	28-30-33	[28,30]	攻击+18	{2:1800}	{500001:20000,510211:5,510221:2,510222:2}	7
256	110401	狂三	32		5			21	icon/attribute/70x70/1.png	29-30-34	[30]	生命+65	{1:6500}	{500001:20000,510216:5,510218:2,510219:2}	7
257	110401	狂三	33		5			29	icon/attribute/70x70/506.png	31	[31]	穿透率+1.0%	{503:100}	{500001:40000,510214:6,510221:3,510218:3}	7
258	110401	狂三	34		5			32	icon/attribute/70x70/3.png	32-35	[32]	防御+8	{3:800}	{500001:20000,510217:3,510222:3,510226:3}	9
259	110401	狂三	35		5			36	icon/attribute/70x70/1.png	30-34-36	[30]	生命+74	{1:7400}	{500001:20000,510223:3,510220:3,510226:3}	9
260	110401	狂三	36		6			3	icon/attribute/70x70/3.png	35-39-40	[35]	防御+8	{3:800}	{500001:30000,510224:3,510220:3,510227:3}	8
261	110401	狂三	37		6			6	icon/attribute/70x70/3.png	39-41	[39,41]	防御+10	{3:1000}	{500001:30000,510217:4,510224:4,510225:4}	8
262	110401	狂三	38		6			11	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+18	{2:1800}	{500001:30000,510221:4,510229:4,510227:1}	8
263	110401	狂三	39		6			13	icon/attribute/70x70/1.png	36-37-43	[36]	生命+74	{1:7400}	{500001:30000,510222:4,510226:4,510225:1}	8
264	110401	狂三	40		6			15	icon/attribute/70x70/1.png	36-38-44	[36]	生命+82	{1:8200}	{500001:30000,510224:4,510230:4,510229:1}	8
265	110401	狂三	41		6			17	icon/attribute/70x70/501.png	37-43	[37,43]	受伤减免+1.0%	{502:100}	{500001:60000,510218:5,510228:2,510232:2}	8
266	110401	狂三	42		6			22	icon/attribute/70x70/503.png	38-44	[38,44]	攻击力+1.5%	{1002:150}	{500001:60000,510229:5,510225:2,510228:2}	8
267	110401	狂三	43		6			24	icon/attribute/70x70/2.png	39-41-45	[39,45]	攻击+21	{2:2100}	{500001:30000,510225:5,510232:2,510230:2}	8
268	110401	狂三	44		6			26	icon/attribute/70x70/3.png	40-42-45	[40,45]	防御+11	{3:1100}	{500001:30000,510230:5,510228:2,510231:2}	10
269	110401	狂三	45		6			36	icon/attribute/70x70/514.png	43-44-46	[43,44]	穿透率+1.0%	{503:100}	{500001:60000,510225:6,510227:3,510226:3}	10
270	110401	狂三	46		7			3	icon/attribute/70x70/3.png	45-49-50	[45]	防御+11	{3:1100}	{500001:50000,510229:3,510230:3,510232:3}	10
271	110401	狂三	47		7			6	icon/attribute/70x70/502.png	49-51	[49,51]	受伤减免+1.5%	{502:150}	{500001:100000,510226:3,510227:3,510220:3}	10
272	110401	狂三	48		7			11	icon/attribute/70x70/511.png	50-52	[50,52]	穿透率+2.0%	{503:200}	{500001:100000,510230:4,510228:4,510229:4}	10
273	110401	狂三	49		7			13	icon/attribute/70x70/1.png	46-47	[46]	生命+82	{1:8200}	{500001:50000,510232:4,510231:4,510228:3}	10
274	110401	狂三	50		7			15	icon/attribute/70x70/2.png	46-48	[46]	攻击+21	{2:2100}	{500001:50000,510227:4,510220:4,510231:3}	10
275	110401	狂三	51		7			17	icon/attribute/70x70/3.png	47-53	[47,53]	防御+12	{3:1200}	{500001:50000,510231:5,510232:5,510239:4}	10
276	110401	狂三	52		7			22	icon/attribute/70x70/3.png	48-54	[48,54]	防御+12	{3:1200}	{500001:50000,510228:5,510239:4,510237:4}	10
277	110401	狂三	53		7			24	icon/attribute/70x70/2.png	51-54-55	[51,54]	攻击+21	{2:2100}	{500001:50000,510220:5,510240:4,510236:4}	10
278	110401	狂三	54		7			26	icon/attribute/70x70/1.png	52-53-56	[52,53]	生命+82	{1:8200}	{500001:50000,510230:6,510233:5,510235:5}	12
279	110401	狂三	55		7			35	icon/attribute/70x70/2.png	53-56	[53,56]	攻击力+2.0%	{1002:200}	{500001:100000,510236:5,510234:5,510238:5}	12
280	110401	狂三	56		7			37	icon/attribute/70x70/3.png	54-55	[54,55]	防御+12	{3:1200}	{500001:50000,510234:5,510233:5,510235:5}	12
281	110501	琴里	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/2.png	2-3		攻击+8	{2:800}	{500001:2000,510201:1,510202:1,510203:1}	4
282	110501	琴里	2		1			13	icon/attribute/70x70/1.png	1-4	[1]	生命+33	{1:3300}	{500001:2000,510206:2,510207:2,510205:2}	4
283	110501	琴里	3		1			15	icon/attribute/70x70/3.png	1-4	[1]	防御+5	{3:500}	{500001:2000,510208:2,510204:2,510202:2}	4
284	110501	琴里	4		1			25	icon/attribute/70x70/508.png	2-3	[2,3]	暴击率+0.5%	{507:50}	{500001:4000,510201:2,510203:2,510204:2}	4
285	110501	琴里	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+8	{2:800}	{500001:2000,510206:2,510207:2,510208:2}	4
286	110501	琴里	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+5	{3:500}	{500001:5000,510205:3,510201:3,510202:3}	5
287	110501	琴里	7		2			7	icon/attribute/70x70/2.png	6-9	[6]	攻击+10	{2:1000}	{500001:5000,510203:3,510206:3,510209:1}	5
288	110501	琴里	8		2			10	icon/attribute/70x70/507.png	6-9	[6]	生命值+0.5%	{1001:50}	{500001:10000,510204:3,510203:3,510212:1}	5
289	110501	琴里	9		2			14	icon/attribute/70x70/1.png	7-8	[7,8]	生命+33	{1:3300}	{500001:5000,510206:3,510202:3,510214:1}	5
290	110501	琴里	10		2			25	icon/attribute/70x70/2.png	9-11	[9]	攻击+10	{2:1000}	{500001:5000,510207:3,510204:3,510216:1}	6
291	110501	琴里	11		2			36	icon/attribute/70x70/3.png	10-12	[10]	防御+6	{3:600}	{500001:5000,510208:3,510207:3,510213:1}	6
292	110501	琴里	12		3			3	icon/attribute/70x70/3.png	11-13-14-17	[11]	防御+6	{3:600}	{500001:10000,510205:4,510201:4,510210:2}	6
293	110501	琴里	13		3			7	icon/attribute/70x70/1.png	12-15	[12]	生命+41	{1:4100}	{500001:10000,510202:4,510209:2,510211:2}	6
294	110501	琴里	14		3			10	icon/attribute/70x70/2.png	12-16	[12]	攻击+12	{2:1200}	{500001:10000,510203:4,510215:2,510216:2}	6
295	110501	琴里	15		3			18	icon/attribute/70x70/1.png	13-17	[13,17]	生命值+1.0%	{1001:100}	{500001:20000,510207:4,510210:2,510213:2}	6
296	110501	琴里	16		3			21	icon/attribute/70x70/509.png	14-17	[14,17]	暴伤减免+2.0%	{510:200}	{500001:20000,510208:4,510214:2,510210:2}	6
297	110501	琴里	17		3			25	icon/attribute/70x70/2.png	12-15-16-18	[12]	攻击+12	{2:1200}	{500001:10000,510206:4,510212:2,510211:2}	7
298	110501	琴里	18		3			36	icon/attribute/70x70/1.png	17-19	[17,19]	生命+41	{1:4100}	{500001:10000,510205:3,510215:3,510214:3}	7
299	110501	琴里	19		4			3	icon/attribute/70x70/3.png	18-20-21	[18]	防御+8	{3:800}	{500001:15000,510209:3,510216:3,510210:3}	6
300	110501	琴里	20		4			7	icon/attribute/70x70/2.png	19-22-24	[19]	攻击+13	{2:1300}	{500001:15000,510215:3,510211:3,510212:3}	6
301	110501	琴里	21		4			10	icon/attribute/70x70/2.png	19-22-25	[19]	攻击+13	{2:1300}	{500001:15000,510214:3,510213:3,510211:3}	6
302	110501	琴里	22		4			14	icon/attribute/70x70/1.png	20-21-23	[20,21]	生命+49	{1:4900}	{500001:15000,510209:3,510215:3,510213:3}	6
303	110501	琴里	23		4			25	icon/attribute/70x70/3.png	22-24-25	[22,24,25]	防御+8	{3:800}	{500001:15000,510214:4,510212:4,510216:1}	6
304	110501	琴里	24		4			29	icon/attribute/70x70/510.png	20-23-26	[20,23,26]	暴伤减免+2.0%	{510:200}	{500001:30000,510209:4,510216:4,510218:1}	6
305	110501	琴里	25		4			32	icon/attribute/70x70/512.png	21-23-26	[21,23,26]	暴击率+1.0%	{507:100}	{500001:30000,510210:4,510212:4,510217:1}	8
306	110501	琴里	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+49	{1:4900}	{500001:15000,510211:4,510209:4,510219:1}	8
307	110501	琴里	27		5			3	icon/attribute/70x70/3.png	26-28-29	[26]	防御+9	{3:900}	{500001:20000,510212:4,510215:4,510220:1}	7
308	110501	琴里	28		5			7	icon/attribute/70x70/1.png	27-30-33	[27]	生命+57	{1:5700}	{500001:20000,510215:5,510213:2,510222:2}	7
309	110501	琴里	29		5			10	icon/attribute/70x70/2.png	27-31	[27]	攻击+15	{2:1500}	{500001:20000,510210:5,510223:2,510219:2}	7
310	110501	琴里	30		5			14	icon/attribute/70x70/515.png	28-31	[28,31]	生命值+1.5%	{1001:150}	{500001:40000,510211:5,510224:2,510218:2}	7
311	110501	琴里	31		5			21	icon/attribute/70x70/1.png	29-30-32-34	[29,30,32,34]	生命+57	{1:5700}	{500001:20000,510214:5,510221:2,510220:2}	7
312	110501	琴里	32		5			25	icon/attribute/70x70/510.png	31-33	[31,33]	暴伤减免+2.0%	{510:200}	{500001:40000,510216:5,510223:2,510217:2}	7
313	110501	琴里	33		5			29	icon/attribute/70x70/2.png	28-32-35	[28,32,35]	攻击+17	{2:1700}	{500001:20000,510213:6,510224:3,510221:3}	7
314	110501	琴里	34		5			32	icon/attribute/70x70/3.png	31-35	[31,35]	防御+9	{3:900}	{500001:20000,510221:3,510223:3,510222:3}	9
315	110501	琴里	35		5			36	icon/attribute/70x70/3.png	33-34-36	[33,34]	防御+10	{3:1000}	{500001:20000,510220:3,510220:3,510219:3}	9
316	110501	琴里	36		6			3	icon/attribute/70x70/1.png	35-38-39	[35]	生命+65	{1:6500}	{500001:30000,510217:3,510223:3,510222:3}	8
317	110501	琴里	37		6			7	icon/attribute/70x70/507.png	39	[39]	暴击率+1.5%	{507:150}	{500001:60000,510219:4,510218:4,510224:4}	8
318	110501	琴里	38		6			10	icon/attribute/70x70/2.png	36-41	[36]	攻击+17	{2:1700}	{500001:30000,510217:4,510220:4,510227:1}	8
319	110501	琴里	39		6			14	icon/attribute/70x70/3.png	36-37-41	[36]	防御+12	{3:1200}	{500001:30000,510218:4,510224:4,510225:1}	8
320	110501	琴里	40		6			18	icon/attribute/70x70/1.png	42-43	[42]	暴伤减免+3.0%	{510:300}	{500001:60000,510222:4,510224:4,510230:1}	8
321	110501	琴里	41		6			21	icon/attribute/70x70/1.png	38-39-42	[38,39]	生命+74	{1:7400}	{500001:30000,510221:5,510223:2,510232:2}	8
322	110501	琴里	42		6			25	icon/attribute/70x70/1.png	40-41-44-45	[41]	生命+74	{1:7400}	{500001:30000,510219:5,510226:2,510231:2}	8
323	110501	琴里	43		6			29	icon/attribute/70x70/2.png	40-45	[40,45]	攻击+19	{2:1900}	{500001:30000,510218:5,510232:2,510227:2}	8
324	110501	琴里	44		6			32	icon/attribute/70x70/508.png	42	[42]	暴伤减免+3.0%	{510:300}	{500001:60000,510222:5,510225:2,510229:2}	10
325	110501	琴里	45		6			36	icon/attribute/70x70/3.png	42-43-46	[42]	防御+12	{3:1200}	{500001:30000,510217:6,510228:3,510226:3}	10
326	110501	琴里	46		7			3	icon/attribute/70x70/2.png	45-47	[45]	攻击+19	{2:1900}	{500001:50000,510229:3,510225:3,510231:3}	10
327	110501	琴里	47		7			7	icon/attribute/70x70/3.png	46-50	[46]	防御+13	{3:1300}	{500001:50000,510228:3,510227:3,510230:3}	10
328	110501	琴里	48		7			10	icon/attribute/70x70/1.png	49-51	[49,51]	生命+82	{1:8200}	{500001:50000,510231:4,510232:4,510226:4}	10
329	110501	琴里	49		7			14	icon/attribute/70x70/1.png	48-50	[50]	生命+82	{1:8200}	{500001:50000,510229:4,510226:4,510239:3}	10
330	110501	琴里	50		7			18	icon/attribute/70x70/2.png	47-49-52-53	[47]	攻击+19	{2:1900}	{500001:50000,510230:4,510228:4,510238:3}	10
331	110501	琴里	51		7			21	icon/attribute/70x70/3.png	48-52-54	[48,52]	防御+13	{3:1300}	{500001:50000,510228:5,510231:5,510236:4}	10
332	110501	琴里	52		7			25	icon/attribute/70x70/502.png	50-51-55-56	[50]	生命值+2.0%	{1001:200}	{500001:100000,510225:5,510240:4,510235:4}	10
333	110501	琴里	53		7			28	icon/attribute/70x70/1.png	50-55	[50]	生命+82	{1:8200}	{500001:50000,510227:5,510237:4,510234:4}	10
334	110501	琴里	54		7			33	icon/attribute/70x70/3.png	51-56	[51,56]	防御+13	{3:1300}	{500001:50000,510230:6,510233:5,510239:5}	12
335	110501	琴里	55		7			35	icon/attribute/70x70/512.png	52-53	[52,53]	暴伤减免+3.0%	{510:300}	{500001:100000,510238:5,510234:5,510233:5}	12
336	110501	琴里	56		7			37	icon/attribute/70x70/515.png	52-54	[52,54]	暴击率+2.0%	{507:200}	{500001:100000,510240:5,510235:5,510237:5}	12
337	110601	真那	1		1	ui/jiejin01.png	ui/tu01.png	14	icon/attribute/70x70/2.png	2		攻击+8	{2:800}	{500001:2000,510206:1,510204:1,510202:1}	4
338	110601	真那	2		1			25	icon/attribute/70x70/1.png	1-3-4	[1]	生命+27	{1:2700}	{500001:2000,510201:2,510202:2,510206:2}	4
339	110601	真那	3		1			29	icon/attribute/70x70/2.png	2-5	[2]	攻击+8	{2:800}	{500001:2000,510204:2,510208:2,510207:2}	4
340	110601	真那	4		1			32	icon/attribute/70x70/3.png	2-5	[2]	防御+4	{3:400}	{500001:2000,510203:2,510206:2,510203:2}	4
341	110601	真那	5		1			36	icon/attribute/70x70/501.png	3-4-6	[3,4]	攻击速度+1	{6:100}	{500001:4000,510204:2,510202:2,510205:2}	4
342	110601	真那	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{500001:5000,510208:3,510207:3,510205:3}	5
343	110601	真那	7		2			10	icon/attribute/70x70/2.png	6-8	[6]	攻击+10	{2:1000}	{500001:5000,510201:3,510203:3,510209:1}	5
344	110601	真那	8		2			14	icon/attribute/70x70/1.png	6-7-9	[6]	生命+27	{1:2700}	{500001:5000,510208:3,510205:3,510211:1}	5
345	110601	真那	9		2			25	icon/attribute/70x70/3.png	8-10-11	[8]	防御+5	{3:500}	{500001:5000,510202:3,510201:3,510213:1}	5
346	110601	真那	10		2			29	icon/attribute/70x70/6.png	9-11	[9]	暴击率+0.5%	{507:50}	{500001:10000,510205:3,510207:3,510210:1}	6
347	110601	真那	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{500001:5000,510201:3,510203:3,510215:1}	6
348	110601	真那	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+5	{3:500}	{500001:10000,510207:4,510204:4,510209:2}	6
349	110601	真那	13		3			7	icon/attribute/70x70/509.png	12-15	[12]	暴击伤害+2.0%	{509:200}	{500001:20000,510205:4,510209:2,510215:2}	6
