ID	分类	对应看板娘	对应精灵	配音路径	备注（策划看）
109008	dating_invite_no	109		["sound/role/ailun/EREN_39.mp3"]	预定约会-拒绝邀请
109009	button_dress	109		["sound/role/ailun/EREN_40.mp3"]	进入换装
109010	dress_low	109		["sound/role/ailun/EREN_11.mp3"]	换上服装-一般
109011	dress_high	109		["sound/role/ailun/EREN_42.mp3"]	换上服装-高级
109012	button_gift	109		["sound/role/ailun/EREN_43.mp3"]	进入送礼
109013	gifts_wait	109		["sound/role/ailun/EREN_44.mp3"]	等待送礼
109014	food_high	109		["sound/role/ailun/EREN_07.mp3"]	喜爱食物
109015	food_low	109		["sound/role/ailun/EREN_08.mp3"]	一般食物
109016	gift_high	109		["sound/role/ailun/EREN_09.mp3"]	喜爱礼物
109017	gift_low	109		["sound/role/ailun/EREN_10.mp3"]	一般礼物
109018	favor_up	109		["sound/role/ailun/EREN_05.mp3"]	好感度等级提升
109019	ability_up		110901	["sound/role/ailun/EREN_12.mp3"]	等级/星级提升
109020	change_kanban	109		["sound/role/ailun/EREN_45.mp3"]	切换看板娘
109021	change_hero		110901	["sound/role/ailun/EREN_46.mp3"]	切换精灵
109022	change_equip	109		["sound/role/ailun/EREN_47.mp3"]	更换灵装
109023	battle_play		110901	["sound/role/ailun/EREN_48.mp3"]	上阵
109024	mood_sad	109		["sound/role/ailun/EREN_01.mp3"]	看板娘处于无聊、生气、饥饿状态
109025	mood_normal	109		["sound/role/ailun/EREN_02.mp3"]	在城市点击看板娘模型1
109026	mian_morning	109		["sound/role/ailun/EREN_72.mp3"]	进入主界面-早上
109027	mian_afternoon	109		["sound/role/ailun/EREN_74.mp3"]	进入主界面-下午
109028	mian_night	109		["sound/role/ailun/EREN_75.mp3"]	进入主界面-晚上
109029	mian_dawn	109		["sound/role/ailun/EREN_76.mp3"]	进入主界面-凌晨
109030	spring	109		["sound/role/ailun/EREN_98.mp3"]	温泉功能
110001	hero_get		111001	["sound/role/meijiu/MIKU_33.mp3"]	获得角色1
110002	button_dating	110		["sound/role/meijiu/MIKU_24.mp3"]	点击约会按钮
110003	dating_complete	110		["sound/role/meijiu/MIKU_58.mp3"]	约会结束-成功
110004	hidden_end	110		["sound/role/meijiu/MIKU_60.mp3"]	约会结束-hidden end
110005	good_end	110		["sound/role/meijiu/MIKU_100.mp3"]	约会结束-happy、good
110006	bad_end	110		["sound/role/meijiu/MIKU_61.mp3"]	约会结束-normal、bad
110007	dating_invite_yes	110		["sound/role/meijiu/MIKU_62.mp3"]	预定约会-接受邀请
110008	dating_invite_no	110		["sound/role/meijiu/MIKU_63.mp3"]	预定约会-拒绝邀请
110009	button_dress	110		["sound/role/meijiu/MIKU_64.mp3"]	进入换装
110010	dress_low	110		["sound/role/meijiu/MIKU_31.mp3"]	换上服装-一般
110011	dress_high	110		["sound/role/meijiu/MIKU_66.mp3"]	换上服装-高级
110012	button_gift	110		["sound/role/meijiu/MIKU_102.mp3"]	进入送礼
110013	gifts_wait	110		["sound/role/meijiu/MIKU_67.mp3"]	等待送礼
110014	food_high	110		["sound/role/meijiu/MIKU_27.mp3"]	喜爱食物
110015	food_low	110		["sound/role/meijiu/MIKU_28.mp3"]	一般食物
110016	gift_high	110		["sound/role/meijiu/MIKU_29.mp3"]	喜爱礼物
110017	gift_low	110		["sound/role/meijiu/MIKU_30.mp3"]	一般礼物
110018	favor_up	110		["sound/role/meijiu/MIKU_25.mp3"]	好感度等级提升
110019	ability_up		111001	["sound/role/meijiu/MIKU_32.mp3"]	等级/星级提升
110020	change_kanban	110		["sound/role/meijiu/MIKU_68.mp3"]	切换看板娘
110021	change_hero		111001	["sound/role/meijiu/MIKU_69.mp3"]	切换精灵
110022	change_equip	110		["sound/role/meijiu/MIKU_70.mp3"]	更换灵装
110023	battle_play		111001	["sound/role/meijiu/MIKU_71.mp3"]	上阵
110024	mood_sad	110		["sound/role/meijiu/MIKU_21.mp3"]	看板娘处于无聊、生气、饥饿状态
110025	mood_normal	110		["sound/role/meijiu/MIKU_22.mp3"]	在城市点击看板娘模型1
110026	mian_morning	110		["sound/role/meijiu/MIKU_93.mp3"]	进入主界面-早上
110027	mian_afternoon	110		["sound/role/meijiu/MIKU_95.mp3"]	进入主界面-下午
110028	mian_night	110		["sound/role/meijiu/MIKU_26.mp3"]	进入主界面-晚上
110029	mian_dawn	110		["sound/role/meijiu/MIKU_96.mp3"]	进入主界面-凌晨
110030	spring	110		["sound/role/meijiu/MIKU_116.mp3"]	温泉功能
111001	hero_get		111101	["sound/role/shizhi/SHIORI_08.mp3"]	获得角色1
111002	button_dating	111		["sound/role/shizhi/SHIORI_09.mp3"]	点击约会按钮
111003	dating_complete	111		["sound/role/shizhi/SHIORI_12.mp3"]	约会结束-成功
111004	hidden_end	111		["sound/role/shizhi/SHIORI_14.mp3"]	约会结束-hidden end
111005	good_end	111		["sound/role/shizhi/SHIORI_15.mp3"]	约会结束-happy、good
111006	bad_end	111		["sound/role/shizhi/SHIORI_16.mp3"]	约会结束-normal、bad
111007	dating_invite_yes	111		["sound/role/shizhi/SHIORI_17.mp3"]	预定约会-接受邀请
111008	dating_invite_no	111		["sound/role/shizhi/SHIORI_18.mp3"]	预定约会-拒绝邀请
111009	button_dress	111		["sound/role/shizhi/SHIORI_SHIDOU_04.mp3"]	进入换装
111010	dress_low	111		["sound/role/shizhi/SHIORI_SHIDOU_04.mp3"]	换上服装-一般
111011	dress_high	111		["sound/role/shizhi/SHIORI_SHIDOU_07.mp3"]	换上服装-高级
111012	button_gift	111		["sound/role/shizhi/SHIORI_19.mp3"]	进入送礼
111013	gifts_wait	111		["sound/role/shizhi/SHIORI_20.mp3"]	等待送礼
111014	food_high	111		["sound/role/shizhi/SHIORI_21.mp3"]	喜爱食物
111015	food_low	111		["sound/role/shizhi/SHIORI_22.mp3"]	一般食物
111016	gift_high	111		["sound/role/shizhi/SHIORI_23.mp3"]	喜爱礼物
111017	gift_low	111		["sound/role/shizhi/SHIORI_24.mp3"]	一般礼物
111018	favor_up	111		["sound/role/shizhi/SHIORI_25.mp3"]	好感度等级提升
111019	ability_up				等级/星级提升
111020	change_kanban	111		["sound/role/shizhi/SHIORI_26.mp3"]	切换看板娘
111021	change_hero				切换精灵
111022	change_equip	111		["sound/role/shizhi/SHIORI_SHIDOU_05.mp3"]	更换灵装
111023	battle_play	111	111101	["sound/role/shizhi/SHIORI_27.mp3"]	上阵
111024	mood_sad				看板娘处于无聊、生气、饥饿状态
111025	mood_normal				在城市点击看板娘模型1
111026	mian_morning				进入主界面-早上
111027	mian_afternoon				进入主界面-下午
111028	mian_night				进入主界面-晚上
111029	mian_dawn				进入主界面-凌晨
111030	spring				温泉功能
112001	hero_get		111201	["sound/role/wanyouli/MAYURI_30.mp3"]	获得角色1
112002	button_dating	112		["sound/role/wanyouli/MAYURI_21.mp3"]	点击约会按钮
112003	dating_complete	112		["sound/role/wanyouli/MAYURI_54.mp3"]	约会结束-成功
112004	hidden_end	112		["sound/role/wanyouli/MAYURI_56.mp3"]	约会结束-hidden end
112005	good_end	112		["sound/role/wanyouli/MAYURI_97.mp3"]	约会结束-happy、good
112006	bad_end	112		["sound/role/wanyouli/MAYURI_57.mp3"]	约会结束-normal、bad
112007	dating_invite_yes	112		["sound/role/wanyouli/MAYURI_58.mp3"]	预定约会-接受邀请
112008	dating_invite_no	112		["sound/role/wanyouli/MAYURI_55.mp3"]	预定约会-拒绝邀请
112009	button_dress	112		["sound/role/wanyouli/MAYURI_59.mp3"]	进入换装
112010	dress_low	112		["sound/role/wanyouli/MAYURI_28.mp3"]	换上服装-一般
112011	dress_high	112		["sound/role/wanyouli/MAYURI_61.mp3"]	换上服装-高级
112012	button_gift	112		["sound/role/wanyouli/MAYURI_62.mp3"]	进入送礼
112013	gifts_wait	112		["sound/role/wanyouli/MAYURI_96.mp3"]	等待送礼
112014	food_high	112		["sound/role/wanyouli/MAYURI_24.mp3"]	喜爱食物
112015	food_low	112		["sound/role/wanyouli/MAYURI_25.mp3"]	一般食物
112016	gift_high	112		["sound/role/wanyouli/MAYURI_26.mp3"]	喜爱礼物
112017	gift_low	112		["sound/role/wanyouli/MAYURI_27.mp3"]	一般礼物
112018	favor_up	112		["sound/role/wanyouli/MAYURI_22.mp3"]	好感度等级提升
112019	ability_up		111201	["sound/role/wanyouli/MAYURI_29.mp3"]	等级/星级提升
112020	change_kanban	112		["sound/role/wanyouli/MAYURI_63.mp3"]	切换看板娘
112021	change_hero		111201	["sound/role/wanyouli/MAYURI_64.mp3"]	切换精灵
112022	change_equip	112		["sound/role/wanyouli/MAYURI_65.mp3"]	更换灵装
112023	battle_play		111201	["sound/role/wanyouli/MAYURI_66.mp3"]	上阵
112024	mood_sad	112		["sound/role/wanyouli/MAYURI_18.mp3"]	看板娘处于无聊、生气、饥饿状态
112025	mood_normal	112		["sound/role/wanyouli/MAYURI_19.mp3"]	在城市点击看板娘模型1
112026	mian_morning	112		["sound/role/wanyouli/MAYURI_85.mp3"]	进入主界面-早上
112027	mian_afternoon	112		["sound/role/wanyouli/MAYURI_87.mp3"]	进入主界面-下午
112028	mian_night	112		["sound/role/wanyouli/MAYURI_23.mp3"]	进入主界面-晚上
112029	mian_dawn	112		["sound/role/wanyouli/MAYURI_88.mp3"]	进入主界面-凌晨
112030	spring	112		["sound/role/wanyouli/MAYURI_111.mp3"]	温泉功能
