id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
477	对精灵目标增伤1-区间2	420654	20	1	87	654	60-70
478	对精灵目标增伤1-区间3	420654	20	1	68	654	70-80
479	对精灵目标增伤1-区间4	420654	20	1	47	654	80-90
480	对精灵目标增伤1-区间5	420654	20	1	31	654	90-100
481	对精灵目标增伤2-区间1	420654	20	2	116	654	100-115
482	对精灵目标增伤2-区间2	420654	20	2	130	654	115-130
483	对精灵目标增伤2-区间3	420654	20	2	102	654	130-145
484	对精灵目标增伤2-区间4	420654	20	2	70	654	145-160
485	对精灵目标增伤2-区间5	420654	20	2	47	654	160-175
486	对精灵目标增伤3-区间1	420654	20	3	97	654	175-195
487	对精灵目标增伤3-区间2	420654	20	3	109	654	195-215
488	对精灵目标增伤3-区间3	420654	20	3	85	654	215-235
489	对精灵目标增伤3-区间4	420654	20	3	58	654	235-255
490	对精灵目标增伤3-区间5	420654	20	3	39	654	255-275
491	对精灵目标增伤4-区间1	420654	20	4	58	654	275-295
492	对精灵目标增伤4-区间2	420654	20	4	65	654	295-315
493	对精灵目标增伤4-区间3	420654	20	4	51	654	315-335
494	对精灵目标增伤4-区间4	420654	20	4	35	654	335-355
495	对精灵目标增伤4-区间5	420654	20	4	23	654	355-375
496	对精灵目标增伤5-区间1	420654	20	5	39	654	375-400
497	对精灵目标增伤5-区间2	420654	20	5	43	654	400-425
498	对精灵目标增伤5-区间3	420654	20	5	34	654	425-450
499	对精灵目标增伤5-区间4	420654	20	5	23	654	450-475
500	对精灵目标增伤5-区间5	420654	20	5	16	654	475-500
501	格挡率1-区间1	420504	21	1	150	504	50-60
502	格挡率1-区间2	420504	21	1	168	504	60-70
503	格挡率1-区间3	420504	21	1	132	504	70-80
504	格挡率1-区间4	420504	21	1	90	504	80-90
505	格挡率1-区间5	420504	21	1	60	504	90-100
506	格挡率2-区间1	420504	21	2	225	504	100-115
507	格挡率2-区间2	420504	21	2	252	504	115-130
508	格挡率2-区间3	420504	21	2	198	504	130-145
509	格挡率2-区间4	420504	21	2	135	504	145-160
510	格挡率2-区间5	420504	21	2	90	504	160-175
511	格挡率3-区间1	420504	21	3	188	504	175-195
512	格挡率3-区间2	420504	21	3	210	504	195-215
513	格挡率3-区间3	420504	21	3	165	504	215-235
514	格挡率3-区间4	420504	21	3	113	504	235-255
515	格挡率3-区间5	420504	21	3	75	504	255-275
516	格挡率4-区间1	420504	21	4	113	504	275-295
517	格挡率4-区间2	420504	21	4	126	504	295-315
518	格挡率4-区间3	420504	21	4	99	504	315-335
519	格挡率4-区间4	420504	21	4	68	504	335-355
520	格挡率4-区间5	420504	21	4	45	504	355-375
521	格挡率5-区间1	420504	21	5	75	504	375-400
522	格挡率5-区间2	420504	21	5	84	504	400-425
523	格挡率5-区间3	420504	21	5	66	504	425-450
524	格挡率5-区间4	420504	21	5	45	504	450-475
525	格挡率5-区间5	420504	21	5	30	504	475-500
526	闪避率1-区间1	420506	22	1	150	506	30-36
527	闪避率1-区间2	420506	22	1	168	506	36-42
528	闪避率1-区间3	420506	22	1	132	506	42-48
529	闪避率1-区间4	420506	22	1	90	506	48-54
530	闪避率1-区间5	420506	22	1	60	506	54-60
531	闪避率2-区间1	420506	22	2	225	506	60-69
532	闪避率2-区间2	420506	22	2	252	506	69-78
533	闪避率2-区间3	420506	22	2	198	506	78-87
534	闪避率2-区间4	420506	22	2	135	506	87-96
535	闪避率2-区间5	420506	22	2	90	506	96-105
536	闪避率3-区间1	420506	22	3	188	506	105-117
537	闪避率3-区间2	420506	22	3	210	506	117-129
538	闪避率3-区间3	420506	22	3	165	506	129-141
539	闪避率3-区间4	420506	22	3	113	506	141-153
540	闪避率3-区间5	420506	22	3	75	506	153-165
541	闪避率4-区间1	420506	22	4	113	506	165-177
542	闪避率4-区间2	420506	22	4	126	506	177-189
543	闪避率4-区间3	420506	22	4	99	506	189-201
544	闪避率4-区间4	420506	22	4	68	506	201-213
545	闪避率4-区间5	420506	22	4	45	506	213-225
546	闪避率5-区间1	420506	22	5	75	506	225-240
547	闪避率5-区间2	420506	22	5	84	506	240-255
548	闪避率5-区间3	420506	22	5	66	506	255-270
549	闪避率5-区间4	420506	22	5	45	506	270-285
550	闪避率5-区间5	420506	22	5	30	506	285-300
551	抗暴率1-区间1	420508	23	1	150	508	50-60
552	抗暴率1-区间2	420508	23	1	168	508	60-70
553	抗暴率1-区间3	420508	23	1	132	508	70-80
554	抗暴率1-区间4	420508	23	1	90	508	80-90
555	抗暴率1-区间5	420508	23	1	60	508	90-100
556	抗暴率2-区间1	420508	23	2	225	508	100-115
557	抗暴率2-区间2	420508	23	2	252	508	115-130
558	抗暴率2-区间3	420508	23	2	198	508	130-145
559	抗暴率2-区间4	420508	23	2	135	508	145-160
560	抗暴率2-区间5	420508	23	2	90	508	160-175
561	抗暴率3-区间1	420508	23	3	188	508	175-195
562	抗暴率3-区间2	420508	23	3	210	508	195-215
563	抗暴率3-区间3	420508	23	3	165	508	215-235
564	抗暴率3-区间4	420508	23	3	113	508	235-255
565	抗暴率3-区间5	420508	23	3	75	508	255-275
566	抗暴率4-区间1	420508	23	4	113	508	275-295
567	抗暴率4-区间2	420508	23	4	126	508	295-315
568	抗暴率4-区间3	420508	23	4	99	508	315-335
569	抗暴率4-区间4	420508	23	4	68	508	335-355
570	抗暴率4-区间5	420508	23	4	45	508	355-375
571	抗暴率5-区间1	420508	23	5	75	508	375-400
572	抗暴率5-区间2	420508	23	5	84	508	400-425
573	抗暴率5-区间3	420508	23	5	66	508	425-450
574	抗暴率5-区间4	420508	23	5	45	508	450-475
575	抗暴率5-区间5	420508	23	5	30	508	475-500
576	暴免率1-区间1	420510	24	1	150	510	100-120
577	暴免率1-区间2	420510	24	1	168	510	120-140
578	暴免率1-区间3	420510	24	1	132	510	140-160
579	暴免率1-区间4	420510	24	1	90	510	160-180
580	暴免率1-区间5	420510	24	1	60	510	180-200
581	暴免率2-区间1	420510	24	2	225	510	200-230
582	暴免率2-区间2	420510	24	2	252	510	230-260
583	暴免率2-区间3	420510	24	2	198	510	260-290
584	暴免率2-区间4	420510	24	2	135	510	290-320
585	暴免率2-区间5	420510	24	2	90	510	320-350
586	暴免率3-区间1	420510	24	3	188	510	350-390
587	暴免率3-区间2	420510	24	3	210	510	390-430
588	暴免率3-区间3	420510	24	3	165	510	430-470
589	暴免率3-区间4	420510	24	3	113	510	470-510
590	暴免率3-区间5	420510	24	3	75	510	510-550
591	暴免率4-区间1	420510	24	4	113	510	550-590
592	暴免率4-区间2	420510	24	4	126	510	590-630
593	暴免率4-区间3	420510	24	4	99	510	630-670
594	暴免率4-区间4	420510	24	4	68	510	670-710
595	暴免率4-区间5	420510	24	4	45	510	710-750
596	暴免率5-区间1	420510	24	5	75	510	750-800
597	暴免率5-区间2	420510	24	5	84	510	800-850
598	暴免率5-区间3	420510	24	5	66	510	850-900
599	暴免率5-区间4	420510	24	5	45	510	900-950
600	暴免率5-区间5	420510	24	5	30	510	950-1000
601	生命加成1-区间1	421001	25	1	150	1001	30-36
602	生命加成1-区间2	421001	25	1	168	1001	36-42
603	生命加成1-区间3	421001	25	1	132	1001	42-48
604	生命加成1-区间4	421001	25	1	90	1001	48-54
605	生命加成1-区间5	421001	25	1	60	1001	54-60
606	生命加成2-区间1	421001	25	2	225	1001	60-69
607	生命加成2-区间2	421001	25	2	252	1001	69-78
608	生命加成2-区间3	421001	25	2	198	1001	78-87
609	生命加成2-区间4	421001	25	2	135	1001	87-96
610	生命加成2-区间5	421001	25	2	90	1001	96-105
611	生命加成3-区间1	421001	25	3	188	1001	105-117
612	生命加成3-区间2	421001	25	3	210	1001	117-129
613	生命加成3-区间3	421001	25	3	165	1001	129-141
614	生命加成3-区间4	421001	25	3	113	1001	141-153
615	生命加成3-区间5	421001	25	3	75	1001	153-165
616	生命加成4-区间1	421001	25	4	113	1001	165-177
617	生命加成4-区间2	421001	25	4	126	1001	177-189
618	生命加成4-区间3	421001	25	4	99	1001	189-201
619	生命加成4-区间4	421001	25	4	68	1001	201-213
620	生命加成4-区间5	421001	25	4	45	1001	213-225
621	生命加成5-区间1	421001	25	5	75	1001	225-240
622	生命加成5-区间2	421001	25	5	84	1001	240-255
623	生命加成5-区间3	421001	25	5	66	1001	255-270
624	生命加成5-区间4	421001	25	5	45	1001	270-285
625	生命加成5-区间5	421001	25	5	30	1001	285-300
626	防御加成1-区间1	421003	26	1	150	1003	30-36
627	防御加成1-区间2	421003	26	1	168	1003	36-42
628	防御加成1-区间3	421003	26	1	132	1003	42-48
629	防御加成1-区间4	421003	26	1	90	1003	48-54
630	防御加成1-区间5	421003	26	1	60	1003	54-60
631	防御加成2-区间1	421003	26	2	225	1003	60-69
632	防御加成2-区间2	421003	26	2	252	1003	69-78
633	防御加成2-区间3	421003	26	2	198	1003	78-87
634	防御加成2-区间4	421003	26	2	135	1003	87-96
635	防御加成2-区间5	421003	26	2	90	1003	96-105
636	防御加成3-区间1	421003	26	3	188	1003	105-117
637	防御加成3-区间2	421003	26	3	210	1003	117-129
638	防御加成3-区间3	421003	26	3	165	1003	129-141
639	防御加成3-区间4	421003	26	3	113	1003	141-153
640	防御加成3-区间5	421003	26	3	75	1003	153-165
641	防御加成4-区间1	421003	26	4	113	1003	165-177
642	防御加成4-区间2	421003	26	4	126	1003	177-189
643	防御加成4-区间3	421003	26	4	99	1003	189-201
644	防御加成4-区间4	421003	26	4	68	1003	201-213
645	防御加成4-区间5	421003	26	4	45	1003	213-225
646	防御加成5-区间1	421003	26	5	75	1003	225-240
647	防御加成5-区间2	421003	26	5	84	1003	240-255
648	防御加成5-区间3	421003	26	5	66	1003	255-270
649	防御加成5-区间4	421003	26	5	45	1003	270-285
650	防御加成5-区间5	421003	26	5	30	1003	285-300
651	全局减伤1-区间1	420502	27	1	150	502	30-36
652	全局减伤1-区间2	420502	27	1	168	502	36-42
653	全局减伤1-区间3	420502	27	1	132	502	42-48
654	全局减伤1-区间4	420502	27	1	90	502	48-54
655	全局减伤1-区间5	420502	27	1	60	502	54-60
656	全局减伤2-区间1	420502	27	2	225	502	60-69
657	全局减伤2-区间2	420502	27	2	252	502	69-78
658	全局减伤2-区间3	420502	27	2	198	502	78-87
659	全局减伤2-区间4	420502	27	2	135	502	87-96
660	全局减伤2-区间5	420502	27	2	90	502	96-105
661	全局减伤3-区间1	420502	27	3	188	502	105-117
662	全局减伤3-区间2	420502	27	3	210	502	117-129
663	全局减伤3-区间3	420502	27	3	165	502	129-141
664	全局减伤3-区间4	420502	27	3	113	502	141-153
665	全局减伤3-区间5	420502	27	3	75	502	153-165
666	全局减伤4-区间1	420502	27	4	113	502	165-177
667	全局减伤4-区间2	420502	27	4	126	502	177-189
668	全局减伤4-区间3	420502	27	4	99	502	189-201
669	全局减伤4-区间4	420502	27	4	68	502	201-213
670	全局减伤4-区间5	420502	27	4	45	502	213-225
671	全局减伤5-区间1	420502	27	5	75	502	225-240
672	全局减伤5-区间2	420502	27	5	84	502	240-255
673	全局减伤5-区间3	420502	27	5	66	502	255-270
674	全局减伤5-区间4	420502	27	5	45	502	270-285
675	全局减伤5-区间5	420502	27	5	30	502	285-300
676	物理减伤1-区间1	420701	28	1	60	701	50-60
677	物理减伤1-区间2	420701	28	1	67	701	60-70
678	物理减伤1-区间3	420701	28	1	53	701	70-80
679	物理减伤1-区间4	420701	28	1	36	701	80-90
680	物理减伤1-区间5	420701	28	1	24	701	90-100
681	物理减伤2-区间1	420701	28	2	90	701	100-115
682	物理减伤2-区间2	420701	28	2	101	701	115-130
683	物理减伤2-区间3	420701	28	2	79	701	130-145
684	物理减伤2-区间4	420701	28	2	54	701	145-160
685	物理减伤2-区间5	420701	28	2	36	701	160-175
686	物理减伤3-区间1	420701	28	3	75	701	175-195
687	物理减伤3-区间2	420701	28	3	84	701	195-215
688	物理减伤3-区间3	420701	28	3	66	701	215-235
689	物理减伤3-区间4	420701	28	3	45	701	235-255
690	物理减伤3-区间5	420701	28	3	30	701	255-275
691	物理减伤4-区间1	420701	28	4	45	701	275-295
692	物理减伤4-区间2	420701	28	4	50	701	295-315
693	物理减伤4-区间3	420701	28	4	40	701	315-335
694	物理减伤4-区间4	420701	28	4	27	701	335-355
695	物理减伤4-区间5	420701	28	4	18	701	355-375
696	物理减伤5-区间1	420701	28	5	30	701	375-400
697	物理减伤5-区间2	420701	28	5	34	701	400-425
698	物理减伤5-区间3	420701	28	5	26	701	425-450
699	物理减伤5-区间4	420701	28	5	18	701	450-475
700	物理减伤5-区间5	420701	28	5	12	701	475-500
701	冰属性减伤1-区间1	420702	29	1	60	702	50-60
702	冰属性减伤1-区间2	420702	29	1	67	702	60-70
703	冰属性减伤1-区间3	420702	29	1	53	702	70-80
704	冰属性减伤1-区间4	420702	29	1	36	702	80-90
705	冰属性减伤1-区间5	420702	29	1	24	702	90-100
706	冰属性减伤2-区间1	420702	29	2	90	702	100-115
707	冰属性减伤2-区间2	420702	29	2	101	702	115-130
708	冰属性减伤2-区间3	420702	29	2	79	702	130-145
709	冰属性减伤2-区间4	420702	29	2	54	702	145-160
710	冰属性减伤2-区间5	420702	29	2	36	702	160-175
711	冰属性减伤3-区间1	420702	29	3	75	702	175-195
712	冰属性减伤3-区间2	420702	29	3	84	702	195-215
713	冰属性减伤3-区间3	420702	29	3	66	702	215-235
714	冰属性减伤3-区间4	420702	29	3	45	702	235-255
715	冰属性减伤3-区间5	420702	29	3	30	702	255-275
716	冰属性减伤4-区间1	420702	29	4	45	702	275-295
717	冰属性减伤4-区间2	420702	29	4	50	702	295-315
718	冰属性减伤4-区间3	420702	29	4	40	702	315-335
719	冰属性减伤4-区间4	420702	29	4	27	702	335-355
720	冰属性减伤4-区间5	420702	29	4	18	702	355-375
721	冰属性减伤5-区间1	420702	29	5	30	702	375-400
722	冰属性减伤5-区间2	420702	29	5	34	702	400-425
723	冰属性减伤5-区间3	420702	29	5	26	702	425-450
724	冰属性减伤5-区间4	420702	29	5	18	702	450-475
725	冰属性减伤5-区间5	420702	29	5	12	702	475-500
726	火属性减伤1-区间1	420703	30	1	60	703	50-60
727	火属性减伤1-区间2	420703	30	1	67	703	60-70
728	火属性减伤1-区间3	420703	30	1	53	703	70-80
729	火属性减伤1-区间4	420703	30	1	36	703	80-90
730	火属性减伤1-区间5	420703	30	1	24	703	90-100
731	火属性减伤2-区间1	420703	30	2	90	703	100-115
732	火属性减伤2-区间2	420703	30	2	101	703	115-130
733	火属性减伤2-区间3	420703	30	2	79	703	130-145
734	火属性减伤2-区间4	420703	30	2	54	703	145-160
735	火属性减伤2-区间5	420703	30	2	36	703	160-175
736	火属性减伤3-区间1	420703	30	3	75	703	175-195
737	火属性减伤3-区间2	420703	30	3	84	703	195-215
738	火属性减伤3-区间3	420703	30	3	66	703	215-235
739	火属性减伤3-区间4	420703	30	3	45	703	235-255
740	火属性减伤3-区间5	420703	30	3	30	703	255-275
741	火属性减伤4-区间1	420703	30	4	45	703	275-295
742	火属性减伤4-区间2	420703	30	4	50	703	295-315
743	火属性减伤4-区间3	420703	30	4	40	703	315-335
744	火属性减伤4-区间4	420703	30	4	27	703	335-355
745	火属性减伤4-区间5	420703	30	4	18	703	355-375
746	火属性减伤5-区间1	420703	30	5	30	703	375-400
747	火属性减伤5-区间2	420703	30	5	34	703	400-425
748	火属性减伤5-区间3	420703	30	5	26	703	425-450
749	火属性减伤5-区间4	420703	30	5	18	703	450-475
750	火属性减伤5-区间5	420703	30	5	12	703	475-500
751	风属性减伤1-区间1	420704	31	1	60	704	50-60
752	风属性减伤1-区间2	420704	31	1	67	704	60-70
753	风属性减伤1-区间3	420704	31	1	53	704	70-80
754	风属性减伤1-区间4	420704	31	1	36	704	80-90
755	风属性减伤1-区间5	420704	31	1	24	704	90-100
756	风属性减伤2-区间1	420704	31	2	90	704	100-115
757	风属性减伤2-区间2	420704	31	2	101	704	115-130
758	风属性减伤2-区间3	420704	31	2	79	704	130-145
759	风属性减伤2-区间4	420704	31	2	54	704	145-160
760	风属性减伤2-区间5	420704	31	2	36	704	160-175
761	风属性减伤3-区间1	420704	31	3	75	704	175-195
762	风属性减伤3-区间2	420704	31	3	84	704	195-215
763	风属性减伤3-区间3	420704	31	3	66	704	215-235
764	风属性减伤3-区间4	420704	31	3	45	704	235-255
765	风属性减伤3-区间5	420704	31	3	30	704	255-275
766	风属性减伤4-区间1	420704	31	4	45	704	275-295
767	风属性减伤4-区间2	420704	31	4	50	704	295-315
768	风属性减伤4-区间3	420704	31	4	40	704	315-335
769	风属性减伤4-区间4	420704	31	4	27	704	335-355
770	风属性减伤4-区间5	420704	31	4	18	704	355-375
771	风属性减伤5-区间1	420704	31	5	30	704	375-400
772	风属性减伤5-区间2	420704	31	5	34	704	400-425
773	风属性减伤5-区间3	420704	31	5	26	704	425-450
774	风属性减伤5-区间4	420704	31	5	18	704	450-475
775	风属性减伤5-区间5	420704	31	5	12	704	475-500
776	电属性减伤1-区间1	420705	32	1	60	705	50-60
777	电属性减伤1-区间2	420705	32	1	67	705	60-70
778	电属性减伤1-区间3	420705	32	1	53	705	70-80
779	电属性减伤1-区间4	420705	32	1	36	705	80-90
780	电属性减伤1-区间5	420705	32	1	24	705	90-100
781	电属性减伤2-区间1	420705	32	2	90	705	100-115
782	电属性减伤2-区间2	420705	32	2	101	705	115-130
783	电属性减伤2-区间3	420705	32	2	79	705	130-145
784	电属性减伤2-区间4	420705	32	2	54	705	145-160
785	电属性减伤2-区间5	420705	32	2	36	705	160-175
786	电属性减伤3-区间1	420705	32	3	75	705	175-195
787	电属性减伤3-区间2	420705	32	3	84	705	195-215
788	电属性减伤3-区间3	420705	32	3	66	705	215-235
789	电属性减伤3-区间4	420705	32	3	45	705	235-255
790	电属性减伤3-区间5	420705	32	3	30	705	255-275
791	电属性减伤4-区间1	420705	32	4	45	705	275-295
792	电属性减伤4-区间2	420705	32	4	50	705	295-315
793	电属性减伤4-区间3	420705	32	4	40	705	315-335
794	电属性减伤4-区间4	420705	32	4	27	705	335-355
795	电属性减伤4-区间5	420705	32	4	18	705	355-375
796	电属性减伤5-区间1	420705	32	5	30	705	375-400
797	电属性减伤5-区间2	420705	32	5	34	705	400-425
798	电属性减伤5-区间3	420705	32	5	26	705	425-450
799	电属性减伤5-区间4	420705	32	5	18	705	450-475
800	电属性减伤5-区间5	420705	32	5	12	705	475-500
801	毒属性减伤1-区间1	420706	33	1	60	706	50-60
802	毒属性减伤1-区间2	420706	33	1	67	706	60-70
803	毒属性减伤1-区间3	420706	33	1	53	706	70-80
804	毒属性减伤1-区间4	420706	33	1	36	706	80-90
805	毒属性减伤1-区间5	420706	33	1	24	706	90-100
806	毒属性减伤2-区间1	420706	33	2	90	706	100-115
807	毒属性减伤2-区间2	420706	33	2	101	706	115-130
808	毒属性减伤2-区间3	420706	33	2	79	706	130-145
809	毒属性减伤2-区间4	420706	33	2	54	706	145-160
810	毒属性减伤2-区间5	420706	33	2	36	706	160-175
811	毒属性减伤3-区间1	420706	33	3	75	706	175-195
812	毒属性减伤3-区间2	420706	33	3	84	706	195-215
813	毒属性减伤3-区间3	420706	33	3	66	706	215-235
814	毒属性减伤3-区间4	420706	33	3	45	706	235-255
815	毒属性减伤3-区间5	420706	33	3	30	706	255-275
816	毒属性减伤4-区间1	420706	33	4	45	706	275-295
817	毒属性减伤4-区间2	420706	33	4	50	706	295-315
818	毒属性减伤4-区间3	420706	33	4	40	706	315-335
819	毒属性减伤4-区间4	420706	33	4	27	706	335-355
820	毒属性减伤4-区间5	420706	33	4	18	706	355-375
821	毒属性减伤5-区间1	420706	33	5	30	706	375-400
822	毒属性减伤5-区间2	420706	33	5	34	706	400-425
823	毒属性减伤5-区间3	420706	33	5	26	706	425-450
824	毒属性减伤5-区间4	420706	33	5	18	706	450-475
825	毒属性减伤5-区间5	420706	33	5	12	706	475-500
826	光属性减伤1-区间1	420707	34	1	60	707	50-60
827	光属性减伤1-区间2	420707	34	1	67	707	60-70
828	光属性减伤1-区间3	420707	34	1	53	707	70-80
829	光属性减伤1-区间4	420707	34	1	36	707	80-90
830	光属性减伤1-区间5	420707	34	1	24	707	90-100
831	光属性减伤2-区间1	420707	34	2	90	707	100-115
832	光属性减伤2-区间2	420707	34	2	101	707	115-130
833	光属性减伤2-区间3	420707	34	2	79	707	130-145
834	光属性减伤2-区间4	420707	34	2	54	707	145-160
835	光属性减伤2-区间5	420707	34	2	36	707	160-175
836	光属性减伤3-区间1	420707	34	3	75	707	175-195
837	光属性减伤3-区间2	420707	34	3	84	707	195-215
838	光属性减伤3-区间3	420707	34	3	66	707	215-235
839	光属性减伤3-区间4	420707	34	3	45	707	235-255
840	光属性减伤3-区间5	420707	34	3	30	707	255-275
841	光属性减伤4-区间1	420707	34	4	45	707	275-295
842	光属性减伤4-区间2	420707	34	4	50	707	295-315
843	光属性减伤4-区间3	420707	34	4	40	707	315-335
844	光属性减伤4-区间4	420707	34	4	27	707	335-355
845	光属性减伤4-区间5	420707	34	4	18	707	355-375
846	光属性减伤5-区间1	420707	34	5	30	707	375-400
847	光属性减伤5-区间2	420707	34	5	34	707	400-425
848	光属性减伤5-区间3	420707	34	5	26	707	425-450
849	光属性减伤5-区间4	420707	34	5	18	707	450-475
850	光属性减伤5-区间5	420707	34	5	12	707	475-500
851	暗属性减伤1-区间1	420708	35	1	60	708	50-60
852	暗属性减伤1-区间2	420708	35	1	67	708	60-70
853	暗属性减伤1-区间3	420708	35	1	53	708	70-80
854	暗属性减伤1-区间4	420708	35	1	36	708	80-90
855	暗属性减伤1-区间5	420708	35	1	24	708	90-100
856	暗属性减伤2-区间1	420708	35	2	90	708	100-115
857	暗属性减伤2-区间2	420708	35	2	101	708	115-130
858	暗属性减伤2-区间3	420708	35	2	79	708	130-145
859	暗属性减伤2-区间4	420708	35	2	54	708	145-160
860	暗属性减伤2-区间5	420708	35	2	36	708	160-175
861	暗属性减伤3-区间1	420708	35	3	75	708	175-195
862	暗属性减伤3-区间2	420708	35	3	84	708	195-215
863	暗属性减伤3-区间3	420708	35	3	66	708	215-235
864	暗属性减伤3-区间4	420708	35	3	45	708	235-255
865	暗属性减伤3-区间5	420708	35	3	30	708	255-275
866	暗属性减伤4-区间1	420708	35	4	45	708	275-295
867	暗属性减伤4-区间2	420708	35	4	50	708	295-315
868	暗属性减伤4-区间3	420708	35	4	40	708	315-335
869	暗属性减伤4-区间4	420708	35	4	27	708	335-355
870	暗属性减伤4-区间5	420708	35	4	18	708	355-375
871	暗属性减伤5-区间1	420708	35	5	30	708	375-400
872	暗属性减伤5-区间2	420708	35	5	34	708	400-425
873	暗属性减伤5-区间3	420708	35	5	26	708	425-450
874	暗属性减伤5-区间4	420708	35	5	18	708	450-475
875	暗属性减伤5-区间5	420708	35	5	12	708	475-500
876	精神属性减伤1-区间1	420709	36	1	60	709	50-60
877	精神属性减伤1-区间2	420709	36	1	67	709	60-70
878	精神属性减伤1-区间3	420709	36	1	53	709	70-80
879	精神属性减伤1-区间4	420709	36	1	36	709	80-90
880	精神属性减伤1-区间5	420709	36	1	24	709	90-100
881	精神属性减伤2-区间1	420709	36	2	90	709	100-115
882	精神属性减伤2-区间2	420709	36	2	101	709	115-130
883	精神属性减伤2-区间3	420709	36	2	79	709	130-145
884	精神属性减伤2-区间4	420709	36	2	54	709	145-160
885	精神属性减伤2-区间5	420709	36	2	36	709	160-175
886	精神属性减伤3-区间1	420709	36	3	75	709	175-195
887	精神属性减伤3-区间2	420709	36	3	84	709	195-215
888	精神属性减伤3-区间3	420709	36	3	66	709	215-235
889	精神属性减伤3-区间4	420709	36	3	45	709	235-255
890	精神属性减伤3-区间5	420709	36	3	30	709	255-275
891	精神属性减伤4-区间1	420709	36	4	45	709	275-295
892	精神属性减伤4-区间2	420709	36	4	50	709	295-315
893	精神属性减伤4-区间3	420709	36	4	40	709	315-335
894	精神属性减伤4-区间4	420709	36	4	27	709	335-355
895	精神属性减伤4-区间5	420709	36	4	18	709	355-375
896	精神属性减伤5-区间1	420709	36	5	30	709	375-400
897	精神属性减伤5-区间2	420709	36	5	34	709	400-425
898	精神属性减伤5-区间3	420709	36	5	26	709	425-450
899	精神属性减伤5-区间4	420709	36	5	18	709	450-475
900	精神属性减伤5-区间5	420709	36	5	12	709	475-500
901	对人类目标减伤1-区间1	420751	37	1	78	751	50-60
902	对人类目标减伤1-区间2	420751	37	1	87	751	60-70
903	对人类目标减伤1-区间3	420751	37	1	68	751	70-80
904	对人类目标减伤1-区间4	420751	37	1	47	751	80-90
905	对人类目标减伤1-区间5	420751	37	1	31	751	90-100
906	对人类目标减伤2-区间1	420751	37	2	116	751	100-115
907	对人类目标减伤2-区间2	420751	37	2	130	751	115-130
908	对人类目标减伤2-区间3	420751	37	2	102	751	130-145
909	对人类目标减伤2-区间4	420751	37	2	70	751	145-160
910	对人类目标减伤2-区间5	420751	37	2	47	751	160-175
911	对人类目标减伤3-区间1	420751	37	3	97	751	175-195
912	对人类目标减伤3-区间2	420751	37	3	109	751	195-215
913	对人类目标减伤3-区间3	420751	37	3	85	751	215-235
914	对人类目标减伤3-区间4	420751	37	3	58	751	235-255
915	对人类目标减伤3-区间5	420751	37	3	39	751	255-275
916	对人类目标减伤4-区间1	420751	37	4	58	751	275-295
917	对人类目标减伤4-区间2	420751	37	4	65	751	295-315
918	对人类目标减伤4-区间3	420751	37	4	51	751	315-335
919	对人类目标减伤4-区间4	420751	37	4	35	751	335-355
920	对人类目标减伤4-区间5	420751	37	4	23	751	355-375
921	对人类目标减伤5-区间1	420751	37	5	39	751	375-400
922	对人类目标减伤5-区间2	420751	37	5	43	751	400-425
923	对人类目标减伤5-区间3	420751	37	5	34	751	425-450
924	对人类目标减伤5-区间4	420751	37	5	23	751	450-475
925	对人类目标减伤5-区间5	420751	37	5	16	751	475-500
926	对能量目标减伤1-区间1	420752	38	1	78	752	50-60
927	对能量目标减伤1-区间2	420752	38	1	87	752	60-70
928	对能量目标减伤1-区间3	420752	38	1	68	752	70-80
929	对能量目标减伤1-区间4	420752	38	1	47	752	80-90
930	对能量目标减伤1-区间5	420752	38	1	31	752	90-100
931	对能量目标减伤2-区间1	420752	38	2	116	752	100-115
932	对能量目标减伤2-区间2	420752	38	2	130	752	115-130
933	对能量目标减伤2-区间3	420752	38	2	102	752	130-145
934	对能量目标减伤2-区间4	420752	38	2	70	752	145-160
935	对能量目标减伤2-区间5	420752	38	2	47	752	160-175
936	对能量目标减伤3-区间1	420752	38	3	97	752	175-195
937	对能量目标减伤3-区间2	420752	38	3	109	752	195-215
938	对能量目标减伤3-区间3	420752	38	3	85	752	215-235
939	对能量目标减伤3-区间4	420752	38	3	58	752	235-255
940	对能量目标减伤3-区间5	420752	38	3	39	752	255-275
941	对能量目标减伤4-区间1	420752	38	4	58	752	275-295
942	对能量目标减伤4-区间2	420752	38	4	65	752	295-315
943	对能量目标减伤4-区间3	420752	38	4	51	752	315-335
944	对能量目标减伤4-区间4	420752	38	4	35	752	335-355
945	对能量目标减伤4-区间5	420752	38	4	23	752	355-375
946	对能量目标减伤5-区间1	420752	38	5	39	752	375-400
947	对能量目标减伤5-区间2	420752	38	5	43	752	400-425
948	对能量目标减伤5-区间3	420752	38	5	34	752	425-450
949	对能量目标减伤5-区间4	420752	38	5	23	752	450-475
950	对能量目标减伤5-区间5	420752	38	5	16	752	475-500
951	对机械目标减伤1-区间1	420753	39	1	78	753	50-60
952	对机械目标减伤1-区间2	420753	39	1	87	753	60-70
953	对机械目标减伤1-区间3	420753	39	1	68	753	70-80
954	对机械目标减伤1-区间4	420753	39	1	47	753	80-90
955	对机械目标减伤1-区间5	420753	39	1	31	753	90-100
956	对机械目标减伤2-区间1	420753	39	2	116	753	100-115
