	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
140101851	102010101	1	{}		100		怎么办……我们就这样被关在了昏暗的仓库里……	1	{}				{}				1	140101852				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101852	102010101	1	{}		100		得想办法求救才是啊。	1	{}				{}				1					1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
																																																																																																			
140101901	102010211	1	{}		100		1	1	{}				{}					140101902	4												{}											{}											{}							scene/bg/bg_tiyucangku.png	1		1	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101902	102010211	1	{}		100	1	那个……折纸。	1	{}				{}					140101903				10204	3							2	{}	1.2										{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140101903	102010211	1	{}		100	鸢一折纸	嗯？	1	{}				{}					140101904				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101904	102010211	1	{}		100	1	你知道这是怎么回事吗？	1	{}				{}					140101905				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101905	102010211	1	{}		100	鸢一折纸	被关了。	1	{}				{}					140101906				1			id_pose_3		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101906	102010211	1	{}		100	1	那是当然的啊……试了很多办法也打不开门，真是精疲力尽了……	1	{}				{}					140101907				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101907	102010211	1	{}		100	鸢一折纸	这里是密室。	1	{}				{}					140101908				1			id_pose_3		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101908	102010211	1	{}		100	1	是、是啊，只有一个小窗户，确实算是密室了吧……	1	{}				{}					140101909				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101909	102010211	1	{}		100	鸢一折纸	要试试吗？	1	{}				{}					140101910				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101910	102010211	1	{}		100	1	试什么？开门的办法吗？	1	{}				{}					140101911				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101911	102010211	1	{}		100	鸢一折纸	试试做舒服的事情。	1	{}				{}					140101912				1			id_pose_3		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101912	102010211	1	{}		100	1	哎！！哎？？	1	{}				{}					140101913				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101913	102010211	1	{}		100		1	1	{}				{}					140101914						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140101914	102010211	1	{}		100		折纸居然开始解开衣服的扣子。\n一颗、两颗……	1	{}				{}					140101915													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101915	102010211	1	{}		100	1	喂喂，等一下！！	1	{}				{}					140101916													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101916	102010211	1	{}		100		我连忙抓住折纸解衣服的手。	1	{}				{}					140101917													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101917	102010211	1	{}		100	鸢一折纸	怎么了？不行吗？	1	{}				{}					140101918				10204	3		id_pose_5		id_look_5			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101918	102010211	1	{}		100	1	当然不行！你怎么还记得这件事啊！	1	{}				{}					140101919				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101919	102010211	1	{}		100	鸢一折纸	可是，这里没有人，又是密室，应该是“适合的地点”。	1	{}				{}					140101920				1			id_pose_1		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101920	102010211	1	{}		100	1	不、不是地点的问题啦！住手、住手啊折纸！	1	{}				{}					140101921				1									{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101921	102010211	1	{}		100	鸢一折纸	既然是你的愿望的话，那我住手。	1	{}				{}					140101922				1			id_pose_1		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101922	102010211	1	{}		100	1	呼——	1	{}				{}					140101923				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101923	102010211	1	{}		100		我长舒了一口气。折纸却看上去很凝重的模样。	1	{}				{}					140101924				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101924	102010211	1	{}		100	鸢一折纸	嗯，%s不用在意，我会找到原因的。	1	{}				{}					140101925				1			id_pose_2		id_look_1				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140101925	102010211	1	{}		100		什么原因？	1	{}				{}				1	140101926				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140101926	102010211	1	{}		100		不，还是不要问比较好吧……	1	{}				{}									1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{"sign":[102]}	{}	{}	
																																																																																																			
140102001	102010212	1	{}		100		1	1	{}				{}					140112001	4												{}											{}											{}							scene/bg/bg_tiyucangku.png	1		1	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140112001	102010212	1	{}		100		我艰难地透过门缝，看着外面……\n好像，没有人经过啊……不会那么倒霉吧……	1	{}				{}					140112002													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140112002	102010212	1	{}		100		我奋力冲着仓库外大喊。	1	{}				{}					140112003													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140112003	102010212	1	{}		100			1	{}				{}					140102002													{}											{}											{}							scene/bg/bg_tiyuguan.png	1		1	-1	{"x":0,"y":0}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102002	102010212	1	{}		100	1	喂——外面有人吗？	1	{}				{}					140102003													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102003	102010212	1	{}		100	1	请开一下门——	1	{}				{}					140102004													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102004	102010212	1	{}		100		咚咚地敲门，对着门外扯着嗓子大喊，可惜都没有用。	1	{}				{}				1	140102005													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102005	102010212	1	{}		100		难道只能被动等待了吗……	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{"sign":[103]}	{}	{}	
																																																																																																			
140102101	102010213	1	{}		100		1	1	{}				{}					140102102	4												{}											{}											{}							scene/bg/bg_tiyucangku.png	1		1	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102102	102010213	1	{}		100		要不联络一下琴里好了。	1	{}				{}					140102103													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102103	102010213	1	{}		100		这样想着，我拨通了家里的电话。	1	{}				{}					140102104													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102104	102010213	1	{}		100	1	不在家吗……	1	{}				{}					140102105													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102105	102010213	1	{}		100		试试耳机？	1	{}				{}					140102106													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102106	102010213	1	{}		100	1	喂喂？喂喂？	1	{}				{}					140102107													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102107	102010213	1	{}		100		我悄悄转过身去，不断敲击着耳机。	1	{}				{}					140102108													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102108	102010213	1	{}		100	1	琴里？令音小姐？听得见吗？	1	{}				{}				1	140102109													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102109	102010213	1	{}		100		可惜，回应我的依然只有滋滋的杂音。	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{"sign":[104]}	{}	{}	
																																																																																																			
140102201	102010201	1	{}		100		1	1	{}				{}					140102202	4												{}											{}											{}							scene/bg/bg_tiyucangku.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102202	102010201	1	{}		100		看来只能自己想办法了。	1	{}				{}					140102203													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102203	102010201	1	{}		100		环顾了一下四周，仓库里的各种器具因为反光而闪闪发亮。	1	{}				{}					140102204													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102204	102010201	1	{}		100	1	啊……	1	{}				{}					140112204													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140112204	102010201	1	{}		100			1	{}				{}					140102205													{}											{}											{}							scene/bg/bg_tiyucangku.png	1		1.75	-1	{"x":426,"y":-240}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102205	102010201	1	{}		100		我抬起头，果然看见了采光用的窗口。由于本来就不是让人通过的地方，位置非常高，宽度也很窄。	1	{}				{}					140102206													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102206	102010201	1	{}		100	1	折纸，你看看能爬上去吗？	1	{}				{}					140102207				10204	3							2	{}	1.2										{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102207	102010201	1	{}		100		折纸比较瘦弱，如果能从窗口出去的话，就能叫人来了。	1	{}				{}					140102208				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102208	102010201	1	{}		100	鸢一折纸	如果%s想要的话，我可以试试。	1	{}				{}					140102209				1			id_pose_5		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102209	102010201	1	{}		100	1	嗯！	1	{}				{}					140102210				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102210	102010201	1	{}		100		我扶着高凳，折纸踩了上去。	1	{}				{}					140102211				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102211	102010201	1	{}		100	鸢一折纸	不够。	1	{}				{}					140102212				1			id_pose_5		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102212	102010201	1	{}		100		折纸挥舞着手臂，果然还是够不到窗户。	1	{}				{}					140102213				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102213	102010201	1	{}		100	1	那这样，骑在我身上吧。	1	{}				{}					140102214				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102214	102010201	1	{}		100	鸢一折纸	哎？	1	{}				{}					140102215				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102215	102010201	1	{}		100		等等，这话怎么说出口就那么奇怪呢……	1	{}				{}					140102216				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102216	102010201	1	{}		100	1	啊，我的意思是，骑在我的脖子上，这样应该够高度了吧。	1	{}				{}					140102217				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102217	102010201	1	{}		100		我重新将软垫铺在地上以防万一，然后小心地蹲下来。	1	{}				{}					140102218				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102218	102010201	1	{}		100	鸢一折纸	遵命。	1	{}				{}					140102219				1			id_pose_5		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102219	102010201	1	{}		100		1	1	{}				{}					140102220						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102220	102010201	1	{}		100	1	……	1	{}				{}					140102221													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102221	102010201	1	{}		100		事态紧急，当我意识到什么的时候，折纸的大腿已经紧紧贴着我的脸颊……\n恰好的重量还有脖子后面的体温……	1	{}				{}					140102222													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102222	102010201	1	{}		100	1	咳咳。那么我起来了哦。	1	{}				{}					140102223													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102223	102010201	1	{}		100		不可抗力、不可抗力……	1	{}				{}					140102224													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102224	102010201	1	{}		100		我心中默念着。	1	{}				{}					140102225													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102225	102010201	1	{}		100	鸢一折纸	抓到了。	1	{}				{}					140102226				10204	3		id_pose_1		id_look_2			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102226	102010201	1	{}		100	1	啊，可以出去吗？	1	{}				{}					140102227				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102227	102010201	1	{}		100		卡啦地一声，是窗户被打开的声音。	1	{}				{}					140102228				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102228	102010201	1	{}		100	1	接下来只要翻出去……	1	{}				{}					140102229				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102229	102010201	1	{}		100	鸢一折纸	啊……	1	{}				{}					140102230				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102230	102010201	1	{}		100		1	1	{}				{}					140102231						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102231	102010201	1	{}		100		折纸轻呼一声，从爬到一半的窗户上掉了下来。	1	{}				{}					140102232													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102232	102010201	1	{}		100		一阵天旋地转。	1	{}				{}					140112232													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140112232	102010201	1	{}		100			1	{}				{}					140102233													{}											{}											{}								3				{}							date_cg_57										{}	{}					{}	{}		{}					{}	{}	{}	
140102233	102010201	1	{}		100	1	折纸？	1	{}				{}					140102234													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102234	102010201	1	{}		100		待我回过神来时，发现折纸竟然紧紧趴在我的身上，不，那样的话也就算了……	1	{}				{}					140102235													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102235	102010201	1	{}		100		折纸的脸，正贴在我大腿根部的地方……	1	{}				{}					140102236													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102236	102010201	1	{}		100		这个姿势要是被人突然闯入看见，一定会惹出大误会吧……	1	{}				{}					140102237													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102237	102010201	1	{}		100	1	你还好吧？折纸？	1	{}				{}					140102238													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102238	102010201	1	{}		100	鸢一折纸	对不起。	1	{}				{}					140102239													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102239	102010201	1	{}		100	1	哎？干嘛道歉？	1	{}				{}					140102240													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102240	102010201	1	{}		100		折纸红着脸抬起头。	1	{}				{}					140102241													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102241	102010201	1	{}		100	鸢一折纸	我没力气了……	1	{}				{}					140102242													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102242	102010201	1	{}		100		没力气了……？	1	{}				{}					140102243													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102243	102010201	1	{}		100		折纸像是失去了所有重心一般，趴在了我的身上。	1	{}				{}					140102244													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102244	102010201	1	{}		100		虽然她十分放松的模样，但是……	1	{}				{}					140102245													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102245	102010201	1	{}		100	1	折纸，你先松开我……	1	{}				{}				1	140102246													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102246	102010201	1	{}		100	鸢一折纸	对不起，我动不了了。	1	{}				{}					140102247-140102281-140102292	5												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102247	102010201	1	{"ownItem":{543132:1}}		100		是因为没吃午饭吗？	1	{}				{}					140102249	1												{}											{}											{}												{}																	{}	{}					{"items":{543132:1}}	{}		{}					{}	{}	{}	
140102249	102010201	1	{}		100		我想起麻衣她们说过折纸因为我的原因，最近心情不佳。	1	{}				{}					140102250													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102250	102010201	1	{}		100	1	我给你带了便当，你要不吃一点吧？	1	{}				{}					140102251													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102251	102010201	1	{}		100	鸢一折纸	嗯。	1	{}				{}					140102252													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102252	102010201	1	{}		100	1	那……你从我身上起来。	1	{}				{}					140102253													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102253	102010201	1	{}		100		折纸终于缓缓地从我身上挪开，我松了一口气。	1	{}				{}					140102254													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102254	102010201	1	{}		100		1	1	{}				{}					140102255													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102255	102010201	1	{}		100		1	1	{}				{}					140102256													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102256	102010201	1	{}		100		1	1	{}				{}					140102257													{}											{}											{}							scene/bg/bg_tiyucangku.png	-1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102257	102010201	1	{}		100	1	喏，你的便当，我在教室发现的，就拿来了。	1	{}				{}					140102258													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102258	102010201	1	{}		100	1	折纸带的便当刚好我也买过呢。这个汉堡肉很好吃的，你尝尝。	1	{}				{}					140102259													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102259	102010201	1	{}		100	鸢一折纸	嗯，我知道。	1	{}				{}					140102260				10204	3		id_pose_1		id_look_2			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102260	102010201	1	{}		100	1	知道？	1	{}				{}					140102261				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102261	102010201	1	{}		100	鸢一折纸	%s很喜欢吃，这个月连续在这家便利店买了三周，其中三分之二吃的都是这个口味。	1	{}				{}					140102262				1			id_pose_5		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102262	102010201	1	{}		100	1	呃，你怎么会那么清楚啊……	1	{}				{}					140102263				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102263	102010201	1	{}		100	鸢一折纸	啊——	1	{}				{}					140102264				1			id_pose_2		id_look_1				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102264	102010201	1	{}		100	1	什么意思……	1	{}				{}					140102265				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102265	102010201	1	{}		100	鸢一折纸	我没力气了。	1	{}				{}					140102266				1			id_pose_5		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102266	102010201	1	{}		100	1	哎？	1	{}				{}					140102267				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102267	102010201	1	{}		100	鸢一折纸	喂我。	1	{}				{}					140102268				1			id_pose_1		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102268	102010201	1	{}		100	1	这个……	1	{}				{}					140102269				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102269	102010201	1	{}		100	鸢一折纸	喂我，我要%s的……	1	{}				{}					140102270				1			id_pose_1		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102270	102010201	1	{}		100		好吧，也不是不可以……	1	{}				{}					140102271				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102271	102010201	1	{}		100	1	好吧好吧……汉堡肉是吗？	1	{}				{}					140102272				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102272	102010201	1	{}		100	鸢一折纸	要那个，大的，给我。	1	{}				{}					140102273				1			id_pose_2		id_look_4				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102273	102010201	1	{}		100	1	好、好……	1	{}				{}					140102274				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102274	102010201	1	{}		100		我挑了一块最大的汉堡肉夹起来。	1	{}				{}					140102275				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102275	102010201	1	{}		100	鸢一折纸	啊呜……唔……嗯……	1	{}				{}					140102276				1			id_normal_13						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102276	102010201	1	{}		100	1	你好像不舒服的样子……？	1	{}				{}					140102277				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102277	102010201	1	{}		100	鸢一折纸	啊呜……咕……嗯……	1	{}				{}					140102278				1			id_pose_1		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102278	102010201	1	{}		100	1	……没事吧？别噎住了……	1	{}				{}					140102279				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102279	102010201	1	{}		100	鸢一折纸	嗯嗯……%s的果然好吃。	1	{}				{}					140102280				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140102280	102010201	1	{}		100	1	是吗？那下次你可以再多买一些。	1	{}				{}					140112280				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140112280	102010201	1	{}		100			1	{}				{}					140112281						3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140112281	102010201	1	{}		100		折纸就这样专心吃着便当……\n气氛有些微妙，说些什么才好……	1	{}				{}					140102302													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102281	102010201	1	{}		100		是因为上了体育课消耗了吧。	1	{}				{}					140102283	1												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102283	102010201	1	{}		100	鸢一折纸	大概是的吧。	1	{}				{}					140102284													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102284	102010201	1	{}		100	1	该说对不起的是我，我忘记了你刚刚上完体育课。	1	{}				{}					140102285													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102285	102010201	1	{}		100		女孩子的力气本来就比较小，再加上刚刚上了体育课，肯定消耗了不少体力……	1	{}				{}					140102286													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102286	102010201	1	{}		100		那么高的窗户，就算翻出去了也会受伤吧……	1	{}				{}					140102287													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102287	102010201	1	{}		100	1	那……你能先从我身上起来吗？	1	{}				{}					140102288													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102288	102010201	1	{}		100		1	1	{}				{}					140102289													{}											{}											{}							scene/bg/bg_tiyucangku.png	-1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102289	102010201	1	{}		100		折纸终于缓缓地从我身上挪开，我松了一口气。	1	{}				{}					140102290													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102290	102010201	1	{}		100		背上出了好多汗。	1	{}				{}					140102291													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102291	102010201	1	{}		100		气氛有些微妙，说些什么才好……	1	{}				{}					140102302													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102292	102010201	1	{}		100		该说对不起的是我啊，是我让你冒险了。	1	{}				{}					140102294	1												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102294	102010201	1	{}		100		女孩子的力气本来就比较小，再加上刚刚上了体育课，肯定消耗了不少体力……	1	{}				{}					140102295													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102295	102010201	1	{}		100		那么高的窗户，就算翻出去了也会受伤吧……	1	{}				{}					140102296													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102296	102010201	1	{}		100	鸢一折纸	没关系。	1	{}				{}					140102297													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102297	102010201	1	{}		100	1	那……你能先从起来吗？	1	{}				{}					140102298													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102298	102010201	1	{}		100		1	1	{}				{}					140102299													{}											{}											{}							scene/bg/bg_tiyucangku.png	-1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140102299	102010201	1	{}		100		折纸终于缓缓地从我身上挪开，我松了一口气。	1	{}				{}					140102300													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140102300	102010201	1	{}		100		背上……出了好多汗。	1	{}				{}					140102301													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140102301	102010201	1	{}		100		气氛有些微妙，说些什么才好……	1	{}				{}					140102302													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
