	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	标题显示（手机）	头像显示（手机）	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
32401101	1102002	1	{}		100				你看见[精灵]了吗？	1	{}			{}	{}					32401102	1	10204			id_pose_4		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_yinpindian.png			1	-1	{}	sound/bgm/date_005.mp3									5	1					{}	{}					{}	{}		{}		
32401201	1102002	1	{}		100				开玩笑吧，一定是你看错了。	1	{}			{}	{}					32401102	1	10204			id_pose_4		id_look_2			2	{}	1.2										{}											{}							scene/bg/bg_yinpindian.png			1	-1	{}	sound/bgm/date_005.mp3									-5	1					{}	{}					{}	{}		{}		
32401102	1102002	1	{}		100			鸢一折纸	「我亲眼见了。那身影，是缠绕着鲜红火焰的[精灵]。」	1	{}			{}	{}					32401103	2	1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32401103	1102002	1	{}		100				我惊讶地睁大了双眼。	1	{}			{}	{}					32401104		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32401104	1102002	1	{}		100			鸢一折纸	「我被[精灵]夺去了一切。绝对不能原谅她们。所有的[精灵]，由我来打倒！」	1	{}			{}	{}					32401105		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_AST_16.mp3								1					{}	{}					{}	{}		{}		
32401105	1102002	1	{}		100				折纸攥紧了双拳，用坚定的声音告诉我她的秘密。	1	{}			{}	{}					32401106		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401106	1102002	1	{}		100			鸢一折纸	「当然——夜刀神十香也不例外。」	1	{}			{}	{}					32401107		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401107	1102002	1	{}		100				折纸突然叫出了十香的名字，令我非常意外。	1	{}			{}	{}					32401108		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401108	1102002	1	{}		100			鸢一折纸	「她现在，虽然不被当成是[精灵]，但我绝不容许她的存在。」	1	{}			{}	{}					32401109		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401109	1102002	1	{}		100			1	「现在的十香不会再引起[空间震]了，也不会暴走。这样的她已经和普通的女孩子没有区别了吧？」	1	{}			{}	{}					32401110		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401110	1102002	1	{}		100				折纸毫不犹豫地摇了摇头。	1	{}			{}	{}					32401111		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401111	1102002	1	{}		100			鸢一折纸	「[精灵]的反应从她身上消失了，这是事实。只不过，原因仍然未明，必须为最坏的情况做打算。」	1	{}			{}	{}					32401112		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401112	1102002	1	{}		100			1	「那是——」	1	{}			{}	{}					32401113		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401113	1102002	1	{}		100				我说不出话来……因为折纸并不知道十香的力量是被我封印的。	1	{}			{}	{}					32401114		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401114	1102002	1	{}		100			1	「但是……引起[空间震]这种事，也不是出于她们的本愿吧。」	1	{}			{}	{}					32401115		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401115	1102002	1	{}		100			鸢一折纸	「——？」	1	{}			{}	{}					32401116		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401116	1102002	1	{}		100				我说完后，折纸像是感到不可思议般歪起头。	1	{}			{}	{}					32401117		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32401117	1102002	1	{}		100			鸢一折纸	「你为什么会知道这种事？」	1	{}			{}	{}					32401118		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32401118	1102002	1	{}		100			1	「那个……我就是……」	1	{}			{}	{}					32401119		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32401119	1102002	1	{}		100				我想找个理由搪塞过去，折纸却一直盯着我的眼睛看。	1	{}			{}	{}				1	32401120		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32401120	1102002	1	{}		100			鸢一折纸	「今天是个不错的机会，我也有点事情想要问你。」	1	{}			{}	{}					32501101-32501201	5	1								2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_22.mp3								1					{}	{}					{}	{}		{}		
32501101	1102002	1	{}		100				随便问，我知道的都告诉你。	1	{}			{}	{}					32501102	1	10204			id_pose_4		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_yinpindian.png			1	-1	{}	sound/bgm/date_005.mp3									10	1					{}	{}					{}	{}		{}		
32501201	1102002	1	{}		100				问吧，但我不是什么都可以说。	1	{}			{}	{}					32501102	1	10204			id_pose_4		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_yinpindian.png			1	-1	{}	sound/bgm/date_005.mp3									-5	1					{}	{}					{}	{}		{}		
32501102	1102002	1	{}		100			鸢一折纸	「我在执行作战中的时候看见了你……和[精灵]在一起。」	1	{}			{}	{}					32501103	2	1			id_pose_4		id_look_1	103_eff	id_rain	2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501103	1102002	1	{}		100				我的背后感到一阵寒气。	1	{}			{}	{}					32501104		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501104	1102002	1	{}		100			鸢一折纸	「你到底是什么人？」	1	{}			{}	{}					32501105		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501105	1102002	1	{}		100				不能够把Ratatoskr的事情泄漏出去，我开始变得语无伦次……	1	{}			{}	{}					32501106		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501106	1102002	1	{}		100			1	「……」	1	{}			{}	{}					32501107		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501107	1102002	1	{}		100			1	「……折纸，或许你并不会相信，能不能听我说一段话？」	1	{}			{}	{}					32501108		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501108	1102002	1	{}		100				折纸她半点犹豫也没有，点点头安静听我说。	1	{}			{}	{}					32501109		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501109	1102002	1	{}		100			1	「虽然不能详细地说出来……我……其实曾经和[精灵]有好几次相遇和对话。」	1	{}			{}	{}					32501110		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501110	1102002	1	{}		100			鸢一折纸	「非常危险，应该要马上停止。」	1	{}			{}	{}					32501111		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_11.mp3													{}	{}					{}	{}		{}		
32501111	1102002	1	{}		100				折纸提出了忠告。	1	{}			{}	{}					32501112		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501112	1102002	1	{}		100			1	「其实[精灵]也有非常温柔的家伙啊，像是……」	1	{}			{}	{}					32501113		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501113	1102002	1	{}		100			鸢一折纸	「……」	1	{}			{}	{}					32501114		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501114	1102002	1	{}		100				折纸一言不发，只是以极为冷静的样子望着我。	1	{}			{}	{}					32501115		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501115	1102002	1	{}		100			1	「……」	1	{}			{}	{}					1032501116		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1032501116	1102002		{}							1	{}			{}	{}				2	32501116											{}											{}											{}							scene/bg/bg_yinpindian.png	2		1	-1	{}																{}	{}					{}	{}		{}		
32501116	1102002	1	{}		100				五年前，折纸因为[精灵]而失去了双亲，从此她为了人类而拿起武器。	1	{}			{}	{}					32501117		1								2	{}	1.2										{}											{}										1		{}							date_cg_40	6								{}	{}					{}	{}		{}		
32501117	1102002	1	{}		100				我没有办法责怪折纸错了，我没有资格……我也不能侮辱她的决心。	1	{}			{}	{}					32501118		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501118	1102002	1	{}		100				但是——	1	{}			{}	{}					32501119		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501119	1102002	1	{}		100			1	「十香也是，四糸乃也是，你也是，大家……明明都是温柔的人啊。」	1	{}			{}	{}					32501120		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501120	1102002	1	{}		100			鸢一折纸	「这是，没有办法的事。」	1	{}			{}	{}					32501121		1			id_pose_4		id_look_1			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_AST_16.mp3													{}	{}					{}	{}		{}		
32501121	1102002	1	{}		100			1	「……」	1	{}			{}	{}					32501122		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501122	1102002	1	{}		100			鸢一折纸	「我不能为了[精灵]，让无数的人身处危险之中。」	1	{}			{}	{}					32501123		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501123	1102002	1	{}		100				我低下头，一时间不知道如何回答。	1	{}			{}	{}					32501124		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501124	1102002	1	{}		100				我的心里百味陈杂，其实……谁都没有错啊。	1	{}			{}	{}					1032501125		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1032501125	1102002		{}							1	{}			{}	{}					32501125											{}											{}											{}							scene/bg/bg_yinpindian.png	2		1	-1	{}																{}	{}					{}	{}		{}		
32501125	1102002	1	{}		100				只是……立场不同吧。	1	{}			{}	{}					32501126		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501126	1102002	1	{}		100			1	「我会更努力的！」	1	{}			{}	{}					32501127		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501127	1102002	1	{}		100				我攥紧了拳头。	1	{}			{}	{}					32501128		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501128	1102002	1	{}		100			1	「为了[精灵]和人类和平相处！我会继续加油！」	1	{}			{}	{}					32501129		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501129	1102002	1	{}		100				我看着折纸的眼睛，坚定地说出了我想说的话。	1	{}			{}	{}					32501130		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501130	1102002	1	{}		100			鸢一折纸	「没有用的。」	1	{}			{}	{}					32501131		1			id_pose_4		id_look_4			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_01.mp3													{}	{}					{}	{}		{}		
32501131	1102002	1	{}		100			1	「我会尽我所能，所以……请相信我。」	1	{}			{}	{}					32501132		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501132	1102002	1	{}		100				我以为折纸会犹豫，或者会拒绝我，没想到她很快就答应了。	1	{}			{}	{}					32501133		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501133	1102002	1	{}		100			鸢一折纸	「可以……如果你把你喝过水的杯子给我……」	1	{}			{}	{}					32501134		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_S_07.mp3													{}	{}					{}	{}		{}		
32501134	1102002	1	{}		100			1	「哎？这么容易啊……是这个吗？」	1	{}			{}	{}					32501135		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501135	1102002	1	{}		100				我看了看我的水杯，只是一个普通的纸杯啊。	1	{}			{}	{}					32501136		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501136	1102002	1	{}		100				我递给折纸，她接过去后就捏在手里不放。	1	{}			{}	{}					32501137		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501137	1102002	1	{}		100			鸢一折纸	「谢谢。」	1	{}			{}	{}					32501138		1			id_pose_5		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501138	1102002	1	{}		100				我有一种很微妙的感觉……折纸是要拿这个水杯做什么奇怪的事情吗？	1	{}			{}	{}					32501139		1			id_pose_5		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501139	1102002	1	{}		100			鸢一折纸	「然后。」	1	{}			{}	{}					32501140		1			id_pose_4		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501140	1102002	1	{}		100			1	「哎?还有然后吗？」	1	{}			{}	{}					32501141		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501141	1102002	1	{}		100			鸢一折纸	「嗯，因为你刚刚回答得太容易了。」	1	{}			{}	{}					32501142		1			id_pose_4		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501142	1102002	1	{}		100			1	「……抱歉……我不应该多嘴……」	1	{}			{}	{}					32501143		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501143	1102002	1	{}		100			鸢一折纸	「和我约会吧。」	1	{}			{}	{}					32501144		1			id_pose_3		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501144	1102002	1	{}		100			1	「啊？？」	1	{}			{}	{}					32501145		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501145	1102002	1	{}		100				折纸看起来不像是在开玩笑……	1	{}			{}	{}					32501146		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
32501146	1102002	1	{}		100			鸢一折纸	「下一次，我们两个人，约会。」	1	{}			{}	{}					32501147		1			id_pose_3		id_look_2			2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_S_08.mp3													{}	{}					{}	{}		{}		
32501147	1102002	1	{}		100			1	「为什么……突然……提起约会？」	1	{}			{}	{}					32501148		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501148	1102002	1	{}		100			鸢一折纸	「你和夜刀神十香约会，不和我约会，这非常不公平。」	1	{}			{}	{}					32501149		1			id_pose_5		id_look_2			2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501149	1102002	1	{}		100			1	「……好吧，那你要答应我，以后如果没有命令，不要攻击[精灵]。」	1	{}			{}	{}					32501150		1								2	{}	1.2										{}											{}										1		{}											1					{}	{}					{}	{}		{}		
32501150	1102002	1	{}		100			鸢一折纸	「愉快，成交。」	1	{}			{}	{}					32501151		1			id_pose_3		id_look_2	103_eff	id_heart	2	{}	1.2										{}											{}										1		{}			sound/role/zhezhi/ORIGAMI_S_05.mp3								1					{}	{}					{}	{}		{}		
32501151	1102002	1	{}		100				折纸脸上的表情根本没有变化……一点看不出是“愉快”的成交了。	1	{}			{}	{}							1								2	{}	1.2										{}											{}										1		{}											1					{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10}]}}	{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10}]}}					{}	{}		{}		
1034100001	4101001		{}							1	{}			{}	{}					34100001	4										{}											{}											{}							scene/bg/bg_huanghunjiedao2.png	2		1	-1	{}																{}	{}					{}	{}		{}		
34100001	4101001	4	{}		100				十香“啪叽”一声弹了手指。	1	{}			{}	{}					1034100002		10101			id_pose_8		id_look_3			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
1034100002	4101001		{}							1	{}			{}	{}					34100002											{}											{}											{}							scene/bg/bg_huanghunjiedao2.png	2		1	-1	{}																{}	{}					{}	{}		{}		
34100002	4101001	4	{}		100				数秒之后，穿上高中制服的十香伫立在我眼前。	1	{}			{}	{}					34100003		10104			id_pose_8		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100003	4101001	4	{}		100			夜刀神十香	「怎么样？」	1	{}			{}	{}					34100004		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100004	4101001	4	{}		100			1	「十香好厉害啊。」	1	{}			{}	{}					34100005		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100005	4101001	4	{}		100				十香抱着手臂得意的“哼哼”两声。	1	{}			{}	{}					34100006		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100006	4101001	4	{}		100			夜刀神十香	「解除灵装，构成新的服装，细节上可能有差别，不过看起来应该没问题吧。」	1	{}			{}	{}					34100007		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100007	4101001	4	{}		100			1	「十香真是太棒了！以后就穿这套衣服约会吧。」	1	{}			{}	{}					34100008		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100008	4101001	4	{}		100				十香挥了挥手，仿佛在说“我知道了，我知道了。”	1	{}			{}	{}					34100009		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100009	4101001	4	{}		100			1	「灵装确实不太适合日常穿着。」	1	{}			{}	{}					34100010		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100010	4101001	4	{}		100				听我说完，十香一脸意外地睁大了眼睛。	1	{}			{}	{}				1	34100011		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34100011	4101001	4	{}		100			夜刀神十香	「我的灵装哪里有问题？」	1	{}			{}	{}					34101101-34101201	5	1			id_pose_8		id_look_2			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101101	4101001	4	{}		100				灵装好看，但是被AST发现就糟糕了。	1	{}			{}	{}					34101102	1	10104			id_pose_8		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_huanghunjiedao2.png			1	-1	{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
34101201	4101001	4	{}		100				要融入人类社会，就要穿正常的衣服啊。	1	{}			{}	{}					34101102	1	10104			id_pose_8		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_huanghunjiedao2.png			1	-1	{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
34101102	4101001	4	{}		100			夜刀神十香	「唔……」	1	{}			{}	{}					34101103	2	1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101103	4101001	4	{}		100				或许是觉得麻烦，十香露出了厌恶的表情。	1	{}			{}	{}					34101104		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101104	4101001	4	{}		100			1	「不过十香穿校服真的很好看啊。」	1	{}			{}	{}					34101105		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101105	4101001	4	{}		100			夜刀神十香	「真的？」	1	{}			{}	{}					34101106		1			id_pose_8		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101106	4101001	4	{}		100			1	「当然是真的，十香身材很好，很可爱，穿什么都好看。」	1	{}			{}	{}					34101107		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101107	4101001	4	{}		100				听到我夸奖她，十香脸上露出了开心的笑容。	1	{}			{}	{}					34101108		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101108	4101001	4	{}		100			夜刀神十香	「这种衣服，是普通人类穿的吗？」	1	{}			{}	{}					34101109		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101109	4101001	4	{}		100				十香按了按她的裙子，看起来对新衣服充满了好奇心。	1	{}			{}	{}					34101110		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101110	4101001	4	{}		100			1	「嗯，算是吧，在学校的女学生，都会穿校服。」	1	{}			{}	{}					34101111		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101111	4101001	4	{}		100			夜刀神十香	「哎？全部？是所以人类都穿一样的衣服吗？」	1	{}			{}	{}					34101112		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101112	4101001	4	{}		100				我笑着点点头。	1	{}			{}	{}					34101113		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101113	4101001	4	{}		100			夜刀神十香	「唔……这样啊，人类好奇怪啊，都穿一样的衣服。」	1	{}			{}	{}					34101114		1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101114	4101001	4	{}		100			1	「这是学校规定啦。」	1	{}			{}	{}					34101115		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101115	4101001	4	{}		100			夜刀神十香	「嗯？学校？学校是什么地方啊？」	1	{}			{}	{}					34101116		1			id_pose_8		id_look_3			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101116	4101001	4	{}		100				我指向远处学校的教学大楼。	1	{}			{}	{}					34101117		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101117	4101001	4	{}		100			1	「那就是学校了，是我们在一起学习的地方。」	1	{}			{}	{}					34101118		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101118	4101001	4	{}		100			夜刀神十香	「呜姆~原来是这样啊，我记住了。那……我们开始那个吧~」	1	{}			{}	{}					34101119		1			id_pose_8		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101119	4101001	4	{}		100				十香兴致勃勃地晃动着身体。	1	{}			{}	{}					34101120		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101120	4101001	4	{}		100			1	「哎？那个？那个是哪个？」	1	{}			{}	{}					34101121		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
34101121	4101001	4	{}		100			夜刀神十香	「约会啦~约会啦~」	1	{}			{}	{}							1			id_pose_8		id_look_11			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
1035100001	4101002		{}							1	{}			{}	{}					35100001	4										{}											{}											{}							scene/bg/bg_shangchang.png	2		1	-1	{}																{}	{}					{}	{}		{}		
35100001	4101002	4	{}		100				我在商场给十香买了一件休闲装，她看起来很开心的样子。	1	{}			{}	{}					35100002		10107			id_pose_2		id_look_3			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
35100002	4101002	4	{}		100			夜刀神十香	「哇哇哇~这是给我的吗？」	1	{}			{}	{}					35100003		1			id_pose_2		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100003	4101002	4	{}		100				十香穿着她的新衣服，看起来很激动的样子。	1	{}			{}	{}					35100004		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100004	4101002	4	{}		100			1	「嗯，这是给十香的奖励哦。」	1	{}			{}	{}					35100005		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100005	4101002	4	{}		100				十香歪着头，对我眨了眨眼睛。	1	{}			{}	{}					35100006		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100006	4101002	4	{}		100			夜刀神十香	「哎？哎？但是……我最近没有做什么值得奖励的事情啊？」	1	{}			{}	{}					35100007		1			id_pose_9		id_look_7			2	{}	1.2										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_10.mp3													{}	{}					{}	{}		{}		
35100007	4101002	4	{}		100			1	「奖励十香最近没有用暴力对付人类。」	1	{}			{}	{}					35100008		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100008	4101002	4	{}		100				我交叉双手，假装严肃地告诉十香。	1	{}			{}	{}					35100009		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35100009	4101002	4	{}		100			夜刀神十香	「唔~不打人就可以得到奖励吗？」	1	{}			{}	{}				1	35100010		1								2	{}	1.2										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_15.mp3													{}	{}					{}	{}		{}		
35100010	4101002	4	{}		100				十香的眼睛里闪烁着光芒。	1	{}			{}	{}					35101101-35101201	5	1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35101101	4101002	4	{}		100				不使用暴力就可以得到奖励	1	{}			{}	{}					35101102	1	10107			id_pose_5		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_shangchang.png			1	-1	{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
35101201	4101002	4	{}		100				十香还要加油学会更多哦	1	{}			{}	{}					35101102	1	10107			id_pose_5		id_look_3			2	{}	1.2										{}											{}							scene/bg/bg_shangchang.png			1	-1	{}	sound/bgm/date_002.mp3															{}	{}					{}	{}		{}		
35101102	4101002	4	{}		100				我为十香整理了一下衣服的褶皱。	1	{}			{}	{}					35101103	2	1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35101103	4101002	4	{}		100			夜刀神十香	「嗯嗯，知道了，以后都不欺负人类了， %s 还会给我奖励吗？」	1	{}			{}	{}					35101104		1			id_pose_10		id_look_4			2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35101104	4101002	4	{}		100			1	「当然，一定会给十香更多奖励的。」	1	{}			{}	{}					35101105		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35101105	4101002	4	{}		100			夜刀神十香	「嘿嘿~这件衣服……好看吗？」	1	{}			{}	{}					35101106		1								2	{}	1.2										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_20.mp3													{}	{}					{}	{}		{}		
35101106	4101002	4	{}		100				十香扯了扯新裙子。	1	{}			{}	{}					35101107		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
35101107	4101002	4	{}		100			1	「嗯，好看啊。」	1	{}			{}	{}					35101108		1								2	{}	1.2										{}											{}										1		{}																{}	{}					{}	{}		{}		
