怪物类型	名称	怪物基础属性	成长属性
41007	【联机】普通怪近战缓慢	{1:90000,2:600,3:400,505:9000,506:800,507:1500,508:500,6:10000,11:15000}	{1:22500,2:150,3:100,505:13,506:12,507:15,508:15}
41008	【联机】普通怪近战敏捷	{1:60000,2:450,3:280,505:11000,506:1200,507:1800,508:400,6:10000,11:27500}	{1:15000,2:112,3:70,505:16,506:18,507:18,508:12}
41009	【联机】普通怪近战逃跑	{1:138000,2:500,3:40,505:10000,506:1000,507:1500,508:50,6:10000,11:37500}	{1:34500,2:125,3:10,505:15,506:15,507:15,508:1}
42001	【联机】高级怪近战防御	{1:117000,2:525,3:800,505:10000,506:1000,507:1500,508:550,6:10000,11:22500}	{1:29250,2:130,3:200,505:20,506:20,507:20,508:22}
42002	【联机】高级怪近战爆发	{1:72000,2:1050,3:640,505:10000,506:1000,507:1650,508:450,6:10000,11:25000}	{1:18000,2:261,3:160,505:20,506:20,507:22,508:18}
42003	【联机】高级怪近战平衡	{1:90000,2:750,3:800,505:10000,506:1000,507:1500,508:500,6:10000,11:25000}	{1:22500,2:187,3:200,505:20,506:20,507:20,508:20}
42004	【联机】高级怪远程爆发	{1:72000,2:1050,3:640,505:10000,506:1000,507:1575,508:500,6:10000,11:23750}	{1:18000,2:261,3:160,505:20,506:20,507:21,508:20}
42005	【联机】高级怪远程平衡	{1:99000,2:825,3:640,505:10000,506:1050,507:1500,508:500,6:10000,11:23750}	{1:24750,2:205,3:160,505:20,506:21,507:20,508:20}
42006	【联机】高级怪远程风筝	{1:108000,2:750,3:640,505:9500,506:1150,507:1350,508:450,6:10000,11:27500}	{1:27000,2:187,3:160,505:19,506:23,507:18,508:18}
42007	【联机】高级怪近战缓慢	{1:135000,2:900,3:800,505:9000,506:800,507:1500,508:500,6:10000,11:15000}	{1:33750,2:224,3:200,505:18,506:16,507:20,508:20}
42008	【联机】高级怪近战敏捷	{1:90000,2:675,3:560,505:11000,506:1200,507:1800,508:400,6:10000,11:27500}	{1:22500,2:168,3:140,505:22,506:24,507:24,508:16}
42009	【联机】高级怪近战逃跑	{1:207000,2:750,3:80,505:10000,506:1000,507:1500,508:50,6:10000,11:37500}	{1:51750,2:187,3:20,505:20,506:20,507:20,508:2}
43001	【联机】精英怪近战防御	{1:234000,2:700,3:1200,505:10000,506:1000,507:1500,508:550,6:10000,11:22500}	{1:58500,2:175,3:300,505:25,506:25,507:25,508:27}
43002	【联机】精英怪近战爆发	{1:144000,2:1400,3:960,505:10000,506:1000,507:1650,508:450,6:10000,11:25000}	{1:36000,2:350,3:240,505:25,506:25,507:27,508:22}
43003	【联机】精英怪近战平衡	{1:180000,2:1000,3:1200,505:10000,506:1000,507:1500,508:500,6:10000,11:25000}	{1:45000,2:250,3:300,505:25,506:25,507:25,508:25}
43004	【联机】精英怪远程爆发	{1:144000,2:1400,3:960,505:10000,506:1000,507:1575,508:500,6:10000,11:23750}	{1:36000,2:350,3:240,505:25,506:25,507:26,508:25}
43005	【联机】精英怪远程平衡	{1:198000,2:1100,3:960,505:10000,506:1050,507:1500,508:500,6:10000,11:23750}	{1:49500,2:275,3:240,505:25,506:26,507:25,508:25}
43006	【联机】精英怪远程风筝	{1:216000,2:1000,3:960,505:9500,506:1150,507:1350,508:450,6:10000,11:27500}	{1:54000,2:250,3:240,505:23,506:28,507:22,508:22}
43007	【联机】精英怪近战缓慢	{1:270000,2:1200,3:1200,505:9000,506:800,507:1500,508:500,6:10000,11:15000}	{1:67500,2:300,3:300,505:22,506:20,507:25,508:25}
43008	【联机】精英怪近战敏捷	{1:180000,2:900,3:840,505:11000,506:1200,507:1800,508:400,6:10000,11:27500}	{1:45000,2:225,3:210,505:27,506:30,507:30,508:20}
43009	【联机】精英怪近战逃跑	{1:414000,2:1000,3:120,505:10000,506:1000,507:1500,508:50,6:10000,11:37500}	{1:103500,2:250,3:30,505:25,506:25,507:25,508:2}
44001	【联机】boss怪近战防御	{1:390000,2:875,3:1600,505:10000,506:1000,507:1500,508:550,6:10000,11:22500}	{1:97500,2:218,3:400,505:30,506:30,507:30,508:33}
44002	【联机】boss怪近战爆发	{1:240000,2:1750,3:1280,505:10000,506:1000,507:1650,508:450,6:10000,11:25000}	{1:60000,2:436,3:320,505:30,506:30,507:33,508:27}
44003	【联机】boss怪近战平衡	{1:300000,2:1250,3:1600,505:10000,506:1000,507:1500,508:500,6:10000,11:25000}	{1:75000,2:312,3:400,505:30,506:30,507:30,508:30}
44004	【联机】boss怪远程爆发	{1:240000,2:1750,3:1280,505:10000,506:1000,507:1575,508:500,6:10000,11:23750}	{1:60000,2:436,3:320,505:30,506:30,507:31,508:30}
44005	【联机】boss怪远程平衡	{1:330000,2:1375,3:1280,505:10000,506:1050,507:1500,508:500,6:10000,11:23750}	{1:82500,2:343,3:320,505:30,506:31,507:30,508:30}
44006	【联机】boss怪远程风筝	{1:360000,2:1250,3:1280,505:9500,506:1150,507:1350,508:450,6:10000,11:27500}	{1:90000,2:312,3:320,505:28,506:34,507:27,508:27}
44007	【联机】boss怪近战缓慢	{1:450000,2:1500,3:1600,505:9000,506:800,507:1500,508:500,6:10000,11:15000}	{1:112500,2:374,3:400,505:27,506:24,507:30,508:30}
44008	【联机】boss怪近战敏捷	{1:300000,2:1125,3:1120,505:11000,506:1200,507:1800,508:400,6:10000,11:27500}	{1:75000,2:280,3:280,505:33,506:36,507:36,508:24}
44009	【联机】boss怪近战逃跑	{1:690000,2:1250,3:160,505:10000,506:1000,507:1500,508:50,6:10000,11:37500}	{1:172500,2:312,3:40,505:30,506:30,507:30,508:3}
5001	boss机械猩猩	{1:195000,2:1050,3:600,505:9000,506:0,507:500,508:0,6:9000,11:12000,516:0}	{1:48750,2:262,3:150,505:10,506:11,507:10,508:11,6:0,11:0}
5002	机械BOSS5号	{1:195000,2:1050,3:600,505:9000,506:0,507:500,508:0,6:9000,11:0,516:0}	{1:48750,2:262,3:150,505:10,506:11,507:10,508:11,6:0,11:0}
