 	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	所属关卡组ID(此字段服务器用)	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	撞击飞行关卡预览视频文件（填video表中ID）	飞行关入场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP） 	飞行关出场方向（1  LEFT  2 RIGHT 3 BOTTOM 4 TOP）	飞行关入场距离	预览视频第一帧图片路径	背景音乐	显示顺序	难度	地图摄像机修正Z	战斗角色大小比例	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，31-击杀怪物数量达到x，32-积分达到x)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	日常副本奖励(根据每一次通关获得的星级发放对应奖励，1星奖励ID-2星奖励ID-3星奖励ID)	是否播放关卡开场默认动作	是否播放胜利动作	词缀怪物总数	词缀怪物出现区间
104105	第4章简单W1(4-5)   波次挑战	1	1	104104					[51,[4]]	4001	4001				410023-410024-410025-410026-410027	4_ditie	4003						sound/battle_sound/battle_002.mp3	5	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiedao_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					7	[[5]]	300809	300876	2-4-5	30-60-2	300052-300054-300055	510304-510102-510152	510206-510215-510102-510152-210009	18	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210405	60110405		1	1		
104206	第4章简单W2(4-6)   歼灭模式 	1	1	104105					[29,[5,6]]	4002	4001				420011-420012-420013-420014-420015	4_ditie_02	4004						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/pohuaijiedao_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限(怪物易进攻)	1	[[2]]	300801	300816	2-5-6	30-2-5	300052-300055-300056	510207-510102-510152	510207-210011-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210406	60110406		1	1		
104207	第4章简单W2(4-7)   限时击杀	1	1	104206					[32,[1,2]]	4002	4001				420016-420017-420018	4_ditie_02	4005						sound/battle_sound/battle_002.mp3	2	1		0.6		150	300302			icon/fuben/levelIcon/Dungeon/pohuaijiedao_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					5	[[15]]	300803	300818	2-6-7	30-5-2	300052-300056-300057	510208-510102-510152	510208-510104-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210407	60110407		1	1		
104208	第4章简单W2(F4-1)   生存模式	1	1	104207	1				[60,[16]]	4002	4001				420024-420025-420026-420027-420028-420029	4_pohuaijiedao	4007						sound/battle_sound/battle_003.mp3	3	1		0.6		60	300303			icon/fuben/levelIcon/Dungeon/putongjiedaohuifu_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+定时	2	[[60]]	300802	300817	2-4-5	30-60-2	300052-300054-300055	510201-510102-510152	510201-210012-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210408	60110408		1	1		
104209	第4章简单W2(4-8)   歼灭模式  [日下不撩子]	1	1	104207					[35,[5,6]]	4002	4001				420020-420021-420022-420023	4_putongjiedao	4006						sound/battle_sound/battle_003.mp3	4	1		0.6		300	300304			icon/fuben/levelIcon/Dungeon/putongjiedaopohuai_2.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-5-6	30-2-5	300052-300055-300056	510202-510102-510152	510202-510153-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210409	60110409		1	1		
104210	第4章简单W2(F4-2)   歼灭模式 	1	1	104209	1				[11,[17]]	4002	4001				420030-420031-420032-420033-420034	4_pohuaijiedao	4008						sound/battle_sound/battle_004.mp3	5	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/putongjiedaopohuai_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-6-7	30-5-2	300052-300056-300057	510203-510102-510152	510203-510216-510102-510152-210009	21	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210410	60110410		1	1		
104211	第4章简单2-6-约会	2		104209		4002	950086		[50,[4]]	4002	4001													6	1		0.6		300	950085			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png									2-4-6	30-60-5	950087	510304-510102-510152	510304-510102-510152	21	{500004:0}	99	0				0			60110411		1	1		
104312	第4章简单W3(4-10)   歼灭模式 	1	1	104211					[29,[1,2]]	4003	4001				430011-430012-430013-430014-430015	4_jiaowai_01	4009						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-4-7	30-60-2	300052-300054-300057	510204-510102-510152	510204-210013-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210412	60110412		1	1		
104313	第4章简单W3(4-11)   BOSS挑战【折纸】	1	1	104312					[19,[3]]	4003	4001	2	4002		430016	3_S4L3_jiaowai_02							sound/battle_sound/battle_003.mp3	2	1		0.6		300	300303			icon/fuben/levelIcon/Dungeon/jiaowai_2.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+极限	3	[[620402,1]]	300804	300819	2-5-7	30-2-2	300052-300055-300057	510205-510102-510152	510205-510104-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210413	60110413		1	1		
104314	第4章简单W3(4-12)   波次挑战 【折纸】	1	1	104313					[47,[4]]	4003	4001				430020-430021-430022-430023	3_S4L3_jiaowai_03							sound/battle_sound/battle_003.mp3	3	1		0.6		300	300304			icon/fuben/levelIcon/Dungeon/jiaowai_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+定时	3	[[620402,1]]	300804	300819	2-4-7	30-60-2	300052-300054-300057	510206-510102-510152	510206-210014-510102-510152-210009	24	{500004:9}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210414	60110414		1	1		
104315	第4章简单3-4-约会	2		104314		4003	950091	1	[37,[5,6]]	4003	4001													4	1		0.6		300	950090			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8009	1									950092	510308-510102-510152	510308-510102-510152	24	{500004:0}	99	0				0			60110415		1	1		
																																																510207-510102-510152	510207-510154-510102-510152-210009																
105101	第5章简单W1（5-1） 歼灭模式	1	1	104315					[29,[1,2]]	5001	5001				510011-510012-510013-510014-510015	4_jiaowai_01	5001						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/jiaowai_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[2]]	300801	300816	2-3-7	40-80-2	300052-300053-300057	510207-510102-510152	510207-510102-510152	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210501	60110501		1	1		
105102	第5章简单1-2-约会	2		105101		5001	950096		[44,[4]]	5001	5001													2	1		0.6		300	950095			icon/fuben/levelIcon/Dating/004.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png									2-4-5	40-50-1	950097	510208-510102-510152	510208-510209-510102-510152-210009	27	{500004:0}	99	0				0			60110502		1	1		
105103	第5章简单W1（5-3）BOSS挑战	1	1	105102					[33,[5,6]]	5001	5001	2	5001		510016	3_S5L1_shatan_01							sound/battle_sound/battle_001.mp3	3	1		0.6		300	300303			icon/fuben/levelIcon/Dungeon/haibianbaitian_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					3	[[629301,1]]	300804	300819	2-5-6	40-1-4	300052-300055-300056	510206-510102-510152	510206-510102-510152	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210503	60110503		1	1		
105104	第5章简单1-4-约会	2		105103		5002	950101		[48,[4]]	5001	5001													4	1		0.6		300	950100			icon/fuben/levelIcon/Dating/002.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png									2-6-7	40-4-2	950102	510311-510102-510152	510201-210015-510102-510152-210009	27	{500004:0}	99	0				0			60110504		1	1		
105105	第5章简单W1（5-5）波次挑战	1	1	105104					[37,[1,2]]	5001	5001	2	5002		510020-510021-510022-510023-510024-510025	4_shatan_01	5002						sound/battle_sound/battle_001.mp3	5	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/haibianbaitian_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					7	[[6]]	300809	300876	2-4-6	40-50-4	300052-300054-300056	510202-510102-510152	510202-510104-510102-510152-210009	27	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210505	60110505		1	1		
105206	第5章简单W2（5-1） 歼灭模式	1	1	105105					[29,[5,6]]	5002	5001				520011-520012-520013-520014-520015	4_shatan_01	5003						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/haibianbaitian_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-4-7	40-50-2	300052-300054-300057	510203-510102-510152	510203-210016-510102-510152-210009	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210506	60110506		1	1		
105207	第5章简单W2（5-1） 生存模式	1	1	105206					[18,[3]]	5002	5001				520016-520017-520018-520019-520020-520021	4_shatan_01	5004						sound/battle_sound/battle_001.mp3	2	1		0.6		60	300302			icon/fuben/levelIcon/Dungeon/haibianbaitian_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					2	[[60]]	300802	300817	2-5-7	40-1-2	300052-300055-300057	510205-510102-510152	510205-510102-510152	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210507	60110507		1	1		
105208	第5章简单2-3-约会	2		105207		5003	950106		[33,[1,2]]	5002	5001													3	1		0.6		300	950105			icon/fuben/levelIcon/Dating/004.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png									2-3-4	40-80-50	950107	510204-510102-510152	510204-510154-510102-510152-210009	30	{500004:0}	99	0				0			60110508		1	1		
105209	第5章简单W2（5-1） 歼灭模式	1	1	105208					[36,[1,2]]	5002	5001				520022-520023-520024-520025-520026	4_shatan_01	5005						sound/battle_sound/battle_001.mp3	4	1		0.6		300	300304			icon/fuben/levelIcon/Dungeon/haibianbaitian_2.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				常规+循环	1	[[2]]	300801	300816	2-3-5	40-80-1	300052-300053-300055	510312-510102-510152	510312-510102-510152	30	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210509	60110509		1	1		
105311	第5章简单W3（5-10） 歼灭模式	1	1	105209					[29,[1,2]]	5003	5001				530011-530012-530013-530014-530015	4_youleyuan	5006						sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/youleyuan_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-3-7	40-80-2	300052-300053-300057	510205-510102-510152	510205-510210-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210511	60110511		1	1		
105312	第5章简单W3（5-11） 限时击退	1	1	105311					[32,[5,6]]	5003	5001				530016-530017-530018	4_youleyuan	5007						sound/battle_sound/battle_001.mp3	2	1		0.6		150	300302			icon/fuben/levelIcon/Dungeon/youleyuan_2.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	5	[[15]]	300803	300818	2-4-5	40-50-1	300052-300054-300055	510206-510102-510152	510206-210017-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210512	60110512		1	1		
105314	第5章简单3-4-约会	2		105312		5004	950111		[21,[3]]	5003	5001													4	1		0.6		300	950110			icon/fuben/levelIcon/Dating/003.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png									2-6-7	40-4-2	950112	510203-510102-510152	510203-510102-510152	33	{500004:0}	99	0				0			60110514		1	1		
105315	第5章简单W3（5-13） 歼灭模式	1	1	105314					[49,[4]]	5003	5001				530022-530023-530024-530025-530026	4_shatanyewan	5008						sound/battle_sound/battle_001.mp3	5	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/haibianyewan_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-3-7	40-80-2	300052-300053-300057	510202-510102-510152	510202-510102-510152	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210515	60110515		1	1		
105316	第5章简单W3（5-14） BOSS挑战 【爱莲】	1	1	105315					[25,[3]]	5003	5001				530027	3_S5L3_yewanshatan_01							sound/battle_sound/battle_001.mp3	6	1		0.6		300				icon/fuben/levelIcon/Dungeon/haibianyewan_2.png								3	[[640101,1]]	300804	300819	2-4-5	40-50-1	300052-300054-300055	510207-510102-510152	510207-510104-510102-510152-210009	33	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210516	60110516		1	1		
105417	第5章简单W4（5-15） 生存模式	1	1	105316					[29,[5,6]]	5004	5001				540011-540012-540013-540014-540015-540016	4_pohuaijiedao	5009						sound/battle_sound/battle_001.mp3	1	1		0.6		60				icon/fuben/levelIcon/Dungeon/haibianyewan_3.png								2	[[60]]	300802	300817	2-5-6	40-1-4	300052-300055-300056	510311-510102-510152	510208-210018-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210517	60110517		1	1		
105418	第5章简单4-2-约会	2		105417		5005	950116		[18,[3]]	5004	5001													2	1		0.6		300	950115			icon/fuben/levelIcon/Dating/001.png												2-4-5	40-50-1	950117	510201-510102-510152	510201-510154-510102-510152-210009	35	{500004:0}	99	0				0			60110518		1	1		
105419	第5章简单W4（5-17） 歼灭模式	1	1	105418					[33,[1,2]]	5004	5001				540017-540018-540019-540020	4_pohuaijiedao	5010						sound/battle_sound/battle_001.mp3	3	1		0.6		300				icon/fuben/levelIcon/Dungeon/haibianyewan_2.png								1	[[2]]	300801	300816	2-5-6	40-1-4	300052-300055-300056	510201-510102-510152	510201-510102-510152	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210519	60110519		1	1		
105420	第5章简单W4（5-18） 歼灭模式	1	1	105419					[48,[4]]	5004	5001				540021-540022-540023-540024	4_shatanyewan	5011						sound/battle_sound/battle_001.mp3	4	1		0.6		300				icon/fuben/levelIcon/Dungeon/haibianyewan_3.png								1	[[2]]	300801	300816	2-6-7	40-4-2	300052-300056-300057	510202-510102-510152	510202-510211-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210520	60110520		1	1		
105421	第5章简单W4（5-19） BOSS挑战 【杰西卡】	1	1	105420				1	[37,[1,2]]	5004	5001				540025-540026-540027-540028	4_shatanyewan	5012						sound/battle_sound/battle_001.mp3	5	1		0.6		300				icon/fuben/levelIcon/Dungeon/haibianyewan_1.png								3	[[3060,1]]	300804	300819	2-3-7	40-80-2	300052-300053-300057	510203-510102-510152	510203-210019-510102-510152-210009	35	{500004:10}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210521	60110521		1	1		
																																																510312-510102-510152	510204-510104-510102-510152-210009																
106101	第6章简单1-1-战斗	1	1	105421					[29,[1,2]]	6001	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	1	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-210010-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210601	60110601		1	1		
106102	第6章简单1-2-战斗	1	1	106101					[32,[5,6]]	6001	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	2	1		0.6		300	300302			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510154-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210602	60110602		1	1		
106103	第6章简单1-3-支线约会	2		106102	1	2003	950051		[8,[17]]	6001	6001													3	1		0.6		300	950050			icon/fuben/levelIcon/Dating/003.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png											950052	510216-510102-510152	510216-510102-510152	38	{500004:0}	99	0				0			60110603		1	1		
106104	第6章简单1-4-约会	2		106102		2002	950002		[47,[4]]	6001	6001													4	1		0.6		300	950001			icon/fuben/levelIcon/Dating/004.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8005	3									950003	510215-510102-510152	510215-510102-510152	38	{500004:0}	99	0				0			60110604		1	1		
106105	第6章简单1-5-战斗	1	1	106104					[23,[3]]	6001	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	5	1		0.6		300	300305			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-510220-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210605	60110605		1	1		
106106	第6章简单1-6-战斗	1	1	106105					[51,[4]]	6001	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	6	1		0.6		300	300301			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510216-210011-510102-510152-210009	38	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210606	60110606		1	1		
106207	第6章简单2-1-战斗	1	1	106106					[29,[5,6]]	6002	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	1	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-510104-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210607	60110607		1	1		
106208	第6章简单2-2-战斗	1	1	106207					[18,[3]]	6002	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	2	1		0.6		300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png				常规+极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-210012-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210608	60110608		1	1		
106209	第6章简单2-3-约会	2		106208		2005	950002		[33,[1,2]]	6002	6001													3	1		0.6		300	950001			icon/fuben/levelIcon/Dating/003.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png											950003	510214-510102-510152	510214-510102-510152	40	{500004:0}	99	0				0			60110609		1	1		
106210	第6章简单2-4-支线约会	2		106209	1	1002	950007		[61,[16]]	6002	6001													4	1		0.6		300	950006			icon/fuben/levelIcon/Dating/004.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png											950008	510213-510102-510152	510213-510102-510152	40	{500004:0}	99	0				0			60110610		1	1		
106211	第6章简单2-5-战斗	1	1	106209					[22,[3]]	6002	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	5	1		0.6		300	300301			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-510154-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210611	60110611		1	1		
106212	第6章简单2-6-战斗	1	1	106211					[37,[1,2]]	6002	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	6	1		0.6		300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限(怪物易进攻)	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510212-510221-510102-510152-210009	40	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210612	60110612		1	1		
106313	第6章简单3-1-战斗	1	1	106212					[29,[1,2]]	6003	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	1	1		0.6		300	300303			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-210013-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210613	60110613		1	1		
106314	第6章简单3-2-支线约会	2		106313	1	2003	950031		[5,[17]]	6003	6001													2	1		0.6		300	950030			icon/fuben/levelIcon/Dating/003.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8008	1									950032	510212-510102-510152	510212-510102-510152	42	{500004:0}	99	0				0			60110614		1	1		
106315	第6章简单3-3-战斗	1	1	106313					[32,[5,6]]	6003	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	3	1		0.6		300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510104-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210615	60110615		1	1		
106316	第6章简单3-4-约会	2		106315		1002	950036		[47,[4]]	6003	6001													4	1		0.6		300	950035			icon/fuben/levelIcon/Dating/004.png														950037	510211-510102-510152	510211-510102-510152	42	{500004:0}	99	0				0			60110616		1	1		
106317	第6章简单3-5-战斗	1	1	106316					[23,[3]]	6003	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	5	1		0.6		300				icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-210014-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210617	60110617		1	1		
106318	第6章简单3-6-战斗	1	1	106317					[51,[4]]	6003	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	6	1		0.6		300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510314-510102-510152	510216-510154-510102-510152-210009	42	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210618	60110618		1	1		
106419	第6章简单4-1-约会	2		106318		2005	950041		[29,[5,6]]	6004	6001													1	1		0.6		300	950040			icon/fuben/levelIcon/Dating/003.png														950042	510210-510102-510152	510210-510102-510152	45	{500004:0}	99	0				0			60110619		1	1		
106420	第6章简单4-2-战斗	1	2	106419					[32,[1,2]]	6004	6001													2	1		0.6						icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png														300052-300056-300061	510209-510102-510152	510209-510222-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210620	60110620		1	1		
106421	第6章简单4-3-战斗	1	1	106419					[21,[3]]	6004	6001				2411-2412-2413-2414	3_S2L4							sound/battle_sound/battle_001.mp3	3	1		0.6		300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-210015-510102-510152-210009	45	{500004:11}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210621	60110621		1	1		
